순번_정류장ID,1-2807634,2-2806815,3-2805755,4-2805756,5-2807636,6-2800317,7-2804990,8-2807301,9-2803514,10-2803080,11-2803077,12-2803101,13-2805595,14-2803123,15-2803131,16-2803137,17-2805441,18-2802629,19-2802719,20-2802709,21-2802718,22-2802712,23-2802625,24-2802694,25-2802673,26-2802039,27-2801999,28-2801977,29-2802024,30-2802051,31-2802098,32-2802129,33-2802158,34-2802168,35-2802175,36-2801848,37-2802825,38-2802870,39-2802906,40-2802937,41-2802951,42-2802958,43-2802439,44-2802476,45-2806240,46-2804421,47-2805309,48-2805206,49-2805004,50-2806095,51-2804866,52-2805586,53-2805058,54-2805396,55-2804872,56-2803519,57-2802348,58-2802345,59-2802359,60-2803795,61-2804906,62-2805203,63-2803769,64-2806756,65-2807088,66-2806766,67-2806758,68-2806755
42-2802958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.789505,2.181953,4.368865,5.472265,5.9262559999999995,6.1965330000000005,6.0313930000000004,6.0035,6.38848,6.6185,6.556911,6.329957,6.115207,6.574497,6.7373330000000005,7.392211,8.041288,7.977966,7.684044999999999,8.094999000000001,8.243628,8.386308999999999,8.588767,8.259149,7.86642,6.997234
43-2802439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.394449,2.580361,3.683761,4.137752,4.408029,4.242888,4.214996,4.599976,4.831996,4.768406,4.541453,4.327703,4.785993,4.949828,5.603707,6.252783999999999,6.189461,5.895541000000001,6.307494,6.456124,6.5988050000000005,6.800729,6.471645,6.077916,5.20973
44-2802476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.187913,3.2913129999999997,3.745303,4.01558,3.8504400000000003,3.8225480000000003,4.207528,4.438548,4.375958,4.149005000000001,3.935255,4.393545,4.55738,5.2122589999999995,5.860336,5.797013,5.503092,5.915046,6.063675,6.205357,6.407814,6.078197,5.685468,4.817282
45-2806240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1044,1.558391,1.938602,2.105743,2.358635,2.353615,2.403635,2.189045,1.9620919999999997,1.7483419999999998,2.206632,2.3704669999999997,3.024346,3.672423,3.6101010000000002,3.31618,3.728133,3.876763,4.018444000000001,4.220368,3.8922839999999996,3.498555,2.630369
46-2804421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.453991,0.835203,1.002343,1.255236,1.250216,1.299236,1.084646,0.857693,0.643943,1.1022319999999999,1.265068,1.919947,2.5680240000000003,2.5057009999999997,2.21178,2.6237340000000002,2.7733630000000002,2.914045,3.1169689999999997,2.7878849999999997,2.394156,1.5259690000000001
47-2805309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.380212,0.5473520000000001,0.800245,0.795225,1.0017559999999999,0.787166,0.560213,0.9954629999999999,1.453753,1.6375879999999998,2.292467,2.941544,2.857221,2.563301,2.975254,3.124884,3.265565,3.467489,3.139405,2.7446759999999997,1.87749
48-2805206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16714,0.420033,0.415013,0.653033,0.8676229999999999,0.941425,1.376674,1.834964,2.0198,2.6746790000000003,3.3227559999999996,3.238433,2.944512,3.356466,3.505095,3.646776,3.1863,3.274682,2.8819529999999998,2.258701
49-2805004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.254893,0.361088,0.599108,0.813697,1.04065,1.542815,2.001105,2.18594,2.839819,3.487896,3.4045730000000005,3.110652,3.5226059999999997,3.6722349999999997,3.5200839999999998,3.026159,3.1145419999999997,2.721813,2.351627
50-2806095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.38498000000000004,0.623,0.83759,1.064543,1.571707,2.0299970000000003,2.2448330000000003,2.9007110000000003,3.5487879999999996,3.239466,2.945545,3.357499,3.507128,3.264191,2.770267,2.860649,2.46592,2.096734
51-2804866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23801999999999998,0.45261,0.679563,1.186727,1.6450169999999997,1.859852,2.5147310000000003,3.163808,3.048485,2.754565,3.166518,3.315148,3.265211,2.771287,2.859669,2.4659400000000002,2.068754
