순번_정류장ID,34-2806146,35-2804303,36-2804304,37-2804307,38-2804308,39-2806209,40-2807406,41-2806211,42-2806210,43-2804311,44-2804313,45-2804738,46-2804315,47-2804316,48-2804318,49-2804321,50-2804322,51-2804797,52-2804717,53-2804193,54-2804191,55-2806153,56-2804189,57-2804641,58-2804740,59-2804743,60-2804185,61-2804183,62-2804181,63-2806375,64-2804179,65-2806149,66-2804745,67-2804177,68-2806147,69-2804174,70-2804172,71-2806207,72-2804169,73-2804655,74-2804167,75-2804165,76-2804163,77-2804152,78-2804150,79-2804148,80-2803747,81-2803748,82-2804688,83-2807370,84-2803604,85-2800266,86-2807368,87-2804602,88-2803580,89-2800263,90-2800267,91-2804032
56-2804189,,,,,,,,,,,,,,,,,,,,,,,0,0.281812,0.897166,1.23212,1.8507779999999998,2.307731,2.6436479999999998,2.878568,3.100993,3.4516720000000003,3.6715120000000003,4.23422,3.658442,3.9631629999999998,4.709673,5.506144,6.26072,6.589795,7.045281,7.697386999999999,8.683121,9.295645,10.119054,9.529159,9.162438,9.570464,9.99659,10.128703,10.443611,11.112784,11.41046,11.637709,11.791214,12.012212,12.262308,12.898755
57-2804641,,,,,,,,,,,,,,,,,,,,,,,,0,0.615355,0.950308,1.568966,2.025919,2.361837,2.5967569999999998,2.819181,3.16986,3.3917010000000003,3.9544089999999996,3.3786300000000002,3.683351,4.427862,5.224333000000001,5.978909,6.307983999999999,6.765469,7.415576,8.400309,9.013833,9.837242999999999,9.247347,8.880626,9.288652,9.714777999999999,9.846892,10.161799,10.830973,11.128648,11.355898,11.509402,11.730400999999999,11.980497,12.616943
58-2804740,,,,,,,,,,,,,,,,,,,,,,,,,0,0.334953,0.9536110000000001,1.410564,1.7464819999999999,1.981402,2.203827,2.554505,2.774346,3.337054,2.7612759999999996,3.0659970000000003,3.810507,4.606978,5.361554,5.690629,6.148115,6.798221000000001,7.783954,8.398477999999999,9.221888,8.631993,8.265272,8.673297999999999,9.099424,9.231537,9.546445,10.215618,10.513292999999999,10.740542999999999,10.894048,11.115046000000001,11.365142,12.001589
59-2804743,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.618658,1.075611,1.411529,1.646449,1.868873,2.219552,2.441393,3.004101,2.428322,2.733043,3.477554,4.274025,5.028601,5.3576760000000005,5.815161,6.465268,7.450000999999999,8.408525,9.484267,8.934838000000001,8.568116999999999,8.976142999999999,9.402269,9.534382,9.84929,10.518463,10.816138,11.043388,11.196893,11.417891000000001,11.667987,12.304434
60-2804185,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.456953,0.792871,1.027791,1.2502149999999999,1.600894,1.8227349999999998,2.385443,1.809664,2.114385,2.858896,3.655367,4.409943,4.739018,5.196503,5.84661,6.8313429999999995,7.789867,8.865609,9.458505,9.186775,9.594801,10.020927,10.153039999999999,10.467948,11.137121,11.434797,11.662046,11.815551,12.036549,12.286645,12.923092
61-2804183,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.335918,0.570838,0.793262,1.1439409999999999,1.365782,1.92849,1.352711,1.657432,2.401943,3.198414,3.9529900000000002,4.282065,4.73955,5.389657,6.37439,7.331914,8.408656,9.001552,9.441708,9.849733,10.275859,10.407973,10.722881,11.392054,11.689729,11.916979,12.070483,12.291482,12.541578,13.178023999999999
62-2804181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23492,0.457345,0.808024,1.029864,1.5925719999999999,1.016794,1.321515,2.066025,2.8624959999999997,3.6170720000000003,3.9461470000000003,4.403633,5.053739,6.038473000000001,6.996997,8.073739,8.666634,9.105789999999999,9.514816,9.939942,10.073055,10.386963,11.057136,11.354811999999999,11.582061,11.735566,11.955564,12.206660000000001,12.843107
63-2806375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.222425,0.573103,0.794944,1.357652,0.781874,1.086595,1.831105,2.627576,3.3821519999999996,3.7112269999999996,4.1687129999999994,4.818819,5.804551999999999,6.761075999999999,7.8378190000000005,8.431714,8.87087,9.279896,9.706022,9.837135,10.152042999999999,10.821216,11.118891,11.346141000000001,11.500646000000001,11.720644,11.971739999999999,12.608187
64-2804179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.350679,0.572519,1.1352280000000001,0.559449,0.8641700000000001,1.6086799999999999,2.405152,3.159728,3.488803,3.9462879999999996,4.596394,5.581128,6.538652,7.615394,8.208289,8.649445,9.057471000000001,9.482597,9.61571,9.929618,10.599791,10.897467,11.123716,11.278221,11.498219,11.749315,12.385762
65-2806149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22184099999999998,0.7845489999999999,0.20876999999999998,0.513491,1.258002,2.0544729999999998,2.8090490000000004,3.1381240000000004,3.5956089999999996,4.245716000000001,5.231449,6.188973000000001,7.265714999999999,7.858611,8.298767,8.706792,9.132918,9.265032000000001,9.579939999999999,10.249113000000001,10.546788000000001,10.774038000000001,10.927543,11.148541,11.398636999999999,12.035083
66-2804745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.564708,0.035513,0.34023400000000004,1.084745,1.881216,2.635792,2.964867,3.4223519999999996,4.072458999999999,5.058192,6.015716,7.092458000000001,7.685353999999999,8.12551,8.533535,8.959661,9.091775,9.406683000000001,10.075856,10.373531,10.600781,10.754285000000001,10.975284,11.22538,11.861825999999999
