순번_정류장ID,48-2802586,49-2802584,50-2802577,51-2802572,52-2802561,53-2802550,54-2802363,55-2802488,56-2802472,57-2802448,58-2802421,59-2802407,60-2802398,61-2802396,62-2802394,63-2802892,64-2802866,65-2802841,66-2802821,67-2802787,68-2802771,69-2802758,70-2802724,71-2802732,72-2802739,73-2802733,74-2802706,75-2802710,76-2802716,77-2802726,78-2802725,79-2802735,80-2802761,81-2806905,82-2803118,83-2803111,84-2803105,85-2803087,86-2802652,87-2803060,88-2803059,89-2803057,90-2805950,91-2800369
59-2802407,,,,,,,,,,,,0,0.675958,1.129089,1.549233,2.134236,2.567012,2.818077,2.978868,3.319758,3.6139650000000003,3.858219,4.330375,4.707546,4.971758,5.215194,5.63214,6.165708,6.427957,6.4999720000000005,6.964335,7.406805,7.852258,8.546602,8.60885,8.897272000000001,9.07923,9.118478,9.040842,9.387891,9.624956,9.811758,10.131637,10.835258
60-2802398,,,,,,,,,,,,,0,0.45813100000000007,0.8782760000000001,1.463278,1.8960540000000001,2.147119,2.3079110000000003,2.6488009999999997,2.9430080000000003,3.187262,3.659418,4.036588,4.300801,4.544236,4.961182,5.494751,5.757000000000001,5.832014,6.291378,6.7348479999999995,7.182301,7.875644,7.937892999999999,8.227314,8.408273,8.44852,8.369885,8.716934,8.953999000000001,9.140801,9.46068,10.162301
61-2802396,,,,,,,,,,,,,,0,0.423145,1.008147,1.440923,1.691988,1.8527799999999999,2.19367,2.487877,2.7321310000000003,3.204287,3.581457,3.8456699999999997,4.089105,4.506051,5.039619999999999,5.301869,5.373883,5.839247,6.282717,6.72617,7.419513,7.481762,7.772183,7.953142,7.992389999999999,7.913753999999999,8.261803,8.498868,8.68667,9.005549,9.70717
62-2802394,,,,,,,,,,,,,,,0,0.5870029999999999,1.019779,1.270844,1.4316360000000001,1.7725259999999998,2.066733,2.310987,2.783142,3.160313,3.424526,3.667961,4.084907,4.618476,4.880725,4.953739,5.418101999999999,5.861573,6.305026,6.999369000000001,7.061617999999999,7.351039,7.532997,7.571244999999999,7.494610000000001,7.840658,8.077722999999999,8.265526,8.585405,9.286026
63-2802892,,,,,,,,,,,,,,,,0,0.44677700000000004,0.6978409999999999,0.858633,1.199523,1.49373,1.737984,2.21014,2.58731,2.851523,3.094958,3.5119050000000005,4.045473,4.307722,4.381737,4.8451,5.28857,5.8270230000000005,6.44568,6.488615,6.778036999999999,6.9579949999999995,6.999242999999999,6.920607,7.267656,7.504721000000001,7.691522999999999,8.010402000000001,8.713023
64-2802866,,,,,,,,,,,,,,,,,0,0.251065,0.411857,0.752747,1.0469540000000002,1.291208,1.763363,2.140534,2.404747,2.648182,3.065128,3.598697,3.8609459999999998,3.9359599999999997,4.398323,4.841794,5.380247,5.9989040000000005,6.0418389999999995,6.331259999999999,6.512218,6.5514660000000005,6.473831,6.820880000000001,7.057945,7.245747,7.564626,8.268247
65-2802841,,,,,,,,,,,,,,,,,,0,0.16079200000000002,0.501682,0.7958890000000001,1.040143,1.512299,1.8894689999999998,2.153682,2.3971169999999997,2.814064,3.347632,3.6098809999999997,3.6838949999999997,4.144259,4.587729,5.130182,5.746839,5.7897739999999995,6.080195,6.260154,6.300402,6.222766,6.569814999999999,6.8068800000000005,6.993682000000001,7.313561,8.017182
66-2802821,,,,,,,,,,,,,,,,,,,0,0.34089,0.635097,0.879351,1.351507,1.728677,1.99289,2.236325,2.6532720000000003,3.18684,3.449089,3.522104,3.984467,4.427937,4.96739,5.588047,5.628982,5.920404,6.1003620000000005,6.14061,6.062974,6.408023,6.645088,6.832889999999999,7.1537690000000005,7.855389999999999
67-2802787,,,,,,,,,,,,,,,,,,,,0,0.296207,0.540461,1.012617,1.389787,1.6540000000000001,1.8974349999999998,2.314382,2.84795,3.110199,3.183214,3.6445769999999995,4.089047,4.6305,5.248157,5.290092,5.580514,5.762472,5.79972,5.722084,6.069133,6.3071980000000005,6.495,6.813878999999999,7.5165
68-2802771,,,,,,,,,,,,,,,,,,,,,0,0.244254,0.71941,1.0965799999999999,1.360793,1.604228,2.021175,2.554743,2.816992,2.891007,3.3513699999999997,3.79484,4.573293,4.95495,4.996885,5.286307,5.467265,5.506513,5.428877,5.775926,6.012991,6.200793,6.520672,7.223292999999999
69-2802758,,,,,,,,,,,,,,,,,,,,,,0,0.475156,0.8523270000000001,1.116539,1.359975,1.776921,2.310489,2.572738,2.6447529999999997,3.108116,3.551586,4.33004,4.7106959999999996,4.752631,5.042053,5.224011,5.262258999999999,5.184623,5.532672,5.768737000000001,5.95754,6.275418,6.979039
70-2802724,,,,,,,,,,,,,,,,,,,,,,,0,0.377171,0.6413840000000001,0.884819,1.301765,1.835334,2.097582,2.172597,2.63496,3.078431,3.8568839999999995,4.2355410000000004,4.278476,4.567897,4.748855000000001,4.7881029999999996,4.7104669999999995,5.112516,5.349581,5.482384,5.801263,6.6651169999999995
71-2802732,,,,,,,,,,,,,,,,,,,,,,,,0,0.26621300000000003,0.509648,0.926594,1.4601629999999999,1.7224119999999998,1.7954259999999997,2.25779,2.70126,3.4817129999999996,3.8613699999999995,3.9033050000000005,4.193726,4.373685,4.412933,4.335297,4.737346,4.974411,5.107213,5.427092,6.331713
72-2802739,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24443499999999999,0.661382,1.19495,1.457199,1.5312139999999999,1.9935770000000002,2.437047,3.2155,3.594157,3.637092,3.926514,4.1074720000000005,4.146719999999999,4.069083999999999,4.471133,4.708198,4.841,5.159879,6.0655
