순번_정류장ID,1-2807634,2-2806815,3-2807449,4-2800722,5-2800307,6-2800758,7-2800744,8-2807056,9-2800799,10-2800804,11-2803056,12-2802651,13-2802638,14-2802667,15-2802631,16-2802668,17-2807082,18-2807083,19-2802718,20-2802712,21-2802708,22-2802731,23-2802755,24-2802776,25-2802813,26-2802853,27-2802903,28-2802942,29-2805766,30-2802438,31-2803517,32-2802427,33-2802466,34-2806692,35-2805389,36-2802541,37-2802547,38-2802552,39-2802564,40-2807041,41-2804851,42-2803664,43-2804436,44-2806047,45-2807360,46-2807168,47-2806724,48-2805770,49-2806725,50-2805822,51-2805054,52-2803769,53-2806756,54-2807087
11-2803056,,,,,,,,,,,0,0.491658,0.714137,1.275929,1.6852330000000002,1.8030810000000002,1.832587,2.161827,3.398164,3.6166739999999997,4.1861809999999995,4.463044,4.390674,4.801144,5.268088,5.510941000000001,5.992155,6.293722,8.359210000000001,8.551587,8.864867,9.552779,9.945075,10.102069,9.834353,10.116298,10.296365,10.475877,10.887698,11.239171,12.0489,12.974416,13.816438,14.670603,14.940798999999998,15.308048000000001,15.698049,15.605892,15.399020000000002,15.165141,14.556213,14.304715,14.441779,13.953588
12-2802651,,,,,,,,,,,,0,0.222479,0.7842720000000001,1.193575,1.442423,1.471929,1.8011689999999998,3.036506,3.255016,3.8255230000000005,4.100386,4.031016,4.438486,4.90543,5.1492830000000005,5.630497,5.933064,7.998552,8.188929,8.506209,9.193121000000001,9.583416999999999,9.744411,9.472695,9.75464,9.937707000000001,10.116219000000001,10.52704,10.877513,11.688242,12.482758,13.324779999999999,14.177945000000001,14.450142000000001,14.816391000000001,15.205391,15.115234,14.906362,14.674482999999999,14.065554999999998,13.812057000000001,13.949121,13.46093
13-2802638,,,,,,,,,,,,,0,0.561793,0.971096,1.245957,1.511451,1.8406900000000002,3.110127,3.328636,3.899143,4.175006,4.104637,4.512106,4.97905,5.221904,5.703118,6.006684,8.071173,8.26455,8.577829,9.268742,9.658038000000001,9.816032,9.548316,9.83026,10.010327,10.188839999999999,10.60166,10.951134,11.761861999999999,12.260278999999999,13.101301,13.956466,14.226663,14.594911999999999,14.981912,14.893754999999999,14.683882999999998,14.451004000000001,13.842076,13.589578,13.724642000000001,13.238451000000001
14-2802667,,,,,,,,,,,,,,0,0.409304,0.686164,0.951658,1.2808979999999999,2.7482349999999998,2.965745,3.5362519999999997,3.811114,3.7407449999999995,4.149215,4.617158,4.860012,5.341226,5.6437919999999995,7.709281,7.900658,8.216937,8.90385,9.295146,9.454139999999999,9.183424,9.465368,9.647436,9.824948,10.236769,10.588242,11.40097,12.206171000000001,13.048193,13.901357999999998,14.173554000000001,14.539803,14.928804000000001,14.838647,14.629775,14.397896,13.788967999999999,13.535470000000002,13.671534,13.184343
15-2802631,,,,,,,,,,,,,,,0,0.276861,0.542354,0.8715940000000001,2.337931,2.556441,3.126948,3.401811,3.3314410000000003,3.739911,4.207855,4.449708,4.931922,5.234489,7.299977,7.490353999999999,7.807633999999999,8.495546000000001,8.884841999999999,9.044836,8.77512,9.056065,9.238132,9.416644,9.828465,10.178938,10.989666999999999,12.224183,13.065205,13.91937,14.192567000000002,14.558816,14.947816,14.856659,14.647787,14.416908,13.807979999999999,13.554482,13.696163,13.593646
16-2802668,,,,,,,,,,,,,,,,0,0.269494,0.598733,2.065071,2.2835799999999997,2.854088,3.12895,3.058581,3.46705,3.934994,4.176848000000001,4.6590620000000005,4.960628,7.026117,7.217494,7.532773,8.222686,8.612982,8.771975999999999,8.50226,8.785204,8.967271,9.143784,9.555605,9.908078,10.717806,11.952322,12.794344,13.647509,13.918706,14.284954999999998,14.674954999999999,14.585799,14.374927,14.143047,13.535119,13.281622,13.425303,13.623494
17-2807082,,,,,,,,,,,,,,,,,0,0.33924,1.806577,2.0240869999999997,2.594594,2.8704560000000003,2.800087,3.208557,3.6755,3.918354,4.400568,4.7031339999999995,6.7676229999999995,6.957999999999999,7.276279,7.962192,8.353488,8.513482000000002,8.242766,8.523710000000001,8.706778,8.88529,9.296111,9.646583999999999,10.457312,11.692829,12.533851,13.389016,13.661211999999999,14.027460999999999,14.416460999999998,14.324304999999999,14.116432999999999,13.883554,13.274625,13.021128,13.163809,13.364
18-2807083,,,,,,,,,,,,,,,,,,0,1.4673379999999998,1.685847,2.256354,2.531217,2.4608470000000002,2.8693169999999997,3.3372610000000003,3.5791150000000003,4.060328,4.362895,6.428383,6.6197610000000005,6.936039999999999,7.623952,8.014249000000001,8.173242,7.902527,8.184471,8.366538,8.545050999999999,8.955871,9.307345,10.118072999999999,11.352589,12.194611,13.047775999999999,13.319973000000001,13.686222,14.075222,13.985064999999999,13.776193,13.544314000000002,12.935386,12.681888,12.82357,13.021761
19-2802718,,,,,,,,,,,,,,,,,,,0,0.21850999999999998,0.789017,1.152967,1.41251,1.8209799999999998,2.288923,2.531777,3.012991,3.3155580000000002,5.3810459999999996,5.572423000000001,5.888701999999999,6.576614999999999,6.966911,7.126905000000001,6.855189,7.138134,7.319201,7.497713,7.909534,8.260007,9.070735,10.306252,11.147274000000001,12.001439,12.273635,12.638884,13.028885,12.938728,12.729856,12.496977000000001,11.889049,11.636550999999999,11.777232000000001,11.976424
20-2802712,,,,,,,,,,,,,,,,,,,,0,0.570508,0.934458,1.194001,1.60247,2.069414,2.312268,2.793482,3.097048,5.161537,5.351914,5.669193,6.356106,6.746402000000001,6.906396000000001,6.63668,6.917624000000001,7.099691,7.277203999999999,7.691025,8.041497999999999,8.851225999999999,10.086742,10.927764999999999,11.781930000000001,12.054126,12.419375,12.808375,12.718219,12.509347,12.278467,11.670539,11.417042,11.557723,11.754914
