순번_정류장ID,1-2803221,2-2807330,3-2805699,4-2805701,5-2807440,6-2806806,7-2805975,8-2803158,9-2807014,10-2805505,11-2805506,12-2807016,13-2805507,14-2806531,15-2807017,16-2807019,17-2807021,18-2805467,19-2806561,20-2807023,21-2806563,22-2805480,23-2805481,24-2803760,25-2806556,26-2807429,27-2806558,28-2805186,29-2805187,30-2805516,31-2805470,32-2806564,33-2806802,34-2803678,35-2803679,36-2805705
20-2807023,,,,,,,,,,,,,,,,,,,,0,0.76873,1.0326,1.5297459999999998,1.944163,2.406152,2.947115,3.156988,3.375546,3.8256050000000004,4.410959,4.879378,5.2119860000000005,5.484343,5.888376,6.1753480000000005,7.507781
21-2806563,,,,,,,,,,,,,,,,,,,,,0,0.26687,0.7640170000000001,1.178433,1.640423,2.1813849999999997,2.391259,2.6088169999999997,3.058875,3.64523,4.113649,4.447255999999999,4.718614,5.122647,5.408619,6.741051
22-2805480,,,,,,,,,,,,,,,,,,,,,,0,0.502147,0.9165629999999999,1.3785530000000001,1.9185150000000002,2.128388,2.346947,2.797005,3.38236,3.850779,4.184386,4.455744,4.860777,5.146749,6.479181
23-2805481,,,,,,,,,,,,,,,,,,,,,,,0,0.414417,0.8764059999999999,1.416368,1.626242,1.8448,2.294859,2.880213,3.348632,3.68224,3.9535970000000002,4.358630000000001,4.644602,5.978035
24-2803760,,,,,,,,,,,,,,,,,,,,,,,,0,0.46198999999999996,1.001952,1.211825,1.430384,1.8804419999999997,2.465796,2.934216,3.267823,3.5391809999999997,3.944214,4.230185,5.562618
25-2806556,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5399619999999999,0.749836,0.9683940000000001,1.418452,2.003807,2.472226,2.8058330000000002,3.077191,3.482224,3.768196,5.101628
26-2807429,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.357633,0.576191,1.026249,1.611604,2.080023,2.41363,2.684988,3.090021,3.374993,4.708425
27-2806558,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.218558,0.668617,1.253971,1.722391,2.0559979999999998,2.327356,2.732389,3.01836,4.350793
28-2805186,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.450059,1.035413,1.503832,1.8374400000000002,2.108797,2.51383,2.7988020000000002,4.132235
29-2805187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.586354,1.0547739999999999,1.3883809999999999,1.6597389999999999,2.064772,2.349743,3.683176
30-2805516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46842,0.802027,1.073385,1.478417,1.7633889999999999,3.096822
31-2805470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.33360700000000004,0.604965,1.009998,1.29597,2.6294020000000002
32-2806564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.271358,0.676391,0.961363,2.294795
