순번_정류장ID,1-2802588,2-2802586,3-2802584,4-2802575,5-2802567,6-2802553,7-2802543,8-2802364,9-2802548,10-2802290,11-2802292,12-2802287,13-2802283,14-2802280,15-2802281,16-2802270,17-2802262,18-2802238,19-2802226,20-2802222,21-2802192,22-2802185,23-2802169,24-2802154,25-2801846,26-2802103,27-2802052,28-2801847,29-2801990,30-2801952,31-2801805,32-2801799,33-2801777,34-2801772,35-2801775,36-2801789,37-2801796,38-2800812,39-2800808,40-2800802,41-2800807,42-2804926,43-2800773,44-2800760,45-2800741,46-2800725,47-2800691,48-2800684,49-2800676,50-2800667,51-2800657,52-2800340,53-2800624,54-2800619,55-2806214,56-2806242,57-2806244,58-2801157,59-2801155,60-2801151,61-2801149,62-2801324,63-2801332,64-2801379,65-2801433,66-2801474,67-2801464,68-2801178,69-2801179,70-2801439,71-2801180,72-2801495,73-2801506,74-2801512,75-2801523,76-2801563,77-2801598,78-2801623,79-2801653,80-2801676,81-2801186,82-2801710,83-2801727,84-2801741,85-2801750,86-2801755,87-2801765
11-2802292,,,,,,,,,,,0,0.35933000000000004,0.5865560000000001,1.075084,1.486418,1.9445810000000001,2.154142,2.561448,2.847714,3.2907559999999996,4.8719589999999995,5.069996,5.703576,6.122980999999999,6.52536,6.822533999999999,7.298071,7.56672,7.875125,8.370635,8.715198,8.911692,9.257274,9.236908,8.878805,8.638616,8.705239,9.134857,9.5613,9.85467,10.80767,11.143573,11.424188000000001,11.694472,11.988838000000001,12.269822,12.671762,12.901825,13.21204,13.549976000000001,13.724976000000002,14.015132000000001,14.556619,14.840016,15.301739999999999,15.543887,15.856725,15.870095999999998,15.589439000000002,15.303145,14.853051,14.509547,14.355120000000001,13.992325,13.480141,13.137426000000001,13.385441,13.581928,13.643585999999999,13.559743,13.014823,12.818723,13.055987,13.168120000000002,12.905499,12.46772,12.30217,12.050034,11.878161,11.513174000000001,11.113626,10.880734,10.633979,10.34817,9.968735,9.594986,9.220336
12-2802287,,,,,,,,,,,,0,0.227226,0.715755,1.183088,1.585251,1.7948119999999999,2.2021189999999997,2.488385,2.9314270000000002,4.560291,5.4293260000000005,5.609907,6.029313,6.431691000000001,6.728866,7.203403,7.472052000000001,7.780457000000001,8.275967,8.783529,9.142023,9.615603,9.597238,9.239135000000001,8.997946,9.063568,9.493186999999999,9.92163,10.213999000000001,11.166999,11.502902,11.784517,12.053802000000001,12.347167,12.629151,13.031091,13.260155,13.570369,13.910306,14.083305,14.373460999999999,14.917948999999998,15.199345999999998,15.660070000000001,15.902216000000001,16.214055,15.775428,15.493770000000001,15.208476000000001,14.758382999999998,14.414879,14.260451000000002,13.898657,13.385473000000001,13.042758000000001,13.290772,13.487259,13.548917000000001,13.465075,12.920155000000001,12.724055,12.961319,13.073450999999999,12.811831,12.373052000000001,12.207500999999999,11.955364999999999,11.783493,11.418505999999999,11.018958,10.786066,10.539311,10.708499,10.328064999999999,9.955316,9.579666
13-2802283,,,,,,,,,,,,,0,0.48852799999999996,0.9558620000000001,1.358025,1.5675860000000001,1.974893,2.261159,2.7042,4.333064,5.437101999999999,5.382681,5.802086,6.204465,6.501639,6.977175999999999,7.244825,7.553230999999999,8.049741000000001,8.557303,8.914797,9.521171,9.776536,9.465361,9.223172,9.291794,9.721413,10.148856,10.441225,11.395225,11.729128999999999,12.010744,12.282028,12.574392999999999,12.855377,13.258318,13.489381,13.797595999999999,14.137532,14.311532000000001,14.600688,15.146175,15.427572,15.888295999999999,16.132442,16.343719,15.548201999999998,15.268544,14.98225,14.533156,14.188653,14.035225,13.671429999999999,13.158247,12.816531,13.063546,13.261033,13.322691,13.238848999999998,12.692929,12.497829,12.735092,12.846225,12.584605,12.145826,11.980275,11.729139,11.556267,11.192279,10.792731,10.55984,10.312085,10.517275,10.556291,10.181542,9.806892
14-2802280,,,,,,,,,,,,,,0,0.46833400000000003,0.9284969999999999,1.138058,1.5453649999999999,1.8316310000000002,2.274673,3.9035370000000005,5.007574,4.9531529999999995,5.372559,5.774937,6.072112000000001,6.547648000000001,6.816298,7.124703,7.620213000000001,8.127775,8.486269,9.092642999999999,9.348009,9.173383,8.932194,8.997816,9.428435,9.855878,10.147247,11.102247,11.436150999999999,11.720766000000001,11.98805,12.281414999999999,12.563399,12.96534,13.195403,13.506618,13.844554,14.018554,14.30771,14.852197,15.134594,15.595317999999999,15.838464000000002,15.916191,15.119674,14.839016,14.551722,14.103629000000002,13.758125,13.604697,13.241903,12.729719000000001,12.387004,12.635017999999999,12.831505,12.893163000000001,12.809321,12.264401,12.068301,12.305564,12.417697,12.155077,11.717298,11.551747,11.299611,11.127739,10.762752,10.363204,10.130312,9.883557000000001,10.086747,10.262313,9.887564,9.513914
15-2802281,,,,,,,,,,,,,,,0,0.460163,0.669724,1.0770309999999998,1.363297,1.806339,3.435203,4.53924,4.484819,4.904225,5.306603,5.603778,6.078314,6.346964,6.655369,7.150879,7.658441000000001,8.016935,8.623308999999999,8.877675,8.704049000000001,8.462860000000001,8.529482000000002,8.960101,9.387544,9.680913,10.634913000000001,10.969816999999999,11.251432000000001,11.519716,11.814081,12.094064999999999,12.498006,12.729069,13.037284,13.376220000000002,13.55122,13.838376,14.384863000000001,14.66726,15.126984,15.368129999999999,15.445857,14.65034,14.368682000000002,14.082388,13.634295000000002,13.288791,13.135363,12.772569,12.260385000000001,11.91767,12.165683999999999,12.362171,12.423829,12.339986999999999,11.795067,11.598967,11.83623,11.948363,11.685742999999999,11.247964,11.082413,10.830277,10.658405,10.293417999999999,9.89387,9.660978,9.415223,9.617414,9.794979,9.41923,9.045580000000001
16-2802270,,,,,,,,,,,,,,,,0,0.20956100000000003,0.6178680000000001,0.904134,1.347176,2.9760400000000002,4.080076999999999,4.025657,4.445062,4.847441000000001,5.144615,5.619152,5.888801,6.196206,6.692716000000001,7.199278,7.557772999999999,8.163146000000001,8.418512,8.246886,8.004697,8.07132,8.501938,8.927381,9.221751,10.17475,10.509654,10.793269,11.062553,11.353919,11.636903,12.036843,12.269906,12.579121,12.918057000000001,13.092057,13.380213000000001,13.9257,14.208097,14.668821,14.911968,14.988695000000002,14.192177,13.90952,13.624226,13.174132,12.831628,12.676200999999999,12.313406,11.801222000000001,11.459507,11.706522,11.903008,11.964667,11.880824,11.335904,11.139804,11.377068,11.491201,11.22658,10.789800999999999,10.625250999999999,10.372114,10.200242,9.834255,9.434707000000001,9.203814999999999,8.955060000000001,9.159251,9.334816,8.963067,8.588417
17-2802262,,,,,,,,,,,,,,,,,0,0.40830700000000003,0.694573,1.137615,2.766479,3.8705160000000003,3.816096,4.235501,4.637879,4.935054,5.409591000000001,5.67824,5.986644999999999,6.4821550000000006,6.989717,7.348211999999999,7.953585,8.209951,8.036325,7.795136,7.862759,8.292377,8.71882,9.01119,9.964189,10.301093,10.582708,10.850992,11.145357,11.425341,11.829282000000001,12.059345,12.367560000000001,12.707496,12.882496000000002,13.171651999999998,13.716139000000002,13.995535999999998,14.458260000000001,14.700407,14.777134,13.980616,13.699957999999999,13.415664999999999,12.966571,12.620067,12.46664,12.103845,11.592661,11.248946,11.496961,11.693447,11.755106,11.671263,11.126342999999999,10.930242999999999,11.167507,11.280639,11.017019,10.58024,10.41469,10.161553,9.989681,9.625694000000001,9.226146,8.992253999999999,8.745499,8.949689999999999,9.125255000000001,8.753506,8.375856
18-2802238,,,,,,,,,,,,,,,,,,0,0.28826599999999997,0.731308,2.360172,3.464209,3.409789,3.829194,4.231573,4.528747,5.004283999999999,5.271933,5.580337999999999,6.075848000000001,6.583410000000001,6.941905,7.548278,7.803644,7.925018,7.683828999999999,7.749452000000001,8.180069999999999,8.606513,8.898883,9.852883,10.187786000000001,10.470400999999999,10.739685,11.033050999999999,11.314035,11.715975,11.947038000000001,12.257253,12.595189,12.769189,13.058345,13.602832000000001,13.884229000000001,14.345953,14.5881,14.372827,13.575308999999999,13.295651999999999,13.008358,12.559264,12.21476,12.060333,11.698538000000001,11.186354,10.843639,11.090653999999999,11.287139999999999,11.348799,11.264956,10.720036,10.523936,10.7612,10.875333,10.612712,10.173933,10.008383,9.755246000000001,9.584374,9.219387,8.819839,8.585947,8.339192,8.544383,8.922817,8.639199000000001,8.266549000000001
19-2802226,,,,,,,,,,,,,,,,,,,0,0.443042,2.0719060000000002,3.175943,3.121523,3.540928,3.943307,4.240481,4.715018,4.983667,5.292073,5.787582,6.295145,6.653639,7.260012,7.515378,7.701752000000001,7.4605630000000005,7.529186,7.959803999999999,8.384247,8.676617,9.719617,10.053519999999999,10.337135,10.60642,10.899785000000001,11.180769,11.582709,11.813772,12.122987,12.460923,12.635923,12.925079,13.469566,13.750963,14.149545999999999,14.369833999999999,14.083560999999998,13.287044,13.005386,12.721092,12.271998,11.927495,11.773067,11.410272,10.898088000000001,10.555373,10.803388,10.998875,11.060533,10.97669,10.43177,10.235669999999999,10.472934,10.586067,10.323446,9.885667,9.719117,9.467981,9.296109,8.931121000000001,8.531573,8.298681,8.051926,8.255117,8.635551,8.370933,7.996283
20-2802222,,,,,,,,,,,,,,,,,,,,0,1.6308639999999999,2.734902,2.6804810000000003,3.099886,3.502265,3.799439,4.273976,4.542625,4.851031,5.346541,5.854103,6.212597,6.818971,7.073336,7.262711,7.021522,7.088144000000001,7.518763000000001,7.945206,8.237575,9.278575,9.613478,9.895093,10.165378,10.458743,10.739727,11.142667,11.371731,11.681944999999999,12.020882,12.195882000000001,12.483037,13.029525,13.310922,13.709504,13.926792,13.642519,12.845002000000001,12.566344,12.27905,11.830956,11.485453,11.332025,10.96923,10.457046,10.114331,10.362346,10.557833,10.619491,10.535649000000001,9.990729,9.794628999999999,10.031892,10.144025,9.882405,9.444626,9.278075,9.026939,8.855067,8.489078999999998,8.090531,7.85664,7.609884,7.814075,8.193508999999999,7.928891999999999,7.555242
21-2802192,,,,,,,,,,,,,,,,,,,,,0,1.1040379999999999,1.049617,1.4690219999999998,1.8714009999999999,2.168575,2.643112,2.9117610000000003,3.220167,3.715677,4.2232389999999995,4.581733,5.187107,5.442472,5.6318470000000005,5.390658,5.45728,5.885899,6.312342,6.604711,7.654711,7.990614,8.273228999999999,8.542514,8.834878999999999,9.116863,9.518804,9.747867,10.058081,10.397018,10.572018,10.860173,11.404661,11.687058,12.077639999999999,12.294928,12.011655000000001,11.215138,10.93448,10.648186,10.199092,9.854589,9.701161,9.338366,8.826183,8.483467,8.731482000000002,8.926969,8.988627000000001,8.904785,8.359865,8.163765,8.401028,8.514161,8.251541,7.813762,7.648211,7.396075,7.224203,6.859215,6.459667,6.226776,5.980021,6.183211,6.563644999999999,6.2980279999999995,5.923378
22-2802185,,,,,,,,,,,,,,,,,,,,,,0,0.64958,1.068985,1.471364,1.7685380000000002,2.243075,2.511724,2.820129,3.315639,3.8232019999999998,4.181696,4.787069,5.018912,4.659809,4.41962,4.487243,4.916861,5.342304,5.6346739999999995,6.5896740000000005,6.9255770000000005,7.207192,7.475476,7.769842,8.051826,8.453766,8.683829,8.993044,9.33198,9.505980000000001,9.796136,10.340622999999999,10.62102,11.082744,11.325891,11.610617999999999,10.8141,10.533443,10.247149,9.798055,9.453551,9.300124,8.937329,8.425145,8.08243,8.330445,8.526932,8.58859,8.504747,7.959827000000001,7.763727,8.000991,8.113124000000001,7.850503,7.412724000000001,7.247174,6.995038,6.8231649999999995,6.458178,6.05863,5.825737999999999,5.578983,5.7821739999999995,5.749739,5.37699,5.00234
23-2802169,,,,,,,,,,,,,,,,,,,,,,,0,0.41940600000000006,0.8217840000000001,1.118959,1.594495,1.863145,2.17055,2.66606,3.1746220000000003,3.533116,4.137490000000001,4.392856,4.58223,4.342041,4.407662999999999,4.839282,5.262725,5.556094,6.661094,6.996997,7.281613,7.550897,7.844262,8.125246,8.526187,8.75825,9.068465,9.407401,9.580401,9.867557000000001,10.413044000000001,10.696441,11.028024,11.246311,10.963038000000001,10.167521,9.885863,9.599569,9.149476,8.805972,8.651544,8.28975,7.776566000000001,7.43385,7.681864999999999,7.8783520000000005,7.940010000000001,7.855167999999999,7.310248,7.115148,7.352411,7.464544,7.202924,6.7651449999999995,6.598594,6.346458,6.174586,5.8095989999999995,5.410051,5.177159,4.931404,5.134594,5.515029,5.249411,4.873761
24-2802154,,,,,,,,,,,,,,,,,,,,,,,,0,0.402379,0.699554,1.1740899999999999,1.44274,1.7511450000000002,2.246655,2.7542169999999997,3.112711,3.718085,3.974451,4.160825,3.921636,3.988258,4.418876999999999,4.84532,5.137689,6.243689,6.576592,6.861208,7.131492,7.424857,7.704841,8.106782,8.334845,8.648060000000001,8.982996,9.159996000000001,9.447152,9.994639,10.275036,10.610619,10.824906,10.542633,9.747116,9.465458,9.180164,8.731071,8.386567,8.232139,7.869345,7.357161,7.014444999999999,7.262460000000001,7.457947,7.519605,7.435763000000001,6.890842999999999,6.694742999999999,6.9320059999999994,7.045139,6.782519000000001,6.34474,6.179189,5.927053,5.755180999999999,5.390194,4.990645,4.757754,4.510999,4.714189,5.094624,4.829006,4.454356
25-2801846,,,,,,,,,,,,,,,,,,,,,,,,,0,0.297175,0.7717109999999999,1.040361,1.348766,1.8442759999999998,2.3518380000000003,2.710332,3.3157059999999996,3.571072,3.7584459999999997,3.517257,3.5858800000000004,4.014498000000001,4.4409410000000005,4.7333099999999995,5.84131,6.176214,6.456829,6.7281130000000005,7.020478,7.302461999999999,7.704403,7.933466,8.244681,8.582616999999999,8.757617,9.046773,9.589260000000001,9.872657,10.20524,10.422528,10.139254,9.343736999999999,9.063079,8.777785,8.327691999999999,7.982188000000001,7.828760000000001,7.466966,6.953782,6.612067,6.860081,7.055567999999999,7.117226,7.033384,6.488464,6.292364,6.529628,6.6417600000000006,6.3791400000000005,5.941361,5.77681,5.524674,5.352802,4.986815,4.587267,4.354375,4.108619999999999,4.311811,4.692245,4.427626999999999,4.052976999999999
26-2802103,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.475537,0.744186,1.052592,1.548102,2.055664,2.414158,3.0205319999999998,3.275897,3.4642720000000002,3.221083,3.289705,3.7203239999999997,4.146767,4.439136,5.545136,5.881039,6.163654,6.431939,6.7253039999999995,7.0062880000000005,7.410228999999999,7.640292,7.950506,8.286442999999998,8.461443,8.751598,9.297086,9.578483,9.911064999999999,10.128353,9.84308,9.046563,8.766905,8.479611,8.031517,7.686014,7.532586,7.169791,6.657608,6.3148919999999995,6.562907000000001,6.759394,6.821052000000001,6.73721,6.19229,5.99619,6.233453,6.345586,6.082966000000001,5.645187,5.479636,5.2275,5.055628,4.69064,4.291092,4.058201,3.811446,4.014636,4.395071,4.131453,3.7568029999999997
27-2802052,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26864899999999997,0.577055,1.072565,1.580127,1.938621,2.544995,2.800361,2.9887349999999997,2.745546,2.8121680000000002,3.244787,3.66923,3.9615989999999996,5.070599,5.405501999999999,5.688118,5.955401999999999,6.250767,6.531751,6.933692,7.163755,7.47397,7.812906,7.985906,8.277061,8.820549,9.101946,9.436528,9.651816,9.368542999999999,8.573025999999999,8.290367999999999,8.005074,7.5569809999999995,7.211477,7.0580490000000005,6.694255,6.182071,5.839355,6.088369999999999,6.283857,6.345515,6.261673,5.716753,5.520653,5.757916000000001,5.870049,5.608429,5.16965,5.0050989999999995,4.751963,4.581091000000001,4.215104,3.8155550000000003,3.582664,3.3359089999999996,3.5390989999999998,3.9195339999999996,3.6559160000000004,3.2812660000000005
28-2801847,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.308406,0.803916,1.3114780000000001,1.669972,2.2763459999999998,2.531711,2.7200860000000002,2.4788959999999998,2.545519,2.976138,3.4025809999999996,3.69495,4.80095,5.135853,5.418468,5.687753,5.981118,6.262102,6.664042,6.895105,7.20432,7.5432559999999995,7.718255999999999,8.006412,8.550899000000001,8.832296000000001,9.166879,9.384167,9.099894,8.303377000000001,8.023719,7.737425,7.287331,6.943828,6.7894,6.426605,5.914421,5.5707059999999995,5.8197209999999995,6.015208,6.076866000000001,5.993023,5.448104,5.252004,5.489267,5.6024,5.338779,4.902,4.73645,4.484314,4.3114419999999996,3.947454,3.547906,3.3150150000000003,3.068259,3.27045,3.6518839999999995,3.3872660000000003,3.0126169999999997
