순번_정류장ID,1-2806011,2-2805329,3-2806741,4-2805758,5-2805334,6-2805736,7-2805671,8-2805672,9-2806191,10-2806160,11-2805528,12-2806420,13-2806679,14-2806681,15-2806904,16-2805575,17-2805499,18-2805843,19-2805249,20-2805412,21-2804897,22-2806519,23-2805052,24-2804893,25-2805038,26-2804895,27-2805744,28-2806214,29-2806242,30-2806244,31-2801157,32-2806001,33-2805994,34-2805963,35-2800850,36-2800852,37-2800845,38-2800854,39-2800833,40-2801055,41-2801043,42-2801024,43-2801003,44-2800979
24-2804893,,,,,,,,,,,,,,,,,,,,,,,,0,0.38774899999999995,0.66474,1.255002,2.5678509999999997,3.159997,3.472836,4.269353,4.676233,4.872065,5.241281,5.628117,6.112446,6.287694999999999,6.627342,6.980022,7.8279630000000004,8.355531,8.740956,9.107708,9.47567
25-2805038,,,,,,,,,,,,,,,,,,,,,,,,,0,0.277991,0.8682540000000001,2.181103,2.772249,3.0850880000000003,3.8816050000000004,4.288485,4.484317,4.853532,5.240369,5.724698,5.899947,6.239594,6.592274000000001,7.440214999999999,7.967782000000001,8.353207000000001,8.71996,9.087921000000001
26-2804895,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.591263,1.905112,2.496258,2.809097,3.605614,4.012494,4.208325,4.577541,4.964378,5.448707,5.623956,5.963603,6.316283,7.164224000000001,7.691791,8.077216,8.443969000000001,8.81193
27-2805744,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.313849,1.904995,2.217834,3.014351,3.4212309999999997,3.617063,3.986279,4.373115,4.857444,5.032693,5.37234,5.72502,6.572961,7.100528999999999,7.4859539999999996,7.8527059999999995,8.220668
28-2806214,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.591147,0.903985,1.7005029999999999,2.107383,2.303214,2.67243,3.0592669999999997,3.543596,3.7188449999999995,4.058491,4.4111709999999995,5.259113,5.7866800000000005,6.172105,6.538858,6.9068190000000005
29-2806242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.312839,1.109356,1.5162360000000001,1.712068,2.081284,2.468121,2.952449,3.127698,3.467345,3.820025,4.667966000000001,5.195533999999999,5.580959,5.947711,6.315673
30-2806244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.796517,1.203398,1.399229,1.768445,2.155282,2.63961,2.81486,3.154506,3.507186,4.355128,4.882695,5.26812,5.634873000000001,6.002834
31-2801157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.40688,0.602712,0.971928,1.3587639999999999,1.843093,2.0183419999999996,2.357989,2.7106689999999998,3.55861,4.086178,4.471603,4.838355,5.206316999999999
32-2806001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.195832,0.5650470000000001,0.9518840000000001,1.436213,1.6114620000000002,1.951109,2.303789,3.15173,3.679297,4.064722,4.431475,4.799436
33-2805994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.371216,0.758053,1.2423819999999999,1.4176309999999999,1.757277,2.109957,2.9578990000000003,3.485466,3.8708910000000003,4.237644,4.605605000000001
34-2805963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.386837,0.871166,1.0464149999999999,1.386061,1.7387419999999998,2.5866830000000003,3.11425,3.499675,3.866428,4.234389
35-2800850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.484329,0.659578,0.999225,1.351905,2.199846,2.7274130000000003,3.112838,3.4795910000000005,3.847552
36-2800852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.175249,0.519896,0.872576,1.7205169999999999,2.2480849999999997,2.63351,3.0002619999999998,3.3682239999999997
37-2800845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.344647,0.697327,1.545268,2.072836,2.4582599999999997,2.825013,3.192975
38-2800854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35268,1.248622,1.776189,2.161614,2.528367,2.896328
39-2800833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.895942,1.423509,1.808934,2.175687,2.543648
40-2801055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.527568,0.912993,1.2797450000000001,1.647707
41-2801043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.386425,0.753178,1.1211389999999999
42-2801024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.366753,0.734714
43-2801003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.367962
44-2800979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
