순번_정류장ID,37-2802694,38-2802692,39-2802713,40-2802744,41-2802767,42-2802785,43-2802812,44-2802844,45-2802867,46-2802393,47-2802395,48-2802397,49-2802399,50-2802401,51-2802403,52-2802404,53-2802223,54-2802225,55-2802247,56-2802368,57-2802456,58-2802482,59-2802509,60-2802516,61-2802530,62-2802542,63-2802367,64-2802541,65-2802547,66-2802552,67-2802566,68-2802366,69-2802579,70-2802577,71-2802581,72-2802565,73-2802290,74-2802292,75-2802287,76-2802283,77-2802272,78-2802273,79-2802274,80-2802275,81-2802296,82-2801865
47-2802395,,,,,,,,,,,0,0.289177,0.48366400000000004,0.818458,0.9963930000000001,1.202706,1.6521599999999999,1.868009,2.1788819999999998,1.7750419999999998,1.7379470000000001,2.155061,2.392586,2.642974,2.8301790000000002,3.1874599999999997,3.4785739999999996,3.7462190000000004,3.928286,4.105799,4.4150089999999995,4.721716000000001,4.628755,4.299773,4.346072,3.549346,3.4185440000000002,3.6176779999999997,3.977007,4.203233999999999,3.597011,3.242429,3.3565400000000003,3.564032,4.5072160000000006,4.197244
48-2802397,,,,,,,,,,,,0,0.19448800000000002,0.529281,0.707216,0.913529,1.362983,1.578832,1.889705,1.485865,1.4487700000000001,1.865884,2.103409,2.353797,2.541002,2.898283,3.189397,3.457042,3.6391089999999995,3.817622,4.125832,4.433539,4.3395779999999995,4.010596,4.056895,3.260169,3.129367,3.328501,3.6878309999999996,3.915057,3.3078339999999997,2.9532529999999997,3.0673630000000003,3.274855,4.218039,3.908067
49-2802399,,,,,,,,,,,,,0,0.334794,0.512729,0.719042,1.168496,1.3843450000000002,1.6952180000000001,1.2913780000000001,1.254282,1.671397,1.9089209999999999,2.15931,2.346515,2.703795,2.994909,3.262555,3.445622,3.6241339999999997,3.931345,4.2380510000000005,4.145091000000001,3.8161089999999995,3.8624080000000003,3.065681,2.9348799999999997,3.134014,3.493343,3.7205699999999995,3.113347,2.7587650000000004,2.8728759999999998,3.080368,4.023552,3.7135800000000003
50-2802401,,,,,,,,,,,,,,0,0.17793499999999998,0.384248,0.833702,1.0495510000000001,1.599677,1.336483,1.299388,1.716502,1.954027,2.204415,2.36662,2.7239009999999997,3.015015,3.28266,3.465727,3.6412400000000003,3.94945,4.258157,4.165196,3.836214,3.907513,3.1107869999999997,2.9799849999999997,3.1781189999999997,3.5374489999999996,3.764675,3.072553,2.717971,2.8320819999999998,3.039574,3.982758,3.672786
51-2802403,,,,,,,,,,,,,,,0,0.20631300000000002,0.655767,0.871616,1.421743,1.275649,1.2385540000000002,1.6556680000000001,1.8931930000000001,2.143581,2.3067860000000002,2.6640669999999997,2.955181,3.222826,3.405893,3.581406,3.8916160000000004,4.198323,4.105362,3.77638,3.846679,3.049953,2.919151,3.117285,3.4766150000000002,3.6383910000000004,2.894618,2.540037,2.654147,2.861639,3.8048230000000003,3.494851
52-2802404,,,,,,,,,,,,,,,,0,0.449454,0.665303,1.21543,1.139731,1.102635,1.51975,1.757275,2.007663,2.169868,2.527149,2.818263,3.084908,3.266975,3.444487,3.7526980000000005,4.060404,3.9684440000000003,3.6394620000000004,3.710761,2.9140349999999997,2.783233,2.9813669999999997,3.3416959999999998,3.4320779999999997,2.6883049999999997,2.333724,2.447834,2.6553259999999996,3.5985110000000002,3.2885379999999995
53-2802223,,,,,,,,,,,,,,,,,0,0.21584899999999999,0.765976,1.169816,1.386787,1.8039009999999998,2.041426,2.291815,2.57002,2.9273,3.218414,3.535362,3.717429,3.895942,4.203151999999999,4.511858,4.368596,4.039613,3.994913,3.198186,3.067384,3.265518,3.20985,2.982624,2.238851,1.8842700000000001,1.9983810000000002,2.2058720000000003,3.149057,2.839084
54-2802225,,,,,,,,,,,,,,,,,,0,0.550127,0.953967,1.1709379999999998,1.5880530000000002,1.825577,2.075966,2.354171,2.711451,3.002565,3.450211,3.631278,3.80979,4.119,4.336293,4.152747,3.8237650000000003,3.779064,2.982337,2.851536,3.05067,2.994002,2.766775,2.023002,1.668421,1.782532,1.9900240000000002,2.933208,2.623236
55-2802247,,,,,,,,,,,,,,,,,,,0,0.40384000000000003,0.620811,1.0379260000000001,1.27545,1.525839,1.8040439999999998,2.161324,2.452438,2.900084,3.0821509999999996,3.260663,3.5678730000000005,3.786166,3.6026199999999995,3.273638,3.2289369999999997,2.43221,2.301409,2.500543,2.506875,2.279648,1.535875,1.181294,1.295405,1.502897,2.446081,2.136109
56-2802368,,,,,,,,,,,,,,,,,,,,0,0.216971,0.6340859999999999,0.87161,1.121999,1.400204,1.757484,2.048598,2.495244,2.677311,2.854823,3.1640330000000003,3.3823269999999996,3.1987799999999997,2.869798,2.825097,2.0283700000000002,1.8975689999999998,2.095703,2.456032,2.5657419999999997,1.821969,1.467388,1.5814979999999998,1.78899,2.732175,2.422202
57-2802456,,,,,,,,,,,,,,,,,,,,,0,0.41711499999999996,0.6546390000000001,0.905028,1.304233,1.661513,1.9526270000000001,2.400273,2.58134,2.759852,3.0690619999999997,3.2863550000000004,3.102809,2.7738270000000003,2.608126,1.8113990000000002,1.680598,1.878732,2.239061,2.465287,2.03894,1.684359,1.79847,2.005961,2.949146,2.611828
58-2802482,,,,,,,,,,,,,,,,,,,,,,0,0.237525,0.487914,0.8871190000000001,1.244399,1.535513,1.9831590000000001,2.1652259999999997,2.343738,2.650948,2.869241,2.685695,2.356712,2.1910119999999997,1.394285,1.263483,1.462618,1.8219470000000002,2.048173,2.456054,2.101473,2.215584,2.423075,2.688156,2.195713
59-2802509,,,,,,,,,,,,,,,,,,,,,,,0,0.250389,0.649594,1.006874,1.297988,1.745634,1.9277009999999999,2.106213,2.413423,2.631716,2.44817,2.1191880000000003,1.953487,1.15676,1.025959,1.225093,1.584422,1.811649,2.555421,2.338998,2.453109,2.6606,2.4516310000000003,1.9571889999999998
60-2802516,,,,,,,,,,,,,,,,,,,,,,,,0,0.39920500000000003,0.756486,1.0476,1.494245,1.6763119999999998,1.8548240000000003,2.163035,2.381328,2.197781,1.868799,1.9450290000000001,1.148303,1.017501,1.2166350000000001,1.575965,1.803191,2.546964,2.589387,2.7034979999999997,2.910989,2.443174,1.949731
61-2802530,,,,,,,,,,,,,,,,,,,,,,,,,0,0.357281,0.6483949999999999,1.09604,1.2781069999999999,1.455619,1.76383,1.9821229999999999,1.7985759999999997,1.469594,1.563766,1.241167,1.096365,1.294499,1.6538279999999999,1.881055,2.624828,2.8675919999999997,2.981702,3.189194,2.5210369999999998,2.0275950000000003
62-2802542,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.294114,0.7417590000000001,0.9238270000000001,1.1013389999999998,1.409549,1.627842,1.4442959999999998,1.115313,1.209486,0.8868860000000001,0.742084,0.940219,1.299548,1.526774,2.270547,2.6251279999999997,2.940081,3.1475720000000003,2.166757,1.673314
63-2802367,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44764499999999996,0.629713,0.808225,1.116435,1.424142,1.607689,1.284329,1.3785020000000001,1.0559020000000001,0.9111,1.109235,1.468564,1.6957900000000001,2.439563,2.7941439999999997,3.109097,3.316588,2.335773,1.84233
64-2802541,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.183067,0.36058,0.66879,0.976497,1.160043,1.488026,1.6557259999999998,1.503547,1.358746,1.55788,1.917209,2.143436,2.888209,3.24179,3.556742,3.7652339999999995,2.784418,2.2909759999999997
65-2802547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.178513,0.48672299999999996,0.794429,0.9779760000000001,1.305958,1.472659,1.501386,1.540813,1.738947,2.098277,2.325503,3.069276,3.423857,3.7398089999999997,3.9473010000000004,2.9654849999999997,2.472043
66-2802552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31021,0.617917,0.8014640000000001,1.129446,1.2971469999999998,1.3238729999999999,1.718325,1.91746,2.275789,2.503015,3.247788,3.6023690000000004,3.917322,4.124813,3.142998,2.6505549999999998
67-2802566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.315707,0.499254,0.8272360000000001,0.9949370000000001,1.315663,2.0045349999999997,2.2036700000000002,2.561999,2.789225,3.5339980000000004,3.887579,4.202532,4.410023000000001,3.4302080000000004,2.9367650000000003
68-2802366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18354700000000002,0.512529,0.68023,1.477956,2.1668279999999998,2.364963,2.7252919999999996,2.952518,3.6962910000000004,4.050872,4.364825,4.572316000000001,3.591501,3.098058
69-2802579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.32898299999999997,0.496683,1.29341,1.9822819999999999,2.180416,2.539746,2.766972,3.5107449999999996,3.865326,4.1802779999999995,4.38777,3.4069540000000003,2.913512
70-2802577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.167701,0.964427,1.6533,1.851434,2.211763,2.43899,3.182762,3.537344,3.852296,4.059788,3.0789720000000003,2.58553
71-2802581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7977270000000001,1.486599,1.6847330000000003,2.044063,2.271289,3.015062,3.369643,3.684595,3.892087,2.9112709999999997,2.4178290000000002
72-2802565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.689872,0.888007,1.247336,1.4745620000000002,2.2183349999999997,2.572916,2.887869,3.09536,2.114545,1.621102
73-2802290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.19913499999999998,0.5584640000000001,0.78569,1.529463,1.8840439999999998,2.1989970000000003,2.406488,1.425673,0.9322299999999999
74-2802292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35933000000000004,0.5865560000000001,1.330329,1.68491,1.9998619999999998,2.207354,1.226538,0.733096
75-2802287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.227226,0.970999,1.325581,1.6405330000000002,1.848025,1.1472069999999999,0.653764
