순번_정류장ID,1-2807209,2-2807287,3-2803338,4-2803336,5-2803326,6-2803324,7-2803329,8-2803204,9-2803316,10-2803319,11-2803305,12-2802994,13-2803011,14-2803018,15-2803022,16-2803021,17-2802976,18-2802957,19-2802933,20-2802911,21-2802891,22-2802879,23-2802621,24-2802809,25-2802773,26-2802745,27-2802737,28-2805441,29-2802629,30-2802719,31-2802709,32-2802678,33-2802656,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800703,42-2800699,43-2800693,44-2800683,45-2800675,46-2800662,47-2800650,48-2800641,49-2800632,50-2800334,51-2800617,52-2806242,53-2806244,54-2801157,55-2801153,56-2801147,57-2801135,58-2801131,59-2801122,60-2801119,61-2801111,62-2800833,63-2801087,64-2801055,65-2801043,66-2801024,67-2801003,68-2806687,69-2800966
34-2803050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.318348,1.012873,1.206776,1.67593,1.9268439999999998,2.3374580000000003,2.584172,2.988441,3.212857,3.5880019999999995,3.943174,4.265716,4.511043,4.653236,4.923664,5.205513,5.2321089999999995,6.110892,6.423731,7.220248,7.402425,7.640853999999999,7.330614999999999,7.545798,7.986876,8.18495,8.393182000000001,8.918917,9.069489,9.766858000000001,10.108426,10.49385,10.860603,11.216121000000001,11.378675
35-2800814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.694525,0.8884290000000001,1.357583,1.6084969999999998,2.019111,2.265825,2.6700939999999997,2.89451,3.2696549999999998,3.624827,3.947369,4.192696,4.3348889999999995,4.605316999999999,4.887166000000001,4.913762,5.792545,6.105384,6.901901,7.084077000000001,7.321507,7.013267999999999,7.228451,7.6685289999999995,7.866603,8.076835,8.60057,8.751142,9.449511,9.790078999999999,10.175502999999999,10.542256,10.897774,11.060328
36-2800793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.193904,0.663057,0.9139719999999999,1.324586,1.5713,1.975569,2.199985,2.575129,2.930302,3.252843,3.4981709999999997,3.640363,3.910792,4.192641,4.473632,5.352415000000001,5.665254,6.31323,6.4755519999999995,6.713982000000001,6.318743,6.533926,6.974003,7.173078,7.38231,7.907045,8.057617,8.754986,9.095553,9.480978,9.847731,10.203249000000001,10.365803
37-2800785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.469154,0.720068,1.130682,1.3773959999999998,1.781665,2.006081,2.381226,2.736398,3.05894,3.304267,3.4464599999999996,3.7168879999999995,3.998737,4.354465,5.536116000000001,5.848955,6.120326,6.282648,6.520078,6.124839,6.339022,6.7801,6.979174,7.186406,7.713141,7.862713,8.560082000000001,8.90165,9.287074,9.653827,10.010345,10.171899
38-2800766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.250915,0.661529,0.908243,1.3125120000000001,1.536928,1.9120720000000002,2.267245,2.589786,2.835114,2.977306,3.247735,3.529584,3.885311,5.066962999999999,5.379802,5.651173,5.812494999999999,6.049925,5.654686,5.8698690000000004,6.311946,6.509021,6.718253,7.243988000000001,7.39456,8.090929,8.432496,8.817921,9.184674000000001,9.540192,9.702746000000001
39-2800748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41061400000000003,0.657328,1.061597,1.2860129999999999,1.6611580000000001,2.01633,2.3388720000000003,2.5841990000000004,2.7263919999999997,2.99682,3.2786690000000003,3.6343959999999997,4.816048,5.128887000000001,5.400258,5.5625800000000005,5.800009999999999,5.403771,5.6189540000000004,6.060032,6.258106,6.4663379999999995,6.9920729999999995,7.142645,7.840014,8.181582,8.567006,8.933759,9.289277,9.451831
40-2800721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24771500000000002,0.651983,0.8763989999999999,1.251544,1.606716,1.9292580000000001,2.174585,2.316778,2.587206,2.869055,3.224783,4.406434,4.719273,4.989644,5.151967,5.389396,4.995158,5.2103410000000006,5.651418,5.849492,6.058724,6.582459,6.734032000000001,7.4314,7.771967999999999,8.157392999999999,8.524144999999999,8.879664,9.042216999999999
41-2800703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.404269,0.628685,1.003829,1.359002,1.681543,1.926871,2.0690630000000003,2.339492,2.621341,2.977068,4.15872,4.471559,4.74293,4.904252,5.142682,4.982438,5.1966209999999995,5.637698,5.835772,6.045005000000001,6.569739,6.720312,7.417681,7.7592479999999995,8.144673,8.511426,8.866944,9.029498
42-2800699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22441599999999998,0.59956,0.9547329999999999,1.277274,1.522602,1.6647939999999999,1.935223,2.217072,2.5727990000000003,3.754451,4.06729,4.337661,4.499983,4.7384129999999995,5.309174,5.524357,5.965433999999999,6.164509,6.372741,6.784476,6.954047999999999,7.631417,8.159984,8.545409,8.912162,9.26768,9.430234
43-2800693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.375145,0.732317,1.054859,1.300186,1.442379,1.712807,1.9946560000000002,2.350384,3.532035,3.844874,4.116244999999999,4.278568,4.5159970000000005,5.086759,5.302942,5.744019000000001,5.942093,6.151325,6.56106,6.731633,7.410000999999999,7.936569,8.321994,8.689746000000001,9.046265,9.206818
