순번_정류장ID,71-2806940,72-2806941,73-2806942,74-2806943,75-2806944,76-2807134,77-2806945,78-2806957,79-2807608,80-2807164,81-2806946,82-2807137,83-2806947,84-2806948,85-2806949,86-2807147,87-2807148,88-2807149,89-2806951,90-2807138,91-2806973,92-2807139,93-2807409,94-2807123,95-2806891,96-2806890,97-2806888,98-2807293,99-2806886,100-2804580,101-2804213,102-2804211,103-2804209,104-2804207,105-2804205,106-2804204,107-2806290,108-2804202,109-2806292,110-2803609,111-2806232,112-2803608,113-2803607,114-2803606,115-2806297,116-2803616,117-2803853,118-2803850,119-2803617,120-2806299,121-2803618,122-2806300,123-2803600,124-2800273,125-2803601,126-2804331,127-2803581,128-2800271,129-2807150,130-2804581,131-2804582,132-2800267,133-2804032
84-2806948,,,,,,,,,,,,,,0,1.36029,1.9202419999999998,2.778451,3.0322270000000002,3.443047,3.7119440000000004,4.684451,5.011311,5.469663,5.9344269999999995,7.7573490000000005,8.283302,8.859442999999999,9.201605,9.779527,10.141416,10.648561,11.008709,11.497502,11.868867999999999,12.604088,12.835866000000001,13.190170000000002,13.603966,13.857541000000001,14.354494,14.729582,15.058223000000002,15.565432999999999,15.855823000000001,16.409273000000002,16.727671,16.924226,17.320588,17.918058,18.442743,18.709153,19.024353,19.712612,20.171894,20.382620000000003,20.554329,20.813995000000002,21.296443,22.170078,22.498341,22.795296,23.080381,22.741759
85-2806949,,,,,,,,,,,,,,,0,0.559952,1.41816,1.671936,2.082757,2.3516529999999998,3.324161,3.651021,4.109373000000001,4.574137,6.397059,6.923012,7.499153,7.841315,8.419236999999999,8.781125999999999,9.289271000000001,9.649417999999999,10.137212,10.507577000000001,11.243798,11.476576,11.82888,12.243675999999999,12.497251,12.994204,13.369291,13.697932999999999,14.204143,14.496533,15.047982999999999,15.366381,15.564936,15.961298000000001,16.555768,17.081453,17.348863,17.665063,18.352322,18.813604,19.023329999999998,19.196038,19.452704,19.935153,20.810788,21.13905,21.435006,21.72009,21.378467999999998
86-2807147,,,,,,,,,,,,,,,,0,0.858208,1.111984,1.522804,1.7917009999999998,2.764209,3.091069,3.5494209999999997,4.0141849999999994,5.837107,6.36306,6.939201,7.281363000000001,7.859285000000001,8.220174,8.727317999999999,9.088466,9.576260000000001,9.947625,10.684846,10.915624000000001,11.269927000000001,11.682724,11.936299,12.433252,12.808339,13.136981,13.646191,13.938581,14.486031,14.805429,15.003983999999999,15.401345999999998,15.996816,16.521501,16.78791,17.105110999999997,17.79137,18.252651999999998,18.463378,18.633086,18.893752,19.378201,20.250835000000002,20.580098,20.876054,21.159138000000002,20.820516
87-2807148,,,,,,,,,,,,,,,,,0,0.253776,0.664596,0.933493,1.9060009999999998,2.232861,2.6912130000000003,3.155976,4.978899,5.504852,6.080993,6.423155,7.001077,7.362966,7.87011,8.230258000000001,8.719052,9.090417,9.825638,10.057416,10.411719,10.825516,11.079091,11.576044,11.951131,12.279772999999999,12.784983,13.079373,13.628823,13.947220999999999,14.145776000000001,14.544138,15.139607999999999,15.662293,15.928702,16.245903,16.932161999999998,17.395443,17.606170000000002,17.775878,18.033544,18.519993,19.391627,19.71989,20.016845999999997,20.30193,19.961308
88-2807149,,,,,,,,,,,,,,,,,,0,0.410821,0.679717,1.652225,1.9790849999999998,2.437437,2.902201,4.725123,5.251076,5.827217,6.169379,6.747300999999999,7.10819,7.615334,7.975482,8.464276,8.835641,9.570862,9.80264,10.156943,10.570739999999999,10.824314999999999,11.321268,11.696355,12.024997,12.530207,12.822597,13.374047000000001,13.694445000000002,13.892999999999999,14.289361999999999,14.882832,15.409517000000001,15.673926999999999,15.991126999999999,16.677386,17.140667999999998,17.351394,17.521102,17.778768,18.263217,19.136851,19.465114,19.76207,20.047154000000003,19.706532
89-2806951,,,,,,,,,,,,,,,,,,,0,0.268897,1.2414040000000002,1.568265,2.026616,2.49138,4.314303,4.840256,5.416397,5.758558,6.33648,6.6983690000000005,7.205514,7.565662,8.054455,8.425821000000001,9.161042,9.392819,9.747123,10.160919999999999,10.414494,10.911448,11.286535,11.615176,12.122386,12.414776,12.966225999999999,13.284623999999999,13.483179000000002,13.879541,14.475012,14.999695999999998,15.266106,15.583306,16.269565,16.730847,16.941574,17.113282,17.370948000000002,17.855396,18.729031,19.057294,19.354249,19.638334,19.298712
90-2807138,,,,,,,,,,,,,,,,,,,,0,0.972508,1.299368,1.7577200000000002,2.222484,4.045406,4.571358999999999,5.1475,5.489662,6.067584,6.429473000000001,6.936617999999999,7.296766000000001,7.784559,8.156924,8.892145,9.123923,9.478227,9.892023,10.145598,10.641551,11.016638,11.34628,11.85149,12.143880000000001,12.69433,13.016728,13.215283,13.610645000000002,14.206114999999999,14.7288,14.99421,15.31141,15.999669,16.461951000000003,16.670676999999998,16.845385,17.100051,17.5845,18.457135,18.786398000000002,19.083353,19.367437,19.026816
91-2806973,,,,,,,,,,,,,,,,,,,,,0,0.7131770000000001,1.1715280000000001,1.636292,3.459215,3.985168,4.561309,4.903471,5.481392,5.842281,6.349426,6.709574000000001,7.198367999999999,7.569733,8.304953999999999,8.536732,8.891035,9.304832000000001,9.558407,10.05536,10.430447000000001,10.760089,11.266299,11.558689,12.110138000000001,12.428537,12.627092,13.023454,13.618924,14.143609,14.410017999999999,14.727219,15.413478,15.874759,16.085486,16.257194000000002,16.514860000000002,16.999309,17.873943,18.202206,18.499162,18.781246,18.442624
92-2807139,,,,,,,,,,,,,,,,,,,,,,0,0.45835200000000004,0.9231159999999999,2.746038,3.271991,3.848132,4.190294000000001,4.768216000000001,5.131105000000001,5.63825,5.998398,6.487191,6.858556,7.593777,7.8255550000000005,8.179859,8.593655,8.84723,9.344183000000001,9.71927,10.047912,10.555122,10.847512,11.398962,11.717360000000001,11.915915,12.312277,12.907747,13.432432,13.698842,14.014042000000002,14.700301000000001,15.163583,15.374309,15.546017,15.803683,16.288132,17.161767,17.490029999999997,17.786985,18.070069,17.731448
93-2807409,,,,,,,,,,,,,,,,,,,,,,,0,0.464764,2.287687,2.8136400000000004,3.3897809999999997,3.7319419999999996,4.309864,4.672753,5.179898000000001,5.540046,6.028839,6.400205000000001,7.135426,7.367203,7.721507000000001,8.135304,8.388878,8.885832,9.260919,9.58956,10.09677,10.38916,10.940610000000001,11.259008,11.457564,11.853925,12.449396,12.974081,13.24049,13.55769,14.243948999999999,14.705231,14.915957999999998,15.087666,15.345332,15.82978,16.703415,17.031678,17.328633,17.611718,17.273096
