순번_정류장ID,44-2806497,45-2806499,46-2806432,47-2807109,48-2805773,49-2807228,50-2806723,51-2806721,52-2805032,53-2805030,54-2806669,55-2803663,56-2802597,57-2802594,58-2802591,59-2802590,60-2805039,61-2804863,62-2805788,63-2805012,64-2805011,65-2805397,66-2805059,67-2805587,68-2806638,69-2806639,70-2807323,71-2807088,72-2806766,73-2806761,74-2806763,75-2806765,76-2803770,77-2805655,78-2802345,79-2802359,80-2803520,81-2807446,82-2806725,83-2805822
54-2806669,,,,,,,,,,,0,0.7424810000000001,1.275507,1.5094290000000001,1.702525,1.928981,2.321502,2.625109,2.7294810000000003,2.734305,2.6434439999999997,2.547845,2.755609,2.97516,3.341382,3.480488,4.06314,4.133214,3.8041300000000002,3.4749809999999997,3.284469,3.119149,2.739358,2.1748979999999998,2.172192,2.694693,2.3191080000000004,1.9328880000000002,2.232049,2.557928
55-2803663,,,,,,,,,,,,0,0.534027,0.767948,0.961044,1.187501,1.580021,1.883629,1.9880000000000002,1.9928240000000002,2.110538,2.316864,2.524629,2.744179,3.254902,3.3940080000000004,3.9766589999999997,4.047733999999999,3.71665,3.3895,3.198988,3.033668,2.653877,2.089418,2.086712,2.608212,2.2336270000000003,2.034594,2.4944330000000003,2.4724470000000003
56-2802597,,,,,,,,,,,,,0,0.233922,0.427018,0.653474,1.045995,1.349602,1.452974,1.458798,1.576511,1.7828380000000001,1.990602,2.210152,3.205375,3.3444809999999996,3.927133,3.997207,3.667123,3.3399739999999998,3.149461,2.984142,2.603351,2.038891,2.0361849999999997,2.684262,2.766654,2.5676200000000002,3.027459,3.005473
57-2802594,,,,,,,,,,,,,,0,0.193096,0.41955299999999995,0.8120729999999999,1.115681,1.219052,1.224876,1.34259,1.548916,1.7566810000000002,1.976231,2.971454,3.11056,3.692211,3.763286,3.4342019999999995,3.106052,2.91554,2.74922,2.3694290000000002,1.80597,1.803264,2.4513409999999998,2.756926,2.801541,3.261381,3.239395
58-2802591,,,,,,,,,,,,,,,0,0.22645700000000002,0.618977,0.922585,1.026956,1.03178,1.149494,1.35582,1.563585,1.783135,2.778357,2.917464,3.499115,3.5691900000000003,3.240106,2.9129560000000003,2.722444,2.556124,2.176333,1.611874,1.609167,2.257244,2.56183,2.994637,3.454477,3.3740099999999997
59-2802590,,,,,,,,,,,,,,,,0,0.392521,0.696129,0.7995,0.8053239999999999,0.9230379999999999,1.134364,1.3421290000000001,1.561679,2.559902,2.699008,3.2816589999999994,3.3517339999999995,3.02265,2.6935,2.502988,2.337668,1.957877,1.587418,1.5847120000000001,2.232789,2.538374,3.121594,3.581433,3.349554
60-2805039,,,,,,,,,,,,,,,,,0,0.303607,0.406979,0.412803,0.530517,0.741843,0.949608,1.169158,2.381422,2.5205290000000002,3.1021799999999997,3.1732549999999997,2.84417,2.516021,2.325509,2.160189,1.779398,1.978939,1.976232,2.625309,2.879895,3.463114,3.9229540000000003,3.691075
61-2804863,,,,,,,,,,,,,,,,,,0,0.203372,0.548196,0.66591,0.876236,1.085,1.30455,2.603971,2.814879,3.397531,3.472862,3.1437779999999997,2.815628,2.625116,2.459796,2.079005,2.283546,2.28084,2.9289169999999998,3.179502,3.762722,4.222561,3.990682
62-2805788,,,,,,,,,,,,,,,,,,,0,0.34382399999999996,0.461538,0.672864,0.8806290000000001,1.100179,2.401599,2.611508,3.194159,3.5582339999999997,3.229149,2.9019999999999997,2.7104880000000002,2.546168,2.165377,2.386917,2.384211,3.0322880000000003,3.265874,3.849093,4.308933000000001,4.077054
63-2805012,,,,,,,,,,,,,,,,,,,,0,0.11771400000000001,0.32904,0.536805,0.756355,2.058775,2.268684,2.850335,3.21441,2.886326,2.558176,2.367664,2.2013439999999997,1.821553,2.0740939999999997,2.0713880000000002,2.719465,2.92205,3.50527,3.9651089999999996,3.7332300000000003
