순번_정류장ID,45-2803210,46-2803361,47-2803180,48-2803295,49-2803292,50-2803649,51-2803284,52-2803290,53-2803297,54-2803310,55-2805831,56-2803190,57-2807053,58-2805813,59-2805149,60-2807040,61-2806036,62-2807341,63-2807344,64-2806484,65-2807326,66-2805694,67-2805636,68-2806053,69-2806032,70-2806025,71-2805697,72-2805699,73-2805701,74-2805638,75-2806605,76-2806538,77-2803160,78-2805975,79-2803158,80-2803654,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677
55-2805831,,,,,,,,,,,0,0.688301,1.19363,1.9764240000000002,2.479683,2.712845,3.014452,3.6888669999999997,3.9315910000000005,4.25789,5.444559,7.349888000000001,7.7612630000000005,8.139947,8.261517,8.290766,8.483438,9.008324,8.798385000000001,8.849082000000001,9.210457,9.692328999999999,9.297500999999999,8.590475,8.327574,7.9487820000000005,7.526125,7.211755999999999,6.570703,6.235775,5.903523000000001,5.410413
56-2803190,,,,,,,,,,,,0,0.505329,1.288123,1.814382,2.047544,2.349151,3.023566,3.266289,3.5925879999999997,4.779257,6.684587,7.095961999999999,7.474646000000001,7.596216,7.625464999999999,7.818136999999999,8.342023,8.132083999999999,8.183781,8.545156,9.026028,8.6092,7.9021740000000005,7.639272999999999,7.2604809999999995,6.837824,6.523455,5.882402,5.547474,5.215222,4.722112
57-2807053,,,,,,,,,,,,,0,0.782794,1.309053,1.542215,1.843822,2.518237,2.760961,3.0872599999999997,4.273929,6.179258,6.590633,6.969317,7.0908880000000005,7.1201360000000005,7.312808,7.837694,7.626755,7.678452,8.039827,8.520699,8.103871,7.396845,7.1339440000000005,6.755152000000001,6.332495,6.0181260000000005,5.377073,5.042145,4.709894,4.216784
58-2805813,,,,,,,,,,,,,,0,0.5262600000000001,0.759422,1.061029,1.7354439999999998,1.9781669999999998,2.304466,3.491135,5.396465,5.807840000000001,6.1865239999999995,6.3080940000000005,6.337343,6.5300139999999995,7.053901,6.843961999999999,6.895658999999999,7.257033,7.737906,7.401078,6.694052,6.431151,6.0533589999999995,5.771054,5.959333,5.318280000000001,5.252405,5.259345,4.766235
59-2805149,,,,,,,,,,,,,,,0,0.233163,0.5347689999999999,1.209185,1.451908,1.7782069999999999,2.964876,4.870206,5.281581,5.660264,5.781835,5.811083999999999,6.003755,6.528642,6.317703,6.3694,6.730774,7.211646000000001,7.038819,6.331793,6.068891000000001,5.6901,5.408795,5.596074,4.955021,4.8901449999999995,5.222396,5.2924940000000005
60-2807040,,,,,,,,,,,,,,,,0,0.302607,0.977022,1.219746,1.5460450000000001,2.732714,4.638043,5.049418,5.428102,5.549673,5.578921,5.771593,6.295479,6.085541,6.137237,6.4986120000000005,6.979483999999999,6.806657,6.100630000000001,5.837729,5.458937000000001,5.177633,5.364912,4.722859,4.657983,4.990234,5.483344000000001
61-2806036,,,,,,,,,,,,,,,,,0,0.685416,0.9281389999999999,1.254438,2.441107,4.346437,4.757812,5.136495,5.258066,5.287315,5.479986,6.004873,5.794934,5.8466309999999995,6.208005,6.688877000000001,6.67205,6.085024,5.822122,5.444331,5.162026,5.349305,4.709251999999999,4.6423760000000005,4.974627,5.467738
62-2807341,,,,,,,,,,,,,,,,,,0,0.24272399999999997,0.569023,1.7556919999999998,3.661021,4.072396,4.45108,4.57265,4.6018989999999995,4.7945709999999995,5.319457,5.1095180000000004,5.161215,5.52259,6.003462,5.986634,5.45926,5.619839,5.241047,4.9597430000000005,5.147021,4.505968,4.440093,4.772344,5.265454
63-2807344,,,,,,,,,,,,,,,,,,,0,0.326299,1.512968,3.4302980000000005,3.841673,4.220357,4.341927,4.371176,4.563847,5.088734,4.878794999999999,4.930492,5.291866000000001,5.772739,5.755911,5.228537,5.491438,5.195192,4.913887,5.228256,4.748692,4.682816000000001,5.015067,5.508177
64-2806484,,,,,,,,,,,,,,,,,,,,0,1.1866700000000001,3.103999,3.515374,3.8940580000000002,4.0156279999999995,4.044877,4.237549,4.762435,4.552496,4.604193,4.965568,5.44644,5.4296120000000005,4.902238,5.165139,4.868893,4.587589,4.901957,5.075991,5.010115,5.342366,5.835476
65-2807326,,,,,,,,,,,,,,,,,,,,,0,1.91733,2.328705,2.707389,2.8289590000000002,2.8582080000000003,3.050879,3.5757660000000002,3.3658269999999995,3.417524,3.778899,4.259771,4.242943,3.7155690000000003,3.9784699999999997,3.6822239999999997,3.4009199999999997,3.7152879999999997,4.3563410000000005,4.6862699999999995,5.018521,5.5116309999999995
66-2805694,,,,,,,,,,,,,,,,,,,,,,0,0.411375,0.7900590000000001,1.0841969999999999,1.292052,1.484723,2.00961,1.799671,1.8513680000000001,2.212742,2.6936150000000003,2.325614,1.79824,2.061141,1.764894,1.48359,1.7979580000000002,2.4390110000000003,2.76894,3.101191,3.594301
67-2805636,,,,,,,,,,,,,,,,,,,,,,,0,0.378684,0.672822,1.0345030000000002,1.227175,1.747061,1.537123,1.588819,1.9501939999999998,2.431066,1.914239,1.386865,1.649766,1.3535190000000001,1.072215,1.386583,2.027636,2.357565,2.689816,3.1829259999999997
68-2806053,,,,,,,,,,,,,,,,,,,,,,,,0,0.294139,0.65582,0.848491,1.373378,1.163439,1.215135,1.57651,2.057382,1.818846,1.291472,1.554373,1.258127,0.976822,1.291191,1.9322439999999999,2.2621729999999998,2.594424,3.0875340000000002
69-2806032,,,,,,,,,,,,,,,,,,,,,,,,,0,0.361681,0.554353,1.0792389999999998,0.869301,0.920997,1.2823719999999998,1.7632439999999998,2.112984,1.58561,1.848511,1.552265,1.270961,1.585329,2.226382,2.556311,2.888562,3.381672
70-2806025,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.192672,1.0965120000000002,0.8975489999999999,0.9492459999999999,1.3106209999999998,1.791493,2.4746650000000003,1.9472909999999999,2.2101919999999997,1.913946,1.632642,1.94701,2.588063,2.917992,3.250243,3.743353
71-2805697,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.903841,1.0902209999999999,1.141917,1.503292,1.984164,2.667337,2.1399630000000003,2.402864,2.106617,1.8253130000000002,2.139681,2.780734,3.110663,3.442914,3.9360239999999997
72-2805699,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.209939,0.463804,0.8251790000000001,1.306051,1.993223,1.465849,1.72875,2.0285040000000003,1.7472,2.061568,2.7026209999999997,3.03255,3.3648010000000004,3.857911
73-2805701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.253865,0.61524,1.096112,1.783284,1.25591,1.518812,1.8185650000000002,1.537261,1.8516290000000002,2.492682,2.822611,3.154862,3.647972
74-2805638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.361375,0.842247,1.66202,1.307607,1.570508,1.8702619999999999,1.588957,1.9033259999999999,2.544379,2.874308,3.206559,3.699669
75-2806605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.48087299999999994,1.300645,1.668982,1.9318830000000002,2.231637,1.950332,2.2647009999999996,2.905753,3.235682,3.567933,4.061043
