순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2803688,17-2803689,18-2803690,19-2803691,20-2803740,21-2803692,22-2803694,23-2803696,24-2803698,25-2804776,26-2803701,27-2803702,28-2807371,29-2803737,30-2803735,31-2803734,32-2803732,33-2803730,34-2803728,35-2804299,36-2804297,37-2804295,38-2804293,39-2804291,40-2804289,41-2804285,42-2804283
11-2803684,,,,,,,,,,,0,0.40576999999999996,1.1438139999999999,1.6131870000000001,2.256335,2.606993,3.147027,3.378052,4.437913,5.239743,5.468571,5.7575,6.170215,6.544166000000001,6.852017999999999,7.049532000000001,7.293116,7.584977,7.8817580000000005,8.167872000000001,8.609812,8.982717,9.316839,9.670714,10.095647999999999,10.534537,10.755369,11.358785000000001,11.578155,11.959661,12.528692,12.839696
12-2803685,,,,,,,,,,,,0,0.7380439999999999,1.207417,1.850566,2.201223,2.741257,2.972282,4.032143,4.833973,5.062801,5.35173,5.764444999999999,6.138396,6.446248000000001,6.643762,6.887346000000001,7.179207000000001,7.475988,7.7621020000000005,8.204042,8.576947,8.911069,9.264944,9.689878,10.128767,10.3496,10.953014999999999,11.172385,11.553891,12.122922,12.433926
13-2803686,,,,,,,,,,,,,0,0.46937299999999993,1.1125209999999999,1.467179,2.007213,2.238238,3.2980989999999997,4.099929,4.328757,4.617686,5.030401,5.404351999999999,5.712204,5.909718,6.153302,6.445163,6.741944,7.028058000000001,7.4699979999999995,7.842903,8.177024000000001,8.5309,8.955834,9.394722999999999,9.615555,10.218971,10.438341000000001,10.819847,11.388878,11.699882
14-2803687,,,,,,,,,,,,,,0,0.643149,0.997807,1.5378399999999999,1.7688650000000001,2.8287259999999996,3.630556,3.8593839999999995,4.148313,4.561028,4.93498,5.242832,5.440345,5.683929,5.97579,6.272571,6.5586850000000005,7.000625,7.373530000000001,7.707652,8.061527,8.486461,8.925351,9.146183,9.749597999999999,9.968967999999998,10.350474,10.919505000000001,11.23051
15-2804667,,,,,,,,,,,,,,,0,0.354658,0.894692,1.125717,2.185577,2.987407,3.216236,3.5051650000000003,3.917879,4.291831,4.599683,4.797197,5.040781,5.332642,5.629423,5.9155370000000005,6.357476999999999,6.7303820000000005,7.064503,7.418378999999999,7.843311999999999,8.282202,8.503034,9.106449000000001,9.325819000000001,9.707326,10.276356,10.587361
16-2803688,,,,,,,,,,,,,,,,0,0.540034,0.771059,1.830919,2.632749,2.8615779999999997,3.150507,3.563221,3.9371730000000005,4.245025,4.442539,4.686123,4.977983999999999,5.274765,5.560879,6.002819000000001,6.375724,6.709845,7.063721000000001,7.4886539999999995,7.927544,8.148375999999999,8.751791,8.971161,9.352668,9.921698,10.232703
17-2803689,,,,,,,,,,,,,,,,,0,0.231025,1.290886,2.092716,2.321544,2.610473,3.023188,3.397139,3.704991,3.902505,4.146089,4.43795,4.734731,5.020845,5.462785,5.8356900000000005,6.169811,6.523687000000001,6.948621000000001,7.387510000000001,7.6083419999999995,8.211758,8.431128,8.812634,9.381665,9.692669
18-2803690,,,,,,,,,,,,,,,,,,0,1.0598610000000002,1.861691,2.090519,2.379448,2.792163,3.166114,3.4739660000000003,3.6714800000000003,3.915064,4.206925,4.503706,4.78982,5.2317599999999995,5.604665,5.9387870000000005,6.292662,6.717596,7.156485000000001,7.377317999999999,7.980733,8.200103,8.581609,9.15064,9.461644
19-2803691,,,,,,,,,,,,,,,,,,,0,0.80483,1.033658,1.3225870000000002,1.7353020000000001,2.109254,2.417106,2.614619,2.858203,3.150064,3.4468449999999997,3.7329589999999997,4.174899,4.547804,4.881926,5.235801,5.660735,6.099625,6.320457,6.923872,7.143242,7.524748,8.093779,8.404784
20-2803740,,,,,,,,,,,,,,,,,,,,0,0.22882800000000003,0.5177579999999999,0.930472,1.304424,1.612276,1.8097889999999999,2.0533740000000003,2.3452349999999997,2.6420150000000002,2.92813,3.3700699999999997,3.742974,4.077096,4.430972,4.855905,5.294795,5.515626999999999,6.119041999999999,6.338412,6.719919,7.288949000000001,7.599953999999999
