순번_정류장ID,1-2800090,2-2800089,3-2800086,4-2800083,5-2800082,6-2800084,7-2805852,8-2805850,9-2805848,10-2805846,11-2800061,12-2800096,13-2803806,14-2806862,15-2807442,16-2801891,17-2806772,18-2807111,19-2806524,20-2806523,21-2806522,22-2806521,23-2805659,24-2802207,25-2802211,26-2802214,27-2805534,28-2802203,29-2802199,30-2802198,31-2802192,32-2806511,33-2806503,34-2806507,35-2802175,36-2801848,37-2802825,38-2802870,39-2802906,40-2802953,41-2802616,42-2802968,43-2802992,44-2802986,45-2802987,46-2802627,47-2802626,48-2803006,49-2803002,50-2804818,51-2802956,52-2802984,53-2803578,54-2802646,55-2803032,56-2803031,57-2803025,58-2803023,59-2803016,60-2802995,61-2802957,62-2802946,63-2802943,64-2806403
11-2800061,,,,,,,,,,,0,0.6239979999999999,1.8028970000000002,2.5929919999999997,3.562679,3.8164580000000004,4.117033,4.499135,4.839982,5.109902,4.827843,4.648274,5.055994999999999,6.523839,7.1359070000000004,7.576649000000001,7.971357000000001,8.406421,8.54141,8.818595,8.122917999999999,7.12551,7.099844999999999,7.480622,7.8293479999999995,8.109707,8.436481,8.609537,8.918406,9.586333999999999,9.787889999999999,10.017736,10.368122999999999,10.652529,10.512251,10.905349000000001,11.189362,11.580707,11.878772999999999,12.039964999999999,12.244158,12.723207,12.60586,13.003822999999999,13.301526,13.561914999999999,13.733562,13.837110000000001,14.056344000000001,14.037548999999999,13.775583,13.777394000000001,13.973242,13.959254000000001
12-2800096,,,,,,,,,,,,0,1.1809,1.970995,2.940682,3.194461,3.4950349999999997,3.8771379999999995,4.217985,4.488904,4.205845,4.026276,4.433998,5.901842,6.513909,6.954650999999999,7.349359,7.784422999999999,7.9194119999999995,8.196598,7.50092,6.503512000000001,6.477848000000001,6.858625,7.20735,7.487710000000001,7.814483,7.987539,8.296408999999999,8.964336,9.165892,9.395739,9.745125999999999,10.031531,9.890253999999999,10.283352,10.567364999999999,10.95871,11.256776,11.417968,11.622160000000001,12.10121,11.983862,12.381826,12.679528999999999,12.939917,13.111564999999999,13.215113,13.434346,13.415551,13.153585000000001,13.155397,13.351245,13.338257
13-2803806,,,,,,,,,,,,,0,0.790095,1.759782,2.013561,2.314135,2.696238,3.037085,3.308004,3.024946,2.845376,3.253098,4.720942,5.333009,5.773751,6.16846,6.603524,6.738513,7.0156979999999995,6.542021,5.544613,5.586329,5.967105,6.315831,6.596189999999999,6.922964,7.027639999999999,7.337509,8.005436,8.206992999999999,8.437839,8.787225999999999,9.072631,8.931353999999999,9.324452,9.608464999999999,9.99981,10.297875999999999,10.459067999999998,10.663260000000001,11.14231,11.024962,11.422926,11.720628999999999,11.981017,12.152664999999999,12.256213,12.475447,12.524032,12.262066,12.263877,12.459726,12.446738
14-2806862,,,,,,,,,,,,,,0,0.9726870000000001,1.226466,1.527041,1.909143,2.249991,2.644521,2.634421,2.4548520000000003,2.862574,4.330417,4.942485,5.383227,5.777935,6.212999,6.347988,6.625172999999999,5.754926,4.757518,5.179853,5.560630000000001,5.909356,6.1897150000000005,6.521489,6.240545,6.550414,7.218342,7.419898,7.650744,8.000131,8.284537,8.144259,8.537358,8.821371000000001,9.212715,9.510782,9.671973,9.876166,10.355215,10.237867999999999,10.635831,10.933534,11.193923,11.36557,11.469118,11.688352,11.921874,11.859591,11.861402,12.05725,12.456261999999999
15-2807442,,,,,,,,,,,,,,,0,0.253779,0.554354,0.936456,1.402248,1.796778,1.9718360000000001,2.151406,2.63626,3.60216,4.214228,4.65497,5.049678,5.252742,5.387731,5.664916000000001,4.782239,3.7848309999999996,4.207166,4.587943,4.936669,5.217028,5.548801999999999,5.267858,5.577726999999999,6.245655,6.447211,6.6770570000000005,7.027444,7.31285,7.171572,7.56467,7.848683,8.240028,8.538094000000001,8.699286,8.903478999999999,9.382528,9.265181,9.663144,9.960847,10.221236,10.392883,10.496431,10.715665,10.949187,10.886904,10.888715,11.084563000000001,11.483575
16-2801891,,,,,,,,,,,,,,,,0,0.30257399999999995,0.6846770000000001,1.166524,1.5610540000000002,1.7531130000000001,1.932682,2.400537,3.3503809999999996,3.962448,4.40319,4.797899,5.000963,5.135952,5.413137,4.53046,3.5330519999999996,3.9553870000000004,4.336164,4.68489,4.965249,5.297023,5.016079,5.325948,5.993875,6.195432,6.426278,6.775664999999999,7.06007,6.919792999999999,7.3128910000000005,7.596903999999999,7.988249000000001,8.286315,8.447507,8.651699,9.130749,9.013401,9.411365,9.709067999999998,9.969456,10.141103999999999,10.244652,10.463886,10.697407,10.635125,10.636936,10.832784,11.231796000000001
17-2806772,,,,,,,,,,,,,,,,,0,0.39010300000000003,0.87195,1.2664799999999998,1.5465389999999999,1.7261080000000002,2.105963,3.055807,3.667874,4.1086160000000005,4.503325,4.706389,4.841378,5.118563,4.235886,3.2384779999999997,3.6608129999999997,4.04159,4.390315,4.670675,5.002448,4.7215050000000005,5.031374,5.699301,5.900858,6.130704,6.481091,6.765496000000001,6.625219,7.018317,7.30233,7.693675,7.991741,8.152933,8.357125,8.836175,8.718827000000001,9.116791000000001,9.414494,9.674882,9.84653,9.950078,10.169311,10.402833,10.34055,10.342362,10.538210000000001,10.937222
18-2807111,,,,,,,,,,,,,,,,,,0,0.48184799999999994,0.8763780000000001,1.156436,1.336006,1.71586,3.183704,3.795772,4.236514,4.631222,4.946142,5.081131,5.358316,4.475639,3.4782309999999996,3.9005669999999997,4.281343,4.630069000000001,4.910428,5.242202,4.962258,5.271128,5.939055000000001,6.140611,6.371457,6.720845,7.00625,6.864972,7.258071000000001,7.542084,7.933428,8.231494999999999,8.392686,8.596879,9.075928,8.958581,9.356545,9.654247999999999,9.914636,10.086284,10.189831,10.409065,10.642586999999999,10.580304,10.582115,10.777964,11.176976
19-2806524,,,,,,,,,,,,,,,,,,,0,0.39453,0.676589,0.856158,1.305564,2.7734080000000003,3.385475,3.8262169999999998,4.220925,4.655989,4.790978,5.068164,4.957486,3.9600779999999998,4.382414,4.76319,5.111916000000001,5.392275,5.724049,5.444105,5.752975,6.420902,6.622458,6.853305000000001,7.202692,7.488097,7.34682,7.739917999999999,8.023931,8.415275999999999,8.713341999999999,8.874533999999999,9.078726,9.557775999999999,9.440428,9.838392,10.136095,10.396483,10.568131,10.671679,10.890912,11.124433999999999,11.062151,11.063963000000001,11.259811000000001,11.658823
20-2806523,,,,,,,,,,,,,,,,,,,,0,0.282059,0.461628,0.965483,2.4333270000000002,3.045394,3.486136,3.880845,4.3159089999999996,4.4508980000000005,4.728083,5.352016000000001,4.354608,4.776944,5.157721,5.5064459999999995,5.7868059999999995,6.118579,5.837635,6.147505000000001,6.815432,7.0169880000000004,7.246835000000001,7.597222,7.882627,7.74135,8.134447999999999,8.418461,8.809806,9.107872,9.269064,9.473256,9.952306,9.834958,10.232922,10.530625,10.791013000000001,10.962661,11.066208999999999,11.285442,11.518964,11.456681,11.458492999999999,11.654341,12.053353
21-2806522,,,,,,,,,,,,,,,,,,,,,0,0.17957,0.6994239999999999,2.167268,2.7793360000000003,3.220078,3.614786,4.04985,4.184839,4.4620239999999995,5.377925,4.636667,5.0590019999999996,5.439779,5.788505000000001,6.068864,6.400638,6.120694,6.429563,7.097491000000001,7.299047,7.5298929999999995,7.879281,8.164686,8.023408,8.416507000000001,8.70052,9.091864,9.389930999999999,9.551122,9.755315,10.234364,10.117017,10.514981,10.812683999999999,11.073072,11.244719,11.348267,11.567501,11.801022999999999,11.73874,11.740551,11.9364,12.335412
22-2806521,,,,,,,,,,,,,,,,,,,,,,0,0.5198550000000001,1.987699,2.599766,3.040508,3.4352160000000005,3.87028,4.005269,4.282455000000001,5.1983559999999995,4.814237,5.236572,5.617349,5.966075,6.246434,6.578208,6.298264,6.607133,7.275060000000001,7.476617,7.706463,8.05585,8.341255,8.200978,8.594076,8.878089,9.269434,9.5675,9.728692,9.932884,10.411934,10.294586,10.69255,10.990253,11.250641,11.422289,11.525837,11.745071000000001,11.978591999999999,11.916310000000001,11.918121000000001,12.113969,12.512981
23-2805659,,,,,,,,,,,,,,,,,,,,,,,0,1.474844,2.086912,2.527654,2.9223619999999997,3.3574260000000002,3.4924150000000003,3.7696,4.684501,4.717515000000001,5.13985,5.520626999999999,5.722353,6.002712,6.296938,5.9795419999999995,6.249411,6.917339,7.118894999999999,7.349741000000001,7.699128,7.984534,7.843255999999999,8.236353999999999,8.520367,8.911712,9.209778,9.37097,9.575163,10.054212,9.936865,10.334828,10.632531,10.89292,11.064567,11.168115,11.387349,11.620871000000001,11.558588,11.560399,11.756247,12.155259
24-2802207,,,,,,,,,,,,,,,,,,,,,,,,0,0.6120680000000001,1.05481,1.449518,1.884582,2.019571,2.2967560000000002,3.2126580000000002,3.586671,4.0090069999999995,4.248953,4.250509,4.5298680000000004,4.825094,4.507698,4.776568,5.444495,5.646051,5.8768970000000005,6.2252849999999995,6.51169,6.370412,6.763511,7.047524,7.438867999999999,7.736935000000001,7.8981259999999995,8.102319,8.581368,8.464021,8.861985,9.159688000000001,9.420076,9.591724000000001,9.695271,9.914505,10.148027,10.085744,10.087555,10.283403999999999,10.682416
25-2802211,,,,,,,,,,,,,,,,,,,,,,,,,0,0.442742,0.8374510000000001,1.272514,1.4075030000000002,1.6846889999999999,2.59959,2.9746029999999997,3.396939,3.636886,3.6374410000000004,3.9178010000000003,4.214027,3.8966300000000005,4.1645,4.832427,5.033983,5.2638300000000005,5.613217,5.899622,5.758344999999999,6.151443,6.435455999999999,6.826801,7.124867,7.286059,7.490251,7.969301,7.851953,8.249917,8.54762,8.808008000000001,8.979656,9.083203999999999,9.302437,9.535959,9.473676,9.475488,9.671336,10.070348
26-2802214,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.39470900000000003,0.829773,0.9647620000000001,1.241947,2.156848,2.531861,2.954197,3.1931439999999998,3.194699,3.4750589999999995,3.770285,3.452889,3.7217580000000003,4.389685,4.591241,4.822088,5.170475,5.4558800000000005,5.315603,5.7087010000000005,5.992714,6.384059,6.682125,6.843317,7.047509,7.526559,7.409211,7.807175,8.104878,8.365266,8.536914,8.640462,8.859695,9.093217,9.030934,9.032746000000001,9.228594000000001,9.627606
27-2805534,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.435064,0.5700529999999999,0.8472379999999999,1.76214,2.137153,2.559489,2.798435,2.799991,3.08035,3.375577,3.05818,3.32705,3.9949769999999996,4.1965330000000005,4.426379,4.7767669999999995,5.061172,4.9208940000000005,5.313993,5.598006,5.98935,6.287417,6.448608,6.652800999999999,7.13185,7.0145029999999995,7.4124669999999995,7.71017,7.9705580000000005,8.142206,8.245754,8.464986999999999,8.698509,8.636225999999999,8.638036999999999,8.833886,9.232897999999999
28-2802203,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.134989,0.412174,1.338076,2.3245169999999997,2.746852,2.374371,2.375927,2.656286,2.9515130000000003,2.634116,2.901986,3.5699129999999997,3.771469,4.002315,4.351703,4.6371080000000005,4.495830000000001,4.888929,5.172942,5.564286,5.862353,6.023544,6.227737,6.706786,6.589439,6.987403,7.285106,7.545494000000001,7.717142,7.820689999999999,8.039923,8.273444999999999,8.211162,8.212973,8.408822,8.807834
