순번_정류장ID,63-2805804,64-2801168,65-2803645,66-2801666,67-2801633,68-2801192,69-2801636,70-2801604,71-2801564,72-2801520,73-2801485,74-2801450,75-2801438,76-2805321,77-2801461,78-2801462,79-2804438,80-2803790,81-2803644,82-2803555,83-2800677,84-2800668,85-2800656,86-2800661,87-2800630,88-2806418,89-2806633,90-2804896,91-2805037,92-2805221,93-2805232,94-2805872,95-2806173,96-2805499,97-2805843,98-2805408,99-2804947,100-2805317,101-2805874,102-2805024,103-2806658,104-2806743,105-2805680,106-2800575,107-2800562,108-2806838,109-2800555,110-2800541,111-2800530,112-2800523,113-2800519,114-2800517,115-2800515,116-2800508,117-2807101,118-2805797,119-2800504,120-2800510,121-2805304,122-2807046,123-2806655,124-2806799
103-2806658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.39236,1.718732,2.027193,2.245759,2.505861,2.59302,2.719648,3.203242,3.4859379999999995,3.7307879999999995,3.892356,4.069026999999999,4.634315,4.791718,5.071909,4.861726999999999,4.596061,4.737577,5.886629,6.120403,6.720813000000001
104-2806743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.326373,0.634833,0.853399,1.113501,1.20066,1.604288,2.087882,2.370578,2.615428,2.776996,2.953667,3.5189550000000005,3.676358,3.956549,3.746368,3.4807010000000003,3.622217,4.771269,5.005044,5.605453
105-2805680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.308461,0.527026,0.7871279999999999,0.874287,1.277915,1.76151,2.044205,2.289055,2.4506240000000004,2.627295,3.1925830000000004,3.3499849999999998,3.630176,3.4199949999999997,3.154328,3.295844,4.444896,4.678671,5.279081
106-2800575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21856599999999998,0.47866800000000004,0.5658270000000001,0.969455,1.453049,1.735745,1.980595,2.142163,2.318834,2.884122,3.041525,3.3217160000000003,3.111535,2.845868,2.987384,4.136436,4.370211,4.970619999999999
107-2800562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.260102,0.347261,0.750889,1.234484,1.517179,1.762029,1.923598,2.100269,2.665557,2.822959,3.10315,2.892969,2.6273020000000002,2.768818,3.9178699999999997,4.151644999999999,4.752055
108-2806838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.087159,0.495787,0.979382,1.2620770000000001,1.5069270000000001,1.668496,1.8451669999999998,2.410455,2.567857,2.848048,2.637867,2.3722,2.513716,3.6627680000000002,3.896543,4.4969529999999995
109-2800555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.40862800000000005,0.892223,1.1749180000000001,1.419768,1.581337,1.7580080000000002,2.323296,2.480698,2.760889,2.550708,2.285041,2.426557,3.5756089999999996,3.8093839999999997,4.409794000000001
110-2800541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.483595,0.7662899999999999,1.01114,1.172708,1.349379,1.914667,2.07207,2.352261,2.14208,1.876413,2.017929,3.1669810000000003,3.400756,4.0011660000000004
111-2800530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.282696,0.527546,0.689114,0.865785,1.431073,1.588476,1.868666,1.6584849999999998,1.392819,1.534335,2.6833869999999997,2.917161,3.517571
112-2800523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24485,0.406418,0.5830890000000001,1.148377,1.30578,1.585971,1.37579,1.110123,1.251639,2.400691,2.634466,3.234876
113-2800519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16156900000000002,0.33824,0.9035270000000001,1.06093,1.341121,1.13094,0.865273,1.006789,2.155841,2.389616,2.990026
114-2800517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.176671,0.741959,0.8993620000000001,1.179553,0.9693709999999999,0.703705,0.8452209999999999,1.994273,2.228048,2.8284569999999998
115-2800515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.565288,0.722691,1.002882,0.792701,0.527034,0.66855,1.817602,2.051377,2.651786
116-2800508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.203403,0.901184,0.6910029999999999,0.42533699999999997,0.243148,1.298314,1.532089,2.132498
117-2807101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.783413,0.848406,0.582739,0.054141999999999996,1.109307,1.3430819999999999,1.9434919999999998
118-2805797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.210181,0.47584799999999994,0.8375549999999999,1.8927200000000002,2.1264950000000002,2.726905
119-2800504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.265667,0.794265,1.9433169999999997,2.177092,2.777501
120-2800510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5285979999999999,1.67765,1.911425,2.511835
121-2805304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.149053,1.382827,1.983237
122-2807046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.233775,0.8341850000000001
123-2806655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.60041
124-2806799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
