순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2806293,24-2804201,25-2806291,26-2807291,27-2804203,28-2804206,29-2804332,30-2804208,31-2804210,32-2804212,33-2804579,34-2803703,35-2806885,36-2807292,37-2806887,38-2806889,39-2806892,40-2807121,41-2806979,42-2807407,43-2806980,44-2806981,45-2806982,46-2806983,47-2806984,48-2806985,49-2807003,50-2807125,51-2807126,52-2807128,53-2807130,54-2807132,55-2806962,56-2806940,57-2806941,58-2806942,59-2806943,60-2806944,61-2807134,62-2807135,63-2806946,64-2807137,65-2806947,66-2806948,67-2806949,68-2807147,69-2807148,70-2807149,71-2806951,72-2807138,73-2806973,74-2807139,75-2807409,76-2807123
11-2803848,,,,,,,,,,,0,0.283984,0.796852,1.384412,1.8657810000000001,2.024795,2.358484,2.84636,3.169127,3.6153410000000004,3.9632300000000003,4.315134,4.845343,5.0987540000000005,5.483379,5.671867,5.90336,6.104155,6.645889,7.197462,7.688948,8.028226,8.555423,8.733525,8.934874,9.512355,9.86779,10.451764,10.961028,12.746556,13.350427,14.059192000000001,14.687842000000002,15.003860999999999,15.347520999999999,15.589670000000002,16.117238,16.36607,17.056551000000002,17.527473999999998,18.606842,19.160547,19.854021,20.61318,21.065656,21.897389999999998,21.57389,21.245677,20.900067,20.543831,20.218396,19.925524,19.518665,19.284214000000002,18.993838,18.691716,17.331426,16.773474,15.914266,15.661489999999999,15.248669,14.981773,14.395582000000001,13.680404999999999,13.224053,12.759289
12-2806298,,,,,,,,,,,,0,0.512868,1.100428,1.581798,1.740811,2.0745,2.562376,2.885144,3.331357,3.679246,4.03115,4.5613589999999995,4.81677,5.199395,5.389883,5.619376,5.8181709999999995,6.359905,6.911478,7.404964,7.742242,8.27144,8.447541000000001,8.65189,9.227372,9.584807000000001,10.16878,10.678044,12.464573,13.067442999999999,13.778209,14.405857999999998,14.721877,15.063537,15.307687,15.833254,16.085085999999997,16.770567,17.243489999999998,18.322858,18.877563000000002,19.570038,20.328196,20.782672,21.615407,21.290906,20.959692999999998,20.618083,20.259848,19.934413,19.643539999999998,19.232681,18.99823,18.711854000000002,18.409732,17.047442,16.48949,15.632282,15.378506,14.964685000000001,14.695789000000001,14.110598000000001,13.396420999999998,12.94207,12.477306
13-2803849,,,,,,,,,,,,,0,0.587561,1.06893,1.2279440000000001,1.561632,2.049509,2.372276,2.81849,3.166378,3.518282,4.050491,4.301903,4.684528,4.877015,5.106508,5.307303,5.847037,6.398611,6.892097,7.229375,7.760572,7.934672999999999,8.136023,8.713503999999999,9.071939,9.655911999999999,10.163177000000001,11.951705,12.553576,13.263341,13.89299,14.20801,14.548670000000001,14.792819,15.320386,15.569219,16.2577,16.732623,17.80799,18.361696,19.057170000000003,19.813329,20.266804999999998,21.098539000000002,20.778039,20.445825,20.102216000000002,19.74798,19.418545,19.127673,18.721813,18.488362,18.197987,17.894865,16.534574,15.977622,15.116414,14.865638,14.454818,14.186921,13.596729999999999,12.886553,12.427202000000001,11.964438000000001
14-2803851,,,,,,,,,,,,,,0,0.48136899999999994,0.640383,0.9790719999999999,1.466948,1.7897150000000002,2.235929,2.583818,2.935722,3.465931,3.721342,4.101967,4.292455,4.525947,4.724743,5.266477,5.81805,6.311536,6.648814,7.178011,7.354113000000001,7.556462,8.130942999999998,8.487378,9.072352,9.581616,11.367144,11.971015,12.679780000000001,13.307429999999998,13.623448999999999,13.969109,14.212257999999999,14.738826000000001,14.988658,15.677139000000002,16.150062,17.225429000000002,17.779135,18.476609,19.230767999999998,19.685244,20.515978,20.194478,19.867265,19.523654999999998,19.166419,18.838984,18.547112,18.137253,17.904801000000003,17.614426,17.314304,15.954014,15.394062,14.535854,14.282078,13.872257000000001,13.601360999999999,13.016169,12.300993,11.842641,11.379877
15-2803852,,,,,,,,,,,,,,,0,0.15901400000000002,0.49770299999999995,0.9855790000000001,1.308346,1.75456,2.102448,2.454352,2.984562,3.2379729999999998,3.620598,3.811085,4.042578,4.2413739999999995,4.783108,5.334681,5.828167,6.165445,6.694642,6.870742999999999,7.073092999999999,7.648574000000001,8.006008999999999,8.589982000000001,9.099247,10.884775,11.486646,12.199411,12.826061,13.142079999999998,13.48574,13.730889000000001,14.258457,14.505289000000001,15.19377,15.666692999999999,16.745060000000002,17.298766,17.99524,18.750398999999998,19.202875,20.035609,19.712108999999998,19.383896,19.039285999999997,18.68405,18.357615,18.063743,17.656882999999997,17.421432,17.134057000000002,16.831935,15.472645000000002,14.912692000000002,14.052484,13.799707999999999,13.388888,13.119992000000002,12.5328,11.820624,11.362272,10.897508
16-2803854,,,,,,,,,,,,,,,,0,0.33868899999999996,0.826565,1.149332,1.595546,1.9434349999999998,2.295339,2.827548,3.080959,3.4635839999999996,3.654072,3.885564,4.08436,4.626094,5.177667,5.6711529999999994,6.008431,6.537628,6.71373,6.916078999999999,7.492560000000001,7.8489949999999995,8.432969,8.942233,10.727761,11.330632000000001,12.042397,12.669047,12.985066,13.328726000000001,13.572875,14.100442999999999,14.349275,15.037756,15.510679000000001,16.588047,17.141752,17.837226,18.593385,19.045861,19.878595,19.556095000000003,19.226882,18.883272,18.527036,18.199601,17.906729000000002,17.49987,17.265418,16.977043,16.674920999999998,15.314631,14.754679000000001,13.896471,13.642695000000002,13.231874,12.962978,12.376787,11.66361,11.205258,10.740494
17-2806296,,,,,,,,,,,,,,,,,0,0.48787700000000006,0.8106439999999999,1.256858,1.604746,1.95665,2.488859,2.742271,3.124896,3.315383,3.546876,3.7456709999999998,4.287405000000001,4.838979,5.332465,5.669743,6.19894,6.375041,6.578391000000001,7.154872,7.511307,8.09428,8.603545,10.390073,10.992944,11.704709,12.331358,12.646378,12.990038,13.235187,13.761754000000002,14.010587,14.699067999999999,15.171991,16.249357999999997,16.804063,17.498538,18.255697,18.708173000000002,19.540907,19.217407,18.888192999999998,18.545583999999998,18.189348000000003,17.861913,17.56904,17.161181,16.92773,16.638354999999997,16.336233,14.976942000000001,14.41699,13.558782,13.305006,12.893186,12.624289,12.039098,11.324921,10.86657,10.402806
18-2803605,,,,,,,,,,,,,,,,,,0,0.322767,0.768981,1.11687,1.468774,2.000983,2.254394,2.637019,2.8275069999999998,3.058999,3.257795,3.799529,4.351102,4.844588,5.181866,5.711062999999999,5.887165,6.089514,6.665995,7.02343,7.607403999999999,8.116667999999999,9.902196,10.505067,11.216832,11.842482,12.158501,12.502161,12.746310000000001,13.274878,13.52271,14.210191,14.684114000000001,15.761481,16.316187,17.010661,17.766820000000003,18.220295999999998,19.05303,18.730529999999998,18.400317,18.056707,17.700471,17.373036,17.079164000000002,16.674305,16.439853,16.151478,15.849356,14.488066,13.928114,13.070905999999999,12.81713,12.406309,12.137413,11.550221,10.837045,10.377692999999999,9.912929
19-2803855,,,,,,,,,,,,,,,,,,,0,0.44621400000000006,0.7941020000000001,1.1460059999999999,1.678216,1.931627,2.314252,2.50474,2.7362319999999998,2.935028,3.4767620000000004,4.028335,4.521821,4.859099,5.3882959999999995,5.5643970000000005,5.765747,6.3422279999999995,6.698663000000001,7.282636,7.792901,9.578429,10.1803,10.893065,11.518715,11.834734,12.178394,12.423542999999999,12.950111,13.198943,13.888423999999999,14.360347,15.437714000000001,15.991420000000002,16.686894,17.443053,17.895529,18.728263000000002,18.405763,18.07655,17.73294,17.377704,17.050269,16.756397,16.349536999999998,16.115085999999998,15.826710999999998,15.524589,14.164299,13.604346,12.746138,12.492362,12.081542,11.812646,11.226453999999999,10.513278,10.054926,9.591161999999999
20-2803856,,,,,,,,,,,,,,,,,,,,0,0.347889,0.699793,1.232002,1.485414,1.868039,2.0585259999999996,2.290019,2.488814,3.030548,3.582122,4.075608,4.412886,4.942083,5.118183999999999,5.321534,5.898015,6.25445,6.838423,7.347688000000001,9.133216000000001,9.736086,10.447852000000001,11.074501,11.390521000000001,11.734181,11.97833,12.505897000000001,12.75473,13.443210999999998,13.916134,14.993501,15.547206,16.242681,16.998839999999998,17.451316000000002,18.28405,17.96155,17.632336,17.288726999999998,16.932491,16.605056,16.312182999999997,15.905323999999998,15.670873,15.382498000000002,15.080375,13.720085000000001,13.160132999999998,12.301925,12.048149,11.637329,11.368432,10.782241,10.069064,9.610713,9.145949
