순번_정류장ID,1-2803524,2-2803525,3-2803769,4-2804876,5-2803770,6-2805655,7-2802347,8-2802346,9-2802602,10-2802599,11-2802592,12-2802589,13-2802362,14-2802595,15-2802598,16-2802587,17-2802580,18-2802578,19-2803629,20-2802575,21-2802567,22-2802557,23-2802554,24-2802559,25-2802568,26-2802551,27-2802538,28-2802375,29-2802507,30-2802502,31-2802492,32-2802510,33-2802518,34-2802493,35-2802471,36-2805716,37-2802464,38-2802451,39-2802426,40-2803019,41-2802965,42-2802959,43-2802964,44-2802971,45-2802954,46-2802913,47-2805151,48-2802862,49-2802829,50-2802814,51-2802801,52-2802783,53-2802757,54-2802738,55-2802728,56-2802721,57-2802123,58-2802116,59-2802112,60-2802094,61-2802067,62-2802056,63-2802050,64-2802046,65-2802029,66-2802013,67-2801989,68-2801958,69-2801948,70-2801942,71-2801921,72-2801927,73-2801924,74-2801916,75-2801925,76-2801908,77-2801715,78-2801690,79-2803662,80-2800164
11-2802592,,,,,,,,,,,0,0.27774699999999997,0.626384,0.6798609999999999,0.9263610000000001,2.666097,3.155361,3.427553,3.273707,3.425878,3.434342,2.9776380000000002,2.6607060000000002,2.7155009999999997,2.433704,3.067729,3.799291,4.102580000000001,4.289097,4.512343,4.855128,4.579280000000001,4.463241,4.678367,4.995936,5.205383,5.222906,5.5586459999999995,5.301069,6.291861,6.7378160000000005,7.227091000000001,7.3148610000000005,7.242369999999999,7.2456570000000005,7.340474,7.505861,7.81745,8.059768,7.699182,7.391497,7.370861,7.840696,8.217027999999999,8.717680999999999,9.042767,9.295132,9.466822,9.635525999999999,10.156543,10.269036,10.567014,10.903219,11.025861,11.406945,11.86904,12.304552000000001,12.542814,12.868715,13.04186,13.356420000000002,13.699404999999999,13.836022,14.253428,13.79084,14.531851999999999,15.428972,15.908741000000001,16.197828,16.481288
12-2802589,,,,,,,,,,,,0,0.348637,0.40211399999999997,0.648614,2.38635,2.876614,3.149807,2.9959599999999997,3.1471310000000003,3.358367,2.901663,2.584731,2.639525,2.357729,2.9917540000000002,3.7233160000000005,4.0256050000000005,4.213122,4.436367,4.780151999999999,4.503305,4.387266,4.602392,4.919961,5.129407,5.1469309999999995,5.48267,5.223094000000001,6.216886,6.662839999999999,7.152114999999999,7.236886,7.165394,7.168682,7.264499000000001,7.428886,7.741474,7.9837929999999995,7.622207,7.3155220000000005,7.294886,7.763721,8.139053,8.641706,8.968792,9.221157,9.390847,9.559550999999999,10.080568,10.193060000000001,10.492039,10.827244,10.949886,11.32997,11.792064,12.229577,12.465838,12.79274,12.964885,13.280445,13.624429999999998,13.759047,14.178453,13.714865,14.456876999999999,15.351997,15.831764999999999,16.120852,16.406313
13-2802362,,,,,,,,,,,,,0,0.26597800000000005,0.512478,2.250213,2.740478,3.01467,2.858823,3.009995,3.3359970000000003,3.250299,2.9333669999999996,2.988162,2.7063650000000004,3.34039,4.071953,4.3742410000000005,4.560758,4.785004,5.128789,4.851941,4.7359029999999995,4.951028,5.268597,5.478044000000001,5.4955680000000005,5.831307,5.572731,6.564522999999999,7.010477000000001,7.499752,7.586523,7.514031,7.5173190000000005,7.612135,7.7775229999999995,8.090111,8.332429,7.9708429999999995,7.663158999999999,7.642523,8.113357,8.489689,8.989342,9.316428,9.569794,9.738484,9.907187,10.428205,10.394652,10.693631,11.029835,11.151478,11.532561999999999,11.994655999999999,12.431169,12.66843,12.995332000000001,13.167476999999998,13.483037,13.826022,13.961639000000002,14.100045000000001,13.637457000000001,14.379469,15.275588,15.755357,16.331011,16.75495
14-2802595,,,,,,,,,,,,,,0,0.2465,1.9842349999999997,2.4745,2.747692,2.593845,2.744017,3.070019,3.3037769999999997,2.986845,3.041639,2.759843,3.393868,4.125430000000001,4.427719000000001,4.614236,4.839481,5.181266,4.905419,4.78938,5.004506,5.322075,5.531521,5.549045,5.884784,5.626208,6.617000000000001,7.063955,7.553228999999999,7.638999999999999,7.568509,7.571796000000001,7.666613000000001,7.831,8.142588,8.384907,8.024321,7.717636,7.696000000000001,8.166835,8.542167,9.04382,9.368905999999999,9.623271,9.792961,9.961665,10.272818,10.127674,10.427653,10.762858,10.8855,11.266584,11.728678,12.165191,12.402453,12.729353999999999,12.901499000000001,13.217058999999999,13.560044,13.695661,13.834067000000001,13.370479000000001,14.112491,15.008610999999998,15.48838,16.064034,16.614427
15-2802598,,,,,,,,,,,,,,,0,1.738735,2.229,2.503192,2.3473450000000002,2.499517,2.825519,3.2832230000000004,3.233345,3.288139,3.006343,3.640368,4.37193,4.674219,4.860736,5.084982,5.428766,5.151919,5.035880000000001,5.251005999999999,5.568575,5.778021,5.795545,6.131285,5.871708,6.8645,7.310455,7.798729,7.8855,7.8140089999999995,7.817296000000001,7.912113000000001,8.0775,8.389089,8.631407000000001,8.270821,7.963136,7.9425,8.411335000000001,8.788667,9.28832,9.603906,9.855271,10.025961,10.194664999999999,10.028317999999999,9.883174,10.182153,10.518358000000001,10.64,11.021084,11.483178,11.919691,12.156953,12.483854,12.655999000000001,12.971559,13.314544,13.450160999999998,13.588567000000001,13.124979000000002,13.867991,14.763110999999999,15.24288,15.818534,16.368927
16-2802587,,,,,,,,,,,,,,,,0,0.49026499999999995,0.7644569999999999,0.829081,0.980252,1.306255,1.763959,2.080891,2.504375,3.1805779999999997,3.814603,4.546165,4.848454,5.034971,5.260217,5.603002,5.326154,5.210116,5.33223,5.014661,5.179214,5.4097800000000005,5.74452,6.046943,7.0377350000000005,7.48469,7.937506,7.550735,7.031244,7.033531,7.129347999999999,7.293735000000001,7.605324,7.847642,7.488055999999999,7.180371000000001,7.159735,7.62857,8.004902000000001,7.6744449999999995,7.864171000000001,8.116536,8.287225999999999,8.45693,8.288583000000001,8.143439,8.442418,8.778623,8.901264999999999,9.282349,9.744442999999999,10.180956,10.418218,10.745119,10.917264,11.232824,11.575809,11.711426,11.850832,11.386244,12.128256,13.025376,13.504145000000001,14.080798999999999,14.631192
17-2802580,,,,,,,,,,,,,,,,,0,0.273192,0.434655,0.680517,1.006519,1.463223,1.780156,2.203639,2.879843,3.514868,4.245430000000001,4.548719,4.7352360000000004,4.959480999999999,5.303266000000001,5.026419000000001,4.9093800000000005,4.959494,4.642925,4.806479,5.037045,5.3727849999999995,5.7472080000000005,6.739,7.183955,7.564771,7.178999999999999,6.658509,6.662796000000001,6.756613000000001,6.922999999999999,7.234589,7.475907,7.116321000000001,6.808636,6.787999999999999,7.256835000000001,7.632167,7.51218,7.701906,7.954271,8.125961,8.294665,8.126318,7.981174,8.281153,8.617358,8.738999999999999,9.120084,9.582178,10.018691,10.255953,10.582854,10.754999,11.070559,11.413544,11.549161,11.688566999999999,11.224979,11.966991,12.863111,13.34288,13.918534,14.468926999999999
18-2802578,,,,,,,,,,,,,,,,,,0,0.16146300000000002,0.407325,0.7333270000000001,1.191031,1.507963,1.9314470000000001,2.6076509999999997,3.241676,3.973238,4.275526999999999,4.463044,4.687289,5.030074,4.753227,4.637188,4.759302,4.441733,4.606287,4.836853,5.172592,5.473016,6.465808,6.9117619999999995,7.364578999999999,6.976808,6.458316,6.460604,6.556421,6.721808,7.033396000000001,7.275714999999999,6.915128999999999,6.607444,6.585808,7.056642999999999,7.431975,7.572373,7.763097999999999,8.015463,8.186153,8.354857,8.18651,8.042367,8.340345,8.67655,8.799192,9.180276,9.642371,10.078883,10.316145,10.643046,10.815191,11.130751,11.473736,11.609353,11.723759,11.260171000000001,12.002183,12.898303,13.378072,13.953726000000001,14.50412
19-2803629,,,,,,,,,,,,,,,,,,,0,0.245862,0.571865,1.029569,1.346501,1.769985,2.4461880000000003,3.080213,3.811775,4.115064,4.301581,4.525827,4.868612000000001,4.5917639999999995,4.475726,4.59784,4.280271,4.444824,4.67439,5.0111300000000005,5.313553,6.304345,6.7503,7.2031160000000005,6.815345,6.295854,6.300141,6.394958,6.560345,6.8719339999999995,7.1142520000000005,6.753666,6.445981,6.424345,6.89418,7.269512,7.733835000000001,7.923561,8.175925999999999,8.346616000000001,8.51532,8.347973,8.202829,8.501808,8.838013,8.960655000000001,9.341739,9.803833000000001,10.240346,10.477607,10.804509,10.976654,11.292214,11.635199,11.770816,11.885222,11.421634,12.163646,13.059766,13.539534,14.115189,14.665582
20-2802575,,,,,,,,,,,,,,,,,,,,0,0.326002,0.783706,1.100639,1.524122,2.200326,2.834351,3.5659129999999997,3.8682019999999997,4.054719,4.279965,4.62275,4.345902,4.229863,4.350976999999999,4.034408,4.197962,4.428528,4.764268,5.0666910000000005,6.057483,6.503438,6.9562539999999995,6.570483,6.049992,6.054279,6.149096,6.314483,6.625072,6.867389999999999,6.507804,6.200119,6.178483,6.648318,7.02365,7.524303,7.852389,8.105754,8.274444,8.444148,8.566801,8.421658,8.720636,9.058841000000001,9.179483,9.562567,10.022662,10.461174,10.697436,11.025337,11.197482,11.513042,11.854027,11.991644,12.10505,11.640462,12.382474,13.278594,13.758363000000001,14.334017000000001,14.88641
