순번_정류장ID,70-2800995,71-2801013,72-2801023,73-2801040,74-2801052,75-2801103,76-2801113,77-2801116,78-2801121,79-2801130,80-2801134,81-2801144,82-2801152,83-2801156,84-2806243,85-2800368,86-2800320,87-2800642,88-2800664,89-2800333,90-2800681,91-2800689,92-2800701,93-2800704,94-2800726,95-2800751,96-2800765,97-2800782,98-2800797,99-2800813,100-2803049,101-2807107,102-2802658,103-2802680,104-2802707,105-2802715,106-2802729,107-2805440,108-2802736,109-2802753,110-2805791,111-2802789,112-2802810,113-2802859,114-2802877,115-2802883,116-2802900,117-2802928,118-2802622,119-2802979,120-2803014,121-2803023,122-2803016,123-2803009,124-2803000,125-2803300,126-2803308,127-2803318,128-2803315,129-2803321,130-2803327,131-2803325,132-2803332,133-2803339,134-2807286
80-2801134,,,,,,,,,,,0,0.479041,0.773237,1.215265,2.003182,3.1790580000000004,3.635441,3.634206,4.029718,4.315851,4.61934,4.974201,5.288355,5.010438,5.004475,5.42261,5.606975,6.068707,6.348749,6.976141,7.329263,7.632654,7.781161,8.117144,8.663652,8.887048,9.394736,9.583967,9.924873,10.199571,10.436842,10.756933,10.978398,11.583060000000001,11.7917,12.067596,12.334666,12.574457,12.850451,13.062975,13.492219,13.408072,13.188839000000002,13.026457,12.870650999999999,12.973673,13.337475,13.858638000000001,14.616667999999999,15.169673999999999,15.466319,15.738782999999998,16.1572,16.373522,16.311788
81-2801144,,,,,,,,,,,,0,0.295196,0.737224,1.525141,2.700018,3.1564,3.155166,3.550677,3.836811,4.140299,4.49616,4.810314,5.135472,5.381566,5.7997,5.984066,6.445797,6.725839,7.353232000000001,7.706353,8.009744,8.158252000000001,8.494234,9.040742999999999,9.264138,9.770826,9.961058,10.077036999999999,10.167530000000001,10.406801,10.724892,10.947357,11.553019,11.760659,12.037555000000001,12.304625,12.545416000000001,12.819410000000001,13.031935,13.461179000000001,13.377031,13.158798,12.995416,12.83961,12.901237,12.956435,13.476598000000001,14.234627,14.787633999999999,15.083278,15.357743,15.775159,15.992482,15.929747
82-2801152,,,,,,,,,,,,,0,0.443028,1.2309459999999999,2.406822,2.862204,2.86197,3.2574810000000003,3.542615,3.846104,4.202964,4.517119,4.842276,5.1992389999999995,5.617373000000001,5.8017389999999995,6.2624699999999995,6.543512000000001,7.084903999999999,7.438026,7.740417,7.888925,8.224907,8.772414999999999,8.994811,9.503499,9.692730000000001,9.786841,9.875334,10.112605,10.433697,10.656161,11.258823,11.466463000000001,11.744359,12.010429,12.24922,12.526214,12.739739,13.167983,13.084835,12.867602,12.70122,12.545414,12.607041,12.664239,13.183402,13.941431,14.493438000000001,14.792082999999998,15.063547,15.482963,15.697285999999998,15.636551
83-2801156,,,,,,,,,,,,,,0,0.789917,2.2583729999999997,2.714755,2.713521,3.109032,3.395166,3.6986550000000005,4.054515,4.36867,4.693827,5.05079,5.4689239999999995,5.65329,6.115021,6.3950629999999995,6.887875999999999,7.240997999999999,7.544389,7.692897,8.028879,8.575387,8.798783,9.306471,9.495702,9.476813,9.566305999999999,9.805577,10.122667999999999,10.346133,10.949795,11.159435,11.434331,11.702401,11.941192,12.218186,12.428711,12.859955000000001,12.775807,12.554574,12.392192,12.237386,12.300013,12.354211,12.876373,13.632403,14.18441,14.483054000000001,14.754519,15.171935000000001,15.388257999999999,15.327523000000001
84-2806243,,,,,,,,,,,,,,,0,1.559876,2.016259,2.4230240000000003,2.818536,3.104669,3.4081580000000002,3.7640190000000002,4.0781730000000005,4.40333,4.760293,5.178428,5.362793,5.824525,5.59702,6.099958999999999,6.453081,6.7564720000000005,6.904978999999999,7.240962,7.78747,8.010864999999999,8.518553,8.707785000000001,8.686895,8.778389,9.01666,9.336751,9.558216,10.160878,10.369518,10.645414,10.914484,11.154275,11.429269,11.640792999999999,12.072037,11.98889,11.769657,11.605275,11.450469,11.511095,11.566293,12.087456,12.845486,13.398492000000001,13.694137,13.968601000000001,14.386018,14.60234,14.541606
85-2800368,,,,,,,,,,,,,,,,0,0.45638199999999995,0.9961479999999999,1.3916600000000001,1.677793,1.981282,2.337143,2.651297,2.976454,3.333417,3.7515519999999998,3.935917,4.3976489999999995,4.47931,4.9822489999999995,5.335369999999999,5.638761,5.787269,6.123251,6.669760000000001,6.893155,7.400842999999999,7.590075,7.920019,8.008513,8.247784,8.566875,8.790339999999999,9.393002000000001,9.602642,9.876538,10.146608,10.385399000000001,10.662393,10.873917,11.303161,11.217014,10.998781,10.836399,10.680593,10.742219,10.797417,11.31758,12.07661,12.628616000000001,12.926261,13.199725,13.618142,13.831464000000002,13.773729999999999
86-2800320,,,,,,,,,,,,,,,,,0,0.539766,0.935277,1.221411,1.5249,1.8807610000000001,2.194915,2.5200720000000003,2.877035,3.295169,3.479535,3.941266,4.2213080000000005,4.848701,5.201822,5.5052129999999995,5.653721,5.9897029999999996,6.536212,6.759607000000001,7.267295,7.456527,7.461637,7.552131,7.790402,8.110493,8.330958,8.93662,9.144259,9.420155000000001,9.686225,9.928016,10.20401,10.416535000000001,10.844778999999999,10.762632,10.542398,10.378017,10.22321,10.285836999999999,10.340035,10.861198,11.619228,12.172234,12.468879,12.742343,13.157760000000001,13.376082,13.314348
87-2800642,,,,,,,,,,,,,,,,,,0,0.395512,0.681645,0.9851340000000001,1.3409950000000002,1.6551490000000002,1.9803060000000001,2.337269,2.755404,2.939769,3.401501,3.681543,4.308935,4.662056,4.965448,5.113955000000001,5.4499379999999995,5.996446,6.219841000000001,6.727529,6.916761,6.922871000000001,7.013364999999999,7.250636,7.570727000000001,7.792192,8.396854,8.605493,8.88139,9.14846,9.388251,9.664245,9.876769,10.306013,10.221866,10.002633,9.839250999999999,9.684445,9.746071,9.800269,10.321432000000001,11.079462,11.632468,11.929113000000001,12.202577,12.619994,12.836316,12.775582
88-2800664,,,,,,,,,,,,,,,,,,,0,0.286134,0.589623,0.945484,1.2596379999999998,1.5847950000000002,1.941758,2.359892,2.544258,3.005989,3.286031,3.913424,4.266545,4.569936,4.718444,5.054426,5.600935,5.824330000000001,6.332018,6.52125,6.52836,6.6178539999999995,6.855125,7.176216,7.395681,8.000342999999999,8.209982,8.485878,8.753948,8.991739,9.268733000000001,9.481258,9.910502000000001,9.827355,9.607121000000001,9.44474,9.287933,9.35056,9.404758000000001,9.925921,10.683950999999999,11.237957000000002,11.533602,11.808066,12.224483,12.439805,12.380071000000001
89-2800333,,,,,,,,,,,,,,,,,,,,0,0.303489,0.65935,0.973504,1.298661,1.6556240000000002,2.073758,2.258124,2.719855,2.999898,3.6272900000000003,3.980411,4.283802,4.43231,4.768293,5.314801,5.538196,6.045884,6.2351160000000005,6.241226,6.33272,6.5689910000000005,6.8900820000000005,7.111547,7.716208999999999,7.924848,8.200745,8.466814,8.707606,8.9836,9.196124000000001,9.625368,9.540221,9.320988,9.158605999999999,9.0038,9.064426,9.119624,9.640787,10.398817,10.951823,11.247468,11.520932,11.939349,12.155671,12.094937
