순번_정류장ID,1-2802961,2-2802973,3-2802967,4-2802963,5-2802956,6-2802984,7-2804818,8-2802964,9-2802971,10-2802975,11-2802981,12-2802624,13-2802636,14-2802955,15-2802945,16-2802936,17-2802918,18-2802892,19-2802866,20-2802839,21-2802845,22-2802861,23-2802872,24-2802881,25-2802885,26-2802851,27-2802823,28-2802783,29-2802757,30-2802733,31-2802706
15-2802945,,,,,,,,,,,,,,,0,0.34574499999999997,0.781721,1.228979,1.608527,1.734515,2.001821,2.23679,2.416271,2.622309,2.914362,3.09676,3.5207810000000004,3.9961,4.234399,4.656995,4.861172
16-2802936,,,,,,,,,,,,,,,,0,0.43597600000000003,0.8832340000000001,1.262782,1.38877,1.656076,1.891045,2.070526,2.276564,2.568617,2.751015,3.1750360000000004,3.6503550000000002,3.8886540000000003,4.31125,4.515427
17-2802918,,,,,,,,,,,,,,,,,0,0.447258,0.8268059999999999,0.9527939999999999,1.2201,1.455069,1.63455,1.840588,2.132641,2.315039,2.7390600000000003,3.214379,3.452678,3.875274,4.079451
18-2802892,,,,,,,,,,,,,,,,,,0,0.379548,0.505536,0.772842,1.007811,1.187292,1.39333,1.6853829999999999,1.867781,2.2918019999999997,2.7671209999999995,3.0054199999999995,3.4280159999999995,3.6321929999999996
19-2802866,,,,,,,,,,,,,,,,,,,0,0.12598800000000002,0.39329400000000003,0.628263,0.807744,1.013782,1.305835,1.4882330000000001,1.9122540000000001,2.387573,2.625872,3.048468,3.2526450000000002
20-2802839,,,,,,,,,,,,,,,,,,,,0,0.267306,0.502275,0.681756,0.887794,1.179847,1.3622450000000002,1.7862660000000001,2.261585,2.499884,2.92248,3.1266570000000002
21-2802845,,,,,,,,,,,,,,,,,,,,,0,0.234969,0.41445,0.6204879999999999,0.9125409999999999,1.0949389999999999,1.5189599999999999,1.9942789999999997,2.2325779999999997,2.6551739999999997,2.8593509999999998
22-2802861,,,,,,,,,,,,,,,,,,,,,,0,0.179481,0.385519,0.6775720000000001,0.8599700000000001,1.283991,1.7593100000000002,1.9976090000000002,2.420205,2.624382
23-2802872,,,,,,,,,,,,,,,,,,,,,,,0,0.206038,0.498091,0.680489,1.1045099999999999,1.5798289999999997,1.8181279999999997,2.2407239999999997,2.4449009999999998
24-2802881,,,,,,,,,,,,,,,,,,,,,,,,0,0.292053,0.474451,0.8984719999999999,1.3737909999999998,1.6120899999999998,2.0346859999999998,2.238863
