순번_정류장ID,1-2800269,2-2804581,3-2804582,4-2800267,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804762,14-2806393,15-2806336,16-2803920,17-2804766,18-2806338,19-2803922,20-2804771,21-2807393,22-2803924,23-2807390,24-2800260,25-2800275,26-2804713,27-2803598,28-2803600,29-2800273,30-2803601,31-2804331,32-2803581,33-2800271,34-2805489,35-2807150,36-2804581,37-2804582,38-2800267,39-2804032
11-2804043,,,,,,,,,,,0,1.080502,1.4543730000000001,1.7047260000000002,2.276152,2.535031,2.7748530000000002,3.0837220000000003,3.3881110000000003,3.6430520000000004,4.015558,4.3009,4.566846,4.763308,4.996036,5.321715,5.499859,6.010994999999999,6.453924,6.656533,6.838149,7.0924689999999995,7.573801,8.080731,8.44498,8.785915,9.087167999999998,9.447356,10.086081
12-2804591,,,,,,,,,,,,0,0.373871,0.6242240000000001,1.19565,1.454529,1.694351,2.00322,2.307609,2.56255,2.935056,3.220398,3.486344,3.682806,3.9155339999999996,4.241212999999999,4.419356999999999,4.9304929999999985,5.373421999999999,5.576030999999999,5.757646999999999,6.0119669999999985,6.493298999999999,7.000228999999998,7.364477999999998,7.705412999999998,8.006666,8.366854,9.005579000000001
13-2804762,,,,,,,,,,,,,0,0.25035300000000005,0.821779,1.0806580000000001,1.32048,1.6293490000000002,1.9337380000000002,2.188679,2.561185,2.846527,3.112473,3.308935,3.541663,3.867342,4.0454859999999995,4.556621999999999,4.999550999999999,5.202159999999999,5.383775999999999,5.638095999999999,6.119427999999999,6.626357999999999,6.990606999999999,7.331541999999999,7.632794999999999,7.992982999999999,8.631708
14-2806393,,,,,,,,,,,,,,0,0.571426,0.830305,1.0701269999999998,1.3789959999999999,1.683385,1.938326,2.310832,2.596174,2.86212,3.058582,3.2913099999999997,3.616989,3.795133,4.3062689999999995,4.749198,4.951807,5.133423,5.3877429999999995,5.869075,6.376004999999999,6.740253999999999,7.081188999999999,7.382441999999999,7.742629999999999,8.381355
15-2806336,,,,,,,,,,,,,,,0,0.25887899999999997,0.49870099999999995,0.8075699999999999,1.111959,1.3668999999999998,1.7394059999999998,2.0247479999999998,2.290694,2.4871559999999997,2.7198839999999995,3.0455629999999996,3.2237069999999997,3.7348429999999997,4.177772,4.380381,4.561997,4.816317,5.297649,5.8045789999999995,6.1688279999999995,6.5097629999999995,6.8110159999999995,7.1712039999999995,7.8099289999999995
16-2803920,,,,,,,,,,,,,,,,0,0.23982199999999998,0.548691,0.8530800000000001,1.108021,1.480527,1.765869,2.031815,2.228277,2.4610049999999997,2.7866839999999997,2.964828,3.475964,3.9188929999999997,4.1215019999999996,4.3031179999999996,4.557437999999999,5.0387699999999995,5.545699999999999,5.909948999999999,6.250883999999999,6.552136999999999,6.912324999999999,7.551049999999999
17-2804766,,,,,,,,,,,,,,,,,0,0.308869,0.613258,0.8681989999999999,1.240705,1.526047,1.791993,1.9884549999999999,2.221183,2.546862,2.725006,3.236142,3.679071,3.88168,4.063295999999999,4.317615999999999,4.798947999999999,5.305877999999999,5.670126999999999,6.011061999999999,6.312314999999999,6.672502999999999,7.311227999999999
18-2806338,,,,,,,,,,,,,,,,,,0,0.30438899999999997,0.5593299999999999,0.9318359999999999,1.2171779999999999,1.4831239999999999,1.6795859999999998,1.9123139999999998,2.237993,2.416137,2.927273,3.370202,3.5728109999999997,3.7544269999999997,4.008747,4.490079,4.997008999999999,5.361257999999999,5.702192999999999,6.003445999999999,6.363633999999999,7.002358999999999
19-2803922,,,,,,,,,,,,,,,,,,,0,0.254941,0.627447,0.912789,1.178735,1.375197,1.607925,1.933604,2.111748,2.622884,3.065813,3.2684219999999997,3.4500379999999997,3.7043579999999996,4.185689999999999,4.692619999999999,5.056868999999999,5.397803999999999,5.699056999999999,6.059244999999999,6.697969999999999
20-2804771,,,,,,,,,,,,,,,,,,,,0,0.372506,0.657848,0.923794,1.120256,1.352984,1.678663,1.856807,2.367943,2.810872,3.0134809999999996,3.1950969999999996,3.4494169999999995,3.9307489999999996,4.437678999999999,4.801927999999999,5.142862999999999,5.444115999999999,5.804303999999999,6.443028999999999
21-2807393,,,,,,,,,,,,,,,,,,,,,0,0.285342,0.551288,0.74775,0.9804780000000001,1.306157,1.484301,1.995437,2.438366,2.6409749999999996,2.8225909999999996,3.0769109999999995,3.5582429999999996,4.065173,4.429422,4.770357,5.07161,5.431798,6.070523
22-2803924,,,,,,,,,,,,,,,,,,,,,,0,0.265946,0.46240800000000004,0.6951360000000001,1.020815,1.198959,1.710095,2.153024,2.3556329999999996,2.5372489999999996,2.7915689999999995,3.2729009999999996,3.7798309999999997,4.14408,4.485015,4.786268,5.146456,5.785181
23-2807390,,,,,,,,,,,,,,,,,,,,,,,0,0.196462,0.42919,0.754869,0.933013,1.444149,1.8870779999999998,2.0896869999999996,2.2713029999999996,2.5256229999999995,3.0069549999999996,3.5138849999999997,3.8781339999999997,4.219068999999999,4.520321999999999,4.880509999999999,5.519234999999999
