순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804164,18-2804166,19-2804656,20-2804168,21-2806206,22-2804171,23-2804173,24-2804745,25-2804177,26-2806147,27-2806148,28-2804178,29-2806374,30-2804180,31-2804182,32-2804184,33-2804744,34-2804746,35-2804640,36-2804188,37-2806152,38-2804190,39-2804192,40-2804642,41-2804796,42-2804323,43-2804320,44-2804319,45-2804317,46-2804314,47-2804739,48-2804312,49-2804310,50-2806209,51-2806211,52-2806210,53-2806208,54-2804309,55-2804747,56-2804305,57-2804302,58-2804301
11-2803684,,,,,,,,,,,0,0.41217299999999996,0.841969,1.446299,2.521279,3.4764929999999996,4.4658549999999995,5.117494,5.587902,5.91263,6.6630400000000005,7.429748,8.222397,8.534191000000002,9.102013000000001,9.678474000000001,9.906456000000002,10.264802000000001,10.513907000000001,10.723744000000002,11.043300000000002,11.498928000000003,12.123313000000003,12.449425000000003,13.014051000000004,13.368029000000003,13.655334000000003,13.830217000000003,14.334116000000003,14.497720000000003,14.889462000000004,15.189212000000003,15.424874000000003,15.616628000000002,15.873896000000002,16.146279000000003,16.335619000000005,16.682542000000005,17.045878000000005,17.971656000000007,18.374851000000007,18.510667000000005,18.717406000000004,19.194800000000004,19.676448000000004,19.966821000000003,20.561272000000002,21.321037000000004
12-2803685,,,,,,,,,,,,0,0.429796,1.034126,2.1091059999999997,3.0643199999999995,4.053681999999999,4.705321,5.175729,5.500457,6.2508669999999995,7.017574999999999,7.810223999999999,8.122017999999999,8.689839999999998,9.266300999999999,9.494283,9.852628999999999,10.101733999999999,10.311570999999999,10.631127,11.086755,11.71114,12.037252,12.601878000000001,12.955856,13.243161,13.418044,13.921943,14.085547,14.477289,14.777039,15.012701,15.204455,15.461723,15.734105999999999,15.923445999999998,16.270369,16.633705,17.559483,17.962678,18.098494,18.305232999999998,18.782626999999998,19.264274999999998,19.554647999999997,20.149098999999996,20.908863999999998
13-2804147,,,,,,,,,,,,,0,0.60433,1.6793099999999999,2.634524,3.6238859999999997,4.275525,4.745933,5.070661,5.821071,6.587778999999999,7.380427999999999,7.692221999999999,8.260043999999999,8.836504999999999,9.064487,9.422832999999999,9.671937999999999,9.881775,10.201331,10.656959,11.281344,11.607456,12.172082000000001,12.526060000000001,12.813365000000001,12.988248,13.492147000000001,13.655751,14.047493000000001,14.347243,14.582905,14.774659,15.031927,15.30431,15.493649999999999,15.840573,16.203909,17.129687,17.532882,17.668698,17.875436999999998,18.352831,18.834478999999998,19.124851999999997,19.719302999999996,20.479067999999998
14-2804149,,,,,,,,,,,,,,0,1.0749799999999998,2.030194,3.0195559999999997,3.671195,4.141603,4.466331,5.216741000000001,5.983449,6.776098,7.087892,7.655714,8.232175,8.460157,8.818503,9.067608,9.277445,9.597001,10.052629000000001,10.677014000000002,11.003126000000002,11.567752000000002,11.921730000000002,12.209035000000002,12.383918000000001,12.887817000000002,13.051421000000001,13.443163000000002,13.742913000000001,13.978575000000001,14.170329,14.427597,14.69998,14.88932,15.236243,15.599579,16.525357,16.928552,17.064367999999998,17.271106999999997,17.748500999999997,18.230148999999997,18.520521999999996,19.114972999999996,19.874737999999997
15-2804151,,,,,,,,,,,,,,,0,0.9552139999999999,1.944576,2.596215,3.066623,3.391351,4.141761,4.908469,5.701118,6.012912,6.580734,7.157195,7.385177,7.743523,7.992628,8.202465,8.522021,8.977649000000001,9.602034000000002,9.928146000000002,10.492772000000002,10.846750000000002,11.134055000000002,11.308938000000001,11.812837000000002,11.976441000000001,12.368183000000002,12.667933000000001,12.903595000000001,13.095349,13.352617,13.625,13.81434,14.161263,14.524599,15.450377,15.853572,15.989388,16.196127,16.673521,17.155169,17.445542,18.039993,18.799758
16-2804162,,,,,,,,,,,,,,,,0,0.9893620000000001,1.6410010000000002,2.111409,2.436137,3.186547,3.953255,4.7459039999999995,5.057697999999999,5.62552,6.201981,6.429963,6.788309,7.037414,7.247251,7.566807000000001,8.022435000000002,8.646820000000002,8.972932000000002,9.537558000000002,9.891536000000002,10.178841000000002,10.353724000000001,10.857623000000002,11.021227000000001,11.412969000000002,11.712719000000002,11.948381000000001,12.140135,12.397403,12.669786,12.859126,13.206049,13.569385,14.495163,14.898358,15.034174,15.240913,15.718307000000001,16.199955000000003,16.490328,17.084779,17.844544000000003
17-2804164,,,,,,,,,,,,,,,,,0,0.6516390000000001,1.122047,1.4467750000000001,2.197185,2.963893,3.756542,4.068336,4.636158,5.212619,5.440601,5.798947,6.048052,6.2578890000000005,6.577445000000001,7.033073000000001,7.657458000000001,7.983570000000001,8.548196,8.902174,9.189479,9.364362,9.868261,10.031865,10.423607,10.723357,10.959019,11.150773,11.408040999999999,11.680423999999999,11.869763999999998,12.216686999999999,12.580022999999999,13.505800999999998,13.908995999999998,14.044811999999999,14.251551,14.728945,15.210593,15.500966,16.095417,16.855182000000003
18-2804166,,,,,,,,,,,,,,,,,,0,0.470408,0.7951360000000001,1.545546,2.3122540000000003,3.104903,3.416697,3.984519,4.56098,4.788962,5.147308,5.396413,5.60625,5.925806000000001,6.3814340000000005,7.005819000000001,7.331931000000001,7.896557000000001,8.250535000000001,8.537840000000001,8.712723,9.216622000000001,9.380226,9.771968000000001,10.071718,10.30738,10.499134,10.756402,11.028785,11.218124999999999,11.565047999999999,11.928384,12.854161999999999,13.257356999999999,13.393172999999999,13.599912,14.077306,14.558954,14.849327,15.443778,16.203543
19-2804656,,,,,,,,,,,,,,,,,,,0,0.324728,1.075138,1.8418459999999999,2.634495,2.9462889999999997,3.5141109999999998,4.090572,4.318554,4.6769,4.926005,5.135842,5.455398000000001,5.911026000000001,6.535411000000001,6.861523000000001,7.4261490000000006,7.780127,8.067432,8.242315,8.746214,8.909818,9.30156,9.60131,9.836972,10.028725999999999,10.285993999999999,10.558376999999998,10.747716999999998,11.094639999999998,11.457975999999999,12.383753999999998,12.786948999999998,12.922764999999998,13.129503999999999,13.606898,14.088546,14.378919,14.97337,15.733134999999999
20-2804168,,,,,,,,,,,,,,,,,,,,0,0.75041,1.517118,2.309767,2.621561,3.189383,3.765844,3.993826,4.3521719999999995,4.601277,4.811114,5.13067,5.586298,6.210683,6.536795000000001,7.101421,7.455399,7.742704,7.917587,8.421486,8.58509,8.976832,9.276582,9.512243999999999,9.703997999999999,9.961265999999998,10.233648999999998,10.422988999999998,10.769911999999998,11.133247999999998,12.059025999999998,12.462220999999998,12.598036999999998,12.804775999999999,13.282169999999999,13.763817999999999,14.054191,14.648641999999999,15.408406999999999
21-2806206,,,,,,,,,,,,,,,,,,,,,0,0.766708,1.5593569999999999,1.8711509999999998,2.438973,3.015434,3.243416,3.601762,3.850867,4.060704,4.380260000000001,4.835888000000001,5.460273000000001,5.786385000000001,6.3510110000000015,6.704989000000001,6.992294000000001,7.1671770000000015,7.671076000000001,7.834680000000001,8.226422000000001,8.526172,8.761834,8.953588,9.210856,9.483239,9.672578999999999,10.019502,10.382838,11.308615999999999,11.711810999999999,11.847627,12.054366,12.53176,13.013408,13.303781,13.898232,14.657997
