순번_정류장ID,54-2804092,55-2804090,56-2806224,57-2804088,58-2804614,59-2804087,60-2803988,61-2803986,62-2803984,63-2803981,64-2806017,65-2805721,66-2805719,67-2803976,68-2803974,69-2803875,70-2800253,71-2803871,72-2804720,73-2806360,74-2803868,75-2803866,76-2803863,77-2803864,78-2800255,79-2803615,80-2803614,81-2803859,82-2806227,83-2803858,84-2803611,85-2803609,86-2806232,87-2803608,88-2803607,89-2803606,90-2806297,91-2803616,92-2803853,93-2803850,94-2803617,95-2806299,96-2803618,97-2806300,98-2803600,99-2800273,100-2803601,101-2804331,102-2803581,103-2800271,104-2805489,105-2807150,106-2804581,107-2804582,108-2800267,109-2804032
64-2806017,,,,,,,,,,,0,0.203096,0.5251859999999999,1.167911,1.602347,1.926744,2.10508,2.446954,3.8536729999999997,4.250617,4.614104,5.05309,5.254796,5.386463,5.928835,6.893156,7.270287000000001,7.497574,8.183626,8.532925,9.715696000000001,10.091948,10.412795000000001,10.924719000000001,11.218001000000001,11.76097,12.085709,12.2846,12.686489,13.274479,13.804668,14.075206,14.392574999999999,15.093336999999998,15.536265999999998,15.738874999999998,15.920490999999998,16.174811,16.656142999999997,17.163072999999997,17.527321999999998,17.868257,18.16951,18.529698,19.168423,19.364521
65-2805721,,,,,,,,,,,,0,0.32209,0.964815,1.399251,1.723648,1.9019840000000001,2.243858,3.650577,4.047521000000001,4.411008000000001,4.849994000000001,5.0517,5.1833670000000005,5.725739000000001,6.690060000000001,7.067191000000001,7.294478000000001,7.980530000000001,8.329829,9.5126,9.888852,10.209699,10.721623000000001,11.014905,11.557874,11.882613,12.081503999999999,12.483393,13.071382999999999,13.601571999999999,13.87211,14.189478999999999,14.890240999999998,15.333169999999997,15.535778999999998,15.717394999999998,15.971714999999998,16.453046999999998,16.959977,17.324226,17.665160999999998,17.966413999999997,18.326601999999998,18.965327,19.161424999999998
66-2805719,,,,,,,,,,,,,0,0.642725,1.077161,1.401558,1.5798940000000001,1.9217680000000001,3.328487,3.725431,4.088918,4.5279039999999995,4.729609999999999,4.861276999999999,5.403649,6.36797,6.745101,6.972388,7.65844,8.007738999999999,9.19051,9.566761999999999,9.887609,10.399533,10.692815,11.235783999999999,11.560522999999998,11.759413999999998,12.161302999999998,12.749292999999998,13.279481999999998,13.550019999999998,13.867388999999998,14.568150999999997,15.011079999999996,15.213688999999997,15.395304999999997,15.649624999999997,16.130956999999995,16.637886999999996,17.002135999999997,17.343070999999995,17.644323999999994,18.004511999999995,18.643236999999996,18.839334999999995
67-2803976,,,,,,,,,,,,,,0,0.434436,0.758833,0.9371689999999999,1.279043,2.685762,3.082706,3.446193,3.885179,4.086885,4.218552,4.760924,5.725245,6.1023760000000005,6.329663,7.015715,7.365014,8.547785000000001,8.924037,9.244884,9.756808000000001,10.05009,10.593059,10.917798,11.116689,11.518578,12.106568,12.636757,12.907295,13.224663999999999,13.925425999999998,14.368354999999998,14.570963999999998,14.752579999999998,15.006899999999998,15.488231999999998,15.995161999999999,16.359410999999998,16.700345999999996,17.001598999999995,17.361786999999996,18.000511999999997,18.196609999999996
68-2803974,,,,,,,,,,,,,,,0,0.324397,0.502733,0.8446069999999999,2.2513259999999997,2.6482699999999997,3.011757,3.4507429999999997,3.652449,3.784116,4.326488,5.290809,5.667940000000001,5.895227,6.581279,6.930578000000001,8.113349000000001,8.489601,8.810448000000001,9.322372000000001,9.615654000000001,10.158623,10.483362,10.682253,11.084142,11.672132,12.202321,12.472859,12.790227999999999,13.490989999999998,13.933918999999998,14.136527999999998,14.318143999999998,14.572463999999998,15.053795999999998,15.560725999999999,15.924974999999998,16.265909999999998,16.567162999999997,16.927350999999998,17.566076,17.762173999999998
69-2803875,,,,,,,,,,,,,,,,0,0.178336,0.52021,1.926929,2.323873,2.68736,3.126346,3.328052,3.459719,4.002091,4.966412,5.343543,5.57083,6.256882,6.606181,7.788952,8.165204,8.486051,8.997975,9.291257,9.834226,10.158964999999998,10.357855999999998,10.759744999999999,11.347734999999998,11.877923999999998,12.148461999999999,12.465830999999998,13.166592999999997,13.609521999999997,13.812130999999997,13.993746999999997,14.248066999999997,14.729398999999997,15.236328999999998,15.600577999999997,15.941512999999997,16.242765999999996,16.602953999999997,17.241678999999998,17.437776999999997
70-2800253,,,,,,,,,,,,,,,,,0,0.34187399999999996,1.748593,2.145537,2.509024,2.94801,3.149716,3.2813830000000004,3.8237550000000002,4.788076,5.1652070000000005,5.392494,6.078546,6.4278450000000005,7.610616,7.986868,8.307715,8.819639,9.112921,9.65589,9.980628999999999,10.179519999999998,10.581408999999999,11.169398999999999,11.699587999999999,11.970125999999999,12.287494999999998,12.988256999999997,13.431185999999997,13.633794999999997,13.815410999999997,14.069730999999997,14.551062999999997,15.057992999999998,15.422241999999997,15.763176999999997,16.064429999999998,16.424618,17.063343,17.259441
71-2803871,,,,,,,,,,,,,,,,,,0,1.406719,1.803663,2.16715,2.606136,2.807842,2.939509,3.4818810000000004,4.446202,4.823333000000001,5.05062,5.736672,6.085971000000001,7.2687420000000005,7.6449940000000005,7.965841,8.477765,8.771047,9.314015999999999,9.638754999999998,9.837645999999998,10.239534999999998,10.827524999999998,11.357713999999998,11.628251999999998,11.945620999999997,12.646382999999997,13.089311999999996,13.291920999999997,13.473536999999997,13.727856999999997,14.209188999999997,14.716118999999997,15.080367999999996,15.421302999999996,15.722555999999997,16.082743999999998,16.721469,16.917567
72-2804720,,,,,,,,,,,,,,,,,,,0,0.396944,0.7604310000000001,1.199417,1.401123,1.5327899999999999,2.0751619999999997,3.0394829999999997,3.4166139999999996,3.6439009999999996,4.329953,4.679252,5.862023,6.238275,6.5591219999999995,7.071045999999999,7.364327999999999,7.907296999999999,8.232035999999999,8.430926999999999,8.832816,9.420805999999999,9.950994999999999,10.221532999999999,10.538901999999998,11.239663999999998,11.682592999999997,11.885201999999998,12.066817999999998,12.321137999999998,12.802469999999998,13.309399999999998,13.673648999999997,14.014583999999997,14.315836999999998,14.676025,15.31475,15.510848
73-2806360,,,,,,,,,,,,,,,,,,,,0,0.363487,0.802473,1.004179,1.135846,1.678218,2.6425389999999997,3.0196699999999996,3.2469569999999996,3.9330089999999998,4.282308,5.465078999999999,5.841330999999999,6.162177999999999,6.674101999999999,6.967383999999999,7.510352999999999,7.8350919999999995,8.033983,8.435872,9.023862,9.554051,9.824589,10.141957999999999,10.842719999999998,11.285648999999998,11.488257999999998,11.669873999999998,11.924193999999998,12.405525999999998,12.912455999999999,13.276704999999998,13.617639999999998,13.918892999999997,14.279080999999998,14.917805999999999,15.113903999999998
