순번_정류장ID,63-2805248,64-2803365,65-2803370,66-2803373,67-2803375,68-2803378,69-2803142,70-2806165,71-2803367,72-2803368,73-2803371,74-2805243,75-2803363,76-2806596,77-2804983,78-2804932,79-2805302,80-2807338,81-2803379,82-2803381,83-2807010,84-2805325,85-2803211,86-2804850,87-2803212,88-2803210,89-2803361,90-2807505,91-2807521,92-2806171,93-2800565,94-2806015,95-2800567,96-2807460,97-2800347,98-2800346,99-2805193,100-2800592,101-2805250,102-2805252,103-2805254,104-2800680,105-2800722,106-2807301,107-2803514,108-2803093,109-2803107,110-2803121,111-2803125,112-2803225,113-2803233,114-2803124,115-2803100,116-2803087,117-2802637,118-2802652,119-2802647,120-2802648,121-2802649,122-2800819,123-2800815,124-2800817,125-2801800
73-2803371,,,,,,,,,,,0,0.335769,1.107887,1.680973,2.084561,2.5530049999999997,3.663073,5.246389,5.792324,6.30908,6.748444999999999,10.662427,11.455708999999999,14.599972999999999,15.053396,16.691776,16.991083,28.281364,38.0167,38.863259,40.354299,40.720707,40.91654,41.160135999999994,41.40543999999999,41.66390499999999,42.008934999999994,42.343002999999996,43.101147,43.541517,44.005002,45.977906,46.785433,48.728502,49.25144,50.053586,50.315149000000005,50.50888700000001,50.91128700000001,51.09786000000001,51.530155000000015,52.308152000000014,52.82870900000001,53.12035900000001,53.604468000000004,53.801252000000005,54.196228000000005,54.651088,54.959999,56.243545000000005,56.496028,57.021055000000004,57.31112400000001
74-2805243,,,,,,,,,,,,0,0.7721180000000001,1.345204,1.7487920000000001,2.217236,3.3273040000000003,4.91062,5.456555,5.973311,6.412675999999999,10.326657999999998,11.119939999999998,14.264203999999998,14.717626999999998,16.356006999999998,16.655313999999997,27.945594999999997,37.680931,38.52749,40.01853,40.384938,40.580771,40.824366999999995,41.06967099999999,41.32813599999999,41.673165999999995,42.007234,42.765378,43.205748,43.669233,45.642137,46.449664,48.392733,48.915671,49.717817000000004,49.979380000000006,50.17311800000001,50.57551800000001,50.76209100000001,51.194386000000016,51.972383000000015,52.49294000000001,52.78459000000001,53.268699000000005,53.465483000000006,53.860459000000006,54.315319,54.624230000000004,55.907776000000005,56.160259,56.685286000000005,56.97535500000001
75-2803363,,,,,,,,,,,,,0,0.573086,0.976674,1.445118,2.555186,4.138502,4.684437,5.201193,5.6405579999999995,9.55454,10.347821999999999,13.492085999999999,13.945509,15.583889,15.883196,27.173477,36.908812999999995,37.755371999999994,39.24641199999999,39.61281999999999,39.80865299999999,40.05224899999999,40.297552999999986,40.55601799999999,40.90104799999999,41.23511599999999,41.99325999999999,42.433629999999994,42.89711499999999,44.87001899999999,45.67754599999999,47.620614999999994,48.143553,48.945699,49.207262,49.401,49.8034,49.989973000000006,50.42226800000001,51.20026500000001,51.720822000000005,52.012472,52.496581,52.693365,53.088341,53.543200999999996,53.852112,55.135658,55.388141,55.913168,56.203237
76-2806596,,,,,,,,,,,,,,0,0.403588,0.8720319999999999,1.9821,3.565416,4.111351,4.628107,5.0674719999999995,8.981454,9.774735999999999,12.918999999999999,13.372423,15.010803,15.31011,26.600391000000002,36.335727000000006,37.182286000000005,38.673326,39.039734,39.235567,39.479163,39.724467,39.982932,40.327962,40.66203,41.420174,41.860544000000004,42.324029,44.296933,45.10446,47.047529000000004,47.57046700000001,48.37261300000001,48.63417600000001,48.827914000000014,49.230314000000014,49.41688700000002,49.84918200000002,50.62717900000002,51.147736000000016,51.43938600000001,51.92349500000001,52.12027900000001,52.51525500000001,52.97011500000001,53.27902600000001,54.56257200000001,54.81505500000001,55.34008200000001,55.63015100000001
77-2804983,,,,,,,,,,,,,,,0,0.46844399999999997,1.578512,3.161828,3.707763,4.224519,4.6638839999999995,8.577866,9.371148,12.515412,12.968835,14.607215,14.906522,26.196803000000003,35.93213900000001,36.778698000000006,38.269738000000004,38.636146000000004,38.831979000000004,39.075575,39.320879,39.579344,39.924374,40.258442,41.016586000000004,41.456956000000005,41.920441000000004,43.893345000000004,44.700872000000004,46.643941000000005,47.16687900000001,47.96902500000001,48.23058800000001,48.424326000000015,48.826726000000015,49.01329900000002,49.44559400000002,50.22359100000002,50.74414800000002,51.035798000000014,51.51990700000001,51.71669100000001,52.11166700000001,52.56652700000001,52.87543800000001,54.15898400000001,54.41146700000001,54.93649400000001,55.22656300000001
78-2804932,,,,,,,,,,,,,,,,0,1.110068,2.693384,3.239319,3.756075,4.19544,8.109421999999999,8.902703999999998,12.046967999999998,12.500390999999999,14.138770999999998,14.438077999999999,25.728358999999998,35.463695,36.310254,37.801294,38.167702,38.363535,38.607130999999995,38.85243499999999,39.110899999999994,39.455929999999995,39.789998,40.548142,40.988512,41.451997,43.424901,44.232428,46.175497,46.698435,47.500581000000004,47.762144000000006,47.95588200000001,48.35828200000001,48.54485500000001,48.977150000000016,49.755147000000015,50.27570400000001,50.56735400000001,51.051463000000005,51.248247000000006,51.643223000000006,52.098083,52.406994000000005,53.690540000000006,53.943023000000004,54.468050000000005,54.75811900000001
79-2805302,,,,,,,,,,,,,,,,,0,1.583316,2.129251,2.646007,3.085372,6.999354,7.792636,10.9369,11.390323,13.028703,13.32801,24.618291,34.353627,35.200186,36.691226,37.057634,37.253467,37.497063,37.742366999999994,38.000831999999996,38.345862,38.67993,39.438074,39.878444,40.341929,42.314833,43.12236,45.065429,45.588367000000005,46.390513000000006,46.65207600000001,46.84581400000001,47.24821400000001,47.434787000000014,47.86708200000002,48.64507900000002,49.16563600000001,49.45728600000001,49.94139500000001,50.13817900000001,50.53315500000001,50.988015000000004,51.296926000000006,52.58047200000001,52.832955000000005,53.35798200000001,53.64805100000001
80-2807338,,,,,,,,,,,,,,,,,,0,0.5459350000000001,1.062691,1.502056,5.416038,6.20932,9.353584,9.807007,11.445387,11.744694,23.034975000000003,32.77031100000001,33.616870000000006,35.107910000000004,35.474318000000004,35.670151000000004,35.913747,36.159051,36.417516,36.762546,37.096614,37.854758000000004,38.295128000000005,38.758613000000004,40.731517000000004,41.539044000000004,43.482113000000005,44.00505100000001,44.80719700000001,45.06876000000001,45.262498000000015,45.664898000000015,45.85147100000002,46.28376600000002,47.06176300000002,47.58232000000002,47.873970000000014,48.35807900000001,48.55486300000001,48.94983900000001,49.40469900000001,49.71361000000001,50.99715600000001,51.24963900000001,51.77466600000001,52.06473500000001
81-2803379,,,,,,,,,,,,,,,,,,,0,0.516756,0.956121,4.870103,5.663385,8.807649,9.261072,10.899452,11.198759,22.489040000000003,32.22437600000001,33.070935000000006,34.561975000000004,34.928383000000004,35.124216000000004,35.367812,35.613116,35.871581,36.216611,36.550679,37.308823000000004,37.749193000000005,38.212678000000004,40.185582000000004,40.993109000000004,42.936178000000005,43.45911600000001,44.26126200000001,44.52282500000001,44.716563000000015,45.118963000000015,45.30553600000002,45.73783100000002,46.51582800000002,47.03638500000002,47.328035000000014,47.81214400000001,48.00892800000001,48.40390400000001,48.85876400000001,49.16767500000001,50.45122100000001,50.70370400000001,51.22873100000001,51.51880000000001
82-2803381,,,,,,,,,,,,,,,,,,,,0,0.43936499999999995,4.353346999999999,5.146628999999999,8.290892999999999,8.744316,10.382696,10.682003,21.972284000000002,31.707620000000002,32.554179000000005,34.045219,34.411627,34.60746,34.851056,35.09636,35.354825,35.699855,36.033923,36.792067,37.232437000000004,37.695922,39.668826,40.476353,42.419422000000004,42.94236000000001,43.74450600000001,44.00606900000001,44.199807000000014,44.602207000000014,44.78878000000002,45.22107500000002,45.99907200000002,46.519629000000016,46.81127900000001,47.29538800000001,47.49217200000001,47.88714800000001,48.34200800000001,48.65091900000001,49.93446500000001,50.18694800000001,50.71197500000001,51.00204400000001
83-2807010,,,,,,,,,,,,,,,,,,,,,0,3.913982,4.7072639999999994,7.851527999999999,8.304950999999999,9.943330999999999,10.242638,21.532919,31.268255,32.114814,33.605854,33.972262,34.168095,34.411691,34.656994999999995,34.915459999999996,35.26049,35.594558,36.352702,36.793072,37.256557,39.229461,40.036988,41.980057,42.502995000000006,43.305141000000006,43.56670400000001,43.76044200000001,44.16284200000001,44.349415000000015,44.78171000000002,45.55970700000002,46.080264000000014,46.37191400000001,46.85602300000001,47.05280700000001,47.44778300000001,47.90264300000001,48.211554000000014,49.495100000000015,49.74758300000001,50.272610000000014,50.56267900000002
84-2805325,,,,,,,,,,,,,,,,,,,,,,0,0.7932819999999999,3.9375459999999998,4.390969,6.029349,6.328656,17.618937,27.354273,28.200832,29.691871999999996,30.058279999999996,30.254112999999997,30.497708999999997,30.743012999999998,31.001478,31.346508,31.680576,32.438719999999996,32.87909,33.342575,35.315478999999996,36.123006,38.066075,38.589013,39.391159,39.652722000000004,39.84646000000001,40.24886000000001,40.43543300000001,40.867728000000014,41.64572500000001,42.16628200000001,42.45793200000001,42.942041,43.138825000000004,43.533801000000004,43.98866100000001,44.29757200000001,45.58111800000001,45.83360100000001,46.35862800000001,46.64869700000001
85-2803211,,,,,,,,,,,,,,,,,,,,,,,0,3.1442639999999997,3.5976869999999996,5.236066999999999,5.535373999999999,16.825654999999998,26.560990999999998,27.407549999999997,28.89859,29.264998,29.460831,29.704427,29.949731,30.208196,30.553226000000002,30.887294,31.645438000000002,32.085808,32.549293,34.522197,35.329724,37.272793,37.795731,38.597877000000004,38.859440000000006,39.05317800000001,39.45557800000001,39.64215100000001,40.074446000000016,40.852443000000015,41.37300000000001,41.66465000000001,42.148759000000005,42.345543000000006,42.740519000000006,43.195379,43.504290000000005,44.787836000000006,45.040319000000004,45.565346000000005,45.85541500000001
86-2804850,,,,,,,,,,,,,,,,,,,,,,,,0,0.45342299999999996,2.091803,2.3911100000000003,13.681391000000001,23.416727,24.263286,25.754326,26.120734,26.316567,26.560163,26.805467,27.063932,27.408962000000002,27.74303,28.501174000000002,28.941544000000004,29.405029000000003,31.377933000000002,32.18546,34.128529,34.651467000000004,35.453613000000004,35.71517600000001,35.90891400000001,36.31131400000001,36.49788700000001,36.930182000000016,37.708179000000015,38.22873600000001,38.52038600000001,39.004495000000006,39.20127900000001,39.596255000000006,40.05111500000001,40.36002600000001,41.64357200000001,41.89605500000001,42.42108200000001,42.711151000000015
87-2803212,,,,,,,,,,,,,,,,,,,,,,,,,0,1.63838,1.937687,13.227968,22.963304,23.809863,25.300902999999998,25.667310999999998,25.863144,26.10674,26.352044,26.610509,26.955539,27.289607,28.047751,28.488121000000003,28.951606,30.92451,31.732037000000002,33.675106,34.198044,35.00019,35.261753000000006,35.45549100000001,35.85789100000001,36.04446400000001,36.476759000000015,37.254756000000015,37.77531300000001,38.06696300000001,38.551072000000005,38.747856000000006,39.142832000000006,39.59769200000001,39.90660300000001,41.19014900000001,41.44263200000001,41.96765900000001,42.257728000000014
88-2803210,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.299307,11.589588000000001,21.324924000000003,22.171483000000002,23.662523,24.028931,24.224764,24.46836,24.713664,24.972129000000002,25.317159000000004,25.651227000000002,26.409371000000004,26.849741000000005,27.313226000000004,29.286130000000004,30.093657000000004,32.036726,32.559664000000005,33.361810000000006,33.62337300000001,33.81711100000001,34.21951100000001,34.406084000000014,34.83837900000002,35.61637600000002,36.13693300000001,36.42858300000001,36.91269200000001,37.10947600000001,37.50445200000001,37.95931200000001,38.26822300000001,39.551769000000014,39.80425200000001,40.329279000000014,40.619348000000016
89-2803361,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11.290281,21.025617,21.872176,23.363216,23.729624,23.925457,24.169053,24.414357000000003,24.672822000000004,25.017852000000005,25.351920000000003,26.110064000000005,26.550434000000006,27.013919000000005,28.986823000000005,29.794350000000005,31.737419000000006,32.260357000000006,33.06250300000001,33.32406600000001,33.51780400000001,33.92020400000001,34.106777000000015,34.53907200000002,35.31706900000002,35.837626000000014,36.12927600000001,36.61338500000001,36.81016900000001,37.20514500000001,37.66000500000001,37.968916000000014,39.252462000000016,39.50494500000001,40.029972000000015,40.32004100000002
90-2807505,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.735336,10.581895,12.072935,12.439343,12.635176,12.878772,13.124076,13.382541,13.727571,14.061639,14.819783,15.260152999999999,15.723638,17.696542,18.504069,20.447138000000002,20.970076000000002,21.772222000000003,22.033785,22.227523,22.629923,22.816496,23.248791,24.026788,24.547345,24.838995,25.323104,25.519888,25.914864,26.369724,26.678635,27.962181,28.214664000000003,28.739691000000004,29.029760000000003
91-2807521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8465590000000001,2.337599,2.704007,2.8998399999999998,3.143436,3.38874,3.647205,3.992235,4.326303,5.084447,5.524817,5.988302,7.961206,8.768733,10.711801999999999,11.234739999999999,12.036885999999999,12.298449,12.492187,12.894587,13.081159999999999,13.513454999999999,14.291452,14.812009,15.103659,15.587768,15.784552,16.179528,16.634388,16.943299,18.226845,18.479328000000002,19.004355000000004,19.294424000000003
92-2806171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.49104,1.857448,2.053281,2.2968770000000003,2.5421810000000002,2.8006460000000004,3.1456760000000004,3.479744,4.237888,4.678258,5.141743,7.114647,7.922174,9.865243,10.388181,11.190327,11.45189,11.645628,12.048028,12.234601,12.666896,13.444893,13.96545,14.257100000000001,14.741209000000001,14.937993,15.332969,15.787829,16.09674,17.380286,17.632769000000003,18.157796000000005,18.447865000000004
93-2800565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.366408,0.562241,0.805837,1.051141,1.309606,1.654636,1.988704,2.746848,3.187218,3.650703,5.623607,6.431134,8.374203,8.897141,9.699287,9.96085,10.154588,10.556988,10.743561,11.175856,11.953852999999999,12.474409999999999,12.76606,13.250169,13.446952999999999,13.841928999999999,14.296788999999999,14.605699999999999,15.889245999999998,16.141728999999998,16.666756,16.956825
94-2806015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.19583299999999998,0.43942899999999996,0.6847329999999999,0.943198,1.288228,1.622296,2.38044,2.8208100000000003,3.284295,5.257199,6.064726,8.007795,8.530733,9.332879,9.594442,9.78818,10.19058,10.377153,10.809448,11.587444999999999,12.108001999999999,12.399652,12.883761,13.080544999999999,13.475520999999999,13.930380999999999,14.239291999999999,15.522837999999998,15.775320999999998,16.300348,16.590417
95-2800567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.243596,0.4889,0.7473650000000001,1.092395,1.426463,2.1846069999999997,2.624977,3.088462,5.061366,5.868893,7.811961999999999,8.3349,9.137046,9.398609,9.592347,9.994747,10.18132,10.613615,11.391611999999999,11.912168999999999,12.203819,12.687928,12.884711999999999,13.279687999999998,13.734547999999998,14.043458999999999,15.327004999999998,15.579487999999998,16.104515,16.394584
96-2807460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.245304,0.503769,0.8487990000000001,1.1828670000000001,1.941011,2.381381,2.844866,4.81777,5.625297000000001,7.568366000000001,8.091304000000001,8.893450000000001,9.155013000000002,9.348751000000002,9.751151000000002,9.937724000000001,10.370019000000001,11.148016000000002,11.668573000000002,11.960223000000003,12.444332000000003,12.641116000000002,13.036092000000002,13.490952000000002,13.799863000000002,15.083409000000001,15.335892000000001,15.860919,16.150988
97-2800347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.258465,0.603495,0.9375629999999999,1.6957069999999999,2.136077,2.5995619999999997,4.5724659999999995,5.379993,7.323062,7.846,8.648146,8.909709000000001,9.103447000000001,9.505847000000001,9.69242,10.124715,10.902712000000001,11.423269000000001,11.714919000000002,12.199028000000002,12.395812000000001,12.790788000000001,13.245648000000001,13.554559000000001,14.838105,15.090588,15.615615,15.905684
98-2800346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.34503,0.679098,1.437242,1.8776119999999998,2.341097,4.314001,5.1215280000000005,7.064597000000001,7.587535000000001,8.389681000000001,8.651244000000002,8.844982000000002,9.247382000000002,9.433955000000001,9.86625,10.644247,11.164804,11.456454,11.940563000000001,12.137347,12.532323,12.987183,13.296094,14.57964,14.832123,15.357149999999999,15.647219
