순번_정류장ID,1-2801796,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2801438,17-2805321,18-2801462,19-2804438,20-2803644,21-2803555,22-2800688,23-2805582,24-2800715,25-2800729,26-2807073,27-2807056,28-2800799,29-2800804,30-2803056,31-2802651,32-2802638,33-2803669,34-2803046,35-2803045,36-2803071,37-2803082,38-2803093,39-2803107,40-2803121,41-2803125,42-2803232,43-2803181,44-2803254,45-2803258,46-2803263,47-2806495,48-2802802,49-2802806,50-2802840,51-2802886,52-2802934,53-2802984,54-2803020,55-2802429,56-2802467,57-2802470,58-2802465,59-2802463,60-2802460,61-2802450,62-2802455,63-2802438,64-2803517,65-2802422,66-2802418,67-2802415,68-2802412,69-2802372,70-2802474,71-2802487,72-2802530,73-2802546,74-2802562,75-2802571,76-2802581,77-2804851,78-2802588,79-2806672
11-2801665,,,,,,,,,,,0,0.64495,1.178622,1.48963,1.8088549999999999,2.2459919999999998,2.844608,3.180013,3.743817,5.795821999999999,6.4710909999999995,7.067106999999999,7.2701459999999996,7.440237,7.672546,8.287839,8.749207,9.21901,9.455052,9.818814,10.320935,10.539919000000001,10.899966000000001,11.218031000000002,11.343698000000002,11.509250000000002,11.811016000000002,12.213963000000001,12.475526000000002,12.669264000000002,13.320664000000003,13.754571000000002,14.159771000000003,14.491067000000003,14.853790000000004,15.167786000000003,15.522089000000003,15.809186000000002,16.260609000000002,16.789106000000004,17.191004000000003,17.684848000000002,17.954710000000002,18.43655,19.437637000000002,19.965889,20.542791,20.832890000000003,21.030933,21.295012,21.694475999999998,22.038549999999997,22.435125999999997,22.748151999999997,23.406465999999998,23.683334,24.035384999999998,24.395232999999998,24.849645,25.244728,25.463369,25.87954,26.385016999999998,26.708790999999998,27.002298999999997,27.442646999999997,28.101202999999998,28.485132999999998,28.633943
12-2801604,,,,,,,,,,,,0,0.533672,0.8446800000000001,1.1639050000000002,1.601042,2.1996580000000003,2.5350630000000005,3.0988670000000003,5.150872,5.826141,6.4221569999999994,6.625196,6.795287,7.027596,7.642889,8.104257,8.574060000000001,8.810102,9.173864,9.675985,9.894969000000001,10.255016000000001,10.573081000000002,10.698748000000002,10.864300000000002,11.166066000000002,11.569013000000002,11.830576000000002,12.024314000000002,12.675714000000003,13.109621000000002,13.514821000000003,13.846117000000003,14.208840000000004,14.522836000000003,14.877139000000003,15.164236000000002,15.615659000000003,16.144156000000002,16.546054,17.039898,17.30976,17.7916,18.792687,19.320939,19.897841,20.18794,20.385983,20.650062,21.049525999999997,21.393599999999996,21.790175999999995,22.103201999999996,22.761515999999997,23.038383999999997,23.390434999999997,23.750282999999996,24.204694999999997,24.599777999999997,24.818419,25.234589999999997,25.740066999999996,26.063840999999996,26.357348999999996,26.797696999999996,27.456252999999997,27.840182999999996,27.988992999999997
13-2801520,,,,,,,,,,,,,0,0.311008,0.630233,1.06737,1.665986,2.001391,2.565195,4.6172,5.2924690000000005,5.888485,6.091524000000001,6.261615000000001,6.493924000000001,7.109217000000001,7.570585000000001,8.040388000000002,8.276430000000001,8.640192,9.142313000000001,9.361297000000002,9.721344000000002,10.039409000000003,10.165076000000003,10.330628000000003,10.632394000000003,11.035341000000003,11.296904000000003,11.490642000000003,12.142042000000004,12.575949000000003,12.981149000000004,13.312445000000004,13.675168000000005,13.989164000000004,14.343467000000004,14.630564000000003,15.081987000000003,15.610484000000003,16.012382000000002,16.506226,16.776088,17.257928,18.259014999999998,18.787266999999996,19.364168999999997,19.654268,19.852310999999997,20.116389999999996,20.515853999999994,20.859927999999993,21.256503999999993,21.569529999999993,22.227843999999994,22.504711999999994,22.856762999999994,23.216610999999993,23.671022999999995,24.066105999999994,24.284746999999996,24.700917999999994,25.206394999999993,25.530168999999994,25.823676999999993,26.264024999999993,26.922580999999994,27.306510999999993,27.455320999999994
14-2801485,,,,,,,,,,,,,,0,0.319225,0.756362,1.354978,1.690383,2.254187,4.306191999999999,4.9814609999999995,5.577476999999999,5.7805159999999995,5.950607,6.182916,6.798209,7.259577,7.72938,7.965422,8.329184,8.831305,9.050289000000001,9.410336000000001,9.728401000000002,9.854068000000002,10.019620000000002,10.321386000000002,10.724333000000001,10.985896000000002,11.179634000000002,11.831034000000002,12.264941000000002,12.670141000000003,13.001437000000003,13.364160000000004,13.678156000000003,14.032459000000003,14.319556000000002,14.770979000000002,15.299476000000002,15.701374000000001,16.195218,16.46508,16.94692,17.948006999999997,18.476258999999995,19.053160999999996,19.343259999999997,19.541302999999996,19.805381999999994,20.204845999999993,20.548919999999992,20.94549599999999,21.258521999999992,21.916835999999993,22.193703999999993,22.545754999999993,22.905602999999992,23.360014999999994,23.755097999999993,23.973738999999995,24.389909999999993,24.895386999999992,25.219160999999993,25.512668999999992,25.953016999999992,26.611572999999993,26.995502999999992,27.144312999999993
15-2801450,,,,,,,,,,,,,,,0,0.437137,1.0357530000000001,1.371158,1.934962,3.986967,4.662236,5.258252,5.461291,5.631382,5.863691,6.4789840000000005,6.940352000000001,7.4101550000000005,7.646197000000001,8.009959,8.512080000000001,8.731064000000002,9.091111000000001,9.409176000000002,9.534843000000002,9.700395000000002,10.002161000000003,10.405108000000002,10.666671000000003,10.860409000000002,11.511809000000003,11.945716000000003,12.350916000000003,12.682212000000003,13.044935000000004,13.358931000000004,13.713234000000003,14.000331000000003,14.451754000000003,14.980251000000003,15.382149000000002,15.875993000000001,16.145855,16.627695,17.628782,18.157034,18.733936,19.024035,19.222078,19.486157,19.885620999999997,20.229694999999996,20.626270999999996,20.939296999999996,21.597610999999997,21.874478999999997,22.226529999999997,22.586377999999996,23.040789999999998,23.435872999999997,23.654514,24.070684999999997,24.576161999999997,24.899935999999997,25.193443999999996,25.633791999999996,26.292347999999997,26.676277999999996,26.825087999999997
16-2801438,,,,,,,,,,,,,,,,0,0.598616,0.934021,1.497825,3.54983,4.225099,4.821115,5.024154,5.1942450000000004,5.426554,6.041847000000001,6.503215000000001,6.973018000000001,7.209060000000001,7.572822000000001,8.074943000000001,8.293927000000002,8.653974000000002,8.972039000000002,9.097706000000002,9.263258000000002,9.565024000000003,9.967971000000002,10.229534000000003,10.423272000000003,11.074672000000003,11.508579000000003,11.913779000000003,12.245075000000003,12.607798000000004,12.921794000000004,13.276097000000004,13.563194000000003,14.014617000000003,14.543114000000003,14.945012000000002,15.438856000000001,15.708718000000001,16.190558,17.191645,17.719897,18.296799,18.586898,18.784941,19.04902,19.448483999999997,19.792557999999996,20.189133999999996,20.502159999999996,21.160473999999997,21.437341999999997,21.789392999999997,22.149240999999996,22.603652999999998,22.998735999999997,23.217377,23.633547999999998,24.139024999999997,24.462798999999997,24.756306999999996,25.196654999999996,25.855210999999997,26.239140999999996,26.387950999999997
17-2805321,,,,,,,,,,,,,,,,,0,0.335405,0.8992089999999999,2.951214,3.626483,4.222499,4.425538,4.595629000000001,4.8279380000000005,5.443231000000001,5.904599000000001,6.374402000000001,6.610444000000001,6.9742060000000015,7.476327000000001,7.695311000000001,8.055358000000002,8.373423000000003,8.499090000000002,8.664642000000002,8.966408000000003,9.369355000000002,9.630918000000003,9.824656000000003,10.476056000000003,10.909963000000003,11.315163000000004,11.646459000000004,12.009182000000004,12.323178000000004,12.677481000000004,12.964578000000003,13.416001000000003,13.944498000000003,14.346396000000002,14.840240000000001,15.110102000000001,15.591942000000001,16.593029,17.121281,17.698183,17.988282,18.186325,18.450404,18.849867999999997,19.193941999999996,19.590517999999996,19.903543999999997,20.561857999999997,20.838725999999998,21.190776999999997,21.550624999999997,22.005036999999998,22.400119999999998,22.618761,23.034931999999998,23.540408999999997,23.864182999999997,24.157690999999996,24.598038999999996,25.256594999999997,25.640524999999997,25.789334999999998
18-2801462,,,,,,,,,,,,,,,,,,0,0.563804,2.6158089999999996,3.2910779999999997,3.887094,4.090133,4.260224,4.492533,5.107826,5.569194,6.038997,6.2750390000000005,6.638801000000001,7.140922000000001,7.3599060000000005,7.719953,8.038018000000001,8.163685000000001,8.329237000000001,8.631003000000002,9.03395,9.295513000000001,9.489251000000001,10.140651000000002,10.574558000000001,10.979758000000002,11.311054000000002,11.673777000000003,11.987773000000002,12.342076000000002,12.629173000000002,13.080596000000002,13.609093000000001,14.010991,14.504835,14.774697,15.256537,16.257624,16.785876,17.362778,17.652877,17.85092,18.114998999999997,18.514462999999996,18.858536999999995,19.255112999999994,19.568138999999995,20.226452999999996,20.503320999999996,20.855371999999996,21.215219999999995,21.669631999999996,22.064714999999996,22.283355999999998,22.699526999999996,23.205003999999995,23.528777999999996,23.822285999999995,24.262633999999995,24.921189999999996,25.305119999999995,25.453929999999996
19-2804438,,,,,,,,,,,,,,,,,,,0,2.052005,2.727274,3.32329,3.526329,3.6964200000000003,3.928729,4.544022,5.00539,5.475193,5.711235,6.074997000000001,6.5771180000000005,6.796102,7.156149,7.474214,7.599881,7.765433,8.067199,8.470146,8.731709,8.925447,9.576847,10.010754,10.415954000000001,10.747250000000001,11.109973000000002,11.423969000000001,11.778272000000001,12.065369,12.516792,13.045289,13.447187,13.941030999999999,14.210892999999999,14.692732999999999,15.693819999999999,16.222071999999997,16.798973999999998,17.089073,17.287115999999997,17.551194999999996,17.950658999999995,18.294732999999994,18.691308999999993,19.004334999999994,19.662648999999995,19.939516999999995,20.291567999999994,20.651415999999994,21.105827999999995,21.500910999999995,21.719551999999997,22.135722999999995,22.641199999999994,22.964973999999994,23.258481999999994,23.698829999999994,24.357385999999995,24.741315999999994,24.890125999999995
20-2803644,,,,,,,,,,,,,,,,,,,,0,0.675269,1.271285,1.474324,1.644415,1.876724,2.492017,2.9533850000000004,3.4231880000000006,3.6592300000000004,4.022992,4.525113,4.744097,5.104144,5.422209,5.547876,5.7134279999999995,6.015193999999999,6.418140999999999,6.679703999999999,6.873441999999999,7.524841999999999,7.958748999999998,8.363948999999998,8.695244999999998,9.057967999999999,9.371963999999998,9.726266999999998,10.013363999999997,10.464786999999998,10.993283999999997,11.395181999999997,11.889025999999996,12.158887999999996,12.640727999999996,13.641814999999996,14.170066999999996,14.746968999999996,15.037067999999996,15.235110999999996,15.499189999999997,15.898653999999997,16.242727999999996,16.639303999999996,16.952329999999996,17.610643999999997,17.887511999999997,18.239562999999997,18.599410999999996,19.053822999999998,19.448905999999997,19.667547,20.083717999999998,20.589194999999997,20.912968999999997,21.206476999999996,21.646824999999996,22.305380999999997,22.689310999999996,22.838120999999997
