순번_정류장ID,1-2800648,2-2800328,3-2800640,4-2800634,5-2800624,6-2800619,7-2806214,8-2806242,9-2806244,10-2801157,11-2801155,12-2801151,13-2801145,14-2806923,15-2806925,16-2801129,17-2806922,18-2801115,19-2801098,20-2801070,21-2801041,22-2801025,23-2801029,24-2801014,25-2801002,26-2800973,27-2800961,28-2800957,29-2800953,30-2800950,31-2800945,32-2800942,33-2800937,34-2800935,35-2800931,36-2800930,37-2800932,38-2806921,39-2806896,40-2800875,41-2800826,42-2800919,43-2800914,44-2800911,45-2800904,46-2800889
21-2801041,,,,,,,,,,,,,,,,,,,,,0,0.228379,0.479931,0.658735,0.980969,1.210578,1.352563,1.5177829999999999,1.6998659999999999,1.889004,2.242908,2.567504,2.778501,2.9818689999999997,3.2241579999999996,3.394417,3.840648,4.611439,5.007092,5.203666,5.667852,6.08666,6.250859,6.787896,7.176961,7.413081
22-2801025,,,,,,,,,,,,,,,,,,,,,,0,0.251552,0.43035599999999996,0.75259,0.982199,1.124184,1.289404,1.471487,1.660625,2.014529,2.339125,2.550122,2.75349,2.995779,3.1660380000000004,3.6122690000000004,4.38306,4.778713000000001,4.975287000000001,5.4394730000000004,5.858281000000001,6.022480000000001,6.5595170000000005,6.948582,7.184702
23-2801029,,,,,,,,,,,,,,,,,,,,,,,0,0.178804,0.501038,0.730647,0.8726320000000001,1.037852,1.219935,1.409073,1.762977,2.087573,2.29857,2.501938,2.744227,2.914486,3.360717,4.131508,4.527161,4.7237350000000005,5.187921,5.6067290000000005,5.7709280000000005,6.307965,6.69703,6.9331499999999995
24-2801014,,,,,,,,,,,,,,,,,,,,,,,,0,0.322234,0.5518430000000001,0.6938280000000001,0.8590480000000001,1.041131,1.230269,1.584173,1.908769,2.119766,2.3231339999999996,2.5654229999999996,2.7356819999999997,3.1819129999999998,3.9527039999999998,4.348357,4.544931,5.009117,5.427925,5.592124,6.129161,6.518226,6.754346
25-2801002,,,,,,,,,,,,,,,,,,,,,,,,,0,0.229609,0.371594,0.536814,0.718897,0.908035,1.261939,1.586535,1.797532,2.0008999999999997,2.2431889999999997,2.413448,2.859679,3.63047,4.026123,4.222697,4.686883,5.105691,5.26989,5.806927,6.195992,6.432112
26-2800973,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.141985,0.307205,0.489288,0.678426,1.03233,1.356926,1.567923,1.771291,2.01358,2.1838390000000003,2.6300700000000004,3.4008610000000004,3.796514,3.993088,4.457274,4.876082,5.040281,5.577318,5.966383,6.202503
27-2800961,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16522,0.34730300000000003,0.5364410000000001,0.890345,1.214941,1.425938,1.629306,1.871595,2.041854,2.488085,3.258876,3.654529,3.851103,4.315289,4.734097,4.898296,5.435333,5.824398,6.060518
28-2800957,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.182083,0.371221,0.725125,1.049721,1.2607179999999998,1.4640859999999998,1.7063749999999998,1.8766339999999997,2.3228649999999997,3.0936559999999997,3.4893089999999995,3.6858829999999996,4.150068999999999,4.568877,4.733076,5.270112999999999,5.659177999999999,5.895297999999999
29-2800953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.189138,0.543042,0.867638,1.078635,1.282003,1.524292,1.694551,2.1407819999999997,2.9115729999999997,3.307226,3.5038,3.967986,4.386794,4.550993,5.08803,5.477095,5.713215
30-2800950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.353904,0.6785,0.889497,1.092865,1.335154,1.505413,1.951644,2.722435,3.118088,3.314662,3.778848,4.197656,4.361855,4.898892,5.2879570000000005,5.524077
31-2800945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.324596,0.535593,0.738961,0.98125,1.151509,1.59774,2.368531,2.764184,2.9607580000000002,3.424944,3.843752,4.007951,4.544988,4.9340530000000005,5.170173
32-2800942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.210997,0.414365,0.656654,0.826913,1.273144,2.0439350000000003,2.4395880000000005,2.6361620000000006,3.1003480000000003,3.519156,3.683355,4.220392,4.609457000000001,4.8455770000000005
33-2800937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.203368,0.44565699999999997,0.6159159999999999,1.062147,1.832938,2.2285909999999998,2.425165,2.8893509999999996,3.3081589999999994,3.4723579999999994,4.009395,4.39846,4.63458
34-2800935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24228899999999998,0.41254799999999997,0.858779,1.62957,2.025223,2.221797,2.6859830000000002,3.104791,3.26899,3.8060270000000003,4.195092000000001,4.431212
35-2800931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.170259,0.61649,1.387281,1.782934,1.979508,2.443694,2.8625019999999997,3.0267009999999996,3.563738,3.952803,4.188923
36-2800930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44623100000000004,1.217022,1.612675,1.809249,2.273435,2.692243,2.856442,3.393479,3.782544,4.018664
37-2800932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.770791,1.166444,1.363018,1.827204,2.246012,2.410211,2.947248,3.336313,3.572433
38-2806921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.39565300000000003,0.5922270000000001,1.056413,1.4752210000000001,1.63942,2.176457,2.565522,2.801642
39-2806896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.196574,0.66076,1.079568,1.243767,1.780804,2.1698690000000003,2.4059890000000004
