순번_정류장ID,1-2807578,2-2803343,3-2803340,4-2803339,5-2803331,6-2803325,7-2803320,8-2803314,9-2803311,10-2803316,11-2803319,12-2803328,13-2803305,14-2803293,15-2803281,16-2803275,17-2803257,18-2803253,19-2803249,20-2803226,21-2803132,22-2803135,23-2803124,24-2803100,25-2803087,26-2802667,27-2802631,28-2802668,29-2802655,30-2803050,31-2800814,32-2800787,33-2800773,34-2800760,35-2800741,36-2800725,37-2800691,38-2800684,39-2800676,40-2800667,41-2800657,42-2800340,43-2800624,44-2800619,45-2806214,46-2806242,47-2806244,48-2801157,49-2801155,50-2801151,51-2801145,52-2801140,53-2801302,54-2801321,55-2801307,56-2801299,57-2801315,58-2801356,59-2801414,60-2801492,61-2801524,62-2801602,63-2801647,64-2806781,65-2801573,66-2801558,67-2801532,68-2801571,69-2801641,70-2801649,71-2801651,72-2804430,73-2804914
13-2803305,,,,,,,,,,,,,0,0.567767,0.957608,1.442933,1.879942,2.186726,2.826738,3.5814770000000005,4.017597,4.3571800000000005,4.877737000000001,5.169387,5.553850000000001,5.962481,6.239153,6.89238,7.252052,7.571056,8.689173,9.19121,9.465638,9.754039,10.039643,10.430197,10.670399999999999,10.983284,11.323335,11.495866,11.784016,12.329265,12.60956,13.072295,13.672118000000001,13.981736000000001,14.777361,15.173424,15.460733000000001,15.959304000000001,16.419404,16.739012,16.992399,17.387251,17.691585,18.172779,18.608639,19.157996,19.898212,20.198786000000002,20.672284,21.297526,21.941978000000002,22.327992000000002,22.538839000000003,22.987550000000002,23.214079,23.812654000000002,24.231085000000004,24.588029000000002,24.884597000000003,25.456527,25.639474
14-2803293,,,,,,,,,,,,,,0,0.389841,0.875166,1.312175,1.618959,2.258971,3.0137099999999997,3.4498299999999995,3.7894129999999997,4.30997,4.60162,4.986083,5.394714,5.671385999999999,6.324612999999999,6.684284999999999,7.003288999999999,8.121405999999999,8.623442999999998,8.897870999999999,9.186271999999999,9.471875999999998,9.862429999999998,10.102632999999997,10.415516999999998,10.755567999999998,10.928098999999998,11.216248999999998,11.761497999999998,12.041792999999998,12.504527999999999,13.104351,13.413969,14.209594,14.605656999999999,14.892966,15.391537,15.851637,16.171245,16.424632,16.819484,17.123818,17.605012,18.040872,18.590229,19.330445,19.631019000000002,20.104517,20.729759,21.374211000000003,21.760225000000002,21.971072000000003,22.419783000000002,22.646312,23.244887000000002,23.663318000000004,24.020262000000002,24.316830000000003,24.888760000000005,25.071707000000004
15-2803281,,,,,,,,,,,,,,,0,0.485325,0.922334,1.229118,1.86913,2.623869,3.059989,3.399572,3.920129,4.211779,4.596242,5.004873,5.2815449999999995,5.934772,6.2944439999999995,6.613447999999999,7.731564999999999,8.233602,8.50803,8.796431,9.082035,9.472589,9.712791999999999,10.025675999999999,10.365727,10.538257999999999,10.826407999999999,11.371656999999999,11.651952,12.114687,12.71451,13.024128000000001,13.819753,14.215816,14.503125,15.001696,15.461796000000001,15.781404000000002,16.034791000000002,16.429643000000002,16.733977000000003,17.215171,17.651031000000003,18.200388000000004,18.940604000000004,19.241178000000005,19.714676000000004,20.339918000000004,20.984370000000006,21.370384000000005,21.581231000000006,22.029942000000005,22.256471000000005,22.855046000000005,23.273477000000007,23.630421000000005,23.926989000000006,24.498919000000008,24.681866000000007
16-2803275,,,,,,,,,,,,,,,,0,0.43700900000000004,0.743793,1.3838050000000002,2.1385440000000004,2.5746640000000003,2.9142470000000005,3.4348040000000006,3.726454000000001,4.110917000000001,4.519548,4.79622,5.449447,5.809119,6.1281229999999995,7.246239999999999,7.748276999999999,8.022704999999998,8.311105999999999,8.596709999999998,8.987263999999998,9.227466999999997,9.540350999999998,9.880401999999998,10.052932999999998,10.341082999999998,10.886331999999998,11.166626999999998,11.629361999999999,12.229185,12.538803,13.334427999999999,13.730490999999999,14.0178,14.516371,14.976471,15.296079,15.549466,15.944318,16.248652,16.729846,17.165706,17.715063,18.455279,18.755853000000002,19.229351,19.854593,20.499045000000002,20.885059000000002,21.095906000000003,21.544617000000002,21.771146,22.369721000000002,22.788152000000004,23.145096000000002,23.441664000000003,24.013594000000005,24.196541000000003
17-2803257,,,,,,,,,,,,,,,,,0,0.306784,0.946796,1.701535,2.137655,2.477238,2.997795,3.289445,3.673908,4.082539,4.359210999999999,5.0124379999999995,5.372109999999999,5.691113999999999,6.809230999999999,7.311267999999998,7.585695999999999,7.874096999999999,8.159700999999998,8.550254999999998,8.790457999999997,9.103341999999998,9.443392999999999,9.615923999999998,9.904073999999998,10.449322999999998,10.729617999999999,11.192352999999999,11.792176,12.101794,12.897419,13.293482,13.580791,14.079362,14.539462,14.859070000000001,15.112457000000001,15.507309000000001,15.811643000000002,16.292837000000002,16.728697000000004,17.278054000000004,18.018270000000005,18.318844000000006,18.792342000000005,19.417584000000005,20.062036000000006,20.448050000000006,20.658897000000007,21.107608000000006,21.334137000000005,21.932712000000006,22.351143000000008,22.708087000000006,23.004655000000007,23.57658500000001,23.759532000000007
18-2803253,,,,,,,,,,,,,,,,,,0,0.640012,1.394751,1.8308710000000001,2.1704540000000003,2.6910110000000005,2.9826610000000007,3.3671240000000004,3.7757550000000006,4.052427000000001,4.705654000000001,5.065326000000001,5.38433,6.502447,7.004484,7.278912,7.567313,7.852917000000001,8.243471000000001,8.483674,8.796558000000001,9.136609000000002,9.309140000000001,9.597290000000001,10.142539000000001,10.422834000000002,10.885569000000002,11.485392000000003,11.795010000000003,12.590635000000002,12.986698000000002,13.274007000000003,13.772578000000003,14.232678000000003,14.552286000000004,14.805673000000004,15.200525000000004,15.504859000000005,15.986053000000005,16.421913000000007,16.971270000000008,17.711486000000008,18.01206000000001,18.485558000000008,19.11080000000001,19.75525200000001,20.14126600000001,20.35211300000001,20.80082400000001,21.02735300000001,21.62592800000001,22.04435900000001,22.40130300000001,22.69787100000001,23.269801000000008,23.452748000000007
19-2803249,,,,,,,,,,,,,,,,,,,0,0.754739,1.1908590000000001,1.530442,2.050999,2.342649,2.727112,3.135743,3.412415,4.065642,4.425314,4.744318,5.862435,6.364471999999999,6.6389,6.927301,7.212905,7.603459,7.843662,8.156546,8.496597000000001,8.669128,8.957278,9.502527,9.782822000000001,10.245557000000002,10.845380000000002,11.154998000000003,11.950623000000002,12.346686000000002,12.633995000000002,13.132566000000002,13.592666000000003,13.912274000000004,14.165661000000004,14.560513000000004,14.864847000000005,15.346041000000005,15.781901000000005,16.331258000000005,17.071474000000006,17.372048000000007,17.845546000000006,18.470788000000006,19.115240000000007,19.501254000000007,19.712101000000008,20.160812000000007,20.387341000000006,20.985916000000007,21.40434700000001,21.761291000000007,22.057859000000008,22.62978900000001,22.812736000000008
20-2803226,,,,,,,,,,,,,,,,,,,,0,0.43612,0.775703,1.29626,1.58791,1.972373,2.381004,2.657676,3.3109029999999997,3.6705749999999995,3.9895789999999995,5.107696,5.609732999999999,5.884161,6.172562,6.458166,6.84872,7.088923,7.401807000000001,7.741858000000001,7.914389000000001,8.202539000000002,8.747788000000002,9.028083000000002,9.490818000000003,10.090641000000003,10.400259000000004,11.195884000000003,11.591947000000003,11.879256000000003,12.377827000000003,12.837927000000004,13.157535000000005,13.410922000000005,13.805774000000005,14.110108000000006,14.591302000000006,15.027162000000006,15.576519000000006,16.316735000000005,16.617309000000006,17.090807000000005,17.716049000000005,18.360501000000006,18.746515000000006,18.957362000000007,19.406073000000006,19.632602000000006,20.231177000000006,20.649608000000008,21.006552000000006,21.303120000000007,21.87505000000001,22.057997000000007
21-2803132,,,,,,,,,,,,,,,,,,,,,0,0.33958299999999997,0.8601399999999999,1.1517899999999999,1.5362529999999999,1.9448839999999998,2.2215559999999996,2.874783,3.2344549999999996,3.5534589999999997,4.671576,5.173613,5.448041,5.736442,6.0220460000000005,6.4126,6.6528030000000005,6.965687000000001,7.305738000000001,7.478269000000001,7.766419000000001,8.311668000000001,8.591963000000002,9.054698000000002,9.654521000000003,9.964139000000003,10.759764000000002,11.155827000000002,11.443136000000003,11.941707000000003,12.401807000000003,12.721415000000004,12.974802000000004,13.369654000000004,13.673988000000005,14.155182000000005,14.591042000000005,15.140399000000006,15.880615000000006,16.181189000000007,16.654687000000006,17.279929000000006,17.924381000000007,18.310395000000007,18.521242000000008,18.969953000000007,19.196482000000007,19.795057000000007,20.21348800000001,20.570432000000007,20.867000000000008,21.438930000000006,21.621877000000005
22-2803135,,,,,,,,,,,,,,,,,,,,,,0,0.5205569999999999,0.8122069999999999,1.19667,1.6053009999999999,1.881973,2.5351999999999997,2.8948719999999994,3.2138759999999995,4.331993,4.834029999999999,5.108458,5.396859,5.682463,6.073017,6.31322,6.626104000000001,6.9661550000000005,7.138686000000001,7.426836000000001,7.972085000000001,8.25238,8.715115,9.314938000000001,9.624556000000002,10.420181000000001,10.816244000000001,11.103553000000002,11.602124000000002,12.062224000000002,12.381832000000003,12.635219000000003,13.030071000000003,13.334405000000004,13.815599000000004,14.251459000000004,14.800816000000005,15.541032000000005,15.841606000000004,16.315104000000005,16.940346000000005,17.584798000000006,17.970812000000006,18.181659000000007,18.630370000000006,18.856899000000006,19.455474000000006,19.873905000000008,20.230849000000006,20.527417000000007,21.09934700000001,21.282294000000007
