순번_정류장ID,1-2800395,2-2800316,3-2800410,4-2800434,5-2800443,6-2800454,7-2800463,8-2800470,9-2800309,10-2800494,11-2800496,12-2805303,13-2800511,14-2800514,15-2800522,16-2800557,17-2800577,18-2800587,19-2805740,20-2800596,21-2806246,22-2800627,23-2800658,24-2800682,25-2800695,26-2800714,27-2800701,28-2800726,29-2800751,30-2800765,31-2800764,32-2800756,33-2800761,34-2801771,35-2801787,36-2801954,37-2802024,38-2802098,39-2802129,40-2801848
11-2800496,,,,,,,,,,,0,1.308357,1.693423,1.9813219999999998,2.5015769999999997,3.8341329999999996,4.416961,4.76642,6.238769,6.463581,6.768313999999999,8.595127,9.300024,9.974545,10.427179,10.780563,11.326548,12.015162,12.422541,12.640687000000002,13.436702000000002,13.581806000000002,13.938942000000003,15.322093000000002,16.430549000000003,17.476605000000003,18.285833000000004,18.937643000000005,19.309680000000004,20.767529000000003
12-2805303,,,,,,,,,,,,0,0.38506599999999996,0.6729649999999999,1.19322,2.5257759999999996,3.1086039999999997,3.4580629999999997,4.930412,5.155224,5.459956999999999,7.286769999999999,7.991666999999999,8.666187999999998,9.118821999999998,9.472205999999998,10.018190999999998,10.706804999999997,11.114183999999998,11.332329999999999,12.128345,12.273449,12.630585,14.013736,15.122192,16.168248,16.977476,17.629286,18.001323,19.459172
13-2800511,,,,,,,,,,,,,0,0.28789899999999996,0.808154,2.14071,2.723538,3.072997,4.545346,4.770158,5.074891,6.9017040000000005,7.606601,8.281122,8.733756,9.08714,9.633125,10.321738999999999,10.729118,10.947264,11.743279000000001,11.888383000000001,12.245519000000002,13.628670000000001,14.737126000000002,15.783182000000002,16.59241,17.244220000000002,17.616257,19.074106
14-2800514,,,,,,,,,,,,,,0,0.520255,1.852811,2.435639,2.785098,4.257447,4.482259,4.786992,6.613804999999999,7.318701999999999,7.9932229999999995,8.445857,8.799241,9.345226,10.03384,10.441219,10.659365000000001,11.455380000000002,11.600484000000002,11.957620000000002,13.340771000000002,14.449227000000002,15.495283000000002,16.304511,16.956321000000003,17.328358,18.786207
15-2800522,,,,,,,,,,,,,,,0,1.3325559999999999,1.915384,2.264843,3.737192,3.962004,4.266737,6.0935500000000005,6.798447,7.472968000000001,7.9256020000000005,8.278986,8.824971,9.513584999999999,9.920964,10.13911,10.935125000000001,11.080229000000001,11.437365000000002,12.820516000000001,13.928972000000002,14.975028000000002,15.784256000000001,16.436066,16.808103,18.265952
16-2800557,,,,,,,,,,,,,,,,0,0.582828,0.9322870000000001,2.404636,2.629448,2.934181,4.760994,5.465891,6.140412,6.593046,6.94643,7.492415,8.181029,8.588408000000001,8.806554000000002,9.602569000000003,9.747673000000002,10.104809000000003,11.487960000000003,12.596416000000003,13.642472000000003,14.451700000000002,15.103510000000002,15.475547000000002,16.933396000000002
17-2800577,,,,,,,,,,,,,,,,,0,0.349459,1.8218079999999999,2.04662,2.351353,4.178166,4.883063,5.557584,6.010218,6.363602,6.909587,7.598201,8.00558,8.223726000000001,9.019741000000002,9.164845000000001,9.521981000000002,10.905132000000002,12.013588000000002,13.059644000000002,13.868872000000001,14.520682,14.892719000000001,16.350568000000003
18-2800587,,,,,,,,,,,,,,,,,,0,1.472349,1.697161,2.001894,3.828707,4.533604,5.208125000000001,5.6607590000000005,6.014143000000001,6.560128000000001,7.248742000000001,7.656121000000001,7.874267000000001,8.670282,8.815386,9.172522,10.555673,11.664129,12.710185000000001,13.519413,14.171223,14.54326,16.001109
19-2805740,,,,,,,,,,,,,,,,,,,0,0.22481199999999998,0.5295449999999999,2.356358,3.061255,3.735776,4.18841,4.541794,5.087779,5.7763930000000006,6.183772,6.401918,7.197933,7.343037,7.7001729999999995,9.083324,10.19178,11.237836,12.047063999999999,12.698873999999998,13.070910999999999,14.528759999999998
20-2800596,,,,,,,,,,,,,,,,,,,,0,0.304733,2.131546,2.836443,3.510964,3.963598,4.316982,4.862967,5.5515810000000005,5.95896,6.177106,6.973121,7.118225,7.4753609999999995,8.858512,9.966968,11.013024,11.822251999999999,12.474061999999998,12.846098999999999,14.303947999999998
21-2806246,,,,,,,,,,,,,,,,,,,,,0,1.826813,2.53171,3.206231,3.658865,4.012249,4.558234,5.246848,5.654227,5.872373,6.668387999999999,6.813491999999999,7.170627999999999,8.553778999999999,9.662234999999999,10.708291,11.517518999999998,12.169328999999998,12.541365999999998,13.999214999999998
22-2800627,,,,,,,,,,,,,,,,,,,,,,0,0.704897,1.379418,1.832052,2.185436,2.731421,3.4200350000000004,3.8274140000000005,4.045560000000001,4.841575000000001,4.9866790000000005,5.343815,6.726966,7.835421999999999,8.881478,9.690705999999999,10.342515999999998,10.714552999999999,12.172401999999998
23-2800658,,,,,,,,,,,,,,,,,,,,,,,0,0.674521,1.1271550000000001,1.4805390000000003,2.026524,2.7151380000000005,3.1225170000000007,3.3406630000000006,4.136678000000001,4.281782000000001,4.638918,6.022069,7.1305250000000004,8.176581,8.985809,9.637618999999999,10.009656,11.467505
