순번_정류장ID,40-2803394,41-2805673,42-2803403,43-2805014,44-2807528,45-2800108,46-2807508,47-2807498,48-2807501,49-2807560,50-2807559,51-2807555,52-2807278,53-2807511,54-2807544,55-2807606,56-2805853,57-2807604,58-2807605,59-2801202,60-2800225,61-2800198,62-2801371,63-2801389,64-2801330,65-2801275,66-2801057,67-2801052,68-2800857,69-2800853,70-2805991,71-2806243,72-2806215,73-2806633,74-2804896,75-2805221,76-2805232,77-2805333
50-2807559,,,,,,,,,,,0,2.4210979999999998,3.981416,7.060827,9.333954,11.418702,12.014344,16.025102999999998,19.806769999999997,20.906228999999996,22.542477999999996,23.975516999999996,24.546304999999997,25.323608999999998,26.024682,27.161354,27.579829999999998,28.543414999999996,29.317040999999996,30.315994999999997,31.966561999999996,32.934099999999994,34.09095799999999,34.754538,35.30253999999999,35.644014999999996,36.280984,37.562495
51-2807555,,,,,,,,,,,,0,1.560318,4.639729,6.912856,8.997603999999999,9.593245999999999,13.604004999999997,17.385671999999996,18.485130999999996,20.121379999999995,21.554418999999996,22.125206999999996,22.902510999999997,23.603583999999998,24.740256,25.158731999999997,26.122316999999995,26.895942999999995,27.894896999999997,29.545463999999996,30.513001999999997,31.669859999999996,32.333439999999996,32.88144199999999,33.222916999999995,33.859885999999996,35.141397
52-2807278,,,,,,,,,,,,,0,3.079411,5.352538,7.437286,8.032928,12.043686999999998,15.825353999999997,16.924812999999997,18.561061999999996,19.994100999999997,20.564888999999997,21.342192999999998,22.043266,23.179938,23.598414,24.561998999999997,25.335624999999997,26.334578999999998,27.985145999999997,28.952683999999998,30.109541999999998,30.773121999999997,31.321123999999998,31.662598999999997,32.299567999999994,33.581078999999995
53-2807511,,,,,,,,,,,,,,0,2.273127,4.357875,4.953517,8.964275999999998,12.745942999999997,13.845401999999996,15.481650999999996,16.914689999999997,17.485477999999997,18.262781999999998,18.963855,20.100527,20.519002999999998,21.482587999999996,22.256213999999996,23.255167999999998,24.905734999999996,25.873272999999998,27.030130999999997,27.693710999999997,28.241712999999997,28.583187999999996,29.220156999999997,30.501667999999995
54-2807544,,,,,,,,,,,,,,,0,2.084748,2.68039,6.691148999999999,10.472815999999998,11.572274999999998,13.208523999999997,14.641562999999998,15.212350999999998,15.989654999999999,16.690728,17.8274,18.245876,19.209460999999997,19.983086999999998,20.982041,22.632607999999998,23.600146,24.757004,25.420583999999998,25.968586,26.310060999999997,26.947029999999998,28.228541
55-2807606,,,,,,,,,,,,,,,,0,0.595642,4.606400999999999,8.388067999999999,9.487526999999998,11.123775999999998,12.556814999999997,13.127602999999997,13.904906999999998,14.605979999999997,15.742651999999996,16.161127999999994,17.124712999999993,17.898338999999993,18.897292999999994,20.547859999999993,21.515397999999994,22.672255999999994,23.335835999999993,23.883837999999994,24.225312999999993,24.862281999999993,26.143792999999995
56-2805853,,,,,,,,,,,,,,,,,0,4.010758999999999,7.792425999999999,8.891884999999998,10.528133999999998,11.961172999999999,12.531960999999999,13.309265,14.010337999999999,15.147009999999998,15.565485999999998,16.529071,17.302697,18.301651,19.952218,20.919756,22.076614,22.740194,23.288196,23.629671,24.26664,25.548150999999997
57-2807604,,,,,,,,,,,,,,,,,,0,3.7816669999999997,4.881126,6.517375,7.950414,8.521202,9.298506,9.999578999999999,11.136250999999998,11.554726999999998,12.518311999999998,13.291937999999998,14.290891999999998,15.941458999999998,16.908997,18.065855,18.729435,19.277437,19.618911999999998,20.255881,21.537391999999997
58-2807605,,,,,,,,,,,,,,,,,,,0,1.099459,2.735708,4.168747,4.739535,5.516839,6.217912,7.354584,7.77306,8.736645,9.510271,10.509224999999999,12.159792,13.127329999999999,14.284187999999999,14.947767999999998,15.495769999999998,15.837245,16.474214,17.755724999999998
59-2801202,,,,,,,,,,,,,,,,,,,,0,1.636249,3.0692880000000002,3.640076,4.41738,5.118453,6.255125,6.673601,7.637186,8.410812,9.409766,11.060333,12.027871,13.184728999999999,13.848308999999999,14.396310999999999,14.737786,15.374755,16.656266000000002
