순번_정류장ID,1-2804988,2-2804989,3-2801243,4-2801242,5-2801247,6-2801249,7-2801253,8-2801256,9-2801265,10-2801273,11-2801294,12-2801318,13-2801325,14-2801351,15-2801363,16-2801379,17-2801433,18-2801465,19-2805642,20-2801563,21-2801598,22-2801623,23-2801653,24-2801676,25-2801186,26-2801710,27-2801727,28-2801745,29-2806034,30-2801174,31-2801722,32-2801714,33-2801712,34-2801701,35-2805300,36-2801168,37-2801686,38-2801182,39-2801662,40-2801640,41-2801579,42-2801521,43-2800236,44-2801472,45-2801453,46-2801416,47-2801198,48-2801378,49-2801197,50-2801346,51-2801327,52-2801308,53-2801284,54-2801274,55-2801269,56-2805502,57-2801259
29-2806034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.700615,1.0714489999999999,1.3131709999999999,1.4252369999999999,1.7080659999999999,1.8338619999999999,1.978756,2.2338139999999997,2.432555,2.944629,3.17246,3.739236,3.926919,4.195938,4.541992,4.816913,5.183966999999999,5.3869679999999995,5.798775999999999,6.067778999999999,6.425804999999999,6.685934999999999,6.937118999999999,7.403425999999999,7.629810999999998,7.836394999999999,8.074734,8.297505
30-2801174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.370834,0.612556,0.724622,1.007451,1.1332470000000001,1.2781410000000002,1.5331990000000002,1.7319400000000003,2.2440140000000004,2.4718450000000005,3.0386210000000005,3.2263040000000003,3.4953230000000004,3.8413770000000005,4.1162980000000005,4.483352,4.686353,5.098161,5.367164,5.72519,5.98532,6.236504,6.702811,6.929195999999999,7.13578,7.374118999999999,7.596889999999999
31-2801722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.241722,0.353788,0.636617,0.762413,0.907307,1.1623649999999999,1.361106,1.87318,2.101011,2.667787,2.85547,3.124489,3.470543,3.745464,4.112518,4.315519,4.727327,4.9963299999999995,5.354355999999999,5.614485999999999,5.86567,6.331976999999999,6.558361999999999,6.764945999999999,7.003284999999999,7.226055999999999
32-2801714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.11206600000000001,0.394895,0.520691,0.665585,0.920643,1.119384,1.6314579999999999,1.859289,2.426065,2.6137479999999997,2.882767,3.228821,3.503742,3.870796,4.073797,4.485605,4.754607999999999,5.112633999999999,5.372763999999999,5.6239479999999995,6.090254999999999,6.316639999999999,6.523223999999999,6.761562999999999,6.984333999999999
33-2801712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.282829,0.408625,0.553519,0.808577,1.007318,1.5193919999999999,1.747223,2.313999,2.5016819999999997,2.770701,3.116755,3.391676,3.75873,3.961731,4.373539,4.642542,5.0005679999999995,5.260698,5.511882,5.9781889999999995,6.204573999999999,6.4111579999999995,6.649496999999999,6.872267999999999
34-2801701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.125796,0.27069,0.525748,0.7244889999999999,1.2365629999999999,1.464394,2.03117,2.2188529999999997,2.487872,2.833926,3.108847,3.475901,3.678902,4.09071,4.359712999999999,4.717738999999999,4.977868999999999,5.2290529999999995,5.695359999999999,5.921744999999999,6.128328999999999,6.366667999999999,6.589438999999999
35-2805300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.144894,0.399952,0.5986929999999999,1.110767,1.3385980000000002,1.9053740000000001,2.093057,2.362076,2.70813,2.983051,3.350105,3.553106,3.9649140000000003,4.233917,4.591943,4.852073,5.103257,5.569564,5.795948999999999,6.002533,6.2408719999999995,6.463642999999999
36-2801168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.255058,0.453799,0.965873,1.1937039999999999,1.7604799999999998,1.9481629999999999,2.2171819999999998,2.563236,2.838157,3.205211,3.408212,3.82002,4.089023,4.447049,4.707179,4.958363,5.42467,5.6510549999999995,5.857639,6.095978,6.3187489999999995
37-2801686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.198741,0.710815,0.938646,1.505422,1.693105,1.9621240000000002,2.3081780000000003,2.5830990000000003,2.9501530000000002,3.1531540000000002,3.5649620000000004,3.8339650000000005,4.191991000000001,4.452121000000001,4.703305000000001,5.169612000000001,5.395997,5.602581000000001,5.840920000000001,6.063691
38-2801182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.512074,0.739905,1.3066810000000002,1.4943640000000002,1.7633830000000001,2.1094370000000002,2.384358,2.751412,2.954413,3.3662210000000004,3.6352240000000005,3.9932500000000006,4.253380000000001,4.504564000000001,4.970871000000001,5.197256,5.403840000000001,5.6421790000000005,5.86495
