순번_정류장ID,33-2803402,34-2803401,35-2803398,36-2803385,37-2803384,38-2805647,39-2805047,40-2803567,41-2803569,42-2803391,43-2803573,44-2803572,45-2807547,46-2807522,47-2807539,48-2807536,49-2807530,50-2807491,51-2807490,52-2807496,53-2800944,54-2800841,55-2800840,56-2800985,57-2800838,58-2801072,59-2801110,60-2801301,61-2801388,62-2801524
43-2803573,,,,,,,,,,,0,0.689793,1.238547,8.359445,9.749963,10.90082,12.322357,15.680973000000002,19.657941,22.653716000000003,31.983449000000004,32.68971500000001,33.19013700000001,33.74902200000001,34.234302000000014,34.987817000000014,35.43024100000002,36.40653500000002,37.29067600000002,38.58128700000002
44-2803572,,,,,,,,,,,,0,0.548754,7.669651999999999,9.06017,10.211027,11.632564,14.99118,18.968148,21.963923,31.293656000000002,31.999922,32.500344,33.059229,33.544509000000005,34.298024000000005,34.74044800000001,35.71674200000001,36.60088300000001,37.89149400000001
45-2807547,,,,,,,,,,,,,0,7.1208979999999995,8.511415999999999,9.662272999999999,11.08381,14.442426000000001,18.419394,21.415169,30.744902,31.451168,31.95159,32.510475,32.995755,33.74927,34.191694000000005,35.16798800000001,36.05212900000001,37.342740000000006
46-2807522,,,,,,,,,,,,,,0,1.390518,2.541375,3.962912,7.321528000000001,11.298496,14.294271,23.624004,24.33027,24.830692,25.389577,25.874857,26.628372,27.070795999999998,28.047089999999997,28.931230999999997,30.221841999999995
47-2807539,,,,,,,,,,,,,,,0,1.150857,2.572394,5.931010000000001,9.907978,12.903753,22.233486,22.939752,23.440174,23.999059,24.484339,25.237854,25.680277999999998,26.656571999999997,27.540712999999997,28.831323999999995
48-2807536,,,,,,,,,,,,,,,,0,1.421537,4.780153,8.757121,11.752896,21.082629,21.788895,22.289317,22.848202,23.333482,24.086997,24.529421,25.505715,26.389855999999998,27.680466999999997
49-2807530,,,,,,,,,,,,,,,,,0,3.3586160000000005,7.335584000000001,10.331359,19.661092000000004,20.367358000000003,20.867780000000003,21.426665000000003,21.911945000000003,22.665460000000003,23.107884000000002,24.084178,24.968319,26.25893
50-2807491,,,,,,,,,,,,,,,,,,0,3.976968,6.9727429999999995,16.302476,17.008741999999998,17.509164,18.068049,18.553328999999998,19.306843999999998,19.749267999999997,20.725561999999996,21.609702999999996,22.900313999999995
51-2807490,,,,,,,,,,,,,,,,,,,0,2.995775,12.325508000000001,13.031774,13.532196,14.091081,14.576361,15.329876,15.772300000000001,16.748594,17.632735,18.923346
52-2807496,,,,,,,,,,,,,,,,,,,,0,9.329733000000001,10.035999,10.536421,11.095306,11.580586,12.334101,12.776525000000001,13.752819,14.63696,15.927571
53-2800944,,,,,,,,,,,,,,,,,,,,,0,0.706266,1.206688,1.765573,2.250853,3.0043680000000004,3.4467920000000003,4.4230860000000005,5.307227,6.597838
54-2800841,,,,,,,,,,,,,,,,,,,,,,0,0.500422,1.059307,1.544587,2.298102,2.740526,3.7168200000000002,4.600961,5.891572
55-2800840,,,,,,,,,,,,,,,,,,,,,,,0,0.5588850000000001,1.044165,1.79768,2.240104,3.2163980000000003,4.100539,5.3911500000000006
56-2800985,,,,,,,,,,,,,,,,,,,,,,,,0,0.48528000000000004,1.238795,1.681219,2.6575130000000002,3.5416540000000003,4.8322650000000005
57-2800838,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7535149999999999,1.1959389999999999,2.172233,3.056374,4.346985
58-2801072,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.442424,1.4187180000000001,2.302859,3.59347
59-2801110,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9762940000000001,1.860435,3.151046
60-2801301,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.884141,2.174752
61-2801388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.290611
62-2801524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
