순번_정류장ID,1-2805765,2-2805001,3-2805892,4-2805894,5-2805897,6-2802243,7-2802239,8-2802232,9-2801863,10-2801904,11-2804910,12-2801833,13-2802219,14-2802216,15-2802209,16-2802202,17-2802188,18-2802186,19-2804814,20-2802156,21-2802151,22-2802130,23-2802126,24-2802120,25-2802085,26-2802096,27-2802111,28-2801845,29-2801849,30-2802136,31-2802152,32-2802163,33-2802174,34-2802618,35-2802828,36-2802882,37-2802393,38-2802395,39-2802399,40-2802406,41-2802412,42-2802442,43-2802453,44-2802250,45-2802253,46-2802260,47-2802263,48-2803792,49-2801816,50-2801861,51-2802277,52-2802269,53-2802259,54-2801841,55-2802240
16-2802202,,,,,,,,,,,,,,,,0,0.63071,1.119433,1.509844,1.826007,2.297687,2.628487,3.316661,3.70567,3.933086,4.450492,4.81499,5.131925,5.572566,6.363404,6.718992,7.157701,7.425181,7.690278,8.347322,9.10621,9.543514,10.029443,10.674144,11.025419,11.507522999999999,11.741819,12.042679,12.584442,13.019822999999999,13.400348,13.828904,14.158842,14.567675,14.935265999999999,15.329144,15.761713,16.097879,17.027434,17.385327
17-2802188,,,,,,,,,,,,,,,,,0,0.48872299999999996,0.879134,1.195297,1.6669770000000002,1.9977770000000001,2.685951,3.0749600000000004,3.302376,3.819782,4.18428,4.501215,4.9418560000000005,5.732694,6.088282,6.526991000000001,6.794471000000001,7.0595680000000005,7.7166120000000005,8.4755,8.912804,9.398733,10.043434,10.394708999999999,10.876812999999999,11.111108999999999,11.411969,11.953731999999999,12.389112999999998,12.769637999999999,13.198193999999999,13.528132,13.936964999999999,14.304555999999998,14.698433999999999,15.131003,15.467169,16.396724,16.754617
18-2802186,,,,,,,,,,,,,,,,,,0,0.390411,0.706574,1.1782540000000001,1.5090540000000001,2.197228,2.586237,2.813653,3.3310589999999998,3.695557,4.012492,4.453133,5.243971,5.599559,6.038268,6.305748,6.570845,7.227889,7.986777,8.424081,8.91001,9.554711,9.905985999999999,10.388089999999998,10.622385999999999,10.923245999999999,11.465008999999998,11.900389999999998,12.280914999999998,12.709470999999999,13.039409,13.448241999999999,13.815832999999998,14.209710999999999,14.64228,14.978446,15.908001,16.265894
19-2804814,,,,,,,,,,,,,,,,,,,0,0.316163,0.7878430000000001,1.118643,1.8068170000000001,2.1958260000000003,2.423242,2.9406480000000004,3.3051460000000006,3.6220810000000006,4.062722000000001,4.853560000000001,5.209148000000001,5.647857000000001,5.915337000000001,6.180434000000001,6.837478000000001,7.596366000000001,8.03367,8.519599000000001,9.1643,9.515575,9.997679,10.231975,10.532835,11.074598,11.509979,11.890504,12.31906,12.648998,13.057831,13.425422000000001,13.819300000000002,14.251869000000003,14.588035000000003,15.517590000000004,15.875483000000004
20-2802156,,,,,,,,,,,,,,,,,,,,0,0.47168000000000004,0.8024800000000001,1.4906540000000001,1.879663,2.107079,2.624485,2.988983,3.305918,3.746559,4.537397,4.892985,5.331694000000001,5.5991740000000005,5.8642710000000005,6.521315,7.280203,7.717507,8.203436,8.848137,9.199411999999999,9.681515999999998,9.915811999999999,10.216671999999999,10.758434999999999,11.193815999999998,11.574340999999999,12.002896999999999,12.332835,12.741667999999999,13.109258999999998,13.503136999999999,13.935706,14.271872,15.201427,15.559320000000001
21-2802151,,,,,,,,,,,,,,,,,,,,,0,0.3308,1.018974,1.407983,1.635399,2.152805,2.517303,2.834238,3.274879,4.065717,4.421305,4.8600140000000005,5.127494,5.392591,6.049635,6.808523,7.245827,7.731756,8.376457,8.727732,9.209836,9.444132,9.744992,10.286755,10.722135999999999,11.102661,11.531217,11.861155,12.269988,12.637578999999999,13.031457,13.464026,13.800192000000001,14.729747000000001,15.087640000000002
22-2802130,,,,,,,,,,,,,,,,,,,,,,0,0.688174,1.077183,1.304599,1.822005,2.186503,2.503438,2.944079,3.734917,4.090505,4.5292140000000005,4.7966940000000005,5.061791,5.718835,6.477723,6.915027,7.400956,8.045657,8.396932,8.879036,9.113332,9.414192,9.955955,10.391335999999999,10.771861,11.200417,11.530355,11.939188,12.306778999999999,12.700657,13.133226,13.469392000000001,14.398947000000001,14.756840000000002
23-2802126,,,,,,,,,,,,,,,,,,,,,,,0,0.389009,0.616425,1.133831,1.498329,1.815264,2.255905,3.0467429999999998,3.4023309999999998,3.8410399999999996,4.1085199999999995,4.373616999999999,5.030660999999999,5.789548999999999,6.226852999999999,6.712781999999999,7.357482999999998,7.708757999999999,8.190862,8.425158,8.726018,9.267781,9.703161999999999,10.083687,10.512243,10.842181,11.251014,11.618604999999999,12.012483,12.445052,12.781218,13.710773000000001,14.068666000000002
24-2802120,,,,,,,,,,,,,,,,,,,,,,,,0,0.22741599999999998,0.744822,1.1093199999999999,1.4262549999999998,1.8668959999999999,2.657734,3.013322,3.452031,3.719511,3.9846079999999997,4.641652,5.4005399999999995,5.837844,6.323772999999999,6.968473999999999,7.319748999999999,7.801852999999999,8.036148999999998,8.337008999999998,8.878771999999998,9.314152999999997,9.694677999999998,10.123233999999998,10.453171999999999,10.862004999999998,11.229595999999997,11.623473999999998,12.056042999999999,12.392209,13.321764,13.679657
25-2802085,,,,,,,,,,,,,,,,,,,,,,,,,0,0.517406,0.881904,1.198839,1.63948,2.430318,2.785906,3.224615,3.492095,3.757192,4.414236,5.173124,5.610428,6.096356999999999,6.741057999999999,7.092332999999999,7.574436999999999,7.808732999999998,8.109592999999998,8.651355999999998,9.086736999999998,9.467261999999998,9.895817999999998,10.225755999999999,10.634588999999998,11.00218,11.396058,11.828627000000001,12.164793000000001,13.094348000000002,13.452241000000003
