순번_정류장ID,48-2801595,49-2801562,50-2800171,51-2800236,52-2801472,53-2801453,54-2801416,55-2801198,56-2801378,57-2801385,58-2801389,59-2801400,60-2801406,61-2801399,62-2801370,63-2801341,64-2801316,65-2801297,66-2801318,67-2801356,68-2801388,69-2801414,70-2801438,71-2805321,72-2801462,73-2805642,74-2801544,75-2801187,76-2801581,77-2801606,78-2800694,79-2800726,80-2800751,81-2800765,82-2800782,83-2800797,84-2800813,85-2803049,86-2803063,87-2803062,88-2803058,89-2800370,90-2800369
58-2801389,,,,,,,,,,,0,0.2899,0.486087,0.733526,1.022794,1.280187,1.601233,1.902307,2.261008,2.688363,2.9879,3.23772,3.549373,4.147989,4.483394,5.173007999999999,5.493034,5.773505,5.9811700000000005,6.398051000000001,7.341182000000001,7.715162000000001,8.122541000000002,8.340687000000003,8.772370000000002,9.050491000000003,9.679344000000002,10.034071000000003,10.557021000000002,10.772919000000002,11.439809000000002,12.159644000000002,13.427266000000001
59-2801400,,,,,,,,,,,,0,0.196187,0.44362599999999996,0.7328939999999999,0.9902869999999999,1.3113329999999999,1.6124069999999997,1.9711079999999996,2.3984629999999996,2.6979999999999995,2.9478199999999997,3.259473,3.8580889999999997,4.193493999999999,4.883107999999999,5.2031339999999995,5.483605,5.69127,6.108151,7.0512820000000005,7.425262000000001,7.832641000000001,8.050787000000001,8.482470000000001,8.760591000000002,9.389444000000001,9.744171000000001,10.267121000000001,10.483019,11.149909000000001,11.869744,13.137366
60-2801406,,,,,,,,,,,,,0,0.247439,0.5367069999999999,0.7940999999999999,1.115146,1.41622,1.774921,2.202276,2.501813,2.751633,3.063286,3.6619020000000004,3.9973070000000006,4.686921000000001,5.006947000000001,5.2874180000000015,5.495083000000002,5.911964000000002,6.855095000000002,7.229075000000003,7.636454000000002,7.854600000000002,8.286283000000003,8.564404000000003,9.193257000000003,9.547984000000003,10.070934000000003,10.286832000000002,10.953722000000003,11.673557000000002,12.941179000000002
61-2801399,,,,,,,,,,,,,,0,0.28926799999999997,0.546661,0.867707,1.168781,1.527482,1.954837,2.254374,2.504194,2.815847,3.4144630000000005,3.7498680000000006,4.439482000000001,4.759508000000001,5.0399790000000015,5.247644000000002,5.664525000000002,6.607656000000002,6.981636000000003,7.389015000000002,7.607161000000002,8.038844000000003,8.316965000000003,8.945818000000003,9.300545000000003,9.823495000000003,10.039393000000002,10.706283000000003,11.426118000000002,12.693740000000002
62-2801370,,,,,,,,,,,,,,,0,0.257393,0.5784389999999999,0.8795129999999999,1.238214,1.665569,1.965106,2.214926,2.5265790000000004,3.1251950000000006,3.460600000000001,4.150214000000001,4.470240000000001,4.750711000000002,4.958376000000002,5.375257000000002,6.318388000000002,6.692368000000003,7.0997470000000025,7.317893000000002,7.749576000000002,8.027697000000002,8.656550000000001,9.011277000000002,9.534227000000001,9.750125,10.417015000000001,11.13685,12.404472
63-2801341,,,,,,,,,,,,,,,,0,0.321046,0.62212,0.980821,1.408176,1.707713,1.957533,2.269186,2.867802,3.2032070000000004,3.8928210000000005,4.212847000000001,4.493318000000001,4.700983000000002,5.117864000000002,6.060995000000002,6.434975000000002,6.842354000000002,7.060500000000002,7.492183000000002,7.770304000000001,8.399157,8.753884000000001,9.276834000000001,9.492732,10.159622,10.879457,12.147079
64-2801316,,,,,,,,,,,,,,,,,0,0.30107399999999995,0.659775,1.0871300000000002,1.386667,1.636487,1.94814,2.5467560000000002,2.8821610000000004,3.5717750000000006,3.8918010000000005,4.172272,4.379937000000001,4.796818000000001,5.739949000000001,6.1139290000000015,6.521308000000001,6.739454000000001,7.171137000000001,7.449258,8.078111,8.432838,8.955788,9.171686,9.838576,10.558411,11.826032999999999
65-2801297,,,,,,,,,,,,,,,,,,0,0.35870100000000005,0.7860560000000001,1.085593,1.335413,1.647066,2.245682,2.581087,3.2707010000000003,3.5907270000000002,3.871198,4.078863,4.495744,5.438875,5.812855000000001,6.2202340000000005,6.43838,6.870063,7.148184,7.777037,8.131764,8.654714,8.870612,9.537502,10.257337,11.524958999999999
66-2801318,,,,,,,,,,,,,,,,,,,0,0.42735500000000004,0.7268920000000001,0.976712,1.288365,1.886981,2.222386,2.9120000000000004,3.2320260000000003,3.512497,3.720162,4.137043,5.080174,5.454154000000001,5.8615330000000005,6.0796790000000005,6.511362,6.789483,7.418336,7.7730630000000005,8.296013,8.511911,9.178801,9.898636,11.166258
67-2801356,,,,,,,,,,,,,,,,,,,,0,0.299537,0.549357,0.86101,1.459626,1.795031,2.484645,2.804671,3.085142,3.292807,3.709688,4.652819,5.0267990000000005,5.434178,5.652324,6.084007,6.362127999999999,6.990981,7.345708,7.868658,8.084556,8.751446,9.471281,10.738902999999999
68-2801388,,,,,,,,,,,,,,,,,,,,,0,0.24982,0.561473,1.1600890000000001,1.495494,2.185108,2.505134,2.785605,2.99327,3.410151,4.353282,4.7272620000000005,5.134641,5.352787,5.78447,6.062590999999999,6.691444,7.046170999999999,7.569120999999999,7.785018999999999,8.451908999999999,9.171743999999999,10.439365999999998
