순번_정류장ID,1-2805970,2-2803298,3-2803190,4-2805833,5-2803288,6-2803285,7-2803650,8-2803291,9-2803296,10-2803179,11-2807270,12-2805247,13-2805248,14-2805965,15-2803365,16-2803370,17-2803373,18-2805943,19-2805200,20-2805242,21-2806544,22-2806546,23-2806550,24-2806552,25-2804982,26-2806595,27-2803362,28-2805244,29-2805238
11-2807270,,,,,,,,,,,0,0.836786,1.4427180000000002,1.7608550000000003,2.0886780000000003,2.712514,3.1274550000000003,3.6483870000000005,4.118246000000001,4.709625000000001,5.461085000000001,6.093155,7.924218000000001,9.056987000000001,9.347731000000001,9.753671,10.312119000000001,11.100545,11.454157
12-2805247,,,,,,,,,,,,0,0.605932,0.924069,1.251892,1.875728,2.2906690000000003,2.8116010000000005,3.2814600000000005,3.8728390000000004,4.624299000000001,5.256369,7.087432000000001,8.220201000000001,8.510945000000001,8.916885,9.475333000000001,10.263759,10.617371
13-2805248,,,,,,,,,,,,,0,0.318137,0.64596,1.269796,1.684737,2.205669,2.675528,3.266907,4.018367,4.650436999999999,6.4815,7.614269,7.905013,8.310953,8.869401,9.657827,10.011439
14-2805965,,,,,,,,,,,,,,0,0.327823,0.9516589999999999,1.3666,1.887532,2.357391,2.9487699999999997,3.7002299999999995,4.332299999999999,6.1633629999999995,7.296132,7.586876,7.992816,8.551264,9.33969,9.693302
15-2803365,,,,,,,,,,,,,,,0,0.623836,1.038777,1.559709,2.0295680000000003,2.620947,3.372407,4.004477,5.83554,6.968309,7.259053,7.664993,8.223441,9.011866999999999,9.365478999999999
16-2803370,,,,,,,,,,,,,,,,0,0.414941,0.935873,1.405732,1.9971109999999999,2.748571,3.3806410000000002,5.211704,6.344473000000001,6.635217000000001,7.041157000000001,7.599605000000001,8.388031000000002,8.741643000000002
17-2803373,,,,,,,,,,,,,,,,,0,0.520932,0.990791,1.58217,2.3336300000000003,2.9657000000000004,4.796763,5.929532,6.220276,6.626216,7.184664000000001,7.973090000000001,8.326702000000001
18-2805943,,,,,,,,,,,,,,,,,,0,0.469859,1.061238,1.812698,2.444768,4.275831,5.4086,5.699344,6.105284,6.663732,7.452158000000001,7.805770000000001
19-2805200,,,,,,,,,,,,,,,,,,,0,0.591379,1.3428390000000001,1.9749090000000002,3.8059720000000006,4.938741,5.229485,5.635425000000001,6.193873000000001,6.982299000000001,7.335911000000001
20-2805242,,,,,,,,,,,,,,,,,,,,0,0.75146,1.38353,3.214593,4.347362,4.6381060000000005,5.044046000000001,5.602494000000001,6.390920000000001,6.744532000000001
21-2806544,,,,,,,,,,,,,,,,,,,,,0,0.63207,2.463133,3.595902,3.8866460000000003,4.292586,4.851034,5.639460000000001,5.993072000000001
22-2806546,,,,,,,,,,,,,,,,,,,,,,0,1.831063,2.963832,3.254576,3.6605160000000003,4.218964000000001,5.007390000000001,5.361002000000001
23-2806550,,,,,,,,,,,,,,,,,,,,,,,0,1.1327690000000001,1.4235130000000003,1.8294530000000002,2.3879010000000003,3.1763270000000006,3.5299390000000006
24-2806552,,,,,,,,,,,,,,,,,,,,,,,,0,0.290744,0.6966840000000001,1.2551320000000001,2.043558,2.39717
25-2804982,,,,,,,,,,,,,,,,,,,,,,,,,0,0.40594,0.964388,1.752814,2.106426
26-2806595,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5584479999999999,1.3468740000000001,1.7004860000000002
27-2803362,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7884260000000001,1.142038
28-2805244,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.353612
29-2805238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
