순번_정류장ID,1-2800900,2-2805288,3-2800898,4-2805292,5-2805297,6-2800888,7-2800823,8-2800868,9-2805867,10-2805868,11-2805870,12-2805864,13-2800847,14-2800877,15-2800822,16-2805940,17-2800875,18-2800924,19-2800926,20-2800933,21-2800939,22-2800842,23-2800989,24-2800979,25-2800990,26-2801012,27-2801023,28-2801040,29-2801058,30-2801268,31-2801277,32-2801161,33-2801158,34-2801391,35-2801386,36-2801380,37-2800209,38-2800204,39-2800201,40-2800197,41-2800199,42-2800207,43-2800212,44-2800218,45-2800219,46-2800223,47-2800231,48-2806090
21-2800939,,,,,,,,,,,,,,,,,,,,,0,0.620402,1.064818,1.476527,1.7874439999999998,2.086236,2.325118,2.6914759999999998,3.1919239999999998,4.165884,4.337829,4.835234,5.256098,5.801112,6.044041,6.273844,6.825414,7.476755000000001,7.708336000000001,8.360927,8.757222,8.978311,9.372446,9.608217,9.73105,10.024495,10.299527,11.089746
22-2800842,,,,,,,,,,,,,,,,,,,,,,0,0.444416,0.856125,1.167042,1.4658339999999999,1.704716,2.071074,2.571522,3.545482,3.717427,4.2148319999999995,4.635695999999999,5.1807099999999995,5.423639,5.653442,6.205012,6.856353,7.087934000000001,7.740525000000001,8.13682,8.357909,8.752044,8.987815,9.110648,9.404093,9.679124999999999,10.469344
23-2800989,,,,,,,,,,,,,,,,,,,,,,,0,0.411709,0.722626,1.021418,1.2603,1.626658,2.127106,3.101066,3.273011,3.770416,4.19128,4.736294,4.979223,5.209026000000001,5.7605960000000005,6.411937,6.643518,7.296109,7.692404000000001,7.913493000000001,8.307628000000001,8.543399,8.666232,8.959677000000001,9.234709,10.024928000000001
24-2800979,,,,,,,,,,,,,,,,,,,,,,,,0,0.310917,0.6097090000000001,0.8485910000000001,1.214949,1.715397,2.689357,2.8613020000000002,3.3587070000000003,3.7795710000000002,4.324585,4.567514,4.7973170000000005,5.348887,6.000228,6.231809,6.8844,7.280695000000001,7.501784000000001,7.895919000000001,8.13169,8.254523,8.547968000000001,8.823,9.613219
25-2800990,,,,,,,,,,,,,,,,,,,,,,,,,0,0.298792,0.537674,0.904032,1.40448,2.37844,2.550385,3.04779,3.468654,4.013668,4.256597,4.486400000000001,5.0379700000000005,5.689311,5.920892,6.573483,6.969778000000001,7.190867000000001,7.585002000000001,7.820773000000001,7.943606000000001,8.237051000000001,8.512083,9.302302000000001
26-2801012,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.238882,0.60524,1.105688,2.079648,2.251593,2.7489980000000003,3.169862,3.7148760000000003,3.9578050000000005,4.187608000000001,4.739178000000001,5.390519000000001,5.622100000000001,6.274691000000002,6.670986000000002,6.892075000000002,7.286210000000002,7.521981000000002,7.644814000000002,7.938259000000002,8.213291000000002,9.003510000000002
27-2801023,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.366358,0.866806,1.840766,2.012711,2.510116,2.93098,3.475994,3.718923,3.948726,4.5002960000000005,5.151637000000001,5.383218000000001,6.035809000000001,6.432104000000002,6.653193000000002,7.047328000000002,7.283099000000002,7.405932000000002,7.699377000000002,7.974409000000002,8.764628000000002
28-2801040,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.500448,1.474408,1.646353,2.143758,2.564622,3.109636,3.3525650000000002,3.582368,4.133938000000001,4.785279000000001,5.016860000000001,5.669451000000001,6.065746000000002,6.286835000000002,6.680970000000002,6.916741000000002,7.039574000000002,7.333019000000002,7.608051000000002,8.398270000000002
29-2801058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.97396,1.145905,1.64331,2.064174,2.609188,2.8521170000000002,3.08192,3.63349,4.2848310000000005,4.516412000000001,5.169003000000001,5.565298000000001,5.786387000000001,6.180522000000002,6.416293000000001,6.539126000000001,6.8325710000000015,7.107603000000002,7.8978220000000015
30-2801268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17194500000000001,0.6693500000000001,1.090214,1.6352280000000001,1.878157,2.1079600000000003,2.65953,3.310871,3.542452,4.195043,4.591338,4.8124270000000005,5.206562000000001,5.4423330000000005,5.5651660000000005,5.858611000000001,6.133643000000001,6.9238620000000015
