순번_정류장ID,1-2807485,2-2807487,3-2802551,4-2802375,5-2802965,6-2802959,7-2802964,8-2802975,9-2802981,10-2802624,11-2802636,12-2807507,13-2807526,14-2807531,15-2807534,16-2807543,17-2807510,18-2807277,19-2807554,20-2807558,21-2807561,22-2807500,23-2807499,24-2807509,25-2800107,26-2803386,27-2803399,28-2803395,29-2803392
11-2802636,,,,,,,,,,,0,2.267478,6.103928,9.530197999999999,11.681902999999998,14.687468999999998,16.597194,18.656563,27.626824999999997,31.147422999999996,32.912315,35.512765,37.520116,39.363536,44.362645,45.198512,45.788345,47.150954,47.738516
12-2807507,,,,,,,,,,,,0,3.83645,7.26272,9.414425,12.419991,14.329716,16.389084999999998,25.359347,28.879945,30.644837,33.245287,35.252638,37.096058,42.095167,42.931034,43.520866999999996,44.883475999999995,45.47103799999999
13-2807526,,,,,,,,,,,,,0,3.4262699999999997,5.5779749999999995,8.583541,10.493266,12.552635,21.522897,25.043495,26.808387,29.408837,31.416188,33.259608,38.258717,39.094584,39.684416999999996,41.047025999999995,41.634587999999994
14-2807531,,,,,,,,,,,,,,0,2.1517049999999998,5.157271,7.066996,9.126365,18.096626999999998,21.617224999999998,23.382116999999997,25.982566999999996,27.989917999999996,29.833337999999998,34.832446999999995,35.668313999999995,36.258146999999994,37.62075599999999,38.20831799999999
15-2807534,,,,,,,,,,,,,,,0,3.005566,4.915291,6.97466,15.944922,19.46552,21.230412,23.830862,25.838213,27.681632999999998,32.680741999999995,33.516608999999995,34.106441999999994,35.46905099999999,36.05661299999999
16-2807543,,,,,,,,,,,,,,,,0,1.909725,3.9690939999999997,12.939356,16.459954,18.224846,20.825295999999998,22.832646999999998,24.676066999999996,29.675175999999997,30.511042999999997,31.100875999999996,32.463485,33.051047
17-2807510,,,,,,,,,,,,,,,,,0,2.059369,11.029631,14.550229,16.315121,18.915571,20.922922,22.766342,27.765451000000002,28.601318000000003,29.191151,30.55376,31.141322
18-2807277,,,,,,,,,,,,,,,,,,0,8.970262,12.49086,14.255752,16.856202,18.863553,20.706972999999998,25.706082,26.541949,27.131781999999998,28.494390999999997,29.081952999999995
19-2807554,,,,,,,,,,,,,,,,,,,0,3.520598,5.28549,7.88594,9.893291,11.736711,16.73582,17.571687,18.16152,19.524129,20.111690999999997
20-2807558,,,,,,,,,,,,,,,,,,,,0,1.764892,4.365342,6.372693,8.216113,13.215222,14.051089000000001,14.640922000000002,16.003531000000002,16.591093
21-2807561,,,,,,,,,,,,,,,,,,,,,0,2.60045,4.607801,6.451221,11.450330000000001,12.286197000000001,12.876030000000002,14.238639000000003,14.826201000000003
22-2807500,,,,,,,,,,,,,,,,,,,,,,0,2.007351,3.850771,8.849879999999999,9.685747,10.27558,11.638189,12.225751
23-2807499,,,,,,,,,,,,,,,,,,,,,,,0,1.84342,6.842529,7.678396,8.268229,9.630838,10.2184
