순번_정류장ID,1-2806671,2-2807350,3-2807351,4-2807354,5-2807356,6-2802556,7-2802553,8-2802543,9-2802537,10-2802364,11-2802544,12-2802548,13-2802351,14-2802573,15-2802308,16-2802315,17-2802317,18-2802320,19-2802321,20-2802322,21-2802318,22-2802307,23-2802299,24-2802288,25-2802284,26-2802277,27-2802269,28-2801819,29-2803807,30-2804958,31-2803816,32-2803801,33-2803802,34-2805002,35-2803803
11-2802544,,,,,,,,,,,0,0.356175,0.810964,1.255079,1.8777810000000001,2.3918120000000003,2.863106,3.250888,3.775018,4.196674,4.46861,4.792408,5.127094,5.351179999999999,5.902984999999999,6.296862999999999,6.559676,6.84504,7.076887,7.531297,7.727787,8.361856,8.705713,8.988705999999999,9.194139999999999
12-2802548,,,,,,,,,,,,0,0.45478900000000005,0.898904,1.5216060000000002,2.0356370000000004,2.5069310000000002,2.8947130000000003,3.4188430000000003,3.8404990000000003,4.1124350000000005,4.4362330000000005,4.770919000000001,4.995005000000001,5.546810000000001,5.940688000000001,6.203501000000001,6.488865000000001,6.720712000000002,7.175122000000002,7.371612000000002,8.005681000000001,8.349538,8.632531,8.837965
13-2802351,,,,,,,,,,,,,0,0.444115,1.0668170000000001,1.580848,2.052142,2.439924,2.964054,3.38571,3.657646,3.981444,4.31613,4.540216,5.092021,5.485899,5.748712,6.034076000000001,6.265923000000001,6.720333000000001,6.916823000000001,7.550892000000001,7.894749000000001,8.177742,8.383176
14-2802573,,,,,,,,,,,,,,0,0.6227020000000001,1.136733,1.6080269999999999,1.995809,2.519939,2.941595,3.213531,3.537329,3.872015,4.096101,4.647906,5.041784,5.304597,5.589961000000001,5.821808000000001,6.276218000000001,6.472708000000001,7.106777000000001,7.450634000000001,7.733627000000001,7.9390610000000015
15-2802308,,,,,,,,,,,,,,,0,0.514031,0.985325,1.373107,1.897237,2.318893,2.5908290000000003,2.9146270000000003,3.2493130000000003,3.4733990000000006,4.0252040000000004,4.419082,4.681895000000001,4.967259000000001,5.199106000000001,5.6535160000000015,5.850006000000001,6.484075000000002,6.8279320000000014,7.110925000000002,7.316359000000002
16-2802315,,,,,,,,,,,,,,,,0,0.47129399999999994,0.859076,1.383206,1.804862,2.076798,2.400596,2.735282,2.9593680000000004,3.5111730000000003,3.9050510000000003,4.167864000000001,4.453228000000001,4.685075000000001,5.139485000000001,5.335975000000001,5.9700440000000015,6.313901000000001,6.596894000000002,6.802328000000002
17-2802317,,,,,,,,,,,,,,,,,0,0.387782,0.9119120000000001,1.333568,1.605504,1.929302,2.2639880000000003,2.488074,3.039879,3.433757,3.69657,3.981934,4.213781,4.668191,4.864681,5.49875,5.842607,6.1256,6.331034000000001
18-2802320,,,,,,,,,,,,,,,,,,0,0.52413,0.945786,1.217722,1.54152,1.876206,2.100292,2.652097,3.045975,3.308788,3.594152,3.825999,4.280409,4.4768989999999995,5.110968,5.454825,5.737818,5.943252
19-2802321,,,,,,,,,,,,,,,,,,,0,0.42165600000000003,0.693592,1.01739,1.352076,1.576162,2.127967,2.521845,2.784658,3.070022,3.301869,3.756279,3.952769,4.586838,4.930695,5.213688,5.419122000000001
20-2802322,,,,,,,,,,,,,,,,,,,,0,0.271936,0.595734,0.93042,1.154506,1.706311,2.100189,2.363002,2.6483659999999998,2.880213,3.334623,3.531113,4.165182,4.509039,4.792032,4.997466
