순번_정류장ID,70-2804913,71-2803088,72-2803090,73-2803102,74-2803108,75-2803114,76-2805713,77-2803122,78-2803104,79-2803094,80-2803080,81-2803077,82-2803101,83-2805595,84-2803123,85-2803131,86-2803137,87-2805441,88-2802629,89-2802719,90-2802709,91-2802718,92-2802712,93-2802708,94-2802738,95-2802728,96-2802744,97-2802767,98-2802775,99-2802164,100-2802159,101-2802163,102-2802174,103-2802618,104-2802176,105-2806506,106-2806502,107-2806620,108-2807216,109-2806842,110-2806773,111-2801853,112-2805585,113-2805678,114-2806524,115-2806523,116-2806522,117-2806521,118-2805659,119-2802210,120-2802213,121-2802220,122-2801901,123-2805900,124-2801903,125-2801864,126-2801842,127-2801851,128-2801832,129-2801830,130-2802241,131-2802244,132-2805898,133-2805895,134-2805893,135-2803802,136-2805002
80-2803080,,,,,,,,,,,0,0.32311100000000004,0.692675,0.9487880000000001,1.146477,1.4517259999999998,1.6816119999999999,1.9130129999999999,2.3230899999999997,2.5841689999999997,2.8821069999999995,4.012553,4.233447,4.810064,5.599520999999999,6.103171999999999,6.444130999999999,6.756782999999999,7.172862999999999,7.461435999999999,7.749132999999999,8.136185999999999,8.574894999999998,8.842374999999999,9.088676,9.460877,9.851642,10.178457,10.815332999999999,12.108889999999999,13.465684,13.889294,14.105869,14.461949,14.886398,15.268661999999999,15.55687,15.730179,16.259853,17.82008,17.962751,18.179887,18.47593,19.181483,19.390962000000002,19.824539,20.175168000000003,20.497355000000002,21.248474,21.440529,21.813994,21.942607000000002,22.261338000000002,22.627327,22.787263,23.10333,23.447187
81-2803077,,,,,,,,,,,,0,0.369564,0.625677,0.823366,1.128615,1.358501,1.589902,1.999979,2.261058,2.5589959999999996,3.6894419999999997,3.9103359999999996,4.486953,5.276409999999999,5.780061,6.12102,6.433672,6.849752,7.138325,7.426022,7.8130749999999995,8.251783999999999,8.519264,8.765565,9.137766000000001,9.528531000000001,9.855346,10.492222000000002,11.785779000000002,13.142573000000002,13.566183000000002,13.782758000000003,14.138838000000003,14.563287000000003,14.945551000000002,15.233759000000003,15.407068000000002,15.936742000000002,17.496969000000004,17.639640000000004,17.856776000000004,18.152819000000004,18.858372000000003,19.067851000000005,19.501428000000004,19.852057000000006,20.174244000000005,20.925363000000004,21.117418000000004,21.490883000000004,21.619496000000005,21.938227000000005,22.304216000000004,22.464152000000002,22.780219000000002,23.124076000000002
82-2803101,,,,,,,,,,,,,0,0.25611300000000004,0.45380200000000004,0.759051,0.9889370000000001,1.2203380000000001,1.6304150000000002,1.8914940000000002,2.189432,3.319878,3.540772,4.117389,4.906846,5.4104969999999994,5.751455999999999,6.064107999999999,6.480187999999999,6.768761,7.056457999999999,7.443510999999999,7.882219999999999,8.1497,8.396001,8.768202,9.158967,9.485782,10.122658000000001,11.416215000000001,12.773009000000002,13.196619000000002,13.413194000000003,13.769274000000003,14.193723000000002,14.575987000000001,14.864195000000002,15.037504000000002,15.567178000000002,17.127405000000003,17.270076000000003,17.487212000000003,17.783255000000004,18.488808000000002,18.698287000000004,19.131864000000004,19.482493000000005,19.804680000000005,20.555799000000004,20.747854000000004,21.121319000000003,21.249932000000005,21.568663000000004,21.934652000000003,22.094588,22.410655000000002,22.754512000000002
83-2805595,,,,,,,,,,,,,,0,0.197689,0.502938,0.732824,0.9642250000000001,1.3743020000000001,1.6353810000000002,1.9333190000000002,3.063765,3.284659,3.861276,4.650733,5.154384,5.495343,5.807995,6.224075,6.512648,6.800345,7.187398,7.626107,7.893587,8.139888000000001,8.512089000000001,8.902854000000001,9.229669000000001,9.866545000000002,11.160102000000002,12.516896000000003,12.940506000000003,13.157081000000003,13.513161000000004,13.937610000000003,14.319874000000002,14.608082000000003,14.781391000000003,15.311065000000003,16.871292000000004,17.013963000000004,17.231099000000004,17.527142000000005,18.232695000000003,18.442174000000005,18.875751000000005,19.226380000000006,19.548567000000006,20.299686000000005,20.491741000000005,20.865206000000004,20.993819000000006,21.312550000000005,21.678539000000004,21.838475000000003,22.154542000000003,22.498399000000003
84-2803123,,,,,,,,,,,,,,,0,0.305249,0.535135,0.7665360000000001,1.1766130000000001,1.4376920000000002,1.7356300000000002,2.866076,3.08697,3.663587,4.453044,4.956695,5.297654,5.610306,6.026386,6.314959,6.602656,6.9897089999999995,7.428418,7.695898,7.942199,8.3144,8.705165,9.031979999999999,9.668855999999998,10.962412999999998,12.319206999999999,12.742816999999999,12.959392,13.315472,13.739920999999999,14.122184999999998,14.410393,14.583701999999999,15.113375999999999,16.673603,16.816274,17.03341,17.329453,18.035006,18.244485,18.678062,19.028691000000002,19.350878,20.101997,20.294052,20.667517,20.79613,21.114861,21.48085,21.640786,21.956853,22.30071
85-2803131,,,,,,,,,,,,,,,,0,0.229886,0.461287,0.871364,1.132443,1.4303810000000001,2.5608269999999997,2.7817209999999997,3.358338,4.1477949999999995,4.651446,4.992405,5.305057,5.721137,6.00971,6.297407,6.68446,7.123169,7.390649,7.63695,8.009151,8.399916,8.726731,9.363606999999998,10.657163999999998,12.013957999999999,12.437567999999999,12.654143,13.010223,13.434671999999999,13.816935999999998,14.105144,14.278452999999999,14.808126999999999,16.368354,16.511025,16.728161,17.024204,17.729757,17.939236,18.372813,18.723442000000002,19.045629,19.796748,19.988803,20.362268,20.490881,20.809612,21.175601,21.335537,21.651604,21.995461
86-2803137,,,,,,,,,,,,,,,,,0,0.23140100000000002,0.641478,0.902557,1.200495,2.330941,2.551835,3.1284520000000002,3.9179090000000003,4.42156,4.762519,5.075171,5.491251,5.7798240000000005,6.067521,6.454574,6.893283,7.160763,7.407064,7.7792650000000005,8.17003,8.496845,9.133721000000001,10.427278000000001,11.784072000000002,12.207682000000002,12.424257000000003,12.780337000000003,13.204786000000002,13.587050000000001,13.875258000000002,14.048567000000002,14.578241000000002,16.138468000000003,16.281139000000003,16.498275000000003,16.794318000000004,17.499871000000002,17.709350000000004,18.142927000000004,18.493556000000005,18.815743000000005,19.566862000000004,19.758917000000004,20.132382000000003,20.260995000000005,20.579726000000004,20.945715000000003,21.105651,21.421718000000002,21.765575000000002
87-2805441,,,,,,,,,,,,,,,,,,0,0.410077,0.6711560000000001,0.9690940000000001,2.09954,2.320434,2.8970510000000003,3.6865080000000003,4.190159,4.531118,4.84377,5.25985,5.5484230000000005,5.83612,6.223173,6.661882,6.929362,7.175663,7.547864000000001,7.938629000000001,8.265444,8.90232,10.195877,11.552671,11.976281,12.192856,12.548936000000001,12.973385,13.355649,13.643857,13.817166,14.34684,15.907067,16.049737999999998,16.266873999999998,16.562917,17.268469999999997,17.477949,17.911526,18.262155,18.584342,19.335461,19.527516,19.900980999999998,20.029594,20.348325,20.714313999999998,20.874249999999996,21.190316999999997,21.534173999999997
88-2802629,,,,,,,,,,,,,,,,,,,0,0.261079,0.5590170000000001,1.689463,1.9103569999999999,2.486974,3.276431,3.780082,4.121041,4.433693,4.849773,5.138346,5.426043,5.813096,6.251805,6.519285,6.765586,7.137786999999999,7.5285519999999995,7.855366999999999,8.492242999999998,9.785799999999998,11.142593999999999,11.566203999999999,11.782779,12.138859,12.563308,12.945571999999999,13.23378,13.407089,13.936763,15.496989999999998,15.639660999999998,15.856796999999998,16.152839999999998,16.858392999999996,17.067871999999998,17.501448999999997,17.852078,18.174265,18.925383999999998,19.117438999999997,19.490903999999997,19.619517,19.938247999999998,20.304236999999997,20.464172999999995,20.780239999999996,21.124096999999995
89-2802719,,,,,,,,,,,,,,,,,,,,0,0.29793800000000004,1.4283839999999999,1.6492779999999998,2.225895,3.015352,3.519003,3.8599620000000003,4.172614,4.588694,4.877267000000001,5.164964,5.552017,5.990726,6.258206,6.504507,6.876708000000001,7.267473000000001,7.594288000000001,8.231164,9.524721,10.881515,11.305125,11.521700000000001,11.877780000000001,12.302229,12.684493,12.972701,13.14601,13.675684,15.235911,15.378582,15.595718,15.891760999999999,16.597313999999997,16.806793,17.24037,17.590999,17.913186,18.664305,18.85636,19.229824999999998,19.358438,19.677169,20.043158,20.203093999999997,20.519160999999997,20.863017999999997
