순번_정류장ID,48-2803875,49-2800253,50-2803871,51-2804720,52-2806360,53-2803869,54-2803971,55-2803970,56-2803968,57-2803966,58-2803964,59-2803962,60-2803960,61-2803958,62-2803956,63-2803954,64-2803952,65-2803993,66-2803995,67-2800298,68-2803997,69-2800290,70-2800289,71-2803934,72-2806662,73-2800286,74-2803932,75-2803596,76-2800283,77-2800281,78-2800280,79-2800278,80-2806663,81-2804031,82-2800260,83-2800275,84-2804713,85-2803598,86-2803600,87-2800273,88-2803601,89-2804331,90-2803581,91-2800271,92-2805489,93-2807150,94-2804581,95-2804582,96-2800267,97-2804032
58-2803964,,,,,,,,,,,0,0.730695,1.146043,1.697775,2.24107,2.792297,3.587199,3.900998,4.039097,5.255744,5.795272,6.1614629999999995,6.618268,6.980276999999999,7.925253,8.811415,9.097675,10.089142,10.533571,11.243011000000001,11.815230000000001,11.952164000000002,12.892990000000001,13.534307000000002,13.767035000000002,14.092714,14.270858,14.781994000000001,15.224923,15.427532000000001,15.609148000000001,15.863468000000001,16.3448,16.85173,17.215979,17.556914,17.858166999999998,18.218355,18.85708,19.053178
59-2803962,,,,,,,,,,,,0,0.41534799999999994,0.9670799999999999,1.5103749999999998,2.0616019999999997,2.8565039999999997,3.1703029999999996,3.3084019999999996,4.525048999999999,5.064576999999999,5.430767999999999,5.887572999999999,6.249581999999998,7.194557999999999,8.08072,8.36698,9.358447,9.802876,10.512316,11.084535,11.221469,12.162295,12.803612000000001,13.036340000000001,13.362019,13.540163,14.051299,14.494228,14.696837,14.878453,15.132773,15.614105,16.121035,16.485284,16.826219000000002,17.127472,17.48766,18.126385000000003,18.322483000000002
60-2803960,,,,,,,,,,,,,0,0.551732,1.095027,1.6462539999999999,2.441156,2.754955,2.893054,4.109700999999999,4.649228999999999,5.015419999999999,5.472224999999999,5.834233999999999,6.779209999999999,7.665372,7.951632,8.943099,9.387528,10.096968,10.669187,10.806121000000001,11.746947,12.388264000000001,12.620992000000001,12.946671,13.124815,13.635951,14.07888,14.281489,14.463105,14.717425,15.198757,15.705687000000001,16.069936000000002,16.410871,16.712124,17.072312,17.711037,17.907135
61-2803958,,,,,,,,,,,,,,0,0.543295,1.094522,1.889424,2.203223,2.341322,3.557969,4.097497,4.463687999999999,4.920493,5.282501999999999,6.227478,7.11364,7.399900000000001,8.391367,8.835796,9.545236000000001,10.117455000000001,10.254389000000002,11.195215000000001,11.836532000000002,12.069260000000002,12.394939,12.573083,13.084219000000001,13.527148,13.729757000000001,13.911373000000001,14.165693000000001,14.647025000000001,15.153955000000002,15.518204,15.859139,16.160392,16.520580000000002,17.159305000000003,17.355403000000003
62-2803956,,,,,,,,,,,,,,,0,0.551227,1.346129,1.6599279999999998,1.7980269999999998,3.014674,3.554202,3.9203930000000002,4.377198,4.739207,5.684183000000001,6.570345000000001,6.856605000000002,7.848072000000002,8.292501000000001,9.001941000000002,9.574160000000003,9.711094000000003,10.651920000000002,11.293237000000003,11.525965000000003,11.851644000000002,12.029788000000002,12.540924000000002,12.983853000000002,13.186462000000002,13.368078000000002,13.622398000000002,14.103730000000002,14.610660000000003,14.974909000000002,15.315844000000002,15.617097000000001,15.977285000000002,16.616010000000003,16.812108000000002
63-2803954,,,,,,,,,,,,,,,,0,0.794902,1.108701,1.2468,2.463447,3.002975,3.3691660000000003,3.8259710000000005,4.1879800000000005,5.132956,6.019118000000001,6.305378000000001,7.296845000000001,7.7412740000000015,8.450714000000001,9.022933000000002,9.159867000000002,10.100693000000001,10.742010000000002,10.974738000000002,11.300417000000001,11.478561000000001,11.989697000000001,12.432626,12.635235000000002,12.816851000000002,13.071171000000001,13.552503000000002,14.059433000000002,14.423682000000001,14.764617000000001,15.06587,15.426058000000001,16.064783000000002,16.260881
64-2803952,,,,,,,,,,,,,,,,,0,0.313799,0.451898,1.668545,2.2080729999999997,2.574264,3.031069,3.393078,4.338054,5.224216,5.510476000000001,6.501943000000001,6.946372000000001,7.655812000000001,8.228031000000001,8.364965000000002,9.305791000000001,9.947108000000002,10.179836000000002,10.505515,10.683659,11.194795000000001,11.637724,11.840333000000001,12.021949000000001,12.276269000000001,12.757601000000001,13.264531000000002,13.62878,13.969715,14.270968,14.631156,15.269881000000002,15.465979
65-2803993,,,,,,,,,,,,,,,,,,0,0.138099,1.354746,1.894274,2.260465,2.71727,3.079279,4.024255,4.910417000000001,5.196677000000001,6.188144000000001,6.632573000000002,7.3420130000000015,7.914232000000001,8.051166,8.991992,9.633309,9.866037,10.191716,10.36986,10.880996,11.323925,11.526534,11.70815,11.96247,12.443802,12.950732,13.314981,13.655916,13.957169,14.317357000000001,14.956082000000002,15.152180000000001
66-2803995,,,,,,,,,,,,,,,,,,,0,1.216647,1.756175,2.122366,2.579171,2.94118,3.886156,4.772318,5.058578000000001,6.050045000000001,6.494474000000001,7.203914000000001,7.776133000000001,7.913067000000001,8.853893000000001,9.495210000000002,9.727938000000002,10.053617000000001,10.231761,10.742897000000001,11.185826,11.388435000000001,11.570051000000001,11.824371000000001,12.305703000000001,12.812633000000002,13.176882,13.517817,13.81907,14.179258,14.817983000000002,15.014081000000001
67-2800298,,,,,,,,,,,,,,,,,,,,0,0.539528,0.9057189999999999,1.362524,1.724533,2.669509,3.5556710000000002,3.841931,4.833398,5.277827,5.987267,6.559486,6.69642,7.637246,8.278563,8.511291,8.836969999999999,9.015113999999999,9.52625,9.969178999999999,10.171788,10.353404,10.607724,11.089056,11.595986,11.960234999999999,12.301169999999999,12.602422999999998,12.962610999999999,13.601336,13.797433999999999
