순번_정류장ID,1-2806423,2-2806421,3-2805953,4-2806634,5-2806428,6-2806770,7-2807112,8-2806514,9-2801853,10-2805585,11-2802147,12-2801897,13-2801895,14-2802108,15-2801822,16-2802049,17-2804800,18-2802084,19-2802107,20-2802126,21-2802120,22-2802068,23-2802032,24-2802007,25-2801994,26-2801979,27-2801967,28-2801973,29-2801974,30-2801964,31-2801955,32-2801952,33-2801992,34-2802022,35-2802038,36-2802672,37-2802683,38-2802685,39-2802695,40-2802702,41-2802707,42-2802715,43-2802729,44-2805440,45-2802632,46-2803129,47-2803120,48-2805594,49-2803115,50-2803134,51-2803231,52-2803226
22-2802068,,,,,,,,,,,,,,,,,,,,,,0,0.37624,0.7824230000000001,1.1707070000000002,1.4086340000000002,1.7345270000000002,2.139112,2.496089,2.937985,3.400137,4.229361,4.636919,5.099171,5.532827,6.042586,6.26198,6.665798000000001,6.996246,7.412553,7.641909,8.14069,8.339124,8.596791,8.897775,9.184035,9.376712,9.67249,10.122489,10.531215,10.931504,11.686243000000001
23-2802032,,,,,,,,,,,,,,,,,,,,,,,0,0.406183,0.794467,1.032394,1.358287,1.762872,2.119849,2.5617449999999997,3.023897,3.853121,4.260679,4.722931,5.156587,5.666346,5.88574,6.289558,6.620006,7.036313,7.265669,7.76445,7.962884,8.220551,8.521535,8.807795,9.000472,9.29625,9.746249,10.154975,10.555264000000001,11.310003000000002
24-2802007,,,,,,,,,,,,,,,,,,,,,,,,0,0.388284,0.6262110000000001,0.9521040000000001,1.356689,1.713666,2.1555619999999998,2.617714,3.446938,3.8544959999999997,4.316748,4.750404,5.2601629999999995,5.479557,5.883375,6.213823,6.630129999999999,6.8594859999999995,7.358267,7.5567009999999994,7.814367999999999,8.115352,8.401612,8.594289,8.890067,9.340066,9.748792,10.149081,10.903820000000001
25-2801994,,,,,,,,,,,,,,,,,,,,,,,,,0,0.237927,0.56382,0.968405,1.3253819999999998,1.767278,2.22943,3.0586539999999998,3.4662119999999996,3.9284639999999995,4.362119999999999,4.871878999999999,5.091272999999999,5.4950909999999995,5.825538999999999,6.241845999999999,6.471201999999999,6.969982999999999,7.168416999999999,7.426083999999999,7.727067999999998,8.013327999999998,8.206004999999998,8.501782999999998,8.951781999999998,9.360507999999998,9.760796999999998,10.515535999999999
26-2801979,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.325893,0.730478,1.0874549999999998,1.529351,1.991503,2.8207269999999998,3.2282849999999996,3.6905369999999995,4.124193,4.633952,4.853346,5.257164,5.587612,6.003919,6.233275,6.732056,6.93049,7.1881569999999995,7.489140999999999,7.775401,7.968077999999999,8.263855999999999,8.713854999999999,9.122580999999998,9.52287,10.277609
27-2801967,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.404585,0.761562,1.203458,1.66561,2.494834,2.902392,3.3646439999999997,3.7983,4.308059,4.527453,4.931271000000001,5.261719,5.678026,5.907382,6.406163,6.604597,6.862264,7.163247999999999,7.449508,7.642185,7.937963,8.387962,8.796688,9.196977,9.951716000000001
28-2801973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.356977,0.7988729999999999,1.261025,2.090249,2.497807,2.9600589999999998,3.393715,3.9034739999999997,4.1228679999999995,4.526686,4.857133999999999,5.273440999999999,5.502796999999999,6.001577999999999,6.200011999999999,6.457678999999999,6.7586629999999985,7.044922999999999,7.237599999999999,7.533377999999999,7.983376999999999,8.392102999999999,8.792392,9.547131
29-2801974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.441896,0.9040480000000001,1.733272,2.14083,2.6030819999999997,3.0367379999999997,3.5464969999999996,3.7658909999999994,4.169708999999999,4.500156999999999,4.916463999999999,5.145819999999999,5.644600999999999,5.843034999999999,6.100701999999998,6.401685999999998,6.687945999999998,6.880622999999998,7.1764009999999985,7.6263999999999985,8.035125999999998,8.435414999999999,9.190154
30-2801964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46215200000000006,1.291376,1.698934,2.161186,2.594842,3.1046009999999997,3.3239949999999996,3.7278129999999994,4.058260999999999,4.474567999999999,4.703923999999999,5.202704999999999,5.401138999999999,5.6588059999999984,5.959789999999998,6.2460499999999985,6.438726999999998,6.734504999999999,7.184503999999999,7.593229999999998,7.993518999999998,8.748257999999998
31-2801955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.829224,1.2367819999999998,1.699034,2.13269,2.642449,2.861843,3.2656609999999997,3.5961089999999998,4.012416,4.241772,4.740553,4.938987,5.196654,5.497637999999999,5.783898,5.9765749999999995,6.272353,6.722352,7.131078,7.5313669999999995,8.286106
32-2801952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.407558,0.86981,1.303466,1.813225,2.032619,2.4364369999999997,2.766885,3.183192,3.412548,3.9113290000000003,4.109763,4.36743,4.668413999999999,4.954674,5.147351,5.443129,5.893128,6.301854,6.7021429999999995,7.456881999999999
33-2801992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46225200000000005,0.8959080000000001,1.4056670000000002,1.6250610000000003,2.0288790000000003,2.3593270000000004,2.775634,3.0049900000000003,3.5037710000000004,3.702205,3.9598720000000003,4.260856,4.547116000000001,4.739793000000001,5.035571000000001,5.485570000000001,5.894296000000001,6.2945850000000005,7.049324
34-2802022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43365600000000004,0.943415,1.162809,1.566627,1.897075,2.313382,2.542738,3.041519,3.239953,3.49762,3.798604,4.0848640000000005,4.277541,4.573319000000001,5.023318000000001,5.432044,5.832333,6.587072
35-2802038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.509759,0.7291529999999999,1.132971,1.463419,1.879726,2.109082,2.607863,2.806297,3.063964,3.364948,3.651208,3.843885,4.1396630000000005,4.589662000000001,4.998388,5.398677,6.153416
