순번_정류장ID,38-2803402,39-2803401,40-2803398,41-2803385,42-2803384,43-2805647,44-2805047,45-2803567,46-2803569,47-2803391,48-2803573,49-2803572,50-2807547,51-2807522,52-2807539,53-2807536,54-2807530,55-2807491,56-2807490,57-2800900,58-2800403,59-2800435,60-2800469,61-2803595,62-2800465,63-2800462,64-2800460,65-2800453,66-2800450,67-2805195,68-2800473,69-2800476,70-2800490,71-2806252,72-2806258
48-2803573,,,,,,,,,,,0,0.689793,1.238547,8.359445,9.749963,10.90082,12.322357,15.680973000000002,19.657941,28.987875000000003,31.698251000000003,33.913721,35.709854,36.0117,36.530986,36.80377,37.049907,37.474807999999996,37.816731,38.145011,38.600821999999994,38.81425399999999,39.90802999999999,41.06982599999999,42.527438999999994
49-2803572,,,,,,,,,,,,0,0.548754,7.669651999999999,9.06017,10.211027,11.632564,14.99118,18.968148,28.298082,31.008458,33.223928,35.020061,35.321906999999996,35.841193,36.113977,36.360113999999996,36.785014999999994,37.126937999999996,37.455217999999995,37.91102899999999,38.12446099999999,39.21823699999999,40.38003299999999,41.83764599999999
50-2807547,,,,,,,,,,,,,0,7.1208979999999995,8.511415999999999,9.662272999999999,11.08381,14.442426000000001,18.419394,27.749328,30.459704,32.675174,34.471306999999996,34.77315299999999,35.292438999999995,35.565222999999996,35.81135999999999,36.23626099999999,36.57818399999999,36.90646399999999,37.36227499999999,37.57570699999999,38.669482999999985,39.83127899999999,41.28889199999999
51-2807522,,,,,,,,,,,,,,0,1.390518,2.541375,3.962912,7.321528000000001,11.298496,20.62843,23.338806,25.554276,27.350409000000003,27.652255000000004,28.171541000000005,28.444325000000006,28.690462000000007,29.115363000000006,29.457286000000007,29.785566000000006,30.241377000000007,30.454809000000008,31.54858500000001,32.71038100000001,34.167994000000014
52-2807539,,,,,,,,,,,,,,,0,1.150857,2.572394,5.931010000000001,9.907978,19.237912,21.948288,24.163758,25.959891000000002,26.261737000000004,26.781023000000005,27.053807000000006,27.299944000000007,27.724845000000006,28.066768000000007,28.395048000000006,28.850859000000007,29.064291000000008,30.15806700000001,31.31986300000001,32.77747600000001
53-2807536,,,,,,,,,,,,,,,,0,1.421537,4.780153,8.757121,18.087055,20.797431,23.012901,24.809034,25.11088,25.630166000000003,25.902950000000004,26.149087000000005,26.573988000000003,26.915911000000005,27.244191000000004,27.700002000000005,27.913434000000006,29.007210000000008,30.169006000000007,31.626619000000005
54-2807530,,,,,,,,,,,,,,,,,0,3.3586160000000005,7.335584000000001,16.665518,19.375894,21.591364,23.387497,23.689343,24.208629000000002,24.481413000000003,24.727550000000004,25.152451000000003,25.494374000000004,25.822654000000004,26.278465000000004,26.491897000000005,27.585673000000007,28.747469000000006,30.205082000000004
55-2807491,,,,,,,,,,,,,,,,,,0,3.976968,13.306902,16.017277999999997,18.232747999999997,20.028881,20.330727,20.850013,21.122797000000002,21.368934000000003,21.793835,22.135758000000003,22.464038000000002,22.919849000000003,23.133281000000004,24.227057000000002,25.388853,26.846466
56-2807490,,,,,,,,,,,,,,,,,,,0,9.329934,12.04031,14.25578,16.051913,16.353759,16.873045,17.145829000000003,17.391966000000004,17.816867000000002,18.158790000000003,18.487070000000003,18.942881000000003,19.156313000000004,20.250089000000003,21.411885,22.869498
57-2800900,,,,,,,,,,,,,,,,,,,,0,2.7103759999999997,4.925846,6.721979,7.023825,7.543111000000001,7.815895,8.062032,8.486933,8.828856,9.157136,9.612947,9.826379,10.920155,12.081951,13.539564
