순번_정류장ID,49-2800225,50-2800222,51-2800221,52-2800216,53-2800211,54-2800206,55-2800200,56-2800195,57-2800198,58-2800203,59-2800208,60-2801378,61-2801385,62-2801389,63-2801160,64-2801330,65-2801287,66-2801270,67-2801057,68-2801043,69-2801024,70-2801015,71-2801008,72-2800986,73-2800980,74-2800988,75-2800971,76-2800941,77-2800927,78-2800925,79-2800923,80-2800874,81-2805941,82-2800821,83-2800876,84-2800846,85-2805865,86-2805871,87-2805869,88-2805866,89-2800867,90-2800824,91-2806788,92-2800889,93-2805296,94-2805295,95-2800899,96-2805370
64-2801330,,,,,,,,,,,,,,,,0,0.394362,1.406273,1.815617,2.20451,2.413064,2.6465129999999997,2.91422,3.194734,3.534035,3.986081,4.592209,4.979847,5.231336000000001,5.821668000000001,6.0888100000000005,6.305145,6.594047000000001,6.950507000000001,7.172181000000001,7.391787000000001,7.640166000000001,7.83647,8.625743,8.852536,9.059893,9.530469,10.486948,11.07733,12.10076,12.420421,12.828977,13.299336
65-2801287,,,,,,,,,,,,,,,,,0,1.011911,1.421255,1.8101479999999999,2.0187019999999998,2.2521509999999996,2.5198579999999997,2.800372,3.1396729999999997,3.591719,4.197846999999999,4.585484999999999,4.836974,5.427306,5.6944479999999995,5.9107829999999995,6.199685,6.556145,6.777819,6.997425,7.245804,7.442107999999999,8.231380999999999,8.458174,8.665531,9.136106999999999,10.092585999999999,10.682967999999999,11.706397999999998,12.026058999999998,12.434614999999999,12.904974
66-2801270,,,,,,,,,,,,,,,,,,0,0.409344,0.798237,1.006791,1.24024,1.5079470000000001,1.788461,2.127762,2.5798080000000003,3.1859360000000003,3.5735740000000003,3.825063,4.415395,4.682537,4.898872,5.187774,5.544234,5.7659080000000005,5.985514,6.233893,6.430197,7.219469999999999,7.446262999999999,7.653619999999999,8.124196,9.080675,9.671057,10.694486999999999,11.014147999999999,11.422704,11.893063
67-2801057,,,,,,,,,,,,,,,,,,,0,0.388893,0.597447,0.830896,1.098603,1.379117,1.718418,2.170464,2.776592,3.16423,3.4157189999999997,4.006050999999999,4.273192999999999,4.489527999999999,4.778429999999999,5.1348899999999995,5.356564,5.576169999999999,5.824548999999999,6.020852999999999,6.810125999999999,7.036918999999998,7.244275999999998,7.714851999999999,8.671330999999999,9.261712999999999,10.285142999999998,10.604803999999998,11.013359999999999,11.483718999999999
68-2801043,,,,,,,,,,,,,,,,,,,,0,0.208554,0.442003,0.7097100000000001,0.990224,1.329525,1.781571,2.387699,2.775337,3.026826,3.617158,3.8842999999999996,4.100635,4.389537,4.745997,4.967671,5.187277,5.435656,5.631959999999999,6.421232999999999,6.648025999999999,6.855382999999999,7.325958999999999,8.282437999999999,8.872819999999999,9.896249999999998,10.215910999999998,10.624467,11.094826
69-2801024,,,,,,,,,,,,,,,,,,,,,0,0.233449,0.501156,0.7816700000000001,1.1209710000000002,1.573017,2.179145,2.566783,2.818272,3.408604,3.675746,3.892081,4.180983,4.537443000000001,4.759117000000001,4.9787230000000005,5.227102,5.423406,6.212679,6.439471999999999,6.646828999999999,7.117405,8.073884,8.664266,9.687695999999999,10.007356999999999,10.415913,10.886272
70-2801015,,,,,,,,,,,,,,,,,,,,,,0,0.26770700000000003,0.5482210000000001,0.8875220000000001,1.339568,1.945696,2.3333340000000002,2.584823,3.175155,3.442297,3.658632,3.947534,4.303994,4.5256680000000005,4.745274,4.993653,5.189957,5.979229999999999,6.206022999999999,6.413379999999999,6.8839559999999995,7.840434999999999,8.430817,9.454246999999999,9.773907999999999,10.182464,10.652823
71-2801008,,,,,,,,,,,,,,,,,,,,,,,0,0.280514,0.619815,1.071861,1.677989,2.065627,2.317116,2.907448,3.1745900000000002,3.390925,3.6798270000000004,4.036287000000001,4.257961000000001,4.4775670000000005,4.725946,4.92225,5.711523,5.9383159999999995,6.1456729999999995,6.616249,7.572728,8.16311,9.186539999999999,9.506200999999999,9.914757,10.385116
72-2800986,,,,,,,,,,,,,,,,,,,,,,,,0,0.339301,0.791347,1.397475,1.785113,2.036602,2.626934,2.894076,3.110411,3.3993130000000003,3.7557730000000005,3.9774470000000006,4.197053,4.445432,4.641736,5.4310089999999995,5.657801999999999,5.865158999999999,6.335735,7.2922139999999995,7.8825959999999995,8.906025999999999,9.225686999999999,9.634243,10.104602
73-2800980,,,,,,,,,,,,,,,,,,,,,,,,,0,0.452046,1.058174,1.445812,1.697301,2.287633,2.5547750000000002,2.77111,3.0600120000000004,3.4164720000000006,3.6381460000000008,3.857752000000001,4.106131000000001,4.302435000000001,5.091708000000001,5.318501,5.525858,5.996434000000001,6.952913000000001,7.5432950000000005,8.566725,8.886386,9.294942,9.765301000000001
74-2800988,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.606128,0.993766,1.245255,1.8355869999999999,2.102729,2.319064,2.6079660000000002,2.9644260000000004,3.1861000000000006,3.405706000000001,3.6540850000000007,3.8503890000000007,4.639662,4.866455,5.073812,5.5443880000000005,6.500867,7.091249,8.114679,8.43434,8.842896000000001,9.313255000000002
75-2800971,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.38763800000000004,0.639127,1.2294589999999999,1.4966009999999998,1.7129359999999998,2.001838,2.3582979999999996,2.5799719999999997,2.799578,3.047957,3.244261,4.0335339999999995,4.260326999999999,4.467683999999999,4.93826,5.8947389999999995,6.4851209999999995,7.508550999999999,7.828211999999999,8.236768,8.707127
76-2800941,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25148899999999996,0.8418209999999999,1.108963,1.3252979999999999,1.6141999999999999,1.9706599999999999,2.192334,2.41194,2.660319,2.856623,3.645896,3.872689,4.080045999999999,4.550622,5.507101,6.0974829999999995,7.120913,7.440574,7.84913,8.319488999999999
77-2800927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.590332,0.857474,1.073809,1.362711,1.719171,1.940845,2.160451,2.40883,2.605134,3.394407,3.6212,3.828557,4.299133,5.255612,5.845994,6.869424,7.189085,7.597641,8.068
78-2800925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.267142,0.483477,0.7723789999999999,1.128839,1.3505129999999999,1.5701189999999998,1.8184979999999997,2.0148019999999995,2.8040749999999997,3.0308679999999995,3.2382249999999995,3.7088009999999993,4.665279999999999,5.255661999999999,6.279091999999999,6.5987529999999985,7.0073089999999985,7.477667999999999
79-2800923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.216335,0.5052369999999999,0.8616969999999999,1.0833709999999999,1.3029769999999998,1.5513559999999997,1.7476599999999998,2.536933,2.7637259999999997,2.9710829999999997,3.4416589999999996,4.398137999999999,4.988519999999999,6.011949999999999,6.331610999999999,6.740166999999999,7.210525999999999
80-2800874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.288902,0.645362,0.8670359999999999,1.0866419999999999,1.3350209999999998,1.5313249999999998,2.320598,2.5473909999999997,2.7547479999999998,3.2253239999999996,4.1818029999999995,4.7721849999999995,5.795615,6.115276,6.523832,6.994191
81-2805941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35646,0.5781339999999999,0.7977399999999999,1.0461189999999998,1.2424229999999998,2.0316959999999997,2.2584889999999995,2.4658459999999995,2.9364219999999994,3.8929009999999993,4.483282999999999,5.5067129999999995,5.8263739999999995,6.234929999999999,6.705289
82-2800821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22167399999999998,0.44128,0.689659,0.8859630000000001,1.675236,1.902029,2.1093859999999998,2.5799619999999996,3.536441,4.126823,5.150252999999999,5.469913999999999,5.878469999999999,6.348828999999999
83-2800876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.219606,0.467985,0.664289,1.453562,1.680355,1.887712,2.358288,3.314767,3.9051489999999998,4.928578999999999,5.248239999999999,5.656795999999999,6.127154999999999
84-2800846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.248379,0.444683,1.233956,1.460749,1.668106,2.138682,3.095161,3.685543,4.708973,5.028634,5.43719,5.907549
85-2805865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.196304,0.985577,1.21237,1.419727,1.8903029999999998,2.846782,3.437164,4.460594,4.780255,5.188811,5.6591700000000005
86-2805871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.789273,1.016066,1.223423,1.6939989999999998,2.6504779999999997,3.2408599999999996,4.264289999999999,4.583950999999999,4.992506999999999,5.462865999999999
87-2805869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.226793,0.43415000000000004,0.904726,1.861205,2.451587,3.475017,3.7946779999999998,4.203234,4.673593
88-2805866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.207357,0.677933,1.6344120000000002,2.224794,3.248224,3.567885,3.976441,4.4468
89-2800867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.470576,1.4270550000000002,2.017437,3.040867,3.360528,3.769084,4.239443
90-2800824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9564790000000001,1.546861,2.570291,2.889952,3.298508,3.768867
91-2806788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.590382,1.6138119999999998,1.9334729999999998,2.3420289999999997,2.812388
92-2800889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0234299999999998,1.3430909999999998,1.7516469999999997,2.222006
93-2805296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31966100000000003,0.728217,1.198576
94-2805295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.408556,0.878915
95-2800899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.470359
96-2805370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
