순번_정류장ID,79-2805804,80-2801168,81-2803645,82-2801666,83-2801633,84-2801192,85-2801604,86-2801555,87-2801181,88-2801508,89-2801482,90-2801450,91-2801438,92-2805321,93-2801461,94-2801462,95-2804438,96-2803644,97-2800676,98-2800667,99-2800657,100-2800340,101-2800624,102-2800619,103-2806215,104-2807461,105-2806729,106-2806175,107-2806745,108-2806743,109-2806902,110-2800582,111-2800579,112-2800570,113-2800558,114-2800552,115-2800338,116-2800538,117-2800525,118-2800520,119-2800513,120-2805304,121-2800498,122-2800497,123-2800493,124-2800489,125-2800483,126-2800475,127-2800471,128-2800467,129-2800449,130-2800441,131-2800436,132-2800433,133-2800425,134-2800321,135-2803560,136-2803561,137-2803562,138-2800395,139-2800397,140-2800399,141-2800316,142-2805901,143-2800410,144-2800434,145-2800443,146-2800458,147-2800330,148-2800473,149-2805322,150-2800356,151-2800358,152-2800360
89-2801482,,,,,,,,,,,0,0.409469,0.846606,1.445222,1.593752,1.780628,2.3444320000000003,4.396437000000001,5.127243000000001,5.467294000000001,5.639825000000001,5.927975000000001,6.473224000000001,6.753519000000001,7.543030000000001,8.029118,8.385861,8.849701,9.245298,10.31494,10.661417,10.822998,11.244468,11.523634,11.766755,12.050743,12.325802000000001,12.862716,13.497558000000001,13.861014,14.352091000000001,14.792006,15.808674,16.088408,16.588818,17.0327,17.232250999999998,17.465601999999997,17.597275999999997,17.829935,18.486573999999997,19.295520999999997,19.589351999999998,19.839201,20.525277,21.122479,22.123081,22.938983999999998,23.291355999999997,23.661824999999997,23.915317999999996,24.132942999999997,24.280482999999997,25.011296999999995,25.855919999999994,26.674093999999993,26.970240999999994,27.292817999999993,27.531634999999994,27.853280999999996,29.143007999999995,29.935403999999995,30.397919999999996,30.653234999999995
90-2801450,,,,,,,,,,,,0,0.437137,1.0357530000000001,1.1842830000000002,1.3711590000000002,1.9349630000000002,3.986968,4.717774,5.057825,5.2303560000000004,5.518506,6.0637550000000005,6.34405,7.133561,7.619649,7.976392,8.440232,8.835829,9.905471,10.251948,10.413529,10.834999,11.114165,11.357286,11.641274000000001,11.916333000000002,12.453247000000001,13.088089000000002,13.451545000000001,13.942622000000002,14.382537000000001,15.399205000000002,15.678939000000002,16.179349000000002,16.623231,16.822782,17.056133,17.187807,17.420466,18.077105,18.886052,19.179883,19.429732,20.115808,20.71301,21.713612,22.529515,22.881887,23.252356,23.505848999999998,23.723474,23.871014,24.601827999999998,25.446450999999996,26.264624999999995,26.560771999999996,26.883348999999995,27.122165999999996,27.443811999999998,28.733538999999997,29.525934999999997,29.988450999999998,30.243765999999997
91-2801438,,,,,,,,,,,,,0,0.598616,0.7471460000000001,0.9340220000000001,1.497826,3.549831,4.2806370000000005,4.620688,4.793219000000001,5.0813690000000005,5.626618000000001,5.906913,6.696424,7.182512,7.539255,8.003095,8.398692,9.468334,9.814811,9.976392,10.397862,10.677028,10.920149,11.204137000000001,11.479196000000002,12.016110000000001,12.650952000000002,13.014408000000001,13.505485000000002,13.945400000000001,14.962068000000002,15.241802000000002,15.742212000000002,16.186094,16.385645,16.618996,16.75067,16.983329,17.639968,18.448915,18.742746,18.992595,19.678671,20.275873,21.276475,22.092378,22.44475,22.815219,23.068711999999998,23.286337,23.433877,24.164690999999998,25.009313999999996,25.827487999999995,26.123634999999997,26.446211999999996,26.685028999999997,27.006674999999998,28.296401999999997,29.088797999999997,29.551313999999998,29.806628999999997
92-2805321,,,,,,,,,,,,,,0,0.14853,0.335406,0.89921,2.951215,3.6820209999999998,4.022072,4.194603,4.482753,5.028002,5.308297,6.097808,6.583895999999999,6.940638999999999,7.404478999999999,7.800075999999999,8.869717999999999,9.216194999999999,9.377775999999999,9.799245999999998,10.078411999999998,10.321532999999999,10.605521,10.88058,11.417494,12.052336,12.415792,12.906869,13.346784,14.363451999999999,14.643185999999998,15.143595999999999,15.587477999999999,15.787028999999999,16.02038,16.152054,16.384713,17.041352,17.850299,18.14413,18.393979,19.080055,19.677257,20.677859,21.493762,21.846134,22.216603,22.470095999999998,22.687721,22.835261,23.566074999999998,24.410697999999996,25.228871999999996,25.525018999999997,25.847595999999996,26.086412999999997,26.408058999999998,27.697785999999997,28.490181999999997,28.952697999999998,29.208012999999998
93-2801461,,,,,,,,,,,,,,,0,0.186876,0.75068,2.802685,3.5334909999999997,3.8735419999999996,4.046073,4.334223,4.879472,5.1597669999999995,5.949278,6.435365999999999,6.792108999999999,7.255948999999999,7.651546,8.721188,9.067665,9.229246,9.650716,9.929882,10.173003,10.456991,10.732050000000001,11.268964,11.903806000000001,12.267262,12.758339000000001,13.198254,14.214922000000001,14.494656,14.995066000000001,15.438948000000002,15.638499000000001,15.871850000000002,16.003524000000002,16.236183000000004,16.892822000000002,17.701769000000002,17.995600000000003,18.245449000000004,18.931525000000004,19.528727000000003,20.529329000000004,21.345232000000003,21.697604000000002,22.068073000000002,22.321566,22.539191000000002,22.686731,23.417545,24.262168,25.080341999999998,25.376489,25.699066,25.937883,26.259529,27.549256,28.341652,28.804168,29.059483
94-2801462,,,,,,,,,,,,,,,,0,0.563804,2.6158089999999996,3.346615,3.6866659999999998,3.859197,4.147347,4.692596,4.972891,5.762402,6.248489999999999,6.605232999999999,7.0690729999999995,7.46467,8.534312,8.880789,9.04237,9.46384,9.743006,9.986127,10.270115,10.545174000000001,11.082088,11.716930000000001,12.080386,12.571463000000001,13.011378,14.028046,14.30778,14.80819,15.252072,15.451623,15.684974,15.816648,16.049307000000002,16.705946,17.514893,17.808724,18.058573000000003,18.744649000000003,19.341851000000002,20.342453000000003,21.158356,21.510728,21.881197,22.13469,22.352315,22.499855,23.230669,24.075291999999997,24.893465999999997,25.189612999999998,25.512189999999997,25.751006999999998,26.072653,27.362379999999998,28.154776,28.617292,28.872607
95-2804438,,,,,,,,,,,,,,,,,0,2.052005,2.7828109999999997,3.1228619999999996,3.295393,3.5835429999999997,4.128792,4.4090869999999995,5.198598,5.684685999999999,6.041428999999999,6.505268999999999,6.900865999999999,7.970507999999999,8.316984999999999,8.478565999999999,8.900035999999998,9.179201999999998,9.422322999999999,9.706311,9.98137,10.518284,11.153126,11.516582,12.007659,12.447574,13.464241999999999,13.743975999999998,14.244385999999999,14.688267999999999,14.887818999999999,15.12117,15.252844,15.485503,16.142142,16.951089,17.24492,17.494769,18.180845,18.778047,19.778649,20.594552,20.946924,21.317393,21.570885999999998,21.788511,21.936051,22.666864999999998,23.511487999999996,24.329661999999995,24.625808999999997,24.948385999999996,25.187202999999997,25.508848999999998,26.798575999999997,27.590971999999997,28.053487999999998,28.308802999999997
96-2803644,,,,,,,,,,,,,,,,,,0,0.7308060000000001,1.0708570000000002,1.2433880000000002,1.5315380000000003,2.0767870000000004,2.357082,3.146593,3.6326810000000003,3.989424,4.453264,4.848860999999999,5.918502999999999,6.2649799999999995,6.4265609999999995,6.848031,7.127197,7.370318,7.654306,7.929365,8.466279,9.101121000000001,9.464577,9.955654000000001,10.395569,11.412237000000001,11.691971,12.192381000000001,12.636263000000001,12.835814000000001,13.069165000000002,13.200839000000002,13.433498000000002,14.090137000000002,14.899084000000002,15.192915000000003,15.442764000000002,16.128840000000004,16.726042000000003,17.726644000000004,18.542547000000003,18.894919,19.265388,19.518881,19.736506000000002,19.884046,20.61486,21.459483,22.277656999999998,22.573804,22.896380999999998,23.135198,23.456844,24.746571,25.538967,26.001483,26.256798
97-2800676,,,,,,,,,,,,,,,,,,,0,0.34005100000000005,0.5125820000000001,0.8007320000000001,1.345981,1.626276,2.415787,2.901875,3.258618,3.7224579999999996,4.118055,5.187697,5.534174,5.695755,6.117225,6.396391,6.639512000000001,6.923500000000001,7.198559,7.735473000000001,8.370315000000002,8.733771,9.224848000000001,9.664763,10.681431,10.961165,11.461575,11.905457,12.105008,12.338359,12.470033,12.702692,13.359331000000001,14.168278,14.462109000000002,14.711958000000001,15.398034,15.995236,16.995838,17.811740999999998,18.164112999999997,18.534581999999997,18.788074999999996,19.005699999999997,19.153239999999997,19.884053999999995,20.728676999999994,21.546850999999993,21.842997999999994,22.165574999999993,22.404391999999994,22.726037999999996,24.015764999999995,24.808160999999995,25.270676999999996,25.525991999999995
98-2800667,,,,,,,,,,,,,,,,,,,,0,0.172531,0.460681,1.00593,1.286225,2.075736,2.561824,2.918567,3.3824069999999997,3.7780039999999997,4.847645999999999,5.194122999999999,5.355703999999999,5.777174,6.05634,6.299461,6.583449,6.858508,7.395422,8.030264,8.39372,8.884797,9.324712,10.341380000000001,10.621114,11.121524,11.565406000000001,11.764957,11.998308000000002,12.129982000000002,12.362641000000002,13.019280000000002,13.828227000000002,14.122058000000003,14.371907000000002,15.057983000000002,15.655185000000001,16.655787,17.47169,17.824061999999998,18.194530999999998,18.448023999999997,18.665649,18.813188999999998,19.544002999999996,20.388625999999995,21.206799999999994,21.502946999999995,21.825523999999994,22.064340999999995,22.385986999999997,23.675713999999996,24.468109999999996,24.930625999999997,25.185940999999996
