순번_정류장ID,1-2803340,2-2803336,3-2803326,4-2803324,5-2803322,6-2803311,7-2803316,8-2803319,9-2803305,10-2803293,11-2803281,12-2803275,13-2803266,14-2803268,15-2803259,16-2803249,17-2803226,18-2803127,19-2805713,20-2803122,21-2803104,22-2803094,23-2803079,24-2803068,25-2807615,26-2803077,27-2803101,28-2803100,29-2803087,30-2802667,31-2802631,32-2802668,33-2802655,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800697,42-2801603,43-2801583,44-2801565,45-2801546,46-2801527,47-2801484,48-2801178,49-2801179,50-2801424,51-2801411,52-2801401,53-2801391,54-2801386,55-2801380,56-2805805,57-2800209,58-2800201
11-2803281,,,,,,,,,,,0,0.26467199999999996,0.668939,1.2318669999999998,1.426119,2.066131,2.27503,2.7707110000000004,2.9660750000000005,3.1865800000000006,3.418710000000001,3.7289000000000008,3.940111000000001,4.204136000000001,4.503776000000001,4.873340000000001,5.270131000000001,5.561781000000001,5.946244000000001,6.354875000000001,6.631547,7.2847740000000005,7.644446,7.96345,8.666162,8.857871,9.320725,9.572559,9.991129,10.308534000000002,11.287124000000002,11.612493000000002,11.881297000000002,12.172634000000002,12.597233000000003,13.047263000000003,13.485376000000002,14.067208000000003,14.523734000000003,14.802985000000003,15.090429000000004,15.351893000000004,15.594822000000004,15.824625000000005,16.093469000000006,16.376196000000007,17.259118000000008,17.456844000000007
12-2803275,,,,,,,,,,,,0,0.404267,0.967195,1.1614470000000001,1.8014590000000001,2.010358,2.5060390000000003,2.7014030000000004,2.9219080000000006,3.154038000000001,3.4642280000000008,3.675439000000001,3.939464000000001,4.239104000000001,4.6086680000000015,5.005459000000002,5.297109000000002,5.681572000000002,6.090203000000002,6.366875000000001,7.020102000000001,7.379774000000001,7.698778000000001,8.40149,8.593199,9.056053,9.307887000000001,9.726457000000002,10.043862000000003,11.022452000000003,11.347821000000003,11.616625000000003,11.907962000000003,12.332561000000004,12.782591000000004,13.220704000000003,13.802536000000003,14.259062000000004,14.538313000000004,14.825757000000005,15.087221000000005,15.330150000000005,15.559953000000005,15.828797000000005,16.111524000000006,16.994446000000007,17.192172000000006
13-2803266,,,,,,,,,,,,,0,0.562928,0.75718,1.397192,1.606091,2.101772,2.297136,2.5176410000000002,2.7497710000000004,3.0599610000000004,3.2711720000000004,3.5351970000000006,3.8348370000000007,4.204401000000001,4.601192000000001,4.892842000000001,5.277305000000001,5.685936000000001,5.962608,6.615835000000001,6.975507,7.294511,7.997223,8.188932,8.651786,8.90362,9.32219,9.639595000000002,10.618185000000002,10.943554000000002,11.212358000000002,11.503695000000002,11.928294000000003,12.378324000000003,12.816437000000002,13.398269000000003,13.854795000000003,14.134046000000003,14.421490000000004,14.682954000000004,14.925883000000004,15.155686000000005,15.424530000000004,15.707257000000004,16.590179000000003,16.787905000000002
14-2803268,,,,,,,,,,,,,,0,0.194252,0.834264,1.043163,1.538844,1.7342080000000002,1.9547130000000001,2.186843,2.497033,2.708244,2.9722690000000003,3.2719090000000004,3.6414730000000004,4.038264000000001,4.3299140000000005,4.714377000000001,5.1230080000000005,5.39968,6.052907,6.412579,6.731583,7.434295,7.626004,8.088858,8.340692,8.759262000000001,9.076667000000002,10.055257000000003,10.380626000000003,10.649430000000002,10.940767000000003,11.365366000000003,11.815396000000003,12.253509000000003,12.835341000000003,13.291867000000003,13.571118000000004,13.858562000000004,14.120026000000005,14.362955000000005,14.592758000000005,14.861602000000005,15.144329000000004,16.027251000000003,16.224977000000003
15-2803259,,,,,,,,,,,,,,,0,0.640012,0.848911,1.344592,1.539956,1.760461,1.992591,2.302781,2.513992,2.778017,3.0776570000000003,3.4472210000000003,3.844012,4.135662,4.520125,4.928756,5.2054279999999995,5.858655,6.2183269999999995,6.537330999999999,7.240042999999999,7.4317519999999995,7.894606,8.14644,8.565010000000001,8.882415000000002,9.861005000000002,10.186374000000002,10.455178000000002,10.746515000000002,11.171114000000003,11.621144000000003,12.059257000000002,12.641089000000003,13.097615000000003,13.376866000000003,13.664310000000004,13.925774000000004,14.168703000000004,14.398506000000005,14.667350000000004,14.950077000000004,15.832999000000004,16.030725000000004
16-2803249,,,,,,,,,,,,,,,,0,0.20889899999999997,0.70458,0.899944,1.120449,1.352579,1.662769,1.87398,2.138005,2.4376450000000003,2.8072090000000003,3.204,3.4956500000000004,3.8801130000000006,4.288744,4.565416,5.218643,5.578315,5.8973189999999995,6.6000309999999995,6.79174,7.254594,7.506428,7.9249979999999995,8.242403,9.220993,9.546362,9.815166,10.106503,10.531102,10.981132,11.419245,12.001077,12.457603,12.736854000000001,13.024298000000002,13.285762000000002,13.528691000000002,13.758494000000002,14.027338000000002,14.310065000000002,15.192987000000002,15.390713000000002
17-2803226,,,,,,,,,,,,,,,,,0,0.49568100000000004,0.691045,0.9115500000000001,1.14368,1.45387,1.665081,1.929106,2.228746,2.59831,2.995101,3.286751,3.671214,4.079845,4.356516999999999,5.0097439999999995,5.369415999999999,5.688419999999999,6.391131999999999,6.582840999999999,7.045694999999999,7.297528999999999,7.716098999999999,8.033503999999999,9.012094,9.337463,9.606266999999999,9.897604,10.322203,10.772233,11.210346,11.792178,12.248704,12.527955,12.815399000000001,13.076863000000001,13.319792000000001,13.549595000000002,13.818439000000001,14.101166000000001,14.984088000000002,15.181814000000001
18-2803127,,,,,,,,,,,,,,,,,,0,0.195364,0.41586900000000004,0.6479990000000001,0.9581890000000002,1.1694000000000002,1.4334250000000002,1.7330650000000003,2.1026290000000003,2.49942,2.7910700000000004,3.1755330000000006,3.584164000000001,3.860836000000001,4.514063000000001,4.873735000000001,5.192739,5.895451,6.087160000000001,6.550014000000001,6.801848000000001,7.2204180000000004,7.537823,8.516413,8.841782,9.110586,9.401923,9.826522,10.276552,10.714665,11.296497,11.753023,12.032274000000001,12.319718000000002,12.581182000000002,12.824111000000002,13.053914000000002,13.322758000000002,13.605485000000002,14.488407000000002,14.686133000000002
19-2805713,,,,,,,,,,,,,,,,,,,0,0.220505,0.452635,0.7628250000000001,0.9740360000000001,1.238061,1.5377010000000002,1.9072650000000002,2.304056,2.5957060000000003,2.980169,3.3888000000000003,3.6654720000000003,4.3186990000000005,4.678371,4.997375,5.700087,5.891796,6.35465,6.606484,7.025054,7.342459,8.321049,8.646418,8.915222,9.206559,9.631158000000001,10.081188000000001,10.519301,11.101133,11.557659000000001,11.836910000000001,12.124354000000002,12.385818000000002,12.628747000000002,12.858550000000003,13.127394000000002,13.410121000000002,14.293043000000003,14.490769000000002
20-2803122,,,,,,,,,,,,,,,,,,,,0,0.23213000000000003,0.54232,0.7535310000000001,1.0175560000000001,1.317196,1.68676,2.083551,2.375201,2.759664,3.168295,3.444967,4.098194,4.457866,4.77687,5.479582,5.671291,6.134145,6.385979,6.804549,7.121954,8.100544,8.425913,8.694716999999999,8.986054,9.410653,9.860683,10.298796,10.880628,11.337154,11.616405,11.903849000000001,12.165313000000001,12.408242000000001,12.638045000000002,12.906889000000001,13.189616000000001,14.072538000000002,14.270264000000001
