순번_정류장ID,37-2802694,38-2802692,39-2802713,40-2802744,41-2802767,42-2802785,43-2802812,44-2802844,45-2802867,46-2802393,47-2802395,48-2802397,49-2802399,50-2802401,51-2802403,52-2802404,53-2802223,54-2802225,55-2802247,56-2802368,57-2802456,58-2802482,59-2802509,60-2802516,61-2802530,62-2802542,63-2802367,64-2802541,65-2802547,66-2802552,67-2802566,68-2802366,69-2802579,70-2802577,71-2802581,72-2802565
47-2802395,,,,,,,,,,,0,0.286835,0.485929,1.217587,1.39545,1.6120230000000002,2.0453740000000002,2.2468850000000002,2.8185260000000003,3.2298880000000003,3.4406420000000004,3.8549460000000004,4.093913000000001,4.349192,4.752211000000001,5.100136000000001,5.4033310000000006,5.851454,6.028726000000001,6.2043420000000005,6.526453,6.835708,7.01536,7.348289,7.515319,8.314478
48-2802397,,,,,,,,,,,,0,0.199094,0.930752,1.1086150000000001,1.3251880000000003,1.7585390000000003,1.9600500000000003,2.5316910000000004,2.9430530000000004,3.1538070000000005,3.5681110000000005,3.8070780000000006,4.062357,4.465376000000001,4.813301000000001,5.116496000000001,5.564619,5.741891000000001,5.9175070000000005,6.239618,6.548873,6.728525,7.061454,7.228484,8.027643
49-2802399,,,,,,,,,,,,,0,0.731658,0.909521,1.1260940000000002,1.5594450000000002,1.7609560000000002,2.3325970000000003,2.7439590000000003,2.9547130000000004,3.3690170000000004,3.6079840000000005,3.8632630000000003,4.266282,4.614207,4.917402,5.365525,5.542797,5.718413,6.040524,6.349779,6.529431,6.86236,7.029389999999999,7.828549
50-2802401,,,,,,,,,,,,,,0,0.17786300000000002,0.394436,0.827787,1.029298,1.600939,2.012301,2.223055,2.637359,2.876326,3.131605,3.534624,3.882549,4.185744,4.6338669999999995,4.811139,4.986755,5.308866,5.618121,5.797773,6.130702,6.297732,7.096891
51-2802403,,,,,,,,,,,,,,,0,0.21657300000000002,0.6499240000000001,0.851435,1.423076,1.834438,2.045192,2.459496,2.6984630000000003,2.953742,3.356761,3.704686,4.007881,4.456004,4.633276,4.808892,5.131003,5.440258,5.61991,5.952839,6.119869,6.919028
52-2802404,,,,,,,,,,,,,,,,0,0.43335100000000004,0.634862,1.206503,1.617865,1.8286190000000002,2.2429230000000002,2.4818900000000004,2.737169,3.140188,3.4881130000000002,3.7913080000000003,4.239431000000001,4.416703000000001,4.592319000000001,4.914430000000001,5.2236850000000015,5.403337000000001,5.736266000000001,5.903296000000001,6.702455000000001
53-2802223,,,,,,,,,,,,,,,,,0,0.201511,0.773152,1.184514,1.3952680000000002,1.8095720000000002,2.0485390000000003,2.303818,2.706837,3.054762,3.3579570000000003,3.80608,3.983352,4.158968,4.481078999999999,4.790334,4.969986,5.302915,5.469944999999999,6.269104
54-2802225,,,,,,,,,,,,,,,,,,0,0.571641,0.983003,1.193757,1.608061,1.847028,2.1023069999999997,2.5053259999999997,2.8532509999999998,3.156446,3.6045689999999997,3.7818409999999996,3.957457,4.279567999999999,4.588823,4.768475,5.101404,5.268433999999999,6.067593
55-2802247,,,,,,,,,,,,,,,,,,,0,0.411362,0.622116,1.0364200000000001,1.275387,1.530666,1.933685,2.28161,2.5848050000000002,3.032928,3.2102,3.385816,3.707927,4.017182,4.196834,4.529763,4.6967929999999996,5.495952
56-2802368,,,,,,,,,,,,,,,,,,,,0,0.210754,0.625058,0.864025,1.119304,1.522323,1.8702480000000001,2.1734430000000002,2.621566,2.798838,2.9744539999999997,3.2965649999999997,3.6058199999999996,3.7854719999999995,4.1184009999999995,4.285430999999999,5.0845899999999995
57-2802456,,,,,,,,,,,,,,,,,,,,,0,0.414304,0.653271,0.90855,1.311569,1.659494,1.9626890000000001,2.410812,2.588084,2.7637,3.085811,3.395066,3.574718,3.907647,4.074676999999999,4.873836
