순번_정류장ID,85-2800086,86-2800083,87-2800082,88-2800084,89-2800080,90-2800088,91-2800093,92-2800095,93-2800061,94-2800096,95-2802014,96-2807182,97-2801997,98-2802002,99-2802005,100-2802034,101-2802061,102-2802077,103-2802085,104-2802096,105-2802083,106-2802070,107-2802055,108-2802058,109-2802082,110-2802086,111-2802074,112-2802047,113-2802054,114-2802098,115-2802129,116-2802158,117-2802168,118-2802175,119-2801848,120-2802181,121-2802178,122-2802797,123-2802795,124-2802778,125-2802792,126-2802800,127-2802815,128-2802826,129-2802803,130-2802774,131-2802754,132-2802726,133-2802725,134-2802735,135-2802761,136-2802762,137-2803139,138-2803138,139-2803231,140-2803226,141-2803127,142-2805712,143-2803122,144-2803104,145-2803094,146-2803079,147-2803068,148-2807615,149-2803044,150-2803041,151-2803066,152-2803064,153-2802652,154-2803058,155-2800805,156-2800798,157-2800786,158-2800754,159-2800716,160-2805583,161-2800690,162-2800677,163-2800668,164-2800335,165-2800638,166-2800635,167-2800639,168-2800327,169-2805935
95-2802014,,,,,,,,,,,0,0.642939,1.095523,1.3224040000000001,1.988365,2.374327,2.674627,2.858851,3.086267,3.3012349999999997,3.398929,3.594925,3.779315,4.213375,4.304858,4.636812,4.982216,5.380991,6.051629999999999,6.423666999999999,6.938579999999999,7.263516999999999,7.616237999999999,7.881514999999999,8.211981999999999,8.621626,8.847772999999998,9.046456999999998,9.529559999999998,10.045850999999999,10.501667,10.85975,11.211035,11.630226,12.017050000000001,12.373701,13.149697,13.603214,14.051238999999999,14.836984999999999,15.212442999999999,15.579954999999998,16.029912999999997,16.373163999999996,16.773452999999996,16.982351999999995,17.425393999999994,17.673396999999994,17.893901999999994,18.126031999999995,18.436221999999994,18.647432999999992,18.911457999999993,19.240622999999992,19.46037799999999,19.62404799999999,19.96693599999999,20.476994999999988,20.831795999999986,21.330054999999987,21.571191999999986,22.001969999999986,22.648385999999984,23.142806999999983,23.327833999999985,23.524022999999985,23.974733999999984,24.390569999999983,24.766566999999984,24.981420999999983,25.228230999999983,25.55744299999998,25.85251699999998,26.27715599999998,26.52075799999998
96-2807182,,,,,,,,,,,,0,0.45258400000000004,0.679465,1.3454259999999998,1.7313879999999997,2.031688,2.215912,2.4433279999999997,2.6582959999999995,2.7559899999999997,2.9519859999999998,3.136376,3.570436,3.661919,3.9938730000000002,4.339277,4.738052,5.408690999999999,5.780727999999999,6.295640999999999,6.620577999999999,6.973298999999999,7.238575999999999,7.569042999999999,7.978686999999999,8.204833999999998,8.403517999999998,8.886620999999998,9.402911999999999,9.858728,10.216811,10.568096,10.987287,11.374111000000001,11.730762,12.506758,12.960275,13.408299999999999,14.194045999999998,14.569503999999998,14.937015999999998,15.386973999999999,15.730224999999999,16.130513999999998,16.339412999999997,16.782454999999995,17.030457999999996,17.250962999999995,17.483092999999997,17.793282999999995,18.004493999999994,18.268518999999994,18.597683999999994,18.817438999999993,18.981108999999993,19.32399699999999,19.83405599999999,20.188856999999988,20.68711599999999,20.928252999999987,21.359030999999987,22.005446999999986,22.499867999999985,22.684894999999987,22.881083999999987,23.331794999999985,23.747630999999984,24.123627999999986,24.338481999999985,24.585291999999985,24.914503999999983,25.209577999999983,25.634216999999982,25.87781899999998
97-2801997,,,,,,,,,,,,,0,0.226881,0.8928419999999999,1.2788039999999998,1.5791039999999998,1.7633279999999998,1.9907439999999998,2.2057119999999997,2.303406,2.499402,2.683792,3.117852,3.2093350000000003,3.5412890000000004,3.886693,4.285468,4.956106999999999,5.328143999999999,5.843056999999999,6.167993999999999,6.520714999999999,6.785991999999999,7.116458999999999,7.526102999999999,7.752249999999999,7.950933999999999,8.434037,8.950328,9.406144000000001,9.764227000000002,10.115512000000003,10.534703000000002,10.921527000000003,11.278178000000002,12.054174000000001,12.507691000000001,12.955716,13.741462,14.11692,14.484432,14.93439,15.277641000000001,15.677930000000002,15.886829000000002,16.329871,16.577874,16.798379,17.030509000000002,17.340699,17.55191,17.815935,18.1451,18.364855,18.528525,18.871412999999997,19.381471999999995,19.736272999999994,20.234531999999994,20.475668999999993,20.906446999999993,21.55286299999999,22.04728399999999,22.232310999999992,22.428499999999993,22.87921099999999,23.29504699999999,23.67104399999999,23.88589799999999,24.13270799999999,24.46191999999999,24.756993999999988,25.181632999999987,25.425234999999986
98-2802002,,,,,,,,,,,,,,0,0.6659609999999999,1.051923,1.352223,1.536447,1.763863,1.978831,2.076525,2.2725210000000002,2.4569110000000003,2.8909710000000004,2.9824540000000006,3.3144080000000007,3.6598120000000005,4.058587,4.729226000000001,5.101263,5.616176,5.9411130000000005,6.293834,6.559111000000001,6.889578,7.299222,7.525369,7.7240530000000005,8.207156000000001,8.723447000000002,9.179263000000002,9.537346000000003,9.888631000000004,10.307822000000003,10.694646000000004,11.051297000000003,11.827293000000003,12.280810000000002,12.728835000000002,13.514581000000002,13.890039000000002,14.257551000000001,14.707509000000002,15.050760000000002,15.451049000000003,15.659948000000004,16.102990000000002,16.350993000000003,16.571498000000002,16.803628000000003,17.113818000000002,17.325029,17.589054,17.918219,18.137974,18.301644,18.644531999999998,19.154590999999996,19.509391999999995,20.007650999999996,20.248787999999994,20.679565999999994,21.325981999999993,21.820402999999992,22.005429999999993,22.201618999999994,22.652329999999992,23.06816599999999,23.444162999999993,23.65901699999999,23.90582699999999,24.23503899999999,24.53011299999999,24.95475199999999,25.198353999999988
99-2802005,,,,,,,,,,,,,,,0,0.38596199999999997,0.6862619999999999,0.8704859999999999,1.097902,1.31287,1.410564,1.60656,1.79095,2.22501,2.3164930000000004,2.6484470000000004,2.9938510000000003,3.3926260000000004,4.063265,4.435302,4.950215,5.275152,5.627873,5.89315,6.223617,6.633261,6.859408,7.058092,7.541195,8.057486,8.513302000000001,8.871385000000002,9.222670000000003,9.641861000000002,10.028685000000003,10.385336000000002,11.161332000000002,11.614849000000001,12.062874,12.84862,13.224078,13.59159,14.041548,14.384799000000001,14.785088000000002,14.993987000000002,15.437029000000003,15.685032000000003,15.905537000000002,16.137667000000004,16.447857000000003,16.659068,16.923093,17.252258,17.472013,17.635683,17.978571,18.48863,18.843431,19.34169,19.582826999999998,20.013605,20.660020999999997,21.154441999999996,21.339468999999998,21.535657999999998,21.986368999999996,22.402204999999995,22.778201999999997,22.993055999999996,23.239865999999996,23.569077999999994,23.864151999999994,24.288790999999993,24.532392999999992
100-2802034,,,,,,,,,,,,,,,,0,0.3003,0.484524,0.71194,0.9269080000000001,1.024602,1.220598,1.4049880000000001,1.8390480000000002,1.9305310000000002,2.2624850000000003,2.607889,3.0066640000000002,3.677303,4.04934,4.564253,4.88919,5.241911,5.507188,5.837655,6.247299,6.473446,6.67213,7.155233,7.671524,8.12734,8.485423,8.836708000000002,9.255899000000001,9.642723000000002,9.999374000000001,10.77537,11.228887,11.676912,12.462658,12.838116,13.205627999999999,13.655586,13.998837,14.399126,14.608025000000001,15.051067000000002,15.299070000000002,15.519575000000001,15.751705000000001,16.061895,16.273106,16.537131,16.866296,17.086050999999998,17.249720999999997,17.592608999999996,18.102667999999994,18.457468999999993,18.955727999999993,19.196864999999992,19.627642999999992,20.27405899999999,20.76847999999999,20.95350699999999,21.14969599999999,21.60040699999999,22.01624299999999,22.39223999999999,22.60709399999999,22.85390399999999,23.183115999999988,23.478189999999987,23.902828999999986,24.146430999999986
101-2802061,,,,,,,,,,,,,,,,,0,0.184224,0.41164,0.626608,0.724302,0.9202980000000001,1.1046880000000001,1.5387480000000002,1.6302310000000002,1.9621850000000003,2.307589,2.706364,3.377003,3.7490400000000004,4.263953000000001,4.588890000000001,4.941611000000001,5.206888000000001,5.537355000000001,5.946999000000001,6.173146000000001,6.371830000000001,6.854933000000001,7.371224000000001,7.82704,8.185123,8.536408000000002,8.955599000000001,9.342423000000002,9.699074000000001,10.47507,10.928587,11.376612,12.162358,12.537816,12.905327999999999,13.355286,13.698537,14.098826,14.307725000000001,14.750767000000002,14.998770000000002,15.219275000000001,15.451405000000001,15.761595000000002,15.972806000000002,16.236831000000002,16.565996000000002,16.785751,16.949421,17.292309,17.802368,18.157169,18.655428,18.896565,19.327343,19.973758999999998,20.468179999999997,20.653207,20.849396,21.300106999999997,21.715942999999996,22.091939999999997,22.306793999999996,22.553603999999996,22.882815999999995,23.177889999999994,23.602528999999993,23.846130999999993
102-2802077,,,,,,,,,,,,,,,,,,0,0.22741599999999998,0.442384,0.5400780000000001,0.7360740000000001,0.9204640000000002,1.3545240000000003,1.4460070000000003,1.7779610000000003,2.123365,2.5221400000000003,3.1927790000000003,3.5648160000000004,4.079729,4.404666000000001,4.7573870000000005,5.022664000000001,5.353131,5.762775,5.9889220000000005,6.187606000000001,6.670709,7.187,7.642816,8.000899,8.352184000000001,8.771375,9.158199000000002,9.514850000000001,10.290846,10.744363,11.192388,11.978133999999999,12.353591999999999,12.721103999999999,13.171062,13.514313,13.914602,14.123501000000001,14.566543000000001,14.814546000000002,15.035051000000001,15.267181,15.577371000000001,15.788582000000002,16.052607000000002,16.381772,16.601527,16.765197,17.108085,17.618144,17.972945,18.471204,18.712341,19.143119,19.789534999999997,20.283955999999996,20.468982999999998,20.665172,21.115882999999997,21.531718999999995,21.907715999999997,22.122569999999996,22.369379999999996,22.698591999999994,22.993665999999994,23.418304999999993,23.661906999999992
103-2802085,,,,,,,,,,,,,,,,,,,0,0.214968,0.312662,0.508658,0.6930480000000001,1.1271080000000002,1.2185910000000002,1.550545,1.895949,2.294724,2.965363,3.3374,3.852313,4.17725,4.529971,4.795248,5.125715,5.535359,5.761506,5.96019,6.443293,6.9595839999999995,7.4154,7.773483,8.124768,8.543959,8.930783,9.287434,10.063429999999999,10.516946999999998,10.964971999999998,11.750717999999997,12.126175999999997,12.493687999999997,12.943645999999998,13.286896999999998,13.687185999999999,13.896085,14.339127,14.58713,14.807635,15.039765,15.349955,15.561166,15.825191,16.154356,16.374111,16.537781,16.880668999999997,17.390727999999996,17.745528999999994,18.243787999999995,18.484924999999993,18.915702999999993,19.562118999999992,20.05653999999999,20.241566999999993,20.437755999999993,20.88846699999999,21.30430299999999,21.680299999999992,21.89515399999999,22.14196399999999,22.47117599999999,22.76624999999999,23.190888999999988,23.434490999999987
104-2802096,,,,,,,,,,,,,,,,,,,,0,0.097694,0.29369,0.47808,0.9121400000000001,1.0036230000000002,1.3355770000000002,1.6809810000000003,2.079756,2.750395,3.1224320000000003,3.6373450000000003,3.962282,4.315003,4.58028,4.910747,5.320391,5.546538,5.745222,6.228325,6.744616,7.200431999999999,7.558514999999999,7.909799999999999,8.328990999999998,8.715815,9.072465999999999,9.848461999999998,10.301978999999998,10.750003999999997,11.535749999999997,11.911207999999997,12.278719999999996,12.728677999999997,13.071928999999997,13.472217999999998,13.681116999999999,14.124158999999999,14.372162,14.592666999999999,14.824796999999998,15.134986999999999,15.346198,15.610223,15.939388,16.159143,16.322813,16.665701,17.175759999999997,17.530560999999995,18.028819999999996,18.269956999999994,18.700734999999995,19.347150999999993,19.841571999999992,20.026598999999994,20.222787999999994,20.673498999999993,21.08933499999999,21.465331999999993,21.680185999999992,21.926995999999992,22.25620799999999,22.55128199999999,22.97592099999999,23.219522999999988
