순번_정류장ID,1-2805045,2-2803524,3-2803525,4-2803769,5-2804876,6-2803770,7-2803820,8-2806041,9-2805551,10-2804418,11-2802599,12-2802592,13-2802589,14-2802362,15-2802595,16-2802598,17-2802587,18-2802580,19-2802572,20-2802561,21-2802550,22-2802540,23-2802535,24-2802527,25-2802520,26-2802498,27-2802485,28-2802483,29-2802371,30-2802441,31-2802941,32-2802901,33-2802851,34-2802823,35-2802783,36-2802757,37-2802733,38-2802706,39-2802628
11-2802599,,,,,,,,,,,0,0.133508,0.40697700000000003,0.760615,1.046408,1.283272,3.025652,3.5277060000000002,3.9898390000000004,4.3177200000000004,4.516654000000001,4.818833000000001,5.053806000000001,5.347111000000001,5.686406000000001,5.960789000000001,6.215566000000001,6.323469000000001,6.7343600000000015,7.184161000000001,9.043489000000001,9.368652,9.832358000000001,10.014756,10.438777,10.914096,11.152395,11.574991,11.834129
12-2802592,,,,,,,,,,,,0,0.273469,0.6271070000000001,0.9129,1.149764,2.892144,3.3941980000000003,3.8563310000000004,4.1842120000000005,4.383146000000001,4.685325000000001,4.920298000000001,5.213603000000001,5.552898000000001,5.827281000000001,6.082058000000001,6.189961000000001,6.6008520000000015,7.050653000000001,8.909981000000002,9.235144000000002,9.698850000000002,9.881248000000001,10.305269000000001,10.780588000000002,11.018887000000001,11.441483000000002,11.700621000000002
13-2802589,,,,,,,,,,,,,0,0.353638,0.639431,0.8762949999999999,2.6186749999999996,3.120729,3.582862,3.910743,4.1096770000000005,4.411856,4.646829,4.9401340000000005,5.279429,5.553812000000001,5.8085890000000004,5.916492000000001,6.327383000000001,6.777184000000001,8.636512000000002,8.961675000000001,9.425381000000002,9.607779,10.0318,10.507119000000001,10.745418,11.168014000000001,11.427152000000001
14-2802362,,,,,,,,,,,,,,0,0.28579299999999996,0.5226569999999999,2.2650369999999995,2.7670909999999997,3.229224,3.557105,3.756039,4.058218,4.293191,4.586496,4.925791,5.2001740000000005,5.454951,5.562854000000001,5.973745000000001,6.423546000000001,8.282874000000001,8.608037000000001,9.071743000000001,9.254141,9.678162,10.153481000000001,10.39178,10.814376000000001,11.073514000000001
15-2802595,,,,,,,,,,,,,,,0,0.236864,1.9792439999999998,2.481298,2.943431,3.271312,3.470246,3.772425,4.007398,4.300703,4.639998,4.9143810000000006,5.169158,5.277061000000001,5.687952000000001,6.137753000000001,7.9970810000000006,8.322244000000001,8.785950000000001,8.968348,9.392369,9.867688000000001,10.105987,10.528583000000001,10.787721000000001
16-2802598,,,,,,,,,,,,,,,,0,1.7423799999999998,2.244434,2.706567,3.0344480000000003,3.233382,3.5355610000000004,3.7705340000000005,4.063839000000001,4.4031340000000005,4.677517000000001,4.932294000000001,5.040197000000001,5.451088000000001,5.900889000000001,7.760217000000001,8.08538,8.549086,8.731484,9.155505,9.630824,9.869123,10.291719,10.550857
17-2802587,,,,,,,,,,,,,,,,,0,0.502054,0.964187,1.292068,1.491002,1.793181,2.028154,2.321459,2.660754,2.9351369999999997,3.1899139999999995,3.2978169999999993,3.7087079999999992,4.158509,6.017836999999999,6.342999999999999,6.806705999999999,6.989103999999999,7.413124999999999,7.888443999999999,8.126743,8.549339,8.808477
18-2802580,,,,,,,,,,,,,,,,,,0,0.462133,0.790014,0.9889479999999999,1.291127,1.5261,1.8194050000000002,2.1587,2.433083,2.6878599999999997,2.7957629999999996,3.2066539999999994,3.6564549999999993,5.515782999999999,5.840945999999999,6.304651999999999,6.487049999999999,6.911070999999999,7.386389999999999,7.624688999999998,8.047284999999999,8.306422999999999
19-2802572,,,,,,,,,,,,,,,,,,,0,0.327881,0.526815,0.828994,1.063967,1.357272,1.696567,1.97095,2.225727,2.33363,2.7445209999999998,3.1943219999999997,5.053649999999999,5.378812999999999,5.842518999999999,6.024916999999999,6.448937999999999,6.924256999999999,7.162555999999999,7.585151999999999,7.844289999999999
20-2802561,,,,,,,,,,,,,,,,,,,,0,0.198934,0.5011129999999999,0.7360859999999999,1.029391,1.3686859999999998,1.643069,1.897846,2.005749,2.4166399999999997,2.8664409999999996,4.725769,5.0509319999999995,5.514638,5.697036,6.1210569999999995,6.596375999999999,6.834674999999999,7.257270999999999,7.5164089999999995
21-2802550,,,,,,,,,,,,,,,,,,,,,0,0.302179,0.537152,0.830457,1.169752,1.444135,1.698912,1.806815,2.217706,2.667507,4.526835,4.851998,5.315704,5.498102,5.922123,6.397442,6.6357409999999994,7.058337,7.317475
22-2802540,,,,,,,,,,,,,,,,,,,,,,0,0.23497300000000002,0.528278,0.8675729999999999,1.141956,1.396733,1.504636,1.915527,2.365328,4.2246559999999995,4.549818999999999,5.013525,5.195923,5.619943999999999,6.095262999999999,6.333561999999999,6.756157999999999,7.015295999999999
23-2802535,,,,,,,,,,,,,,,,,,,,,,,0,0.29330500000000004,0.6326,0.9069830000000001,1.1617600000000001,1.2696630000000002,1.6805540000000003,2.130355,3.9896830000000003,4.314846,4.778552,4.96095,5.384971,5.86029,6.098589,6.521185,6.780323
24-2802527,,,,,,,,,,,,,,,,,,,,,,,,0,0.33929499999999996,0.613678,0.868455,0.976358,1.387249,1.83705,3.696378,4.021541,4.485247,4.667645,5.091666,5.566985,5.8052839999999994,6.22788,6.487018
25-2802520,,,,,,,,,,,,,,,,,,,,,,,,,0,0.274383,0.52916,0.6370629999999999,1.0479539999999998,1.4977549999999997,3.3570829999999994,3.6822459999999992,4.145951999999999,4.3283499999999995,4.752370999999999,5.227689999999999,5.465988999999999,5.888584999999999,6.147722999999999
26-2802498,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.254777,0.36268,0.773571,1.223372,3.0827,3.407863,3.871569,4.053967,4.477988,4.953307,5.191605999999999,5.614202,5.87334
