순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2804336,8-2804260,9-2807394,10-2804761,11-2804759,12-2804258,13-2804256,14-2806229,15-2804245,16-2804774,17-2804243,18-2804242,19-2806329,20-2804240,21-2804238,22-2804236,23-2804234,24-2806330,25-2803714,26-2803715,27-2803720,28-2803719,29-2803711,30-2806217,31-2803708,32-2806218,33-2803710,34-2803712,35-2804341,36-2804214,37-2804216,38-2804221,39-2806332,40-2807154,41-2804222,42-2804224,43-2804226,44-2807152,45-2804228,46-2804230,47-2807140,48-2807113,49-2807410,50-2807114,51-2806973,52-2807115,53-2806952,54-2807116,55-2807117,56-2807120,57-2806975,58-2806976,59-2806977,60-2807136,61-2806955,62-2806956,63-2807133,64-2806958,65-2806959,66-2806978,67-2806960,68-2806961,69-2806962
11-2804759,,,,,,,,,,,0,0.470408,0.959146,1.235401,1.812714,3.170789,4.09647,4.947951,5.49311,5.948176999999999,6.517657,6.776597,7.244342,7.960368,8.300434,8.543,9.479080999999999,10.148435,10.379676,10.498734,10.851302,11.515239000000001,11.648405,11.848394,12.516337,13.204312,13.580484,14.359232,14.657032000000001,15.303939000000002,15.525435000000002,15.945181000000002,16.314852000000002,16.658874,16.887887,17.249375,17.63083,19.382405,19.860756,20.363774999999997,21.010651999999997,22.139873999999995,22.377357999999994,22.794306999999993,23.045420999999994,23.912212999999994,24.457728999999993,25.816237999999995,26.117231999999994,26.421875999999994,26.666923999999995,27.045546999999996,27.349476999999997,27.693296999999998,28.057071999999998,28.358009,28.701981999999997,29.998676999999997,31.034447999999998
12-2804258,,,,,,,,,,,,0,0.488738,0.764993,1.342306,2.700381,3.626062,4.477543,5.022702,5.4777689999999994,6.047248999999999,6.306188999999999,6.773933999999999,7.489959999999999,7.830025999999999,8.072591999999998,9.008672999999998,9.678026999999998,9.909267999999999,10.028326,10.380894,11.044831,11.177997,11.377986,12.045929,12.733903999999999,13.110076,13.888824,14.186624,14.833531,15.055027,15.474773,15.844444000000001,16.188466000000002,16.417479,16.778967,17.160422,18.911997,19.390348,19.893366999999998,20.540243999999998,21.669465999999996,21.906949999999995,22.323898999999994,22.575012999999995,23.441804999999995,23.987320999999994,25.345829999999996,25.646823999999995,25.951467999999995,26.196515999999995,26.575138999999997,26.879068999999998,27.222889,27.586664,27.887601,28.231574,29.528268999999998,30.56404
13-2804256,,,,,,,,,,,,,0,0.27625500000000003,0.853568,2.211643,3.137324,3.988805,4.533964,4.989031,5.558510999999999,5.817450999999999,6.285195999999999,7.001221999999999,7.341288,7.583854,8.519935,9.189289,9.420530000000001,9.539588000000002,9.892156000000002,10.556093000000002,10.689259000000002,10.889248000000002,11.557191000000001,12.245166000000001,12.621338000000002,13.400086000000002,13.697886000000002,14.344793000000003,14.566289000000003,14.986035000000003,15.355706000000003,15.699728000000004,15.928741000000004,16.290229000000004,16.671684000000003,18.423259,18.90161,19.404629,20.051506,21.180728,21.418211999999997,21.835160999999996,22.086274999999997,22.953066999999997,23.498582999999996,24.857091999999998,25.158085999999997,25.462729999999997,25.707777999999998,26.086401,26.390331,26.734151,27.097926,27.398863000000002,27.742836,29.039531,30.075302
14-2806229,,,,,,,,,,,,,,0,0.577313,1.9353879999999999,2.8610689999999996,3.7125499999999994,4.257708999999999,4.712775999999999,5.2822559999999985,5.5411959999999985,6.008940999999998,6.724966999999999,7.065032999999999,7.307598999999999,8.24368,8.913034,9.144275,9.263333000000001,9.615901000000001,10.279838000000002,10.413004,10.612993000000001,11.280936,11.968911,12.345083,13.123831000000001,13.421631000000001,14.068538000000002,14.290034000000002,14.709780000000002,15.079451000000002,15.423473000000003,15.652486000000003,16.013974000000005,16.395429000000004,18.147004000000003,18.625355000000003,19.128374,19.775251,20.904473,21.141956999999998,21.558905999999997,21.810019999999998,22.676811999999998,23.222327999999997,24.580837,24.881831,25.186474999999998,25.431523,25.810146,26.114076,26.457896,26.821671000000002,27.122608000000003,27.466581,28.763276,29.799047
15-2804245,,,,,,,,,,,,,,,0,1.358075,2.283756,3.135237,3.680396,4.135463,4.704943,4.963883,5.431628,6.147654,6.48772,6.730286,7.666367,8.335721,8.566962,8.686020000000001,9.038588,9.702525000000001,9.835691,10.035680000000001,10.703623,11.391598,11.76777,12.546518,12.844318000000001,13.491225000000002,13.712721000000002,14.132467000000002,14.502138000000002,14.846160000000003,15.075173000000003,15.436661000000003,15.818116000000003,17.569691000000002,18.048042000000002,18.551061,19.197938,20.32716,20.564643999999998,20.981592999999997,21.232706999999998,22.099498999999998,22.645014999999997,24.003524,24.304517999999998,24.609161999999998,24.85421,25.232833,25.536763,25.880583,26.244358000000002,26.545295000000003,26.889268,28.185963,29.221734
16-2804774,,,,,,,,,,,,,,,,0,0.925681,1.777162,2.322321,2.777388,3.346868,3.605808,4.073553,4.789579000000001,5.129645000000001,5.372211000000001,6.308292000000001,6.977646000000001,7.208887000000001,7.327945000000001,7.680513,8.34445,8.477616,8.677605,9.345547999999999,10.033522999999999,10.409695,11.188443,11.486243,12.13315,12.354646,12.774392,13.144063000000001,13.488085000000002,13.717098000000002,14.078586000000001,14.460041000000002,16.211616000000003,16.689967000000003,17.192986,17.839863,18.969085,19.206569,19.623517999999997,19.874632,20.741424,21.286939999999998,22.645449,22.946443,23.251087,23.496135,23.874758,24.178688,24.522508000000002,24.886283000000002,25.187220000000003,25.531193000000002,26.827888,27.863659000000002
17-2804243,,,,,,,,,,,,,,,,,0,0.8514809999999999,1.39664,1.8517070000000002,2.421187,2.680127,3.147872,3.863898,4.203964,4.44653,5.382611,6.051965,6.283206,6.402264,6.7548319999999995,7.418768999999999,7.551934999999999,7.751924,8.419867,9.107842,9.484014,10.262762,10.560562000000001,11.207469000000001,11.428965000000002,11.848711000000002,12.218382000000002,12.562404000000003,12.791417000000003,13.152905000000002,13.534360000000003,15.285935000000004,15.764286000000004,16.267305000000004,16.914182000000004,18.043404000000002,18.280888,18.697837,18.948951,19.815743,20.361259,21.719768000000002,22.020762,22.325406,22.570454,22.949077000000003,23.253007000000004,23.596827000000005,23.960602000000005,24.261539000000006,24.605512000000004,25.902207000000004,26.937978000000005
18-2804242,,,,,,,,,,,,,,,,,,0,0.5451590000000001,1.000226,1.569706,1.828646,2.296391,3.012417,3.3524830000000003,3.5950490000000004,4.53113,5.200484,5.431725,5.550783,5.903351,6.567288,6.700454,6.900443,7.568386,8.256361,8.632533,9.411281,9.709081000000001,10.355988000000002,10.577484000000002,10.997230000000002,11.366901000000002,11.710923000000003,11.939936000000003,12.301424000000003,12.682879000000003,14.434454000000004,14.912805000000004,15.415824000000004,16.062701000000004,17.191923000000003,17.429407,17.846356,18.09747,18.964262,19.509778,20.868287000000002,21.169281,21.473925,21.718973000000002,22.097596000000003,22.401526000000004,22.745346000000005,23.109121000000005,23.410058000000006,23.754031000000005,25.050726000000004,26.086497000000005
19-2806329,,,,,,,,,,,,,,,,,,,0,0.455067,1.024547,1.283487,1.751232,2.467258,2.8073240000000004,3.0498900000000004,3.985971,4.655325,4.886566,5.005624,5.358192,6.022129,6.155295,6.355284,7.023227,7.711202,8.087374,8.866122,9.163922000000001,9.810829000000002,10.032325000000002,10.452071000000002,10.821742000000002,11.165764000000003,11.394777000000003,11.756265000000003,12.137720000000003,13.889295000000004,14.367646000000004,14.870665000000004,15.517542000000004,16.646764000000005,16.884248000000003,17.301197000000002,17.552311000000003,18.419103000000003,18.964619000000003,20.323128000000004,20.624122000000003,20.928766000000003,21.173814000000004,21.552437000000005,21.856367000000006,22.200187000000007,22.563962000000007,22.86489900000001,23.208872000000007,24.505567000000006,25.541338000000007
20-2804240,,,,,,,,,,,,,,,,,,,,0,0.56948,0.8284199999999999,1.2961649999999998,2.0121909999999996,2.352257,2.594823,3.5309039999999996,4.200258,4.431499,4.5505569999999995,4.903124999999999,5.567061999999999,5.700227999999999,5.900217,6.56816,7.256135,7.632307,8.411055,8.708855,9.355762,9.577258,9.997004,10.366675,10.710697000000001,10.939710000000002,11.301198000000001,11.682653000000002,13.434228000000003,13.912579000000003,14.415598000000003,15.062475000000003,16.191697,16.429181,16.84613,17.097244,17.964036,18.509552,19.868061,20.169055,20.473699,20.718747,21.09737,21.401300000000003,21.745120000000004,22.108895000000004,22.409832000000005,22.753805000000003,24.050500000000003,25.086271000000004
