순번_정류장ID,1-2807273,2-2800328,3-2800630,4-2807080,5-2807078,6-2806214,7-2806242,8-2806244,9-2801157,10-2801151,11-2801145,12-2806923,13-2801128,14-2801120,15-2800852,16-2800845,17-2800854,18-2801087,19-2801055,20-2801043,21-2801024,22-2801003,23-2800969,24-2800959,25-2800941,26-2800927,27-2800925,28-2800923,29-2800874,30-2805941,31-2800821,32-2800876,33-2800846,34-2807334,35-2804991,36-2800830,37-2800828,38-2803432,39-2803438,40-2803451,41-2803453,42-2803433
11-2801145,,,,,,,,,,,0,0.326283,0.511483,0.738453,0.910113,1.265789,1.780963,2.510134,3.041069,3.4299619999999997,3.7923219999999995,4.2718609999999995,4.4579629999999995,5.124662999999999,5.512300999999999,5.763789999999999,6.354121999999999,6.621263999999999,6.837598999999999,7.126500999999999,7.4829609999999995,7.704635,7.984499,8.498232,11.681339,12.030534,14.340599,14.760231999999998,15.980643999999998,17.75096,18.946548999999997,20.109840999999996
12-2806923,,,,,,,,,,,,0,0.1852,0.41217,0.58383,0.939506,1.45468,2.1838509999999998,2.7147859999999997,3.1036789999999996,3.4660389999999994,3.9455779999999994,4.131679999999999,4.798379999999999,5.186017999999999,5.437506999999999,6.027838999999999,6.294980999999999,6.511315999999999,6.800217999999999,7.156677999999999,7.378352,7.6582159999999995,8.171949,11.355056,11.704251,14.014315999999999,14.433948999999998,15.654360999999998,17.424677,18.620266,19.783558
13-2801128,,,,,,,,,,,,,0,0.22696999999999998,0.39862999999999993,0.7543059999999999,1.26948,1.998651,2.529586,2.918479,3.2808390000000003,3.760378,3.94648,4.61318,5.000818,5.252307,5.842639,6.109781,6.326116,6.615018,6.971478,7.193152,7.473016,7.9867490000000005,11.169856000000001,11.519051000000001,13.829116,14.248749,15.469161,17.239477,18.435066,19.598357999999998
14-2801120,,,,,,,,,,,,,,0,0.17165999999999998,0.527336,1.04251,1.771681,2.302616,2.691509,3.0538689999999997,3.5334079999999997,3.7195099999999996,4.386209999999999,4.773847999999999,5.0253369999999995,5.615669,5.882810999999999,6.099145999999999,6.3880479999999995,6.744508,6.966182,7.246046,7.759779,10.942886,11.292081,13.602146,14.021778999999999,15.242190999999998,17.012507,18.208095999999998,19.371387999999996
15-2800852,,,,,,,,,,,,,,,0,0.35567600000000005,0.8708500000000001,1.6000210000000001,2.1309560000000003,2.5198490000000002,2.8822090000000005,3.3617480000000004,3.5478500000000004,4.21455,4.602188,4.853677,5.444009,5.711151,5.927486,6.216388,6.5728480000000005,6.794522000000001,7.0743860000000005,7.588119000000001,10.771226,11.120421,13.430486,13.850119,15.070530999999999,16.840847,18.036436000000002,19.199728
16-2800845,,,,,,,,,,,,,,,,0,0.515174,1.244345,1.77528,2.164173,2.5265329999999997,3.0060719999999996,3.1921739999999996,3.8588739999999997,4.246512,4.498001,5.088333,5.355475,5.57181,5.860712,6.217172000000001,6.438846000000001,6.718710000000001,7.232443000000001,10.415550000000001,10.764745000000001,13.074810000000001,13.494443,14.714855,16.485171,17.68076,18.844051999999998
17-2800854,,,,,,,,,,,,,,,,,0,0.729171,1.260106,1.6489989999999999,2.0113589999999997,2.4908979999999996,2.6769999999999996,3.3436999999999997,3.7313379999999996,3.9828269999999995,4.5731589999999995,4.840300999999999,5.056635999999999,5.3455379999999995,5.701998,5.923672,6.203536,6.717269,9.900376,10.249571,12.559636,12.979268999999999,14.199680999999998,15.969996999999998,17.165585999999998,18.328877999999996
18-2801087,,,,,,,,,,,,,,,,,,0,0.530935,0.9198280000000001,1.282188,1.761727,1.947829,2.614529,3.002167,3.253656,3.843988,4.11113,4.327465,4.616367,4.9728270000000006,5.194501000000001,5.474365000000001,5.988098000000001,9.171205,9.5204,11.830465,12.250098,13.470509999999999,15.240825999999998,16.436414999999997,17.599706999999995
19-2801055,,,,,,,,,,,,,,,,,,,0,0.388893,0.751253,1.230792,1.416894,2.083594,2.471232,2.722721,3.313053,3.580195,3.7965299999999997,4.085432,4.441892,4.663566,4.94343,5.457163,8.640270000000001,8.989465000000001,11.29953,11.719163,12.939575,14.709890999999999,15.905479999999999,17.068772
20-2801043,,,,,,,,,,,,,,,,,,,,0,0.36236,0.8418990000000001,1.0280010000000002,1.6947010000000002,2.082339,2.333828,2.92416,3.1913020000000003,3.4076370000000002,3.6965390000000005,4.052999000000001,4.274673000000001,4.554537000000001,5.068270000000001,8.251377000000002,8.600572000000001,10.910637000000001,11.33027,12.550682,14.320998,15.516587,16.679879
21-2801024,,,,,,,,,,,,,,,,,,,,,0,0.47953900000000005,0.665641,1.332341,1.719979,1.9714679999999998,2.5618,2.8289419999999996,3.0452769999999996,3.334179,3.690639,3.912313,4.192177,4.70591,7.889017000000001,8.238212,10.548277,10.96791,12.188322,13.958637999999999,15.154226999999999,16.317518999999997
22-2801003,,,,,,,,,,,,,,,,,,,,,,0,0.186102,0.852802,1.24044,1.4919289999999998,2.082261,2.3494029999999997,2.5657379999999996,2.85464,3.2111,3.432774,3.712638,4.226371,7.409478,7.758673,10.068738,10.488370999999999,11.708782999999999,13.479098999999998,14.674687999999998,15.837979999999998
23-2800969,,,,,,,,,,,,,,,,,,,,,,,0,0.6667,1.054338,1.3058269999999998,1.896159,2.1633009999999997,2.3796359999999996,2.668538,3.024998,3.2466720000000002,3.526536,4.040269,7.223376,7.572571,9.882636,10.302268999999999,11.522680999999999,13.292996999999998,14.488585999999998,15.651877999999998
24-2800959,,,,,,,,,,,,,,,,,,,,,,,,0,0.38763800000000004,0.639127,1.2294589999999999,1.4966009999999998,1.7129359999999998,2.001838,2.3582979999999996,2.5799719999999997,2.8598359999999996,3.373569,6.5566759999999995,6.905870999999999,9.215936,9.635568999999998,10.855980999999998,12.626296999999997,13.821885999999997,14.985177999999998
25-2800941,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25148899999999996,0.8418209999999999,1.108963,1.3252979999999999,1.6141999999999999,1.9706599999999999,2.192334,2.4721979999999997,2.985931,6.1690380000000005,6.518233,8.828298,9.247931,10.468342999999999,12.238658999999998,13.434247999999998,14.597539999999999
26-2800927,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.590332,0.857474,1.073809,1.362711,1.719171,1.940845,2.220709,2.7344419999999996,5.917548999999999,6.266743999999999,8.576808999999999,8.996441999999998,10.216853999999998,11.987169999999997,13.182758999999997,14.346050999999997
27-2800925,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.267142,0.483477,0.7723789999999999,1.128839,1.3505129999999999,1.6303769999999997,2.1441099999999995,5.327216999999999,5.676411999999999,7.986476999999999,8.406109999999998,9.626521999999998,11.396837999999997,12.592426999999997,13.755718999999997
28-2800923,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.216335,0.5052369999999999,0.8616969999999999,1.0833709999999999,1.363235,1.876968,5.060075,5.40927,7.719335000000001,8.138968,9.35938,11.129696,12.325285,13.488577
