순번_정류장ID,1-2807327,2-2802586,3-2802583,4-2802574,5-2802567,6-2802557,7-2802554,8-2807485,9-2807487,10-2802568,11-2802551,12-2802377,13-2802356,14-2802518,15-2802493,16-2805021,17-2802491,18-2802514,19-2802522,20-2802375,21-2802507,22-2802467,23-2806673,24-2802470,25-2802469,26-2802465,27-2802463,28-2802460,29-2802450,30-2802455,31-2802476,32-2802484,33-2802458,34-2802446,35-2802447,36-2802466,37-2805715,38-2802477,39-2802479,40-2802480,41-2802472,42-2802448,43-2802421,44-2802407,45-2802398,46-2802396,47-2802394,48-2802892,49-2802869,50-2802822,51-2802818,52-2802817,53-2802825,54-2802870
11-2802551,,,,,,,,,,,0,0.758421,1.1033140000000001,1.4856870000000002,1.7046580000000002,2.0631570000000004,2.1574350000000004,2.4092070000000003,2.6125070000000004,2.9909350000000003,3.1746270000000005,3.7973640000000004,3.984224,4.374265,4.509390000000001,4.664364000000001,4.862407000000001,5.126486000000001,5.525950000000001,5.870024000000001,6.254931000000001,6.709853000000001,7.212026000000001,7.607675,7.711582000000001,8.013177,8.241624,8.480904,8.85445,9.041528,9.233703,9.546274,9.890836,10.25559,10.928827,11.389814,11.814259999999999,12.409680999999999,12.787685999999999,13.140083999999998,13.290297999999998,13.565626999999997,13.701425999999998,14.011322999999997
12-2802377,,,,,,,,,,,,0,0.344893,0.727266,0.946237,1.304736,1.399014,1.650786,1.8540860000000001,2.232514,2.4162060000000003,3.038943,3.225803,3.615844,3.750969,3.905943,4.103986,4.368065,4.767529,5.111603,5.49651,5.951432,6.453605,6.849253999999999,6.953161,7.2547559999999995,7.483203,7.7224829999999995,8.096029,8.283107,8.475282,8.787853,9.132415,9.497169,10.170406,10.631393,11.055838999999999,11.651259999999999,12.029264999999999,12.381663,12.531877,12.807205999999999,12.943005,13.252901999999999
13-2802356,,,,,,,,,,,,,0,0.382373,0.601344,0.959843,1.054121,1.3058930000000002,1.5091930000000002,1.8876210000000002,2.0713130000000004,2.6940500000000003,2.88091,3.270951,3.406076,3.5610500000000003,3.7590930000000005,4.023172000000001,4.422636000000001,4.766710000000001,5.151617000000001,5.606539000000001,6.108712000000001,6.504361,6.608268000000001,6.9098630000000005,7.138310000000001,7.3775900000000005,7.751136000000001,7.938214,8.130389000000001,8.442960000000001,8.787522000000001,9.152276,9.825513,10.2865,10.710946,11.306367,11.684372,12.03677,12.186984,12.462313,12.598112,12.908009
14-2802518,,,,,,,,,,,,,,0,0.218971,0.5774699999999999,0.6717479999999999,0.9235199999999999,1.12682,1.505248,1.6889399999999999,2.311677,2.498537,2.888578,3.023703,3.178677,3.37672,3.6407990000000003,4.040263,4.384337,4.7692440000000005,5.224166,5.726339,6.121988,6.225895,6.52749,6.755937,6.995217,7.368763,7.555841,7.748016,8.060587,8.405149,8.769903,9.44314,9.904126999999999,10.328572999999999,10.923993999999999,11.301998999999999,11.654397,11.804611,12.079939999999999,12.215739,12.525635999999999
15-2802493,,,,,,,,,,,,,,,0,0.35849899999999996,0.452777,0.704549,0.907849,1.2862770000000001,1.469969,2.092706,2.279566,2.669607,2.804732,2.959706,3.1577490000000004,3.4218280000000005,3.8212920000000006,4.165366000000001,4.550273000000001,5.0051950000000005,5.5073680000000005,5.903017,6.006924000000001,6.308519,6.5369660000000005,6.776246,7.149792000000001,7.33687,7.529045,7.841616,8.186178,8.550932,9.224169,9.685156,10.109601999999999,10.705022999999999,11.083027999999999,11.435426,11.58564,11.860968999999999,11.996768,12.306664999999999
16-2805021,,,,,,,,,,,,,,,,0,0.094278,0.34604999999999997,0.54935,0.927778,1.11147,1.734207,1.921067,2.311108,2.446233,2.601207,2.7992500000000002,3.0633290000000004,3.4627930000000005,3.8068670000000004,4.1917740000000006,4.646696,5.148869,5.544518,5.6484250000000005,5.95002,6.178467,6.417747,6.7912930000000005,6.978371,7.170546,7.483117,7.827679,8.192433,8.86567,9.326656999999999,9.751102999999999,10.346523999999999,10.724528999999999,11.076926999999998,11.227140999999998,11.502469999999997,11.638268999999998,11.948165999999997
17-2802491,,,,,,,,,,,,,,,,,0,0.251772,0.45507200000000003,0.8335000000000001,1.017192,1.639929,1.826789,2.21683,2.351955,2.506929,2.704972,2.9690510000000003,3.3685150000000004,3.7125890000000004,4.0974960000000005,4.552418,5.054591,5.45024,5.554147,5.855742,6.084189,6.323469,6.697015,6.884093,7.076268,7.388839,7.733401,8.098155,8.771392,9.232379,9.656825,10.252246,10.630251,10.982648999999999,11.132862999999999,11.408191999999998,11.543990999999998,11.853887999999998
18-2802514,,,,,,,,,,,,,,,,,,0,0.2033,0.581728,0.76542,1.388157,1.5750170000000001,1.965058,2.100183,2.255157,2.4532000000000003,2.7172790000000004,3.1167430000000005,3.4608170000000005,3.8457240000000006,4.300646,4.802819,5.198468,5.3023750000000005,5.60397,5.832417,6.071697,6.4452430000000005,6.632321,6.824496,7.137067,7.481629,7.846382999999999,8.51962,8.980607,9.405052999999999,10.000473999999999,10.378478999999999,10.730877,10.881091,11.156419999999999,11.292219,11.602115999999999
19-2802522,,,,,,,,,,,,,,,,,,,0,0.37842800000000004,0.5621200000000001,1.184857,1.371717,1.761758,1.8968829999999999,2.051857,2.2499000000000002,2.5139790000000004,2.9134430000000004,3.2575170000000004,3.6424240000000006,4.097346000000001,4.599519000000001,4.9951680000000005,5.099075000000001,5.400670000000001,5.629117000000001,5.868397000000001,6.241943000000001,6.4290210000000005,6.621196,6.9337670000000005,7.278329,7.643083000000001,8.316320000000001,8.777307,9.201753,9.797174,10.175179,10.527577,10.677791000000001,10.95312,11.088919,11.398816
20-2802375,,,,,,,,,,,,,,,,,,,,0,0.183692,0.806429,0.993289,1.38333,1.5184549999999999,1.6734289999999998,1.8714719999999998,2.135551,2.535015,2.879089,3.263996,3.7189180000000004,4.221091,4.61674,4.7206470000000005,5.022242,5.250689,5.489969,5.8635150000000005,6.050593,6.242768,6.555339,6.899901,7.264654999999999,7.937892,8.398878999999999,8.823324999999999,9.418745999999999,9.796750999999999,10.149148999999998,10.299362999999998,10.574691999999997,10.710490999999998,11.020387999999997
