순번_정류장ID,63-2805739,64-2800372,65-2800317,66-2804990,67-2807301,68-2806057,69-2805448,70-2806181,71-2806179,72-2803071,73-2803082,74-2803093,75-2803107,76-2803121,77-2803125,78-2803232,79-2803181,80-2803260,81-2803270,82-2803269,83-2803273,84-2803279,85-2803289,86-2802621,87-2802809,88-2802806,89-2802840,90-2802886,91-2802934,92-2802959,93-2802964,94-2802971,95-2802991,96-2803006,97-2803002,98-2802614,99-2803020,100-2802429,101-2802369,102-2802529,103-2802539,104-2802558,105-2802569,106-2806918,107-2804444,108-2805586,109-2805058,110-2805396,111-2805653,112-2806625,113-2803519,114-2802348,115-2804908,116-2805203,117-2805055,118-2802388,119-2806726,120-2806051,121-2806052,122-2803665,123-2803663,124-2802587,125-2802580,126-2802578,127-2802585
73-2803082,,,,,,,,,,,0,0.261563,0.455301,0.857701,1.291608,1.696808,1.945095,2.39522,2.621668,3.1105300000000002,3.4657530000000003,4.125125000000001,4.606244,5.339075,5.691647000000001,6.220144,6.622042,7.115886000000001,7.677580000000001,8.077843000000001,8.586280000000002,8.864102000000003,9.280213000000003,9.565851000000004,9.770547000000004,10.384586000000004,11.385673000000004,12.391332000000004,12.571587000000005,12.862015000000005,13.585051000000005,14.256650000000006,15.810747000000006,16.219778000000005,16.702726000000006,16.914018000000006,17.138863000000004,17.345468000000004,17.637671000000005,18.138844000000006,18.381660000000007,19.079113000000007,19.793723000000007,20.34397600000001,20.83187300000001,21.197229000000007,21.928677000000008,22.321109000000007,23.234500000000008,23.941191000000007,25.704179000000007,26.206233000000008,26.46989600000001,26.75557000000001,26.96378400000001
74-2803093,,,,,,,,,,,,0,0.19373800000000002,0.5961380000000001,1.030045,1.435245,1.683532,2.133657,2.360105,2.848967,3.20419,3.863562,4.344681,5.077512,5.430084,5.958581,6.360479,6.854323,7.416017,7.81628,8.324717,8.602539,9.018650000000001,9.304288000000001,9.508984000000002,10.123023000000002,11.124110000000002,12.129769000000001,12.310024000000002,12.600452000000002,13.323488000000003,13.995087000000003,15.549184000000004,15.958215000000004,16.441163000000003,16.652455000000003,16.8773,17.083905,17.376108000000002,17.877281000000004,18.120097000000005,18.817550000000004,19.532160000000005,20.082413000000006,20.570310000000006,20.935666000000005,21.667114000000005,22.059546000000005,22.972937000000005,23.679628000000005,25.442616000000005,25.944670000000006,26.208333000000007,26.494007000000007,26.70222100000001
75-2803107,,,,,,,,,,,,,0,0.4024,0.8363069999999999,1.241507,1.4897939999999998,1.9399189999999997,2.1663669999999997,2.655229,3.010452,3.669824,4.150943,4.883774,5.236346,5.764843,6.166741,6.660585,7.222279,7.622542,8.130979,8.408801,8.824912000000001,9.110550000000002,9.315246000000002,9.929285000000002,10.930372000000002,11.936031000000002,12.116286000000002,12.406714000000003,13.129750000000003,13.801349000000004,15.355446000000004,15.764477000000005,16.247425000000003,16.458717000000004,16.683562000000002,16.890167,17.182370000000002,17.683543000000004,17.926359000000005,18.623812000000004,19.338422000000005,19.888675000000006,20.376572000000007,20.741928000000005,21.473376000000005,21.865808000000005,22.779199000000006,23.485890000000005,25.248878000000005,25.750932000000006,26.014595000000007,26.300269000000007,26.50848300000001
76-2803121,,,,,,,,,,,,,,0,0.433907,0.839107,1.087394,1.537519,1.763967,2.252829,2.6080520000000003,3.267424,3.748543,4.481374000000001,4.833946000000001,5.362443000000001,5.764341000000001,6.258185000000001,6.819879000000001,7.220142000000001,7.728579000000001,8.006401,8.422512000000001,8.708150000000002,8.912846000000002,9.526885000000002,10.527972000000002,11.533631000000002,11.713886000000002,12.004314000000003,12.727350000000003,13.398949000000004,14.953046000000004,15.362077000000005,15.845025000000005,16.056317000000004,16.281162000000002,16.487767,16.779970000000002,17.281143000000004,17.523959000000005,18.221412000000004,18.936022000000005,19.486275000000006,19.974172000000006,20.339528000000005,21.070976000000005,21.463408000000005,22.376799000000005,23.083490000000005,24.846478000000005,25.348532000000006,25.612195000000007,25.897869000000007,26.10608300000001
77-2803125,,,,,,,,,,,,,,,0,0.4052,0.6534869999999999,1.103612,1.33006,1.818922,2.1741449999999998,2.8335169999999996,3.3146359999999997,4.047466999999999,4.400039,4.928535999999999,5.3304339999999995,5.824278,6.385972,6.786235,7.294671999999999,7.572493999999999,7.988604999999999,8.274242999999998,8.478938999999999,9.092977999999999,10.094064999999999,11.099723999999998,11.279978999999999,11.570407,12.293443,12.965042,14.519139000000001,14.928170000000001,15.411118000000002,15.622410000000002,15.847255000000002,16.053860000000004,16.346063000000004,16.847236000000006,17.090052000000007,17.787505000000007,18.502115000000007,19.05236800000001,19.54026500000001,19.905621000000007,20.637069000000007,21.029501000000007,21.942892000000008,22.649583000000007,24.412571000000007,24.914625000000008,25.17828800000001,25.46396200000001,25.67217600000001
78-2803232,,,,,,,,,,,,,,,,0,0.24828699999999998,0.698412,0.92486,1.413722,1.768945,2.428317,2.909436,3.642267,3.994839,4.523336,4.925234,5.419078,5.980772,6.381035,6.889472,7.167293999999999,7.583404999999999,7.869042999999999,8.073738999999998,8.687777999999998,9.688864999999998,10.694523999999998,10.874778999999998,11.165206999999999,11.888243,12.559842,14.113939,14.52297,15.005918000000001,15.217210000000001,15.442055000000002,15.648660000000001,15.940863000000002,16.442036,16.684852000000003,17.382305000000002,18.096915000000003,18.647168000000004,19.135065000000004,19.500421000000003,20.231869000000003,20.624301000000003,21.537692000000003,22.244383000000003,24.007371000000003,24.509425000000004,24.773088000000005,25.058762000000005,25.266976000000007
79-2803181,,,,,,,,,,,,,,,,,0,0.450125,0.676573,1.165435,1.520658,2.1800300000000004,2.6611490000000004,3.3939800000000004,3.7465520000000003,4.275049,4.676947,5.170791,5.7324850000000005,6.132748,6.641185,6.919007,7.335118,7.620755999999999,7.825451999999999,8.439491,9.440578,10.446237,10.626492,10.916920000000001,11.639956000000002,12.311555000000002,13.865652000000003,14.274683000000003,14.757631000000003,14.968923000000004,15.193768000000004,15.400373000000004,15.692576000000004,16.193749000000004,16.436565000000005,17.134018000000005,17.848628000000005,18.398881000000006,18.886778000000007,19.252134000000005,19.983582000000006,20.376014000000005,21.289405000000006,21.996096000000005,23.759084000000005,24.261138000000006,24.524801000000007,24.810475000000007,25.01868900000001
80-2803260,,,,,,,,,,,,,,,,,,0,0.226448,0.71531,1.070533,1.729905,2.211024,2.943855,3.296427,3.824924,4.226822,4.7206660000000005,5.282360000000001,5.682623,6.19106,6.468882,6.884993,7.170630999999999,7.3753269999999995,7.9893659999999995,8.990452999999999,9.996111999999998,10.176366999999999,10.466795,11.189831,11.86143,13.415527,13.824558000000001,14.307506000000002,14.518798000000002,14.743643000000002,14.950248000000002,15.242451000000003,15.743624000000002,15.986440000000002,16.683893,17.398503,17.948756000000003,18.436653000000003,18.802009,19.533457000000002,19.925889,20.839280000000002,21.545971,23.308959,23.811013000000003,24.074676000000004,24.360350000000004,24.568564000000006
81-2803270,,,,,,,,,,,,,,,,,,,0,0.48886199999999996,0.844085,1.503457,1.9845760000000001,2.717407,3.069979,3.598476,4.000374,4.494218,5.055912,5.456175,5.964612,6.242433999999999,6.658544999999999,6.944182999999999,7.148878999999999,7.762917999999999,8.764005,9.769663999999999,9.949919,10.240347,10.963383,11.634982,13.189079000000001,13.598110000000002,14.081058000000002,14.292350000000003,14.517195000000003,14.723800000000002,15.016003000000003,15.517176000000003,15.759992000000002,16.457445000000003,17.172055000000004,17.722308000000005,18.210205000000006,18.575561000000004,19.307009000000004,19.699441000000004,20.612832000000004,21.319523000000004,23.082511000000004,23.584565000000005,23.848228000000006,24.133902000000006,24.342116000000008
82-2803269,,,,,,,,,,,,,,,,,,,,0,0.355223,1.0145950000000001,1.495714,2.228545,2.581117,3.1096139999999997,3.5115119999999997,4.005356,4.56705,4.967313,5.47575,5.753571999999999,6.169682999999999,6.455320999999999,6.660016999999999,7.274055999999999,8.275143,9.280802,9.461057,9.751485,10.474521000000001,11.146120000000002,12.700217000000002,13.109248000000003,13.592196000000003,13.803488000000003,14.028333000000003,14.234938000000003,14.527141000000004,15.028314000000004,15.271130000000003,15.968583000000002,16.683193000000003,17.233446000000004,17.721343000000005,18.086699000000003,18.818147000000003,19.210579000000003,20.123970000000003,20.830661000000003,22.593649000000003,23.095703000000004,23.359366000000005,23.645040000000005,23.853254000000007
