순번_정류장ID,1-2806577,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2804135,10-2803684,11-2803685,12-2803686,13-2803687,14-2804667,15-2803688,16-2803689,17-2803690,18-2803691,19-2803740,20-2803692,21-2803694,22-2803696,23-2803698,24-2804776,25-2804737,26-2806144,27-2806401,28-2804747,29-2804305,30-2804302,31-2807404,32-2806100,33-2806102,34-2806104,35-2806106,36-2806108,37-2806110,38-2806112,39-2806114,40-2806116,41-2806118,42-2806120,43-2806122,44-2806124,45-2806126,46-2806128,47-2806130,48-2806132,49-2806135,50-2806137,51-2806139,52-2806141,53-2806142
11-2803685,,,,,,,,,,,0,0.738604,1.208215,1.852295,2.212819,2.753871,2.9786620000000004,4.039148000000001,4.836867000000001,5.0577630000000005,5.346676,5.797874,6.140079,6.452742,6.937141,8.235869,8.989401999999998,9.567274999999999,9.857648,10.452098999999999,11.415081999999998,13.840380999999999,14.548777999999999,14.889701999999998,15.369494999999999,16.266937,16.478357,17.100203999999998,17.424353999999997,17.671712999999997,17.963087999999996,18.158375999999997,18.554862999999997,18.757167999999997,19.048070999999997,19.304798999999996,19.656277999999997,20.124473,20.535414999999997,20.722904999999997,21.799908,22.58122,23.094488
12-2803686,,,,,,,,,,,,0,0.46961099999999995,1.113691,1.474215,2.015267,2.2400580000000003,3.3005440000000004,4.098263,4.319159,4.608072,5.05927,5.401475,5.714137999999999,6.198536999999999,7.497264999999999,8.250798,8.828671,9.119044,9.713495,10.676478,13.101777,13.810174,14.151098,14.630891,15.528333,15.739753,16.3616,16.68575,16.933108999999998,17.224483999999997,17.419772,17.816259,18.018563999999998,18.309466999999998,18.566194999999997,18.917673999999998,19.385869,19.796810999999998,19.984301,21.061304,21.842616,22.355884
13-2803687,,,,,,,,,,,,,0,0.64408,1.004604,1.5456560000000001,1.770447,2.830933,3.6286519999999998,3.849548,4.138461,4.589659,4.931864,5.244527,5.7289259999999995,7.027654,7.781187,8.35906,8.649433,9.243884,10.206866999999999,12.632166,13.340563,13.681486999999999,14.16128,15.058722,15.270142,15.891989,16.216139000000002,16.463498,16.754873,16.950161,17.346648000000002,17.548953,17.839856,18.096584,18.448063,18.916258000000003,19.3272,19.51469,20.591693000000003,21.373005000000003,21.886273000000003
14-2804667,,,,,,,,,,,,,,0,0.36052399999999996,0.901576,1.1263670000000001,2.186853,2.984572,3.205468,3.494381,3.945579,4.287784,4.600447,5.084846,6.383573999999999,7.137106999999999,7.71498,8.005353,8.599803999999999,9.562786999999998,11.988086,12.696482999999999,13.037406999999998,13.517199999999999,14.414641999999999,14.626062,15.247909,15.572059,15.819417999999999,16.110792999999997,16.306081,16.702568,16.904873,17.195776,17.452503999999998,17.803983,18.272178,18.68312,18.87061,19.947613,20.728925,21.242193
15-2803688,,,,,,,,,,,,,,,0,0.5410520000000001,0.765843,1.826329,2.624048,2.8449440000000004,3.1338570000000003,3.585055,3.92726,4.239923,4.724322,6.02305,6.776583,7.354456,7.644829,8.239279999999999,9.202262999999999,11.627562,12.335958999999999,12.676882999999998,13.156676,14.054117999999999,14.265538,14.887385,15.211535,15.458893999999999,15.750269,15.945556999999999,16.342043999999998,16.544348999999997,16.835251999999997,17.091979999999996,17.443458999999997,17.911654,18.322595999999997,18.510085999999998,19.587089,20.368401,20.881669
16-2803689,,,,,,,,,,,,,,,,0,0.224791,1.285277,2.082996,2.3038920000000003,2.5928050000000002,3.044003,3.386208,3.698871,4.18327,5.481998000000001,6.235531000000001,6.813404000000001,7.103777000000001,7.698228000000001,8.661211000000002,11.086510000000002,11.794907000000002,12.135831000000001,12.615624000000002,13.513066000000002,13.724486000000002,14.346333000000003,14.670483000000003,14.917842000000002,15.209217000000002,15.404505000000002,15.800992000000003,16.003297000000003,16.294200000000004,16.550928000000003,16.902407000000004,17.370602000000005,17.781544000000004,17.969034000000004,19.046037000000005,19.827349000000005,20.340617000000005
17-2803690,,,,,,,,,,,,,,,,,0,1.060486,1.8582049999999999,2.079101,2.368014,2.819212,3.1614169999999997,3.47408,3.9584789999999996,5.257206999999999,6.010739999999999,6.588613,6.878985999999999,7.473437,8.43642,10.861719,11.570116,11.91104,12.390833,13.288275,13.499695000000001,14.121542000000002,14.445692000000001,14.693051,14.984426000000001,15.179714,15.576201000000001,15.778506000000002,16.069409,16.326137,16.677616,17.145811000000002,17.556753,17.744243,18.821246000000002,19.602558000000002,20.115826000000002
18-2803691,,,,,,,,,,,,,,,,,,0,0.797719,1.018615,1.307528,1.758726,2.100931,2.4135940000000002,2.897993,4.196721,4.950254,5.5281270000000005,5.8185,6.4129510000000005,7.375934000000001,9.801233000000002,10.509630000000001,10.850554,11.330347000000002,12.227789000000001,12.439209000000002,13.061056000000002,13.385206000000002,13.632565000000001,13.923940000000002,14.119228000000001,14.515715000000002,14.718020000000003,15.008923000000003,15.265651000000004,15.617130000000003,16.085325000000005,16.496267000000003,16.683757000000004,17.760760000000005,18.542072000000005,19.055340000000005
19-2803740,,,,,,,,,,,,,,,,,,,0,0.220896,0.5098090000000001,0.961007,1.303212,1.615875,2.1002739999999998,3.399002,4.152535,4.730408000000001,5.020781,5.615232000000001,6.578215000000001,9.003514000000001,9.711911,10.052835,10.532628,11.43007,11.641490000000001,12.263337000000002,12.587487000000001,12.834846,13.126221000000001,13.321509,13.717996000000001,13.920301000000002,14.211204000000002,14.467932000000003,14.819411000000002,15.287606000000002,15.698548000000002,15.886038000000003,16.963041000000004,17.744353000000004,18.257621000000004
20-2803692,,,,,,,,,,,,,,,,,,,,0,0.28891300000000003,0.740111,1.082316,1.3949790000000002,1.8793780000000002,3.1781060000000005,3.9316390000000006,4.509512000000001,4.799885000000001,5.394336000000001,6.357319000000001,8.782618000000001,9.491015,9.831939,10.311732000000001,11.209174,11.420594000000001,12.042441000000002,12.366591000000001,12.61395,12.905325000000001,13.100613000000001,13.497100000000001,13.699405000000002,13.990308000000002,14.247036000000003,14.598515000000003,15.066710000000002,15.477652000000003,15.665142000000003,16.742145000000004,17.523457000000004,18.036725000000004
