순번_정류장ID,1-2804988,2-2804989,3-2801267,4-2805951,5-2805952,6-2801278,7-2801295,8-2801313,9-2801175,10-2801333,11-2801340,12-2801361,13-2801373,14-2801382,15-2801402,16-2801437,17-2801457,18-2801477,19-2801517,20-2801541,21-2801577,22-2801607,23-2801626,24-2801663,25-2801672,26-2801691,27-2801718,28-2801744,29-2801725,30-2801708,31-2801694,32-2801196,33-2801657,34-2801618,35-2801596,36-2801554,37-2801187,38-2801581,39-2801606,40-2800694,41-2800708,42-2800710
31-2801694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.387831,0.775952,0.986703,1.19197,1.6984590000000002,1.8740020000000002,2.0816670000000004,2.4985480000000004,3.4416790000000006,3.8946310000000004,4.206843
32-2801196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.388121,0.5988720000000001,0.804139,1.3106280000000001,1.4861710000000001,1.6938360000000001,2.110717,3.0538480000000003,3.5068,3.8190120000000003
33-2801657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21075100000000002,0.416018,0.9225070000000001,1.0980500000000002,1.3057150000000002,1.7225960000000002,2.6657270000000004,3.118679,3.4308910000000004
34-2801618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.205267,0.711756,0.8872990000000001,1.094964,1.511845,2.4549760000000003,2.907928,3.2201400000000002
35-2801596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5064890000000001,0.6820320000000001,0.8896970000000001,1.306578,2.249709,2.702661,3.014873
36-2801554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.175543,0.383208,0.800089,1.74322,2.196172,2.508384
37-2801187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20766500000000002,0.624546,1.567677,2.020629,2.332841
38-2801581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41688100000000006,1.360012,1.812964,2.125176
39-2801606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9431309999999999,1.396083,1.708295
40-2800694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.452952,0.765164
41-2800708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.312212
42-2800710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
