순번_정류장ID,41-2802708,42-2802731,43-2802755,44-2802776,45-2802813,46-2802853,47-2802903,48-2802942,49-2802439,50-2802476,51-2802513,52-2802490,53-2802458,54-2802446,55-2802443,56-2802431,57-2802372,58-2802474,59-2802487,60-2802530,61-2802544,62-2802548,63-2802290,64-2802292,65-2803631,66-2801866,67-2802304,68-2802312,69-2802313,70-2802327,71-2802334,72-2802337,73-2802335,74-2802587,75-2802580,76-2802578,77-2802585,78-2802374
55-2802443,,,,,,,,,,,,,,,0,0.503732,0.962683,1.357766,1.5764070000000001,1.9925780000000002,2.487039,2.6991310000000004,3.0888040000000005,3.3022850000000004,3.6360500000000004,4.035673,4.364733,4.963951,5.389023,5.821505,6.227004,6.416271,6.724592,7.536182,8.038236,8.301898999999999,8.587572999999999,8.795786999999999
56-2802431,,,,,,,,,,,,,,,,0,0.458951,0.854034,1.0726749999999998,1.488846,1.983307,2.195399,2.5850720000000003,2.798553,3.132318,3.531941,3.8610010000000003,4.460219,4.8852910000000005,5.317773000000001,5.723272000000001,5.912539000000001,6.220860000000001,7.032450000000001,7.534504000000001,7.798167000000001,8.083841000000001,8.292055000000001
57-2802372,,,,,,,,,,,,,,,,,0,0.395083,0.6137239999999999,1.029895,1.524356,1.736448,2.126121,2.3396019999999997,2.673367,3.07299,3.40205,4.001268,4.42634,4.858822,5.264321,5.453588,5.761909,6.573499,7.075553,7.339216,7.624890000000001,7.8331040000000005
58-2802474,,,,,,,,,,,,,,,,,,0,0.21864099999999997,0.6348119999999999,1.129273,1.341365,1.7310379999999999,1.9445189999999999,2.2782839999999998,2.677907,3.006967,3.606185,4.031257,4.463739,4.869238,5.058505,5.3668260000000005,6.178416,6.680470000000001,6.944133000000001,7.229807000000001,7.438021000000001
59-2802487,,,,,,,,,,,,,,,,,,,0,0.416171,0.910632,1.122724,1.512397,1.725878,2.059643,2.459266,2.788326,3.387544,3.8126160000000002,4.2450980000000005,4.650597,4.839864,5.148185000000001,5.9597750000000005,6.461829000000001,6.725492000000001,7.011166000000001,7.219380000000001
60-2802530,,,,,,,,,,,,,,,,,,,,0,0.494461,0.706553,1.096226,1.309707,1.643472,2.043095,2.3721550000000002,2.9713730000000003,3.3964450000000004,3.828927,4.234426,4.423693,4.732014,5.543604,6.045658,6.309321000000001,6.594995000000001,6.803209000000001
61-2802544,,,,,,,,,,,,,,,,,,,,,0,0.212092,0.601765,0.815246,1.149011,1.548634,1.877694,2.476912,2.901984,3.334466,3.7399649999999998,3.929232,4.237553,5.049143,5.551197,5.81486,6.100534000000001,6.3087480000000005
62-2802548,,,,,,,,,,,,,,,,,,,,,,0,0.389673,0.603154,0.9369190000000001,1.3365420000000001,1.665602,2.2648200000000003,2.6898920000000004,3.122374,3.527873,3.71714,4.025461,4.837051,5.339105,5.602768,5.888442,6.096656
63-2802290,,,,,,,,,,,,,,,,,,,,,,,0,0.213481,0.547246,0.946869,1.2759289999999999,1.875147,2.300219,2.7327009999999996,3.1381999999999994,3.3274669999999995,3.6357879999999994,4.447378,4.949432,5.213095,5.498769,5.706983
64-2802292,,,,,,,,,,,,,,,,,,,,,,,,0,0.33376500000000003,0.733388,1.062448,1.661666,2.086738,2.51922,2.9247189999999996,3.1139859999999997,3.4223069999999995,4.233897,4.735951,4.999614,5.285288,5.493502
65-2803631,,,,,,,,,,,,,,,,,,,,,,,,,0,0.399623,0.728683,1.327901,1.752973,2.1854549999999997,2.5909539999999995,2.7802209999999996,3.0885419999999995,3.9001319999999993,4.4021859999999995,4.665849,4.951523,5.159737
66-2801866,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.32905999999999996,0.9282779999999999,1.3533499999999998,1.7858319999999999,2.191331,2.380598,2.688919,3.5005089999999996,4.002562999999999,4.266226,4.5519,4.760114
67-2802304,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.599218,1.0242900000000001,1.4567720000000002,1.8622710000000002,2.0515380000000003,2.359859,3.171449,3.673503,3.9371660000000004,4.222840000000001,4.4310540000000005
68-2802312,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.425072,0.8575539999999999,1.263053,1.45232,1.7606410000000001,2.572231,3.0742849999999997,3.337948,3.623622,3.831836
69-2802313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.432482,0.837981,1.027248,1.335569,2.147159,2.6492129999999996,2.912876,3.19855,3.406764
70-2802327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.405499,0.594766,0.903087,1.714677,2.2167310000000002,2.4803940000000004,2.7660680000000006,2.9742820000000005
71-2802334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18926700000000002,0.49758800000000003,1.309178,1.811232,2.074895,2.360569,2.568783
72-2802337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.308321,1.1199109999999999,1.6219649999999999,1.8856279999999999,2.171302,2.3795159999999997
73-2802335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8115899999999999,1.313644,1.577307,1.862981,2.071195
74-2802587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.502054,0.765717,1.051391,1.2596049999999999
75-2802580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26366300000000004,0.549337,0.757551
76-2802578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.285674,0.493888
77-2802585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20821399999999998
78-2802374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
