순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802449,50-2802370,51-2802459,52-2802473,53-2802495,54-2802517,55-2802506,56-2802514,57-2802522,58-2802375,59-2802504,60-2806677,61-2806675,62-2802558,63-2802569,64-2802560,65-2802555,66-2802556,67-2802553,68-2802543,69-2802537,70-2802364,71-2802544,72-2802548,73-2802365,74-2802570,75-2802571,76-2802576,77-2802578,78-2802585,79-2802374
50-2802370,,,,,,,,,,,0,0.506087,0.769566,0.9630569999999999,1.2274539999999998,1.3906229999999997,1.5939229999999998,1.9723509999999997,2.2781459999999996,2.8536619999999995,3.4546649999999994,4.128906,4.800504999999999,5.476672999999999,5.817632999999999,6.127115999999999,6.662356999999999,6.992436999999999,7.226197999999999,7.451890999999999,7.763891999999999,7.9759839999999995,8.595962,8.881134,9.132189,9.410465,9.551752,9.837426,10.04564,10.184223000000001
51-2802459,,,,,,,,,,,,0,0.263479,0.45697,0.721367,0.884536,1.087836,1.466264,1.772059,2.347575,2.948578,3.622819,4.294417999999999,4.970585999999999,5.311545999999999,5.621028999999999,6.156269999999999,6.486349999999999,6.720110999999999,6.945803999999999,7.257804999999999,7.469897,8.089875,8.375046999999999,8.626102,8.904378,9.045665,9.331339,9.539553,9.678136
52-2802473,,,,,,,,,,,,,0,0.193491,0.45788799999999996,0.621057,0.824357,1.202785,1.50858,2.084096,2.685099,3.35934,4.030939,4.707107,5.048067,5.35755,5.892791,6.222871,6.456632,6.682325,6.994326,7.206418,7.826396,8.111568,8.362623,8.640899,8.782186,9.06786,9.276074,9.414657
53-2802495,,,,,,,,,,,,,,0,0.264397,0.427566,0.630866,1.0092940000000001,1.3150890000000002,1.8906050000000003,2.4916080000000003,3.165849,3.837448,4.513616,4.854576,5.164059,5.6993,6.02938,6.263141,6.488834,6.800835,7.012927,7.632905,7.918077,8.169132000000001,8.447408000000001,8.588695000000001,8.874369000000002,9.082583000000001,9.221166000000002
54-2802517,,,,,,,,,,,,,,,0,0.163169,0.36646900000000004,0.7448970000000001,1.0506920000000002,1.626208,2.227211,2.901452,3.573051,4.249219,4.590179,4.899662,5.434903,5.764983,5.998744,6.224437,6.536438,6.748530000000001,7.368508,7.6536800000000005,7.9047350000000005,8.183011,8.324298,8.609972,8.818186,8.956769000000001
55-2802506,,,,,,,,,,,,,,,,0,0.2033,0.581728,0.8875230000000001,1.4630390000000002,2.064042,2.738283,3.409882,4.08605,4.42701,4.736493,5.271734,5.601814,5.835575,6.061268,6.3732690000000005,6.585361000000001,7.205339,7.490511000000001,7.741566000000001,8.019842,8.161129,8.446803000000001,8.655017,8.793600000000001
56-2802514,,,,,,,,,,,,,,,,,0,0.37842800000000004,0.684223,1.2597390000000002,1.8607420000000001,2.534983,3.206582,3.88275,4.2237100000000005,4.533193000000001,5.068434000000001,5.3985140000000005,5.632275000000001,5.8579680000000005,6.169969000000001,6.382061000000001,7.002039000000001,7.287211000000001,7.538266000000001,7.816542000000001,7.957829000000001,8.243503,8.451717,8.590300000000001
57-2802522,,,,,,,,,,,,,,,,,,0,0.305795,0.881311,1.482314,2.156555,2.828154,3.504322,3.845282,4.154765,4.690006,5.020086,5.253847,5.47954,5.7915410000000005,6.003633000000001,6.623611,6.908783000000001,7.159838000000001,7.438114000000001,7.579401000000001,7.865075000000001,8.073289,8.211872000000001
58-2802375,,,,,,,,,,,,,,,,,,,0,0.575516,1.1765189999999999,1.8507599999999997,2.522359,3.198527,3.539487,3.84897,4.384211,4.714290999999999,4.948052,5.173744999999999,5.485746,5.697838,6.317816,6.602988,6.854043,7.132319,7.273606,7.55928,7.767494,7.906077
59-2802504,,,,,,,,,,,,,,,,,,,,0,0.601003,1.2752439999999998,1.9468429999999999,2.623011,2.963971,3.273454,3.808695,4.138775,4.372536,4.598229,4.91023,5.1223220000000005,5.7423,6.027472,6.278527,6.556803,6.6980900000000005,6.983764000000001,7.191978000000001,7.330561
