순번_정류장ID,88-2801766,89-2801756,90-2801749,91-2801743,92-2801725,93-2801708,94-2801694,95-2801196,96-2801657,97-2801618,98-2801596,99-2801560,100-2801527,101-2801514,102-2801509,103-2801497,104-2801482,105-2801450,106-2801438,107-2805321,108-2801461,109-2801462,110-2801469,111-2801430,112-2801376,113-2801336,114-2801322,115-2807006,116-2801150,117-2801154,118-2801156,119-2806243,120-2806241,121-2806215,122-2800622,123-2800627,124-2800336,125-2800658,126-2800670,127-2800682,128-2800695,129-2800723,130-2800745,131-2800759,132-2800776,133-2800796,134-2800803,135-2800809,136-2800811,137-2801795,138-2801793,139-2801779,140-2801773,141-2801774,142-2801787,143-2801806,144-2801954,145-2801977,146-2802024,147-2802051,148-2802098,149-2802129,150-2802158,151-2802168,152-2802828,153-2802193,154-2802221,155-2802224,156-2802242,157-2802265,158-2802279,159-2802278,160-2802282,161-2802291,162-2802549,163-2802545,164-2802367,165-2802541,166-2802552,167-2802566,168-2802366,169-2802585,170-2802374
98-2801596,,,,,,,,,,,0,0.131236,0.572093,0.820658,0.999672,1.2991730000000001,1.7232950000000002,2.1327640000000003,2.569901,3.1685170000000005,3.3170470000000005,3.5039230000000003,3.9749100000000004,4.349653,4.871835,5.2049319999999994,5.380749,5.85636,6.089582999999999,6.402252999999999,6.846948999999999,7.636784999999999,7.994595999999999,8.604322999999999,9.720512999999999,10.065651999999998,10.510561999999998,10.770548999999999,11.032584,11.445071,11.897705,12.243893,12.581904999999999,12.776034,13.166941999999999,13.556099999999999,14.709171999999999,15.076187,15.4447,15.854693,16.265756,16.499648999999998,16.869639999999997,17.045446,17.550075,18.066076,18.596131,18.964515,19.405358,19.597836,20.057168,20.429205,20.944118,21.269054999999998,21.941996999999997,23.071348999999998,24.650568999999997,24.966119999999997,25.473357999999998,25.842349,26.452554,27.018694,27.377729,27.868413,28.281661,28.680999,29.118566,29.566689,29.919577,30.241688,30.550943,30.859444,31.067658
99-2801560,,,,,,,,,,,,0,0.44085699999999994,0.689422,0.868436,1.167937,1.592059,2.001528,2.438665,3.037281,3.185811,3.372687,3.843674,4.218417,4.740599,5.073696,5.249513,5.725124,5.958347,6.271017,6.715712999999999,7.505548999999999,7.863359999999999,8.473087,9.589277,9.934415999999999,10.379325999999999,10.639313,10.901347999999999,11.313835,11.766468999999999,12.112656999999999,12.450668999999998,12.644797999999998,13.035705999999998,13.424863999999998,14.577935999999998,14.944950999999998,15.313463999999998,15.723456999999998,16.13452,16.368412999999997,16.738403999999996,16.914209999999997,17.418839,17.934839999999998,18.464895,18.833278999999997,19.274122,19.4666,19.925932,20.297969,20.812882,21.137818999999997,21.810760999999996,22.940112999999997,24.519332999999996,24.834883999999995,25.342121999999996,25.711112999999997,26.321317999999998,26.887458,27.246492999999997,27.737177,28.150425,28.549763,28.98733,29.435453,29.788341,30.110452,30.419707,30.728208,30.936422
100-2801527,,,,,,,,,,,,,0,0.248565,0.42757900000000004,0.7270800000000001,1.151202,1.5606710000000001,1.997808,2.596424,2.744954,2.9318299999999997,3.4028169999999998,3.77756,4.299742,4.632839000000001,4.808656000000001,5.284267000000001,5.5174900000000004,5.83016,6.274856,7.064692,7.422503,8.03223,9.14842,9.493559,9.938469,10.198456,10.460491000000001,10.872978000000002,11.325612000000001,11.671800000000001,12.009812,12.203941,12.594849,12.984007,14.137079,14.504094,14.872607,15.2826,15.693663,15.927556000000001,16.297547,16.473353000000003,16.977982000000004,17.493983000000004,18.024038000000004,18.392422000000003,18.833265000000004,19.025743000000006,19.485075000000005,19.857112000000004,20.372025000000004,20.696962000000003,21.369904000000002,22.499256000000003,24.078476000000002,24.394027,24.901265000000002,25.270256000000003,25.880461000000004,26.446601000000005,26.805636000000003,27.296320000000005,27.709568000000004,28.108906000000005,28.546473000000006,28.994596000000005,29.347484000000005,29.669595000000005,29.978850000000005,30.287351000000005,30.495565000000006
101-2801514,,,,,,,,,,,,,,0,0.179014,0.478515,0.902637,1.312106,1.7492429999999999,2.3478589999999997,2.4963889999999997,2.6832649999999996,3.1542519999999996,3.5289949999999997,4.051176999999999,4.384274,4.560091,5.035702,5.268924999999999,5.581594999999999,6.026290999999999,6.816126999999999,7.173937999999999,7.783664999999999,8.899854999999999,9.244993999999998,9.689903999999999,9.949891,10.211925999999998,10.624412999999999,11.077046999999999,11.423234999999998,11.761246999999997,11.955375999999998,12.346283999999997,12.735441999999997,13.888513999999997,14.255528999999997,14.624041999999998,15.034034999999998,15.445097999999998,15.678990999999998,16.048982,16.224788,16.729417,17.245418,17.775473,18.143857,18.5847,18.777178000000003,19.236510000000003,19.608547,20.12346,20.448397,21.121339,22.250691,23.829911,24.145462,24.6527,25.021691,25.631896,26.198036000000002,26.557071,27.047755000000002,27.461003,27.860341000000002,28.297908000000003,28.746031000000002,29.098919000000002,29.421030000000002,29.730285000000002,30.038786,30.247000000000003
102-2801509,,,,,,,,,,,,,,,0,0.299501,0.723623,1.133092,1.5702289999999999,2.168845,2.317375,2.504251,2.975238,3.349981,3.872163,4.20526,4.381077,4.856688,5.089911,5.402581,5.847277,6.637113,6.994924,7.6046510000000005,8.720841,9.06598,9.51089,9.770877,10.032912,10.445399,10.898033,11.244221,11.582232999999999,11.776361999999999,12.167269999999998,12.556427999999999,13.709499999999998,14.076514999999999,14.445027999999999,14.855020999999999,15.266084,15.499977,15.869968,16.045774,16.550403000000003,17.066404000000002,17.596459000000003,17.964843000000002,18.405686000000003,18.598164000000004,19.057496000000004,19.429533000000003,19.944446000000003,20.269383,20.942325,22.071677,23.650897,23.966448,24.473686,24.842677000000002,25.452882000000002,26.019022000000003,26.378057000000002,26.868741000000004,27.281989000000003,27.681327000000003,28.118894000000004,28.567017000000003,28.919905000000004,29.242016000000003,29.551271000000003,29.859772000000003,30.067986000000005
103-2801497,,,,,,,,,,,,,,,,0,0.424122,0.833591,1.270728,1.8693440000000001,2.017874,2.2047499999999998,2.675737,3.05048,3.572662,3.9057589999999998,4.081576,4.557187,4.79041,5.103079999999999,5.547775999999999,6.337611999999999,6.695422999999999,7.305149999999999,8.421339999999999,8.766478999999999,9.211388999999999,9.471376,9.733411,10.145898,10.598532,10.94472,11.282732,11.476861,11.867769,12.256927,13.409999,13.777014,14.145527,14.55552,14.966583,15.200476,15.570467,15.746273,16.250902,16.766903,17.296958,17.665342,18.106185,18.298663,18.757995,19.130032,19.644945,19.969882,20.642823999999997,21.772175999999998,23.351395999999998,23.666946999999997,24.174184999999998,24.543176,25.153381,25.719521,26.078556,26.56924,26.982488,27.381826,27.819393,28.267516,28.620404,28.942515,29.25177,29.560271,29.768485000000002
104-2801482,,,,,,,,,,,,,,,,,0,0.409469,0.846606,1.445222,1.593752,1.780628,2.251615,2.626358,3.14854,3.481637,3.657454,4.133065,4.366288,4.678958,5.123654,5.91349,6.271301,6.881028000000001,7.997218,8.342357,8.787267,9.047254,9.309289,9.721776,10.17441,10.520598,10.858609999999999,11.052738999999999,11.443646999999999,11.832804999999999,12.985876999999999,13.352891999999999,13.721404999999999,14.131397999999999,14.542461,14.776354,15.146345,15.322151,15.82678,16.342781,16.872836,17.24122,17.682063,17.874541,18.333873,18.70591,19.220823,19.545759999999998,20.218701999999997,21.348053999999998,22.927273999999997,23.242824999999996,23.750062999999997,24.119054,24.729259,25.295399,25.654434,26.145118,26.558366,26.957704,27.395271,27.843394,28.196282,28.518393,28.827648,29.136149,29.344363
105-2801450,,,,,,,,,,,,,,,,,,0,0.437137,1.0357530000000001,1.1842830000000002,1.3711590000000002,1.8421460000000003,2.216889,2.739071,3.072168,3.247985,3.7235959999999997,3.956819,4.269489,4.7141850000000005,5.504021000000001,5.861832000000001,6.471559000000001,7.5877490000000005,7.932888,8.377798,8.637785000000001,8.899820000000002,9.312307000000002,9.764941000000002,10.111129000000002,10.449141000000001,10.643270000000001,11.034178,11.423336,12.576408,12.943423000000001,13.311936000000001,13.721929000000001,14.132992000000002,14.366885000000002,14.736876000000002,14.912682000000002,15.417311000000002,15.933312,16.463367,16.831751,17.272594,17.465072000000003,17.924404000000003,18.296441,18.811354,19.136291,19.809233,20.938585,22.517805,22.833356,23.340594,23.709585,24.31979,24.885930000000002,25.244965,25.735649000000002,26.148897,26.548235000000002,26.985802000000003,27.433925000000002,27.786813000000002,28.108924000000002,28.418179000000002,28.72668,28.934894000000003
106-2801438,,,,,,,,,,,,,,,,,,,0,0.598616,0.7471460000000001,0.9340220000000001,1.4050090000000002,1.7797520000000002,2.301934,2.635031,2.810848,3.286459,3.519682,3.832352,4.277048000000001,5.066884000000001,5.424695000000001,6.034422000000001,7.150612000000001,7.495751,7.940661,8.200648000000001,8.462683000000002,8.875170000000002,9.327804000000002,9.673992000000002,10.012004000000001,10.206133000000001,10.597041,10.986199000000001,12.139271,12.506286000000001,12.874799000000001,13.284792000000001,13.695855000000002,13.929748000000002,14.299739000000002,14.475545000000002,14.980174000000002,15.496175000000001,16.02623,16.394614,16.835457,17.027935000000003,17.487267000000003,17.859304,18.374217,18.699154,19.372096,20.501448,22.080668,22.396219,22.903457,23.272448,23.882653,24.448793000000002,24.807828,25.298512000000002,25.71176,26.111098000000002,26.548665000000003,26.996788000000002,27.349676000000002,27.671787000000002,27.981042000000002,28.289543000000002,28.497757000000004
107-2805321,,,,,,,,,,,,,,,,,,,,0,0.14853,0.335406,0.8063929999999999,1.181136,1.7033179999999999,2.036415,2.2122319999999998,2.6878429999999995,2.9210659999999997,3.2337359999999995,3.6784319999999995,4.468267999999999,4.826078999999999,5.4358059999999995,6.551995999999999,6.897134999999999,7.342044999999999,7.602031999999999,7.864066999999999,8.276553999999999,8.729187999999999,9.075375999999999,9.413387999999998,9.607516999999998,9.998424999999997,10.387582999999998,11.540654999999997,11.907669999999998,12.276182999999998,12.686175999999998,13.097238999999998,13.331131999999998,13.701122999999999,13.876928999999999,14.381557999999998,14.897558999999998,15.427613999999998,15.795997999999999,16.236841,16.429319,16.888651,17.260688,17.775600999999998,18.100537999999997,18.773479999999996,19.902831999999997,21.482051999999996,21.797602999999995,22.304840999999996,22.673831999999997,23.284036999999998,23.850177,24.209211999999997,24.699896,25.113144,25.512482,25.950049,26.398172,26.75106,27.073171,27.382426,27.690927,27.899141
