순번_정류장ID,1-2805045,2-2805996,3-2803524,4-2803525,5-2803666,6-2805655,7-2802345,8-2802359,9-2803520,10-2807446,11-2807448,12-2807358,13-2806723,14-2807169,15-2807359,16-2806052,17-2807043,18-2805032,19-2805030,20-2805778,21-2805779,22-2806084,23-2806085,24-2806086,25-2806087,26-2805780,27-2807044,28-2805781,29-2805208,30-2803663,31-2802597,32-2802594,33-2802591,34-2802590,35-2802593,36-2802600,37-2804872,38-2806624,39-2805009,40-2805006,41-2806093,42-2806094,43-2805553,44-2806833,45-2805205,46-2807361,47-2806918,48-2804444,49-2805879,50-2807453,51-2807457,52-2806050,53-2806582,54-2807454,55-2806056
12-2807358,,,,,,,,,,,,0,0.5385220000000001,0.9228700000000001,1.2981530000000001,1.5833080000000002,2.217053,2.844875,3.301644,3.722614,4.073593,4.545705,4.780782,5.515369000000001,5.765637000000001,6.261138000000001,6.659161000000001,6.917572000000001,7.137086000000001,7.848391000000001,8.349673000000001,8.586583000000001,8.783828000000002,8.985029,9.311081000000001,9.463052000000001,9.882831000000001,10.317840000000002,10.700228000000003,11.008391000000003,11.685022000000004,11.882536000000004,12.059252000000004,12.149933000000004,12.248389000000005,12.733682000000005,13.237446000000006,13.646477000000006,14.299029000000006,14.817060000000007,15.364559000000007,16.54181300000001,17.00426700000001,18.02621700000001,19.51512800000001
13-2806723,,,,,,,,,,,,,0,0.384348,0.759631,1.044786,1.678531,2.306353,2.763122,3.184092,3.5350710000000003,4.007183,4.242260000000001,4.976847000000001,5.227115000000001,5.722616000000001,6.1206390000000015,6.379050000000001,6.598564000000001,7.309869000000002,7.8111510000000015,8.048061000000002,8.245306000000003,8.446507000000002,8.772559000000003,8.924530000000003,9.344309000000003,9.779318000000004,10.161706000000004,10.469869000000005,11.146500000000005,11.344014000000005,11.520730000000006,11.611411000000006,11.709867000000006,12.195160000000007,12.698924000000007,13.107955000000008,13.760507000000008,14.278538000000008,14.826037000000008,16.003291000000008,16.46574500000001,17.48769500000001,18.97660600000001
14-2807169,,,,,,,,,,,,,,0,0.375283,0.660438,1.2941829999999999,1.922005,2.378774,2.799744,3.150723,3.6228350000000002,3.8579120000000002,4.592499,4.842767,5.338268,5.7362910000000005,5.994702,6.214216,6.925521000000001,7.4268030000000005,7.663713,7.860958,8.062159,8.388211,8.540182,8.959961,9.39497,9.777358000000001,10.085521000000002,10.762152000000002,10.959666000000002,11.136382000000003,11.227063000000003,11.325519000000003,11.810812000000004,12.314576000000004,12.723607000000005,13.376159000000005,13.894190000000005,14.441689000000006,15.618943000000005,16.081397000000006,17.103347000000007,18.592258000000008
15-2807359,,,,,,,,,,,,,,,0,0.285155,0.9189,1.546722,2.003491,2.424461,2.77544,3.247552,3.482629,4.2172160000000005,4.467484000000001,4.962985000000001,5.361008000000001,5.619419000000001,5.838933000000001,6.550238000000001,7.051520000000001,7.288430000000001,7.4856750000000005,7.686876000000001,8.012928,8.164899,8.584678,9.019687000000001,9.402075000000002,9.710238000000002,10.386869000000003,10.584383000000003,10.761099000000003,10.851780000000003,10.950236000000004,11.435529000000004,11.939293000000005,12.348324000000005,13.000876000000005,13.518907000000006,14.066406000000006,15.243660000000006,15.706114000000005,16.728064000000003,18.216975000000005
16-2806052,,,,,,,,,,,,,,,,0,0.633745,1.2615669999999999,1.7183359999999999,2.139306,2.490285,2.962397,3.197474,3.932061,4.182329,4.67783,5.075853,5.334264,5.553778,6.265083000000001,6.766365,7.003275,7.20052,7.401721,7.727773,7.879744,8.299522999999999,8.734532,9.11692,9.425083,10.101714000000001,10.299228000000001,10.475944000000002,10.566625000000002,10.665081000000002,11.150374000000003,11.654138000000003,12.063169000000004,12.715721000000004,13.233752000000004,13.781251000000005,14.958505000000004,15.420959000000003,16.442909000000004,17.931820000000005
17-2807043,,,,,,,,,,,,,,,,,0,0.627822,1.084591,1.5055610000000001,1.85654,2.328652,2.563729,3.298316,3.548584,4.044085,4.442108,4.700519,4.920033,5.631338,6.13262,6.36953,6.566775,6.767976,7.094028,7.245998999999999,7.6657779999999995,8.100787,8.483175000000001,8.791338000000001,9.467969000000002,9.665483000000002,9.842199000000003,9.932880000000003,10.031336000000003,10.516629000000004,11.020393000000004,11.429424000000004,12.081976000000004,12.600007000000005,13.147506000000005,14.324760000000005,14.787214000000004,15.809164000000004,17.298075000000004
18-2805032,,,,,,,,,,,,,,,,,,0,0.456769,0.8777389999999999,1.228718,1.7008299999999998,1.9359069999999998,2.6704939999999997,2.920762,3.416263,3.814286,4.072697,4.292211,5.003516,5.504798,5.741708,5.938953,6.140154,6.466206,6.618176999999999,7.037955999999999,7.472964999999999,7.855352999999999,8.163516,8.840147,9.037661,9.214377,9.305058,9.403514000000001,9.888807000000002,10.392571000000002,10.801602000000003,11.454154000000003,11.972185000000003,12.519684000000003,13.696938000000003,14.159392000000002,15.181342000000003,16.670253000000002
19-2805030,,,,,,,,,,,,,,,,,,,0,0.42096999999999996,0.771949,1.2440609999999999,1.4791379999999998,2.2137249999999997,2.463993,2.959494,3.3575169999999996,3.615928,3.8354419999999996,4.546747,5.048029,5.284939,5.482183999999999,5.6833849999999995,6.009436999999999,6.161407999999999,6.581186999999999,7.016195999999999,7.398583999999999,7.706746999999999,8.383377999999999,8.580891999999999,8.757608,8.848289,8.946745,9.432038,9.935802,10.344833000000001,10.997385000000001,11.515416000000002,12.062915000000002,13.240169000000002,13.702623,14.724573000000001,16.213484
20-2805778,,,,,,,,,,,,,,,,,,,,0,0.350979,0.823091,1.058168,1.792755,2.0430230000000003,2.5385240000000002,2.936547,3.194958,3.414472,4.125777,4.627059,4.863969,5.061214,5.262415,5.588467,5.740437999999999,6.160216999999999,6.595225999999999,6.977613999999999,7.2857769999999995,7.962408,8.159922,8.336638,8.427319,8.525775000000001,9.011068000000002,9.514832000000002,9.923863000000003,10.576415000000003,11.094446000000003,11.641945000000003,12.819199000000003,13.281653000000002,14.303603000000003,15.792514000000002
21-2805779,,,,,,,,,,,,,,,,,,,,,0,0.472112,0.707189,1.441776,1.6920439999999999,2.187545,2.5855680000000003,2.8439790000000005,3.0634930000000002,3.774798,4.27608,4.51299,4.710235,4.911436,5.237488,5.3894589999999996,5.809238,6.244247,6.626634999999999,6.934798,7.611429,7.808943,7.985659,8.07634,8.174796,8.660089000000001,9.163853000000001,9.572884000000002,10.225436000000002,10.743467000000003,11.290966000000003,12.468220000000002,12.930674000000002,13.952624000000002,15.441535000000002
22-2806084,,,,,,,,,,,,,,,,,,,,,,0,0.235077,0.969664,1.219932,1.715433,2.1134560000000002,2.3718670000000004,2.591381,3.302686,3.8039680000000002,4.040878,4.238123,4.439324,4.765376,4.9173469999999995,5.337126,5.772135,6.154522999999999,6.462686,7.139317,7.336831,7.513547,7.604228,7.702684,8.187977,8.691741,9.100772000000001,9.753324000000001,10.271355000000002,10.818854000000002,11.996108000000001,12.458562,13.480512000000001,14.969423
23-2806085,,,,,,,,,,,,,,,,,,,,,,,0,0.734587,0.984855,1.480356,1.878379,2.13679,2.3563039999999997,3.0676089999999996,3.568891,3.8058009999999998,4.003045999999999,4.204247,4.530298999999999,4.682269999999999,5.102048999999999,5.537057999999999,5.919445999999999,6.227608999999999,6.90424,7.101754,7.2784699999999996,7.369151,7.467606999999999,7.9529,8.456664,8.865695,9.518247,10.036278000000001,10.583777000000001,11.761031000000001,12.223485,13.245435,14.734346
24-2806086,,,,,,,,,,,,,,,,,,,,,,,,0,0.250268,0.745769,1.143792,1.4022029999999999,1.6217169999999999,2.3330219999999997,2.8343039999999995,3.0712139999999994,3.2684589999999996,3.4696599999999997,3.795712,3.947683,4.367462,4.802471,5.184858999999999,5.493022,6.169653,6.367167,6.543883,6.634564,6.73302,7.218313,7.7220770000000005,8.131108000000001,8.783660000000001,9.301691000000002,9.849190000000002,11.026444000000001,11.488898,12.510848000000001,13.999759000000001
25-2806087,,,,,,,,,,,,,,,,,,,,,,,,,0,0.495501,0.893524,1.151935,1.371449,2.082754,2.584036,2.820946,3.0181910000000003,3.2193920000000005,3.5454440000000007,3.697415000000001,4.1171940000000005,4.552203,4.934591,5.242754000000001,5.919385000000001,6.116899000000001,6.293615000000001,6.384296000000001,6.4827520000000005,6.968045000000001,7.471809000000001,7.880840000000001,8.533392000000001,9.051423000000002,9.598922000000002,10.776176000000001,11.23863,12.260580000000001,13.749491
26-2805780,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.398023,0.656434,0.875948,1.587253,2.0885350000000003,2.325445,2.5226900000000003,2.7238910000000005,3.0499430000000007,3.201914000000001,3.621693000000001,4.056702000000001,4.439090000000001,4.7472530000000015,5.423884000000002,5.621398000000002,5.798114000000002,5.888795000000002,5.987251000000001,6.472544000000002,6.976308000000002,7.385339000000002,8.037891000000002,8.555922000000002,9.103421000000003,10.280675000000002,10.743129000000001,11.765079000000002,13.253990000000002
27-2807044,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.258411,0.477925,1.18923,1.690512,1.927422,2.124667,2.3258680000000003,2.6519200000000005,2.8038910000000006,3.2236700000000007,3.6586790000000007,4.041067000000001,4.349230000000001,5.025861000000002,5.223375000000002,5.4000910000000015,5.4907720000000015,5.589228000000001,6.074521000000002,6.578285000000002,6.987316000000002,7.639868000000002,8.157899000000002,8.705398000000002,9.882652000000002,10.345106000000001,11.367056000000002,12.855967000000001
28-2805781,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.219514,0.930819,1.4321009999999998,1.6690109999999998,1.866256,2.067457,2.393509,2.54548,2.965259,3.400268,3.7826560000000002,4.090819000000001,4.767450000000001,4.964964000000001,5.141680000000001,5.232361000000001,5.330817000000001,5.816110000000001,6.319874000000001,6.728905000000001,7.381457000000001,7.899488000000001,8.446987,9.624241,10.086694999999999,11.108645,12.597555999999999
