순번_정류장ID,1-2801292,2-2801313,3-2801175,4-2801333,5-2801158,6-2801367,7-2801346,8-2801335,9-2801377,10-2801392,11-2801397,12-2801410,13-2801427,14-2801443,15-2801471,16-2801475,17-2801483,18-2801502,19-2801525,20-2801540,21-2801559,22-2801587,23-2801614,24-2801192,25-2801636,26-2801601,27-2801541,28-2801577,29-2801607,30-2801626
14-2801443,,,,,,,,,,,,,,0,0.22390900000000002,0.372594,0.509888,0.7199220000000001,0.8802970000000001,1.0025350000000002,1.0802610000000001,1.220366,1.520265,2.029148,2.395087,2.689973,3.159298,3.424192,3.7418780000000003,3.9300300000000004
15-2801471,,,,,,,,,,,,,,,0,0.14868499999999998,0.285979,0.49601300000000004,0.656388,0.778626,0.856352,0.996457,1.296356,1.805239,2.1711780000000003,2.4660640000000003,2.9353890000000002,3.200283,3.5179690000000003,3.7061210000000004
16-2801475,,,,,,,,,,,,,,,,0,0.137294,0.347328,0.507703,0.6299410000000001,0.707667,0.8477720000000001,1.147671,1.656554,2.022493,2.317379,2.786704,3.051598,3.369284,3.557436
17-2801483,,,,,,,,,,,,,,,,,0,0.21003400000000003,0.370409,0.492647,0.570373,0.710478,1.010377,1.51926,1.885199,2.180085,2.64941,2.914304,3.23199,3.4201420000000002
18-2801502,,,,,,,,,,,,,,,,,,0,0.160375,0.282613,0.360339,0.500444,0.800343,1.309226,1.675165,1.970051,2.439376,2.70427,3.0219560000000003,3.2101080000000004
19-2801525,,,,,,,,,,,,,,,,,,,0,0.12223800000000001,0.19996400000000003,0.34006900000000007,0.6399680000000001,1.148851,1.51479,1.809676,2.279001,2.543895,2.861581,3.0497330000000002
20-2801540,,,,,,,,,,,,,,,,,,,,0,0.077726,0.217831,0.51773,1.026613,1.392552,1.687438,2.1567629999999998,2.4216569999999997,2.739343,2.927495
21-2801559,,,,,,,,,,,,,,,,,,,,,0,0.140105,0.44000399999999995,0.9488869999999999,1.314826,1.609712,2.079037,2.343931,2.661617,2.849769
22-2801587,,,,,,,,,,,,,,,,,,,,,,0,0.29989899999999997,0.8087819999999999,1.174721,1.4696069999999999,1.9389319999999999,2.203826,2.521512,2.709664
23-2801614,,,,,,,,,,,,,,,,,,,,,,,0,0.508883,0.874822,1.169708,1.639033,1.903927,2.221613,2.409765
24-2801192,,,,,,,,,,,,,,,,,,,,,,,,0,0.365939,0.660825,1.13015,1.395044,1.71273,1.9008820000000002
25-2801636,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29488600000000004,0.764211,1.029105,1.346791,1.5349430000000002
26-2801601,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.469325,0.734219,1.051905,1.2400570000000002
27-2801541,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.264894,0.5825800000000001,0.7707320000000001
28-2801577,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.317686,0.505838
29-2801607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18815199999999999
30-2801626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
