순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2804585,21-2804587,22-2804722,23-2804725,24-2807143,25-2807144,26-2804785,27-2806426,28-2804787,29-2804789,30-2804793,31-2800291,32-2807413,33-2800297
11-2804712,,,,,,,,,,,0,0.27357,0.961243,1.864818,2.025313,2.575473,3.277766,3.719068,4.897733000000001,5.231365,5.526714,5.983822,6.393343,7.062266999999999,7.396260999999999,7.867399999999999,8.463481,9.477085,9.654044,10.164247000000001,10.558299000000002,11.003270000000002,11.222538000000002
12-2800276,,,,,,,,,,,,0,0.687673,1.591248,1.751743,2.3019030000000003,3.0041960000000003,3.445498,4.624163,4.957795,5.253144,5.710252,6.1197729999999995,6.788696999999999,7.122690999999999,7.593829999999999,8.189910999999999,9.203515,9.380474,9.890677,10.284729,10.729700000000001,10.948968
13-2800277,,,,,,,,,,,,,0,0.903575,1.06407,1.61423,2.316523,2.757825,3.93649,4.270122,4.565471,5.0225789999999995,5.432099999999999,6.101023999999999,6.435017999999999,6.9061569999999985,7.502237999999998,8.515842,8.692801,9.203004,9.597056,10.042027000000001,10.261295
14-2803597,,,,,,,,,,,,,,0,0.160495,0.710655,1.412948,1.8542500000000002,3.032915,3.366547,3.661896,4.119004,4.528525,5.197449,5.531442999999999,6.002581999999999,6.598662999999999,7.612266999999999,7.789225999999999,8.299429,8.693481,9.138452000000001,9.35772
15-2806642,,,,,,,,,,,,,,,0,0.55016,1.252453,1.6937550000000001,2.87242,3.206052,3.501401,3.958509,4.36803,5.036954,5.370947999999999,5.842086999999999,6.438167999999999,7.451771999999999,7.628730999999999,8.138933999999999,8.532986,8.977957,9.197225
16-2804030,,,,,,,,,,,,,,,,0,0.7022930000000001,1.1435950000000001,2.32226,2.655892,2.951241,3.408349,3.81787,4.486794,4.820787999999999,5.291926999999999,5.888007999999999,6.901611999999999,7.078570999999999,7.588773999999999,7.982825999999999,8.427797,8.647065
17-2800279,,,,,,,,,,,,,,,,,0,0.441302,1.6199670000000002,1.953599,2.248948,2.706056,3.115577,3.784501,4.118495,4.589634,5.185715,6.199319,6.376278,6.886481,7.280533,7.725504,7.9447719999999995
18-2804029,,,,,,,,,,,,,,,,,,0,1.178665,1.5122970000000002,1.807646,2.264754,2.6742749999999997,3.343199,3.677193,4.148332,4.744413,5.758017,5.934976,6.4451789999999995,6.839231,7.284202,7.503469999999999
19-2800282,,,,,,,,,,,,,,,,,,,0,0.33363200000000004,0.628981,1.086089,1.49561,2.164534,2.4985280000000003,2.9696670000000003,3.565748,4.579352,4.756311,5.266514,5.660566,6.105537,6.324805
20-2804585,,,,,,,,,,,,,,,,,,,,0,0.295349,0.7524569999999999,1.161978,1.830902,2.164896,2.636035,3.2321160000000004,4.24572,4.4226790000000005,4.932882,5.3269340000000005,5.771905,5.991173
21-2804587,,,,,,,,,,,,,,,,,,,,,0,0.457108,0.8666290000000001,1.5355530000000002,1.8695470000000003,2.3406860000000003,2.9367670000000006,3.9503710000000005,4.127330000000001,4.637533,5.031585000000001,5.476556,5.695824
22-2804722,,,,,,,,,,,,,,,,,,,,,,0,0.409521,1.0784449999999999,1.412439,1.883578,2.479659,3.493263,3.670222,4.180425,4.574477,5.019448,5.238715999999999
23-2804725,,,,,,,,,,,,,,,,,,,,,,,0,0.668924,1.002918,1.474057,2.070138,3.083742,3.260701,3.770904,4.164956,4.609927,4.8291949999999995
24-2807143,,,,,,,,,,,,,,,,,,,,,,,,0,0.333994,0.8051330000000001,1.4012140000000002,2.4148180000000004,2.5917770000000004,3.10198,3.496032,3.9410030000000003,4.160271
25-2807144,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47113900000000003,1.06722,2.0808240000000002,2.2577830000000003,2.7679860000000005,3.1620380000000003,3.6070090000000006,3.8262770000000006
26-2804785,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5960810000000001,1.6096850000000003,1.7866440000000003,2.2968470000000005,2.6908990000000004,3.1358700000000006,3.3551380000000006
27-2806426,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0136040000000002,1.1905630000000003,1.7007660000000002,2.094818,2.539789,2.759057
28-2804787,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.176959,0.6871619999999999,1.081214,1.526185,1.745453
29-2804789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.510203,0.904255,1.349226,1.568494
30-2804793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.394052,0.8390230000000001,1.058291
31-2800291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.444971,0.664239
32-2807413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.219268
33-2800297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
