순번_정류장ID,61-2806621,62-2806503,63-2806507,64-2802175,65-2801848,66-2802172,67-2802162,68-2802153,69-2801846,70-2802103,71-2802052,72-2801847,73-2801990,74-2801952,75-2801805,76-2801799,77-2801777,78-2801772,79-2801770,80-2801762,81-2800774,82-2800762,83-2800757,84-2800769,85-2800766,86-2800748,87-2800721,88-2800703,89-2800699,90-2800693,91-2800683,92-2800676,93-2800667,94-2800657,95-2800340,96-2800624,97-2800619,98-2806215,99-2807461,100-2806729,101-2806731,102-2805743,103-2804896,104-2805564,105-2804968,106-2804905,107-2805413,108-2805842,109-2805498,110-2805576,111-2805225,112-2805227,113-2805742,114-2805229,115-2805231,116-2807633
71-2802052,,,,,,,,,,,0,0.27446,0.570327,1.079479,1.591488,1.94812,2.562703,2.816144,3.262539,3.639465,4.282184,4.614661,4.9952369999999995,5.257873999999999,5.927434999999999,6.179268999999999,6.597838999999999,6.842765999999998,7.247888999999998,7.473011999999998,7.852099999999998,8.819387999999998,9.159438999999999,9.331969999999998,9.620119999999998,10.165368999999998,10.445663999999999,11.235174999999998,11.721262999999999,12.078005999999998,12.465405999999998,12.828134999999998,13.081612999999997,13.418015999999998,13.819475999999998,14.176040999999998,14.411788999999997,14.670004999999996,14.967617999999996,15.322612999999997,15.487294999999996,15.949976999999995,16.140094999999995,16.348572999999995,16.653124999999996,19.868992999999996
72-2801847,,,,,,,,,,,,0,0.295867,0.805019,1.317028,1.6736600000000001,2.288243,2.541684,2.988079,3.365005,4.007724,4.3402009999999995,4.720777,4.983414,5.652975,5.904808999999999,6.323378999999999,6.568305999999999,6.9734289999999985,7.1985519999999985,7.577639999999999,8.544927999999999,8.884979,9.057509999999999,9.345659999999999,9.890908999999999,10.171204,10.960714999999999,11.446803,11.803545999999999,12.190945999999999,12.553674999999998,12.807152999999998,13.143555999999998,13.545015999999999,13.901580999999998,14.137328999999998,14.395544999999998,14.693157999999999,15.048153,15.212834999999998,15.675516999999997,15.865634999999997,16.074112999999997,16.378664999999998,19.594533
73-2801990,,,,,,,,,,,,,0,0.509152,1.0211610000000002,1.3777930000000003,1.9923760000000001,2.245817,2.692212,3.069138,3.711857,4.044334,4.424910000000001,4.687547,5.357108,5.608942,6.027512,6.272438999999999,6.677561999999999,6.902684999999999,7.281772999999999,8.249061,8.589112,8.761643,9.049793,9.595042,9.875337,10.664848,11.150936,11.507679,11.895078999999999,12.257807999999999,12.511285999999998,12.847688999999999,13.249149,13.605713999999999,13.841461999999998,14.099677999999997,14.397290999999997,14.752285999999998,14.916967999999997,15.379649999999996,15.569767999999996,15.778245999999996,16.082797999999997,19.298665999999997
74-2801952,,,,,,,,,,,,,,0,0.512009,0.868641,1.4832239999999999,1.736665,2.18306,2.559986,3.202705,3.535182,3.915758,4.178395,4.847956,5.09979,5.5183599999999995,5.763286999999999,6.168409999999999,6.393532999999999,6.772620999999999,7.739908999999999,8.07996,8.252491,8.540640999999999,9.08589,9.366185,10.155695999999999,10.641784,10.998527,11.385926999999999,11.748655999999999,12.002133999999998,12.338536999999999,12.739996999999999,13.096561999999999,13.332309999999998,13.590525999999997,13.888138999999997,14.243133999999998,14.407815999999997,14.870497999999996,15.060615999999996,15.269093999999996,15.573645999999995,18.789513999999993
75-2801805,,,,,,,,,,,,,,,0,0.356632,0.9712149999999999,1.224656,1.6710509999999998,2.047977,2.690696,3.023173,3.403749,3.666386,4.335947,4.587781,5.0063509999999996,5.251277999999999,5.656400999999999,5.881523999999999,6.260611999999999,7.227899999999999,7.567950999999999,7.740481999999999,8.028632,8.573881,8.854176,9.643687,10.129775,10.486518,10.873918,11.236647,11.490124999999999,11.826528,12.227988,12.584553,12.820300999999999,13.078516999999998,13.376129999999998,13.731124999999999,13.895806999999998,14.358488999999997,14.548606999999997,14.757084999999996,15.061636999999996,18.277504999999994
76-2801799,,,,,,,,,,,,,,,,0,0.614583,0.8680239999999999,1.314419,1.691345,2.334064,2.666541,3.047117,3.309754,3.9793149999999997,4.231148999999999,4.649718999999999,4.894645999999999,5.299768999999999,5.524891999999999,5.903979999999999,6.871267999999999,7.211318999999999,7.383849999999999,7.671999999999999,8.217248999999999,8.497544,9.287054999999999,9.773143,10.129885999999999,10.517285999999999,10.880014999999998,11.133492999999998,11.469895999999999,11.871355999999999,12.227920999999998,12.463668999999998,12.721884999999997,13.019497999999997,13.374492999999998,13.539174999999997,14.001856999999996,14.191974999999996,14.400452999999995,14.705004999999995,17.920872999999993
77-2801777,,,,,,,,,,,,,,,,,0,0.25344099999999997,0.6998359999999999,1.076762,1.719481,2.051958,2.432534,2.695171,3.364732,3.616566,4.0351360000000005,4.280063,4.685186,4.910309,5.289397,6.256685,6.596736,6.769267,7.057417,7.602666,7.882961,8.672471999999999,9.15856,9.515303,9.902702999999999,10.265431999999999,10.518909999999998,10.855312999999999,11.256772999999999,11.613337999999999,11.849085999999998,12.107301999999997,12.404914999999997,12.759909999999998,12.924591999999997,13.387273999999996,13.577391999999996,13.785869999999996,14.090421999999995,17.306289999999994
78-2801772,,,,,,,,,,,,,,,,,,0,0.446395,0.823321,1.46604,1.798517,2.179093,2.4417299999999997,3.1112909999999996,3.3631249999999997,3.7816949999999996,4.026622,4.431744999999999,4.656867999999999,5.035956,6.003244,6.3432949999999995,6.515826,6.803976,7.349225,7.629519999999999,8.419030999999999,8.905119,9.261861999999999,9.649261999999998,10.011990999999998,10.265468999999998,10.601871999999998,11.003331999999999,11.359896999999998,11.595644999999998,11.853860999999998,12.151473999999999,12.506469,12.671150999999998,13.133832999999997,13.323950999999997,13.532428999999997,13.836980999999996,17.052848999999995
79-2801770,,,,,,,,,,,,,,,,,,,0,0.37692600000000004,1.019645,1.352122,1.732698,1.995335,2.664896,2.9167300000000003,3.3353,3.5802270000000003,3.9853500000000004,4.210473,4.589561000000001,5.556849000000001,5.8969000000000005,6.069431000000001,6.357581000000001,6.902830000000001,7.183125,7.9726360000000005,8.458724,8.815467,9.202867,9.565596,9.819073999999999,10.155477,10.556937,10.913502,11.149249999999999,11.407466,11.705079,12.060074,12.224756,12.687437999999998,12.877555999999998,13.086033999999998,13.390585999999997,16.606453999999996
80-2801762,,,,,,,,,,,,,,,,,,,,0,0.6427189999999999,0.975196,1.355772,1.618409,2.28797,2.539804,2.958374,3.203301,3.6084240000000003,3.8335470000000003,4.212635000000001,5.1799230000000005,5.519974,5.692505000000001,5.9806550000000005,6.525904000000001,6.806199,7.59571,8.081798000000001,8.438541,8.825941,9.18867,9.442148,9.778551,10.180011,10.536576,10.772324,11.030539999999998,11.328152999999999,11.683148,11.847829999999998,12.310511999999997,12.500629999999997,12.709107999999997,13.013659999999996,16.229527999999995
81-2800774,,,,,,,,,,,,,,,,,,,,,0,0.332477,0.713053,0.9756900000000001,1.645251,1.8970850000000001,2.315655,2.560582,2.9657050000000003,3.190828,3.569916,4.537204,4.877255,5.049786,5.337936,5.883185,6.16348,6.952991,7.4390789999999996,7.795821999999999,8.183221999999999,8.545950999999999,8.799428999999998,9.135831999999999,9.537291999999999,9.893856999999999,10.129604999999998,10.387820999999999,10.685433999999999,11.040429,11.205110999999999,11.667792999999998,11.857910999999998,12.066388999999997,12.370940999999997,15.586808999999997
82-2800762,,,,,,,,,,,,,,,,,,,,,,0,0.380576,0.643213,1.312774,1.5646080000000002,1.983178,2.2281050000000002,2.6332280000000003,2.8583510000000003,3.237439,4.204727,4.544778,4.717309,5.005459,5.550708,5.831003,6.620514,7.106602,7.4633449999999995,7.850745,8.213474,8.466952,8.803355,9.204815,9.56138,9.797127999999999,10.055343999999998,10.352956999999998,10.707951999999999,10.872633999999998,11.335315999999997,11.525433999999997,11.733911999999997,12.038463999999996,15.254331999999996
83-2800757,,,,,,,,,,,,,,,,,,,,,,,0,0.262637,0.932198,1.184032,1.602602,1.8475290000000002,2.2526520000000003,2.4777750000000003,2.856863,3.824151,4.164202,4.336733000000001,4.6248830000000005,5.170132000000001,5.450427,6.239938,6.726026,7.082769,7.470169,7.832898,8.086376,8.422779,8.824239,9.180804,9.416552,9.674768,9.972381,10.327376000000001,10.492058,10.95474,11.144858,11.353335999999999,11.657887999999998,14.873755999999998
84-2800769,,,,,,,,,,,,,,,,,,,,,,,,0,0.669561,0.921395,1.3399649999999999,1.584892,1.990015,2.215138,2.594226,3.561514,3.9015649999999997,4.074096,4.362246,4.907495,5.18779,5.977301,6.463388999999999,6.820131999999999,7.207532,7.5702609999999995,7.823739,8.160142,8.561602,8.918167,9.153915,9.412130999999999,9.709743999999999,10.064739,10.229420999999999,10.692102999999998,10.882220999999998,11.090698999999997,11.395250999999996,14.611118999999997
85-2800766,,,,,,,,,,,,,,,,,,,,,,,,,0,0.251834,0.670404,0.915331,1.320454,1.545577,1.924665,2.891953,3.232004,3.404535,3.692685,4.237934,4.518229,5.30774,5.7938279999999995,6.150570999999999,6.537971,6.9007,7.154178,7.490581,7.892041,8.248606,8.484354,8.74257,9.040183,9.395178000000001,9.55986,10.022542,10.21266,10.421138,10.725689999999998,13.941557999999999
86-2800748,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41857,0.663497,1.0686200000000001,1.293743,1.6728310000000002,2.6401190000000003,2.98017,3.1527010000000004,3.4408510000000003,3.9861000000000004,4.266395,5.055906,5.541994,5.898737,6.286137,6.648866,6.902344,7.238747,7.640207,7.996772,8.23252,8.490735999999998,8.788348999999998,9.143343999999999,9.308025999999998,9.770707999999997,9.960825999999997,10.169303999999997,10.473855999999996,13.689723999999996
87-2800721,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.244927,0.65005,0.875173,1.254261,2.221549,2.5616,2.7341309999999996,3.0222809999999996,3.5675299999999996,3.8478249999999994,4.6373359999999995,5.123423999999999,5.480166999999999,5.867566999999999,6.230295999999999,6.4837739999999995,6.820176999999999,7.221636999999999,7.578201999999999,7.813949999999999,8.072166,8.369779,8.724774,8.889456,9.352137999999998,9.542255999999998,9.750733999999998,10.055285999999997,13.271153999999997
88-2800703,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.405123,0.630246,1.009334,1.9766219999999999,2.3166729999999998,2.489204,2.777354,3.322603,3.6028979999999997,4.392409,4.878496999999999,5.235239999999999,5.62264,5.9853689999999995,6.238847,6.57525,6.97671,7.3332749999999995,7.569023,7.827239,8.124851999999999,8.479847,8.644528999999999,9.107210999999998,9.297328999999998,9.505806999999997,9.810358999999996,13.026226999999997
89-2800699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.225123,0.604211,1.571499,1.91155,2.0840810000000003,2.372231,2.9174800000000003,3.197775,3.987286,4.473374,4.8301169999999995,5.217517,5.580246,5.833724,6.170127,6.571587,6.928152,7.1639,7.422116,7.719729,8.074724,8.239405999999999,8.702087999999998,8.892205999999998,9.100683999999998,9.405235999999997,12.621103999999997
