순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802476,50-2802484,51-2802486,52-2802503,53-2802521,54-2802531,55-2802534,56-2802542,57-2802546,58-2802562,59-2802571,60-2802576,61-2802581,62-2804851,63-2802597,64-2802594,65-2802591,66-2802590,67-2802593,68-2802600,69-2804872,70-2805550,71-2803821,72-2803767,73-2804877,74-2803768,75-2803522,76-2803523
58-2802562,,,,,,,,,,,,,,,,,,,0,0.278276,0.440348,1.098904,2.708139,2.945049,3.142294,3.3434950000000003,3.6695470000000006,3.8215180000000006,4.241297,4.603849,5.056098,5.327723000000001,5.930669000000001,6.462150000000001,6.960282000000001,7.215410000000001,8.190752000000002
59-2802571,,,,,,,,,,,,,,,,,,,,0,0.162072,0.820628,2.429863,2.666773,2.864018,3.0652190000000004,3.3912710000000006,3.5432420000000007,3.963021000000001,4.325573,4.7778220000000005,5.049447000000001,5.652393000000001,6.183874000000001,6.682006000000001,6.937134000000001,7.912476000000002
60-2802576,,,,,,,,,,,,,,,,,,,,,0,0.658556,2.267791,2.504701,2.701946,2.903147,3.2291990000000004,3.3811700000000005,3.8009490000000006,4.163501,4.61575,4.8873750000000005,5.490321000000001,6.021802000000001,6.519934000000001,6.775062000000001,7.750404000000001
61-2802581,,,,,,,,,,,,,,,,,,,,,,0,1.609235,1.846145,2.04339,2.2445910000000002,2.5706430000000005,2.7226140000000005,3.1423930000000007,3.5049450000000006,3.9571940000000008,4.2288190000000005,4.831765000000001,5.363246000000001,5.861378000000001,6.116506000000001,7.0918480000000015
62-2804851,,,,,,,,,,,,,,,,,,,,,,,0,0.23690999999999998,0.43415499999999996,0.6353559999999999,0.9614079999999999,1.113379,1.5331579999999998,1.8957099999999998,2.347959,2.6195839999999997,3.22253,3.754011,4.252143,4.507271,5.482613000000001
63-2802597,,,,,,,,,,,,,,,,,,,,,,,,0,0.197245,0.39844599999999997,0.724498,0.8764689999999999,1.2962479999999998,1.6587999999999998,2.111049,2.3826739999999997,2.98562,3.5171010000000003,4.015233,4.270361,5.245703000000001
64-2802594,,,,,,,,,,,,,,,,,,,,,,,,,0,0.201201,0.527253,0.6792239999999999,1.099003,1.461555,1.9138039999999998,2.185429,2.7883750000000003,3.3198560000000006,3.8179880000000006,4.073116000000001,5.048458000000001
65-2802591,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.326052,0.478023,0.897802,1.260354,1.7126029999999999,1.9842279999999999,2.587174,3.1186550000000004,3.6167870000000004,3.8719150000000004,4.847257000000001
66-2802590,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.151971,0.57175,0.934302,1.3865509999999999,1.6581759999999999,2.261122,2.7926029999999997,3.2907349999999997,3.5458629999999998,4.521205
67-2802593,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.419779,0.782331,1.23458,1.506205,2.1091509999999998,2.640632,3.138764,3.393892,4.3692340000000005
68-2802600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.362552,0.8148009999999999,1.086426,1.6893719999999999,2.220853,2.718985,2.974113,3.949455
69-2804872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45224899999999996,0.7238739999999999,1.3268199999999999,1.858301,2.356433,2.611561,3.586903
70-2805550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.271625,0.874571,1.406052,1.904184,2.159312,3.134654
71-2803821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.602946,1.134427,1.632559,1.8876870000000001,2.863029
72-2803767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5314810000000001,1.0296130000000001,1.2847410000000001,2.2600830000000003
73-2804877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.49813199999999996,0.75326,1.728602
74-2803768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.255128,1.23047
75-2803522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.975342
76-2803523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
