순번_정류장ID,68-2804823,69-2801267,70-2801266,71-2801276,72-2801241,73-2801290,74-2801297,75-2801318,76-2801356,77-2801414,78-2801492,79-2801524,80-2801602,81-2801658,82-2801672,83-2801684,84-2801718,85-2801745,86-2801752,87-2801759,88-2801768,89-2801790,90-2801957,91-2801963,92-2801978,93-2801984,94-2802009,95-2802037,96-2802075,97-2802115,98-2802134,99-2806621,100-2806503,101-2806507,102-2802175,103-2802828,104-2802193,105-2802221,106-2802224,107-2802229,108-2802236,109-2802254,110-2802261,111-2802258,112-2802265,113-2802279,114-2802278,115-2802282,116-2802291,117-2802549,118-2802545,119-2802546,120-2802562,121-2802571,122-2802576,123-2802585,124-2802374
78-2801492,,,,,,,,,,,0,0.473498,1.063704,1.42584,1.865335,2.347717,2.908193,3.319245,3.81612,4.04368,4.542518,5.17004,5.458483,5.995127,6.201055,6.408805,6.620404,6.979899,7.3174529999999995,7.579880999999999,8.279955,8.606098,9.001589,9.347738999999999,9.667959,10.797311,12.376531,12.692082,13.105559,13.53662,14.099051,14.315423,14.748119999999998,15.232310999999997,15.842515999999998,16.408655999999997,16.767690999999996,17.258374999999997,17.671622999999997,18.070960999999997,18.362885,18.686659,18.980166999999998,19.258443,19.685404,19.893618,20.032201
79-2801524,,,,,,,,,,,,0,0.590206,0.952342,1.391837,1.874219,2.434695,2.8457470000000002,3.3426220000000004,3.5701820000000004,4.06902,4.696542,4.984985,5.521629,5.727557,5.935307,6.1469059999999995,6.506400999999999,6.843954999999999,7.106382999999999,7.806456999999999,8.132599999999998,8.528090999999998,8.874240999999998,9.194460999999999,10.323813,11.903032999999999,12.218583999999998,12.632060999999998,13.063121999999998,13.625552999999998,13.841924999999998,14.274621999999997,14.758812999999996,15.369017999999997,15.935157999999998,16.294192999999996,16.784876999999998,17.198124999999997,17.597462999999998,17.889387,18.213161,18.506669,18.784945,19.211906,19.42012,19.558703
80-2801602,,,,,,,,,,,,,0,0.362136,0.801631,1.2840129999999998,1.8444889999999998,2.255541,2.752416,2.979976,3.4788140000000003,4.106336000000001,4.394779000000001,4.931423000000001,5.137351000000001,5.3451010000000005,5.5567,5.916195,6.253749,6.516177,7.216251,7.542394,7.937885,8.284035,8.604255,9.733607000000001,11.312827,11.628378,12.041855,12.472916,13.035347,13.251719,13.684415999999999,14.168606999999998,14.778811999999999,15.344952,15.703987,16.194671,16.607919,17.007257,17.299181,17.622955,17.916463,18.194739000000002,18.6217,18.829914000000002,18.968497000000003
81-2801658,,,,,,,,,,,,,,0,0.43949499999999997,0.921877,1.4823529999999998,1.8934049999999998,2.3902799999999997,2.6178399999999997,3.116678,3.7441999999999998,4.032643,4.569287,4.775215,4.982965,5.194564,5.554059,5.8916129999999995,6.154040999999999,6.854114999999999,7.180257999999999,7.575748999999999,7.921898999999999,8.242118999999999,9.371471,10.950690999999999,11.266241999999998,11.679718999999999,12.110779999999998,12.673210999999998,12.889582999999998,13.322279999999997,13.806470999999997,14.416675999999997,14.982815999999998,15.341850999999998,15.832534999999998,16.245783,16.645121,16.937045,17.260819,17.554327,17.832603000000002,18.259564,18.467778000000003,18.606361000000003
82-2801672,,,,,,,,,,,,,,,0,0.482382,1.0428579999999998,1.4539099999999998,1.9507849999999998,2.1783449999999998,2.677183,3.304705,3.593148,4.129792,4.33572,4.54347,4.755069,5.114564,5.452118,5.7145459999999995,6.414619999999999,6.740762999999999,7.136253999999999,7.482403999999999,7.802623999999999,8.931975999999999,10.511195999999998,10.826746999999997,11.240223999999998,11.671284999999997,12.233715999999998,12.450087999999997,12.882784999999997,13.366975999999996,13.977180999999996,14.543320999999997,14.902355999999997,15.393039999999997,15.806287999999997,16.205625999999995,16.497549999999997,16.821323999999997,17.114831999999996,17.393107999999998,17.820068999999997,18.028283,18.166866
83-2801684,,,,,,,,,,,,,,,,0,0.560476,0.971528,1.468403,1.6959629999999999,2.194801,2.822323,3.110766,3.64741,3.853338,4.061088,4.2726869999999995,4.632181999999999,4.969735999999999,5.232163999999999,5.932237999999999,6.258380999999999,6.653871999999999,7.000021999999999,7.320241999999999,8.449594,10.028813999999999,10.344364999999998,10.757841999999998,11.188902999999998,11.751333999999998,11.967705999999998,12.400402999999997,12.884593999999996,13.494798999999997,14.060938999999998,14.419973999999998,14.910657999999998,15.323905999999997,15.723243999999998,16.015168,16.338942,16.63245,16.910726,17.337687,17.545901,17.684484
84-2801718,,,,,,,,,,,,,,,,,0,0.41105200000000003,0.907927,1.135487,1.634325,2.261847,2.55029,3.086934,3.292862,3.500612,3.712211,4.071706,4.40926,4.671688,5.3717619999999995,5.6979049999999996,6.093395999999999,6.439545999999999,6.759765999999999,7.889117999999999,9.468338,9.783888999999999,10.197365999999999,10.628426999999999,11.190857999999999,11.407229999999998,11.839926999999998,12.324117999999997,12.934322999999997,13.500462999999998,13.859497999999999,14.350181999999998,14.763429999999998,15.162767999999998,15.454691999999998,15.778465999999998,16.071973999999997,16.35025,16.777210999999998,16.985425,17.124008
85-2801745,,,,,,,,,,,,,,,,,,0,0.496875,0.7244349999999999,1.2232729999999998,1.8507949999999997,2.1392379999999998,2.6758819999999996,2.8818099999999998,3.0895599999999996,3.3011589999999997,3.6606539999999996,3.9982079999999995,4.260636,4.96071,5.286853,5.682344,6.028493999999999,6.348713999999999,7.478065999999999,9.057286,9.372836999999999,9.786313999999999,10.217374999999999,10.779805999999999,10.996177999999999,11.428874999999998,11.913065999999997,12.523270999999998,13.089410999999998,13.448445999999999,13.939129999999999,14.352377999999998,14.751715999999998,15.043639999999998,15.367413999999998,15.660921999999998,15.939197999999998,16.366158999999996,16.574372999999998,16.712956
86-2801752,,,,,,,,,,,,,,,,,,,0,0.22755999999999998,0.726398,1.35392,1.642363,2.179007,2.384935,2.592685,2.804284,3.163779,3.501333,3.7637609999999997,4.4638349999999996,4.789978,5.185468999999999,5.531618999999999,5.851838999999999,6.981190999999999,8.560410999999998,8.875961999999998,9.289438999999998,9.720499999999998,10.282930999999998,10.499302999999998,10.931999999999997,11.416190999999996,12.026395999999997,12.592535999999997,12.951570999999998,13.442254999999998,13.855502999999997,14.254840999999997,14.546764999999997,14.870538999999997,15.164046999999997,15.442322999999996,15.869283999999997,16.077498,16.216081
87-2801759,,,,,,,,,,,,,,,,,,,,0,0.498838,1.12636,1.414803,1.951447,2.157375,2.365125,2.576724,2.936219,3.273773,3.5362009999999997,4.236275,4.562418,4.957909,5.304059,5.624279,6.7536309999999995,8.332851,8.648401999999999,9.061879,9.492939999999999,10.055371,10.271742999999999,10.704439999999998,11.188630999999997,11.798835999999998,12.364975999999999,12.724010999999999,13.214694999999999,13.627942999999998,14.027280999999999,14.319204999999998,14.642978999999999,14.936486999999998,15.214762999999998,15.641723999999998,15.849937999999998,15.988520999999999
