순번_정류장ID,1-2805981,2-2803328,3-2803305,4-2803293,5-2803289,6-2802621,7-2807483,8-2802850,9-2802858,10-2802886,11-2802984,12-2803020,13-2802429,14-2802467,15-2802469,16-2802465,17-2802460,18-2802450,19-2802455,20-2802476,21-2802523,22-2802537,23-2802364,24-2802544,25-2802365,26-2804851,27-2802597,28-2802596,29-2802602,30-2803624,31-2804420,32-2807598,33-2803359,34-2805065,35-2807232,36-2807362
11-2802984,,,,,,,,,,,0,1.001087,1.5293390000000002,2.241366,2.3963400000000004,2.858461,3.257925,3.601999,3.9869060000000003,5.229064,5.700758,5.926451,6.2384520000000006,7.070523000000001,8.046654,9.655889,10.408912,10.753696000000001,11.308437000000001,11.590005000000001,28.548885,39.516073999999996,39.978803,59.347234,59.726398,63.341675
12-2803020,,,,,,,,,,,,0,0.528252,1.2402790000000001,1.395253,1.857374,2.256838,2.600912,2.9858190000000002,4.227977,4.699671,4.925364,5.2373650000000005,6.0694360000000005,7.045567,8.654802,9.407825,9.752609000000001,10.307350000000001,10.588918000000001,27.547798,38.514987,38.977716,58.346147,58.725311000000005,62.340588000000004
13-2802429,,,,,,,,,,,,,0,0.7120270000000001,0.8670010000000001,1.3291220000000001,1.7285860000000002,2.07266,2.457567,3.699725,4.171419,4.397112,4.709113,5.541184,6.517315,8.12655,8.879573,9.224357000000001,9.779098000000001,10.060666000000001,27.019546,37.986734999999996,38.449464,57.817895,58.197059,61.812336
14-2802467,,,,,,,,,,,,,,0,0.154974,0.617095,1.016559,1.360633,1.74554,2.987698,3.459392,3.685085,3.997086,4.8291569999999995,5.805287999999999,7.414522999999999,8.167546,8.51233,9.067071,9.348639,26.307519,37.274708,37.737437,57.105868,57.485032000000004,61.100309
15-2802469,,,,,,,,,,,,,,,0,0.462121,0.861585,1.205659,1.590566,2.832724,3.3044179999999996,3.5301109999999998,3.8421119999999997,4.674182999999999,5.650313999999999,7.259548999999999,8.012571999999999,8.357356,8.912097,9.193665,26.152544999999996,37.119733999999994,37.582463,56.950894,57.330058,60.945335
16-2802465,,,,,,,,,,,,,,,,0,0.399464,0.743538,1.1284450000000001,2.370603,2.842297,3.06799,3.379991,4.2120619999999995,5.188192999999999,6.797427999999999,7.550450999999999,7.895234999999999,8.449976,8.731544,25.690423999999997,36.657613,37.120342,56.488773,56.867937000000005,60.483214000000004
17-2802460,,,,,,,,,,,,,,,,,0,0.344074,0.728981,1.971139,2.442833,2.668526,2.980527,3.812598,4.788729,6.397964,7.150987,7.4957709999999995,8.050512,8.33208,25.29096,36.258148999999996,36.720878,56.089309,56.468473,60.08375
18-2802450,,,,,,,,,,,,,,,,,,0,0.384907,1.627065,2.098759,2.324452,2.636453,3.468524,4.444655,6.05389,6.806913,7.1516969999999995,7.7064379999999995,7.9880059999999995,24.946885999999996,35.914075,36.376804,55.745235,56.124399000000004,59.739676
19-2802455,,,,,,,,,,,,,,,,,,,0,1.242158,1.7138520000000002,1.939545,2.2515460000000003,3.0836170000000003,4.059748,5.668983,6.422006,6.766789999999999,7.321530999999999,7.603098999999999,24.561978999999997,35.529168,35.991897,55.360328,55.739492000000006,59.354769000000005
20-2802476,,,,,,,,,,,,,,,,,,,,0,0.47169399999999995,0.697387,1.009388,1.841459,2.81759,4.426825,5.179848,5.5246319999999995,6.0793729999999995,6.3609409999999995,23.319820999999997,34.287009999999995,34.749739,54.11817,54.497334,58.112611
